Building ID;Primary Usage;Secondary Usage;Other Usages;Air change rate [vol/h];Building Parent ID
DEBW_52210005z9L;UsageZoneName [name=shed];No usage;No other usages;0,30;DEBW_52210005z9L
DEBW_52210006IfS;UsageZoneName [name=shed];No usage;No other usages;0,30;DEBW_52210006IfS
DEBW_52210006Hrk;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210006Hrk
DEBW_52210004zeG;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004zeG
DEBW_52210004esI;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004esI
DEBW_52210005yOM;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005yOM
DEBW_52210004dsq;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004dsq
DEBW_522100051QS;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_522100051QS
DEBW_522100060Py;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_522100060Py
DEBW_52210004hv5;UsageZoneName [name=restaurant];No usage;No other usages;4,76;DEBW_52210004hv5
DEBW_52210004G6k;UsageZoneName [name=residential];No usage;No other usages;0,39;DEBW_52210004G6k
DEBW_52210004G0z;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004G0z
DEBW_52210005zhJ;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005zhJ
DEBW_52210006KcE;UsageZoneName [name=residential];No usage;No other usages;0,46;DEBW_52210006KcE
DEBW_52210004i54;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004i54
DEBW_52210004cUm;UsageZoneName [name=residential];No usage;No other usages;0,41;DEBW_52210004cUm
DEBW_522100053KH;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_522100053KH
DEBW_52210003xLd;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210003xLd
DEBW_522100060bU;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_522100060bU
DEBW_52210005hTR;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005hTR
DEBW_52210004dF4;UsageZoneName [name=residential];No usage;No other usages;0,39;DEBW_52210004dF4
DEBW_52210004ygz;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004ygz
DEBW_52210005MJN;UsageZoneName [name=company building];No usage;No other usages;0,52;DEBW_52210005MJN
DEBW_52210004dlz;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004dlz
DEBW_52210005JXy;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005JXy
DEBW_52210006Hka;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210006Hka
DEBW_52210005gvh;UsageZoneName [name=residential];No usage;No other usages;0,43;DEBW_52210005gvh
DEBW_52210005LMR;UsageZoneName [name=building for stockpiling];No usage;No other usages;0,70;DEBW_52210005LMR
DEBW_522100054Rr;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_522100054Rr
DEBW_52210004L07;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004L07
DEBW_52210005fu9;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005fu9
