## SimStadt DIN18599 Monthly Energy Balance
#
# Weather data source;PVGIS v5_3 - SARAH3 - From 2005 to 2023 hourly interpolated with Insel
# Location;N48_8__E9_2
# Coordinate reference system;EPSG:25832
# Latitude;48,77;°
# Longitude;9,21;°
# Radiation model;pvgis_SARAH3_2005_2023_Hay
# Calculation Mode;HEATING_AND_COOLING
# Consumer behaviour;IWU_NUTZUNG
#
# Building physics library;German Building Typology Library IWU (with GEG/BEG) (http://www.iwu.de)
# Building usage library;Germany (based on UsageLibrary.xlsx, sheet: Germany)
# Has custom building usage codes?;false
#
# SimStadt version;0.14.0-SNAPSHOT (develop, rev. 1200cd3, 20260507)
# Created at;2026/05/11 16:05:15
# Cache version;7
#
GMLId;ParentGMLId;Latitude;Longitude;X-coordinate;Y-coordinate;LOD;Year of construction;Year of refurbishment;Refurbishment Variant;ALKIS code;PrimaryUsageZoneType;PrimaryUsageZoneArea;SecondaryUsageZoneType;SecondaryUsageZoneArea;BuildingType;Footprint area;Total wall thermal area above ground;Total wall thermal area below ground;Total outwall area;Total shared wall area;Total roof area;Gross volume;Is Gross volume approximated?;Heated volume;Ridge/mean Height;Eaves/mean Height;Storey number;Average Storey Height;Number of households;Number of occupants;Attic Heating;Basement Heating;Basement ceiling height above ground;Surface area to volume ratio;Heated area;Mean Uvalue;Specific domestic hot water demand;Domestic hot water demand;Specific space heating demand;Yearly Heating demand;Total Yearly Heating + DHW demand;January Heating demand;February Heating demand;March Heating demand;April Heating demand;May Heating demand;June Heating demand;July Heating demand;August Heating demand;September Heating demand;October Heating demand;November Heating demand;December Heating demand;Specific space Cooling demand;Yearly Cooling demand;January Cooling demand;February Cooling demand;March Cooling demand;April Cooling demand;May Cooling demand;June Cooling demand;July Cooling demand;August Cooling demand;September Cooling demand;October Cooling demand;November Cooling demand;December Cooling demand
[-];[-];[°];[°];[?];[?];LOD;[YYYY];[YYYY];[-];[-];[-];[m²];[-];[m²];[-];[m²];[m²];[m²];[m²];[m²];[m²];[m³];[0/1];[m³];[m];[m];[-];[m];[-];[-];[-];[-];[m];[m⁻¹];[m²];[W/(m²·K)];[kWh/(m²·a)];[kWh/a];[kWh/(m²·a)];[kWh/a];[kWh/a];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh/(m²·a)];[kWh/a];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh]
DEBW_52210003tI1;;48,76986;9,21156;515545,03;5401894,62;LOD_2;1980;;Original;31001_2081;restaurant;113,3;none;0,0;EFH;70,8;155,7;0,0;159,4;21,9;70,9;377,6;false;354,2;5,5;5,13;2;2,5;0;0;NOT_HEATED;NOT_HEATED;0,1;0,797;113,3;0,85;334,5;37908,0;234,9;26625;64533;5957;4908;3524;1389;212;0;0;0;54;1354;3771;5456;48,4;5489;26;38;102;242;487;1118;1645;1158;457;143;45;27
DEBW_52210003xOe;;48,76993;9,21125;515522,34;5401902,55;LOD_2;1980;;Original;31001_2723;shed;45,9;none;0,0;EFH;50,2;77,0;0,0;77,0;0,0;50,7;128,4;false;108,6;2,9;2,16;1;2,2;0;0;NOT_HEATED;NO_ROOM;0,0;1,386;45,9;0,77;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210003xLl;;48,77046;9,21040;515459,62;5401961,12;LOD_2;1980;;Original;31001_2463;garage;28,2;none;0,0;EFH;30,8;48,0;0,0;48,0;0,0;30,8;66,6;false;66,6;2,2;2,16;1;2,2;0;0;NO_ROOM;NO_ROOM;0,0;1,646;28,2;0,80;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210003xWs;;48,77060;9,20911;515364,83;5401975,67;LOD_2;1980;;Original;31001_2463;garage;50,1;none;0,0;EFH;55,3;78,3;0,0;78,3;0,0;55,3;130,2;false;130,2;2,4;2,36;1;2,4;0;0;NO_ROOM;NO_ROOM;0,0;1,451;50,1;0,78;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210003xXe;;48,77071;9,21008;515436,20;5401988,96;LOD_2;1980;;Original;31001_1010;residential;697,5;none;0,0;MFH;202,3;598,0;0,0;601,1;0,0;217,8;2191,3;false;2179,6;12,6;7,88;5;2,5;5;9;HEATED;NOT_HEATED;0,1;0,466;697,5;0,99;15,8;11048,0;87,6;61105;72153;13869;10994;7351;2512;432;3;0;0;262;3497;9200;12986;25,9;18094;2;8;72;444;1477;4474;6077;4171;1238;121;9;2
DEBW_52210004dvj;;48,77075;9,21197;515574,95;5401993,81;LOD_2;1980;;Original;31001_2463;garage;41,1;none;0,0;EFH;50,2;89,0;0,0;103,5;0,0;52,0;187,8;false;128,6;4,3;3,02;1;2,5;0;0;NOT_HEATED;NOT_HEATED;0,5;1,096;41,1;0,81;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210004FpB;;48,77066;9,21085;515492,46;5401983,23;LOD_2;1980;;Original;31001_2463;garage;114,2;none;0,0;RH;142,7;120,9;0,0;163,7;41,9;142,7;483,3;false;356,9;3,4;3,39;1;2,5;0;0;NO_ROOM;NOT_HEATED;0,9;0,929;114,2;0,78;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210004GuN;;48,77065;9,21136;515530,05;5401981,71;LOD_2;1980;;Original;31001_2463;garage;27,8;none;0,0;EFH;34,9;62,0;0,0;62,9;0,0;34,9;88,3;false;87,0;2,5;2,54;1;2,5;0;0;NO_ROOM;NOT_HEATED;0,0;1,503;27,8;0,83;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210004L07;;48,77055;9,20973;515410,67;5401971,13;LOD_2;1980;;Original;31001_2463;garage;94,2;none;0,0;EFH;102,2;142,1;0,0;142,1;0,0;102,5;269,4;false;199,5;3,3;1,95;1;2,0;0;0;NOT_HEATED;NO_ROOM;0,0;1,288;94,2;0,75;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210004hn6;;48,77020;9,20976;515412,69;5401931,50;LOD_2;1980;;Original;31001_2501;energy supply building;27,9;none;0,0;EFH;30,9;55,5;0,0;55,5;0,0;30,9;75,2;false;75,2;2,4;2,43;1;2,4;0;0;NO_ROOM;NO_ROOM;0,0;1,559;27,9;0,82;32,9;917,0;92,1;2571;3488;685;519;282;53;0;0;0;0;0;52;363;616;39,7;1108;3;5;18;50;104;240;328;232;96;25;6;3
DEBW_52210004i54;;48,77050;9,20934;515381,57;5401965,55;LOD_2;1980;;Original;31001_2463;garage;29,9;none;0,0;EFH;36,0;62,3;0,0;86,2;0,0;36,0;129,3;false;93,3;3,6;3,60;1;2,6;0;0;NO_ROOM;NOT_HEATED;1,0;1,223;29,9;0,83;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210004hv5;;48,76987;9,21171;515556,08;5401895,84;LOD_2;1980;;Original;31001_2081;restaurant;734,7;none;0,0;RH;274,3;510,0;0,0;567,1;21,9;320,9;2530,7;false;2295,9;10,9;7,41;4;2,5;0;0;HEATED;NOT_HEATED;0,9;0,459;734,7;0,99;334,5;245735,0;230,1;169040;414775;36917;30741;22658;9522;1783;0;0;0;594;9201;23767;33858;41,0;30095;148;205;524;1232;2562;6190;9242;6388;2433;763;253;156
DEBW_5221000542K;;48,76952;9,21086;515494,07;5401856,48;LOD_2;1980;;Original;31001_2140;building for stockpiling;23,0;none;0,0;EFH;28,7;64,1;0,0;74,5;0,0;29,0;94,4;false;71,7;3,6;2,98;1;2,5;0;0;NOT_HEATED;NOT_HEATED;0,5;1,399;23,0;0,85;218,8;5023,0;0,0;0;5023;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
