HOY,HeatingDemand_sum,HeatingEnergy_sum,CoolingDemand_sum,CoolingEnergy_sum,IndoorAir_mean,OutsideTemp_mean,SolarGains_sum,COP_mean,HeatingDemand_kWh_h_sum,CoolingDemand_kWh_h_sum,HeatingDemand_Wh_m2h_sum,CoolingDemand_Wh_m2h_sum,Portfolio ID
1,596472.7898354054,596472.7898354054,0.0,0.0,20.0,0.22999999999999998,0.0,,596.4727898354054,0.0,8.058711571910974,-0.0,ALL_BUILDINGS
2,678631.3327779031,678631.3327779031,0.0,0.0,20.0,-0.19,0.0,,678.631332777903,0.0,9.16872364961992,-0.0,ALL_BUILDINGS
3,759060.2624777261,759060.2624777261,0.0,0.0,20.0,-1.03,0.0,,759.060262477726,0.0,10.255367596391128,-0.0,ALL_BUILDINGS
4,783924.5789238914,783924.5789238914,0.0,0.0,20.0,-0.73,0.0,,783.9245789238914,0.0,10.591299692686187,-0.0,ALL_BUILDINGS
5,818453.7502314829,818453.7502314829,0.0,0.0,20.0,-1.0,0.0,,818.4537502314829,0.0,11.057809879113583,-0.0,ALL_BUILDINGS
6,839080.4165209655,839080.4165209655,0.0,0.0,20.0,-1.07,0.0,,839.0804165209655,0.0,11.336488734460644,-0.0,ALL_BUILDINGS
7,837938.9162073501,837938.9162073501,0.0,0.0,20.0,-0.72,0.0,,837.9389162073501,0.0,11.321066368271548,-0.0,ALL_BUILDINGS
8,839042.8821431623,839042.8821431623,0.0,0.0,20.0,-0.57,0.0,,839.0428821431623,0.0,11.335981622099608,-0.0,ALL_BUILDINGS
9,848727.7638182159,848727.7638182159,0.0,0.0,20.0,-0.71,0.0,,848.727763818216,0.0,11.466830286711584,-0.0,ALL_BUILDINGS
10,769381.0355284505,769381.0355284505,0.0,0.0,20.0,0.49,166773.33703317997,,769.3810355284505,0.0,10.394807541736986,-0.0,ALL_BUILDINGS
11,692968.3147751146,692968.3147751146,0.0,0.0,20.0,0.41,345768.40949345776,,692.9683147751147,0.0,9.36242502996133,-0.0,ALL_BUILDINGS
12,533622.4237669255,533622.4237669255,0.0,0.0,20.0,1.55,558200.0693958176,,533.6224237669255,0.0,7.209564752531895,-0.0,ALL_BUILDINGS
13,398430.86913186987,398430.86913186987,0.0,0.0,20.003016503858625,2.11,611966.5729296899,,398.4308691318699,0.0,5.383044307126846,-0.0,ALL_BUILDINGS
14,313827.2946137274,313827.2946137274,0.0,0.0,20.0073329141385,2.0,628479.8545630707,,313.8272946137274,0.0,4.239998359997345,-0.0,ALL_BUILDINGS
15,288815.5488158264,288815.5488158264,0.0,0.0,20.005641558077944,2.05,440842.4660901874,,288.81554881582645,0.0,3.902074403146168,-0.0,ALL_BUILDINGS
16,328914.36992661847,328914.36992661847,0.0,0.0,20.003292337907574,1.52,343626.70636945975,,328.91436992661846,0.0,4.443833959009058,-0.0,ALL_BUILDINGS
