HOY,HeatingDemand_sum,HeatingEnergy_sum,CoolingDemand_sum,CoolingEnergy_sum,IndoorAir_mean,OutsideTemp_mean,SolarGains_sum,COP_mean,HeatingDemand_kWh_h_sum,CoolingDemand_kWh_h_sum,HeatingDemand_Wh_m2h_sum,CoolingDemand_Wh_m2h_sum,Portfolio ID
1,853414.0140477341,853414.0140477341,0.0,0.0,20.0,0.17,0.0,,853.4140140477341,0.0,11.53014438853995,-0.0,ALL_BUILDINGS
2,1096996.795938653,1096996.795938653,0.0,0.0,20.0,-0.25,0.0,,1096.996795938653,0.0,14.82109649330283,-0.0,ALL_BUILDINGS
3,1327094.7545323116,1327094.7545323116,0.0,0.0,20.0,-1.08,0.0,,1327.0947545323115,0.0,17.92986040205296,-0.0,ALL_BUILDINGS
4,1475118.0140493705,1475118.0140493705,0.0,0.0,20.0,-0.78,0.0,,1475.1180140493705,0.0,19.929745014913966,-0.0,ALL_BUILDINGS
5,1619328.7830267446,1619328.7830267446,0.0,0.0,20.0,-1.04,0.0,,1619.3287830267445,0.0,21.878120552837224,-0.0,ALL_BUILDINGS
6,1733557.6030047473,1733557.6030047473,0.0,0.0,20.0,-1.11,0.0,,1733.5576030047473,0.0,23.421421654060108,-0.0,ALL_BUILDINGS
7,1807195.1226890553,1807195.1226890553,0.0,0.0,20.0,-0.76,0.0,,1807.1951226890553,0.0,24.416309504971977,-0.0,ALL_BUILDINGS
8,1870700.1597064545,1870700.1597064545,0.0,0.0,20.0,-0.61,0.0,,1870.7001597064545,0.0,25.274301328585544,-0.0,ALL_BUILDINGS
9,1934856.4832501714,1934856.4832501714,0.0,0.0,20.0,-0.75,0.0,,1934.8564832501713,0.0,26.14109243081786,-0.0,ALL_BUILDINGS
10,1885394.5713371208,1885394.5713371208,0.0,0.0,20.0,0.44,256098.43241975064,,1885.3945713371209,0.0,25.472831801506448,-0.0,ALL_BUILDINGS
11,1844216.240349586,1844216.240349586,0.0,0.0,20.0,0.35,533271.5868108415,,1844.2162403495859,0.0,24.916487408105368,-0.0,ALL_BUILDINGS
12,1701448.1615237629,1701448.1615237629,0.0,0.0,20.0,1.48,853126.9060971799,,1701.4481615237628,0.0,22.98760349497558,-0.0,ALL_BUILDINGS
13,1574610.6715769223,1574610.6715769223,0.0,0.0,20.0,2.04,939852.6920347927,,1574.6106715769222,0.0,21.273951564149357,-0.0,ALL_BUILDINGS
14,1490085.7236327766,1490085.7236327766,0.0,0.0,20.0,1.92,960328.740551963,,1490.0857236327765,0.0,20.131967910040636,-0.0,ALL_BUILDINGS
15,1453856.7504920466,1453856.7504920466,0.0,0.0,20.0,1.9700000000000002,682986.7392129265,,1453.8567504920466,0.0,19.64249236301993,-0.0,ALL_BUILDINGS
16,1477359.0663868194,1477359.0663868194,0.0,0.0,20.0,1.44,527332.5453736862,,1477.3590663868194,0.0,19.960023000285336,-0.0,ALL_BUILDINGS
17,1587500.2385126362,1587500.2385126362,0.0,0.0,20.0,0.29,204364.7495078585,,1587.500238512636,0.0,21.44809748327908,-0.0,ALL_BUILDINGS
18,1756069.8250453698,1756069.8250453698,0.0,0.0,20.0,-1.2799999999999998,0.0,,1756.0698250453697,0.0,23.72557551884622,-0.0,ALL_BUILDINGS
19,1921476.4991745017,1921476.4991745017,0.0,0.0,20.0,-2.6900000000000004,0.0,,1921.4764991745017,0.0,25.960320676699222,-0.0,ALL_BUILDINGS
20,2033567.49122312,2033567.49122312,0.0,0.0,20.0,-3.0599999999999996,0.0,,2033.56749122312,0.0,27.47473841732817,-0.0,ALL_BUILDINGS
21,2126327.0814148677,2126327.0814148677,0.0,0.0,20.0,-3.29,0.0,,2126.3270814148677,0.0,28.72797711592871,-0.0,ALL_BUILDINGS
22,2233979.0694265296,2233979.0694265296,0.0,0.0,20.0,-4.03,0.0,,2233.9790694265293,0.0,30.182421201748944,-0.0,ALL_BUILDINGS
23,2327963.0826242385,2327963.0826242385,0.0,0.0,20.0,-4.57,0.0,,2327.9630826242383,0.0,31.452202602741284,-0.0,ALL_BUILDINGS
24,2434990.938443471,2434990.938443471,0.0,0.0,20.0,-5.46,0.0,,2434.9909384434714,0.0,32.8982142815729,-0.0,ALL_BUILDINGS
25,2537402.6369638434,2537402.6369638434,0.0,0.0,20.0,-6.26,0.0,,2537.402636963843,0.0,34.28185885686513,-0.0,ALL_BUILDINGS
26,2562990.014616911,2562990.014616911,0.0,0.0,20.0,-5.6,0.0,,2562.9900146169107,0.0,34.627559951536234,-0.0,ALL_BUILDINGS
27,2612532.7098153825,2612532.7098153825,0.0,0.0,20.0,-5.76,0.0,,2612.5327098153825,0.0,35.29691201235657,-0.0,ALL_BUILDINGS
28,2648988.521912961,2648988.521912961,0.0,0.0,20.0,-5.77,0.0,,2648.988521912961,0.0,35.78945229218264,-0.0,ALL_BUILDINGS
29,2663172.2238295632,2663172.2238295632,0.0,0.0,20.0,-5.47,0.0,,2663.1722238295633,0.0,35.98108276504864,-0.0,ALL_BUILDINGS
30,2662795.639727451,2662795.639727451,0.0,0.0,20.0,-5.06,0.0,,2662.795639727451,0.0,35.975994883902665,-0.0,ALL_BUILDINGS
31,2700519.4713125895,2700519.4713125895,0.0,0.0,20.0,-5.55,0.0,,2700.5194713125893,0.0,36.48566688120511,-0.0,ALL_BUILDINGS
