HOY,HeatingDemand_sum,HeatingEnergy_sum,CoolingDemand_sum,CoolingEnergy_sum,IndoorAir_mean,OutsideTemp_mean,SolarGains_sum,COP_mean,HeatingDemand_kWh_h_sum,CoolingDemand_kWh_h_sum,HeatingDemand_Wh_m2h_sum,CoolingDemand_Wh_m2h_sum,Portfolio ID
1,571033.119232388,571033.119232388,0.0,0.0,20.0,0.22999999999999998,0.0,,571.033119232388,0.0,7.71500608966976,-0.0,ALL_BUILDINGS
2,612208.2804887288,612208.2804887288,0.0,0.0,20.0,-0.19,0.0,,612.2082804887287,0.0,8.271307658067101,-0.0,ALL_BUILDINGS
3,667265.3925483042,667265.3925483042,0.0,0.0,20.0,-1.03,0.0,,667.2653925483041,0.0,9.015162857552285,-0.0,ALL_BUILDINGS
4,678528.2831874714,678528.2831874714,0.0,0.0,20.0,-0.73,0.0,,678.5282831874714,0.0,9.167331386735437,-0.0,ALL_BUILDINGS
5,708221.3722487751,708221.3722487751,0.0,0.0,20.0,-1.0,0.0,,708.2213722487751,0.0,9.568503149306773,-0.0,ALL_BUILDINGS
6,728811.5589727205,728811.5589727205,0.0,0.0,20.0,-1.07,0.0,,728.8115589727205,0.0,9.846689143450536,-0.0,ALL_BUILDINGS
7,731799.1908163929,731799.1908163929,0.0,0.0,20.0,-0.72,0.0,,731.7991908163929,0.0,9.88705387378108,-0.0,ALL_BUILDINGS
8,739890.959364674,739890.959364674,0.0,0.0,20.0,-0.57,0.0,,739.890959364674,0.0,9.996378607362393,-0.0,ALL_BUILDINGS
9,757129.0350109362,757129.0350109362,0.0,0.0,20.0,-0.71,0.0,,757.1290350109361,0.0,10.229275534188414,-0.0,ALL_BUILDINGS
10,702179.1071245907,702179.1071245907,0.0,0.0,20.0,0.49,166773.33703317997,,702.1791071245907,0.0,9.486868458325722,-0.0,ALL_BUILDINGS
11,675668.8447510825,675668.8447510825,0.0,0.0,20.0,0.41,345768.40949345776,,675.6688447510825,0.0,9.128698627606806,-0.0,ALL_BUILDINGS
12,584301.1151295222,584301.1151295222,0.0,0.0,20.0,1.55,558200.0693958176,,584.3011151295221,0.0,7.8942648151211054,-0.0,ALL_BUILDINGS
13,516056.3766256191,516056.3766256191,0.0,0.0,20.0,2.11,611966.5729296899,,516.0563766256191,0.0,6.972236730562205,-0.0,ALL_BUILDINGS
14,476101.0980257476,476101.0980257476,0.0,0.0,20.00010225147542,2.0,628479.8545630707,,476.10109802574755,0.0,6.432416521662881,-0.0,ALL_BUILDINGS
15,458947.36129721056,458947.36129721056,0.0,0.0,20.0,2.05,440842.4660901874,,458.94736129721053,0.0,6.200659065109127,-0.0,ALL_BUILDINGS
16,472650.61631311104,472650.61631311104,0.0,0.0,20.0,1.52,343626.70636945975,,472.650616313111,0.0,6.385798407005941,-0.0,ALL_BUILDINGS
17,535796.0543696024,535796.0543696024,0.0,0.0,20.0,0.36,132960.74633229285,,535.7960543696023,0.0,7.238931829101618,-0.0,ALL_BUILDINGS
18,626474.0357682477,626474.0357682477,0.0,0.0,20.0,-1.22,0.0,,626.4740357682476,0.0,8.464046721964438,-0.0,ALL_BUILDINGS
19,707319.9905775392,707319.9905775392,0.0,0.0,20.0,-2.63,0.0,,707.3199905775392,0.0,9.556324932582584,-0.0,ALL_BUILDINGS
20,749195.0084117934,749195.0084117934,0.0,0.0,20.0,-3.01,0.0,,749.1950084117934,0.0,10.12208199065057,-0.0,ALL_BUILDINGS
21,783225.1131355469,783225.1131355469,0.0,0.0,20.0,-3.24,0.0,,783.225113135547,0.0,10.581849482821218,-0.0,ALL_BUILDINGS
22,834195.8451483848,834195.8451483848,0.0,0.0,20.0,-3.98,0.0,,834.1958451483848,0.0,11.270495192902942,-0.0,ALL_BUILDINGS
23,876629.8434588211,876629.8434588211,0.0,0.0,20.0,-4.52,0.0,,876.629843458821,0.0,11.84380441849415,-0.0,ALL_BUILDINGS
24,931322.1010297409,931322.1010297409,0.0,0.0,20.0,-5.42,0.0,,931.3221010297409,0.0,12.58273021107277,-0.0,ALL_BUILDINGS
25,981806.1623346666,981806.1623346666,0.0,0.0,20.0,-6.22,0.0,,981.8061623346666,0.0,13.264800702749904,-0.0,ALL_BUILDINGS
26,976747.8776144946,976747.8776144946,0.0,0.0,20.0,-5.56,0.0,,976.7478776144947,0.0,13.19646018780417,-0.0,ALL_BUILDINGS
27,999159.7576723209,999159.7576723209,0.0,0.0,20.0,-5.72,0.0,,999.1597576723209,0.0,13.499258371138106,-0.0,ALL_BUILDINGS
28,1014506.4571042808,1014506.4571042808,0.0,0.0,20.0,-5.73,0.0,,1014.5064571042808,0.0,13.706601650514024,-0.0,ALL_BUILDINGS
29,1016623.6947757164,1016623.6947757164,0.0,0.0,20.0,-5.43,0.0,,1016.6236947757164,0.0,13.73520682415152,-0.0,ALL_BUILDINGS
30,1012597.5517517664,1012597.5517517664,0.0,0.0,20.0,-5.02,0.0,,1012.5975517517663,0.0,13.680811173704116,-0.0,ALL_BUILDINGS
31,1040440.0279407167,1040440.0279407167,0.0,0.0,20.0,-5.51,0.0,,1040.4400279407166,0.0,14.05698002646346,-0.0,ALL_BUILDINGS
32,1062612.1657765028,1062612.1657765028,0.0,0.0,20.0,-5.85,0.0,,1062.6121657765027,0.0,14.3565391460011,-0.0,ALL_BUILDINGS
33,1046076.9359926376,1046076.9359926376,0.0,0.0,20.0,-5.17,0.0,,1046.0769359926376,0.0,14.133138095904227,-0.0,ALL_BUILDINGS
34,1019929.8475357716,1019929.8475357716,0.0,0.0,20.0,-4.69,119172.79027252426,,1019.9298475357715,0.0,13.779874966537887,-0.0,ALL_BUILDINGS
35,994005.8459435416,994005.8459435416,0.0,0.0,20.0,-3.89,42929.4161042431,,994.0058459435417,0.0,13.429625876920252,-0.0,ALL_BUILDINGS
36,905499.5051891466,905499.5051891466,0.0,0.0,20.0,-2.92,462900.10359703464,,905.4995051891466,0.0,12.233851175073825,-0.0,ALL_BUILDINGS
37,867518.2703604968,867518.2703604968,0.0,0.0,20.0,-2.41,306039.86803473486,,867.5182703604968,0.0,11.720701502791925,-0.0,ALL_BUILDINGS
38,801057.3018735045,801057.3018735045,0.0,0.0,20.0,-2.17,593359.3650596975,,801.0573018735046,0.0,10.822773240256547,-0.0,ALL_BUILDINGS
39,741888.1277024146,741888.1277024146,0.0,0.0,20.0,-1.39,472766.117646926,,741.8881277024146,0.0,10.023361570992376,-0.0,ALL_BUILDINGS
40,778961.2039124009,778961.2039124009,0.0,0.0,20.0,-1.89,77745.6579667886,,778.9612039124008,0.0,10.52424146585262,-0.0,ALL_BUILDINGS
41,822900.6765412127,822900.6765412127,0.0,0.0,20.0,-2.86,80820.39813713013,,822.9006765412128,0.0,11.117890568664473,-0.0,ALL_BUILDINGS
42,880353.684322801,880353.684322801,0.0,0.0,20.0,-3.89,0.0,,880.353684322801,0.0,11.894115782187354,-0.0,ALL_BUILDINGS
43,903914.4615324815,903914.4615324815,0.0,0.0,20.0,-4.07,0.0,,903.9144615324815,0.0,12.21243626751119,-0.0,ALL_BUILDINGS
44,922272.8837529036,922272.8837529036,0.0,0.0,20.0,-4.15,0.0,,922.2728837529036,0.0,12.460469760590678,-0.0,ALL_BUILDINGS
45,947809.2781323786,947809.2781323786,0.0,0.0,20.0,-4.46,0.0,,947.8092781323786,0.0,12.80548204010731,-0.0,ALL_BUILDINGS
46,962692.6537740839,962692.6537740839,0.0,0.0,20.0,-4.51,0.0,,962.692653774084,0.0,13.00656553219084,-0.0,ALL_BUILDINGS
47,977045.3650015376,977045.3650015376,0.0,0.0,20.0,-4.58,0.0,,977.0453650015376,0.0,13.200479424036425,-0.0,ALL_BUILDINGS
48,988033.9627435268,988033.9627435268,0.0,0.0,20.0,-4.59,0.0,,988.0339627435268,0.0,13.348942088706979,-0.0,ALL_BUILDINGS
49,997165.1667098105,997165.1667098105,0.0,0.0,20.0,-4.58,0.0,,997.1651667098105,0.0,13.472310229421119,-0.0,ALL_BUILDINGS
50,1003389.1723481404,1003389.1723481404,0.0,0.0,20.0,-4.52,0.0,,1003.3891723481404,0.0,13.5564003457114,-0.0,ALL_BUILDINGS
51,1017256.2319411269,1017256.2319411269,0.0,0.0,20.0,-4.69,0.0,,1017.2562319411269,0.0,13.743752787456843,-0.0,ALL_BUILDINGS
52,1043090.0117602614,1043090.0117602614,0.0,0.0,20.0,-5.19,0.0,,1043.0900117602614,0.0,14.092782925834333,-0.0,ALL_BUILDINGS
53,1058627.8240678168,1058627.8240678168,0.0,0.0,20.0,-5.41,0.0,,1058.6278240678168,0.0,14.302708256845042,-0.0,ALL_BUILDINGS
54,1053508.321531543,1053508.321531543,0.0,0.0,20.0,-5.09,0.0,,1053.508321531543,0.0,14.233540651826745,-0.0,ALL_BUILDINGS
55,1087303.6055028485,1087303.6055028485,0.0,0.0,20.0,-5.84,0.0,,1087.3036055028485,0.0,14.69013557226013,-0.0,ALL_BUILDINGS
56,1080208.9463482073,1080208.9463482073,0.0,0.0,20.0,-5.48,0.0,,1080.2089463482073,0.0,14.594282395380011,-0.0,ALL_BUILDINGS
57,1075868.2916537065,1075868.2916537065,0.0,0.0,20.0,-5.23,0.0,,1075.8682916537064,0.0,14.535637500235849,-0.0,ALL_BUILDINGS
58,1074075.1812436865,1074075.1812436865,0.0,0.0,20.0,-5.380000000000001,92144.53728931237,,1074.0751812436865,0.0,14.51141148379857,-0.0,ALL_BUILDINGS
59,1044734.5420225129,1044734.5420225129,0.0,0.0,20.0,-4.7,88867.48187018924,,1044.7345420225129,0.0,14.115001533758463,-0.0,ALL_BUILDINGS
60,982693.8546986846,982693.8546986846,0.0,0.0,20.0,-4.48,481873.3050406796,,982.6938546986846,0.0,13.276793968575465,-0.0,ALL_BUILDINGS
61,889960.2717006585,889960.2717006585,0.0,0.0,20.0,-3.4400000000000004,597900.8426573728,,889.9602717006585,0.0,12.023906643041002,-0.0,ALL_BUILDINGS
62,815782.854248176,815782.854248176,0.0,0.0,20.0,-2.87,641916.4182405699,,815.782854248176,0.0,11.02172444364219,-0.0,ALL_BUILDINGS
63,770055.4820769138,770055.4820769138,0.0,0.0,20.0,-2.46,507445.964855112,,770.0554820769138,0.0,10.403919726395461,-0.0,ALL_BUILDINGS
64,761525.9561633925,761525.9561633925,0.0,0.0,20.0,-2.37,299766.89066560473,,761.5259561633925,0.0,10.288680623533493,-0.0,ALL_BUILDINGS
65,789415.4032401826,789415.4032401826,0.0,0.0,20.0,-2.63,75948.97410219478,,789.4154032401825,0.0,10.665484081666001,-0.0,ALL_BUILDINGS
66,843710.380983809,843710.380983809,0.0,0.0,20.0,-3.52,0.0,,843.710380983809,0.0,11.39904238121551,-0.0,ALL_BUILDINGS
67,892325.1798320174,892325.1798320174,0.0,0.0,20.0,-4.32,0.0,,892.3251798320174,0.0,12.055857995809244,-0.0,ALL_BUILDINGS
68,932249.193194135,932249.193194135,0.0,0.0,20.0,-4.9,0.0,,932.2491931941349,0.0,12.595255792257273,-0.0,ALL_BUILDINGS
69,978152.9664233851,978152.9664233851,0.0,0.0,20.0,-5.66,0.0,,978.1529664233851,0.0,13.215443795500496,-0.0,ALL_BUILDINGS
70,1016551.8386077008,1016551.8386077008,0.0,0.0,20.0,-6.23,0.0,,1016.5518386077008,0.0,13.73423600344927,-0.0,ALL_BUILDINGS
71,1052382.436625185,1052382.436625185,0.0,0.0,20.0,-6.75,0.0,,1052.382436625185,0.0,14.218329259323808,-0.0,ALL_BUILDINGS
72,1082234.7074175628,1082234.7074175628,0.0,0.0,20.0,-7.130000000000001,0.0,,1082.2347074175627,0.0,14.621651664271635,-0.0,ALL_BUILDINGS
73,1108169.6261836542,1108169.6261836542,0.0,0.0,20.0,-7.43,0.0,,1108.1696261836541,0.0,14.972048251573707,-0.0,ALL_BUILDINGS
74,1122600.903065422,1122600.903065422,0.0,0.0,20.0,-7.45,0.0,,1122.600903065422,0.0,15.167023613377966,-0.0,ALL_BUILDINGS
75,1125459.5046394938,1125459.5046394938,0.0,0.0,20.0,-7.2,0.0,,1125.4595046394938,0.0,15.205645065985738,-0.0,ALL_BUILDINGS
76,1142713.2422869497,1142713.2422869497,0.0,0.0,20.0,-7.380000000000001,0.0,,1142.7132422869497,0.0,15.438753596010448,-0.0,ALL_BUILDINGS
77,1150556.9526747433,1150556.9526747433,0.0,0.0,20.0,-7.33,0.0,,1150.5569526747433,0.0,15.544726912389681,-0.0,ALL_BUILDINGS
78,1153889.0899345004,1153889.0899345004,0.0,0.0,20.0,-7.19,0.0,,1153.8890899345004,0.0,15.589746121232066,-0.0,ALL_BUILDINGS
79,1140232.6880469064,1140232.6880469064,0.0,0.0,20.0,-6.630000000000001,0.0,,1140.2326880469063,0.0,15.405239793705224,-0.0,ALL_BUILDINGS
80,1112653.0174171424,1112653.0174171424,0.0,0.0,20.0,-5.75,0.0,,1112.6530174171423,0.0,15.032621604508524,-0.0,ALL_BUILDINGS
81,1087659.2026869112,1087659.2026869112,0.0,0.0,20.0,-5.0,0.0,,1087.6592026869112,0.0,14.694939907329523,-0.0,ALL_BUILDINGS
82,1025661.9429986306,1025661.9429986306,0.0,0.0,20.0,-3.72,122348.71650920558,,1025.6619429986306,0.0,13.857319076017864,-0.0,ALL_BUILDINGS
83,911188.071300966,911188.071300966,0.0,0.0,20.0,-1.56,292644.85183153674,,911.1880713009659,0.0,12.310707176444062,-0.0,ALL_BUILDINGS
84,787305.4840275454,787305.4840275454,0.0,0.0,20.0,0.12,539745.9113509471,,787.3054840275454,0.0,10.636977784875215,-0.0,ALL_BUILDINGS
85,673654.1641587702,673654.1641587702,0.0,0.0,20.0,1.65,575704.5715407558,,673.6541641587702,0.0,9.10147906272531,-0.0,ALL_BUILDINGS
86,601925.5935693805,601925.5935693805,0.0,0.0,20.0,2.25,550737.5347283082,,601.9255935693805,0.0,8.132382279609928,-0.0,ALL_BUILDINGS
87,577947.4824095271,577947.4824095271,0.0,0.0,20.0,2.05,437115.0507877024,,577.9474824095271,0.0,7.808423357812674,-0.0,ALL_BUILDINGS
88,576930.5837004482,576930.5837004482,0.0,0.0,20.0,2.19,158669.20283400567,,576.9305837004482,0.0,7.794684435377374,-0.0,ALL_BUILDINGS
89,586924.6240094162,586924.6240094162,0.0,0.0,20.0,1.86,152420.5064129293,,586.9246240094162,0.0,7.929710021892813,-0.0,ALL_BUILDINGS
90,611115.2939653117,611115.2939653117,0.0,0.0,20.0,1.68,0.0,,611.1152939653117,0.0,8.25654074280407,-0.0,ALL_BUILDINGS
91,621081.3637582939,621081.3637582939,0.0,0.0,20.0,1.74,0.0,,621.081363758294,0.0,8.391188430570917,-0.0,ALL_BUILDINGS
92,614935.8557840798,614935.8557840798,0.0,0.0,20.0,2.19,0.0,,614.9358557840798,0.0,8.308158865650215,-0.0,ALL_BUILDINGS
93,645138.273226581,645138.273226581,0.0,0.0,20.0,1.62,0.0,,645.1382732265811,0.0,8.71621196562605,-0.0,ALL_BUILDINGS
94,666487.9868356043,666487.9868356043,0.0,0.0,20.0,1.29,0.0,,666.4879868356043,0.0,9.004659631722433,-0.0,ALL_BUILDINGS
95,681883.8851038027,681883.8851038027,0.0,0.0,20.0,1.11,0.0,,681.8838851038026,0.0,9.212667617414674,-0.0,ALL_BUILDINGS
96,691818.845178459,691818.845178459,0.0,0.0,20.0,1.06,0.0,,691.8188451784589,0.0,9.34689499389265,-0.0,ALL_BUILDINGS
97,698358.004709707,698358.004709707,0.0,0.0,20.0,1.08,0.0,,698.358004709707,0.0,9.435243031695988,-0.0,ALL_BUILDINGS
98,711232.1650242797,711232.1650242797,0.0,0.0,20.0,0.91,0.0,,711.2321650242798,0.0,9.609180797967461,-0.0,ALL_BUILDINGS
99,747462.8957995315,747462.8957995315,0.0,0.0,20.0,0.11,0.0,,747.4628957995315,0.0,10.098680091703695,-0.0,ALL_BUILDINGS
100,772193.3815243405,772193.3815243405,0.0,0.0,20.0,-0.36,0.0,,772.1933815243405,0.0,10.43280405324181,-0.0,ALL_BUILDINGS
101,800485.9736407854,800485.9736407854,0.0,0.0,20.0,-0.9199999999999999,0.0,,800.4859736407855,0.0,10.815054247003488,-0.0,ALL_BUILDINGS
102,819702.5501450837,819702.5501450837,0.0,0.0,20.0,-1.23,0.0,,819.7025501450837,0.0,11.074681928411108,-0.0,ALL_BUILDINGS
103,855663.7102218856,855663.7102218856,0.0,0.0,20.0,-1.99,0.0,,855.6637102218856,0.0,11.560539157422738,-0.0,ALL_BUILDINGS
104,873518.1911601836,873518.1911601836,0.0,0.0,20.0,-2.25,0.0,,873.5181911601836,0.0,11.801764096095349,-0.0,ALL_BUILDINGS
105,898555.3044824833,898555.3044824833,0.0,0.0,20.0,-2.71,0.0,,898.5553044824833,0.0,12.140030783689497,-0.0,ALL_BUILDINGS
106,895612.7311456171,895612.7311456171,0.0,0.0,20.0,-2.64,65116.08545712106,,895.6127311456171,0.0,12.100274821296736,-0.0,ALL_BUILDINGS
107,896767.5013532366,896767.5013532366,0.0,0.0,20.0,-3.03,182738.43918855084,,896.7675013532366,0.0,12.115876471855866,-0.0,ALL_BUILDINGS
108,896361.9329243316,896361.9329243316,0.0,0.0,20.0,-3.23,178074.98363140822,,896.3619329243317,0.0,12.110396994758311,-0.0,ALL_BUILDINGS
109,890972.6119747298,890972.6119747298,0.0,0.0,20.0,-3.3099999999999996,190879.30811240544,,890.9726119747298,0.0,12.037583978236162,-0.0,ALL_BUILDINGS
110,899285.5918801501,899285.5918801501,0.0,0.0,20.0,-3.85,230716.73844689812,,899.2855918801502,0.0,12.14989741231479,-0.0,ALL_BUILDINGS
111,938436.5512773707,938436.5512773707,0.0,0.0,20.0,-5.1,224071.65127033993,,938.4365512773707,0.0,12.678850777702774,-0.0,ALL_BUILDINGS
112,939707.8631268544,939707.8631268544,0.0,0.0,20.0,-4.97,136454.34804931117,,939.7078631268544,0.0,12.696026976998922,-0.0,ALL_BUILDINGS
113,993920.6891746244,993920.6891746244,0.0,0.0,20.0,-6.1,68127.87341852466,,993.9206891746244,0.0,13.428475356979034,-0.0,ALL_BUILDINGS
114,1056349.4031891034,1056349.4031891034,0.0,0.0,20.0,-7.24,0.0,,1056.3494031891034,0.0,14.271925399665523,-0.0,ALL_BUILDINGS
115,1080051.2053622827,1080051.2053622827,0.0,0.0,20.0,-7.390000000000001,0.0,,1080.0512053622826,0.0,14.592151218350148,-0.0,ALL_BUILDINGS
116,1077284.4862116918,1077284.4862116918,0.0,0.0,20.0,-6.880000000000001,0.0,,1077.2844862116917,0.0,14.554771153383149,-0.0,ALL_BUILDINGS
117,1118441.104743091,1118441.104743091,0.0,0.0,20.0,-7.609999999999999,0.0,,1118.4411047430908,0.0,15.11082219824512,-0.0,ALL_BUILDINGS
118,1170870.7908182554,1170870.7908182554,0.0,0.0,20.0,-8.64,0.0,,1170.8707908182555,0.0,15.819179268484953,-0.0,ALL_BUILDINGS
119,1230648.9578860735,1230648.9578860735,0.0,0.0,20.0,-9.85,0.0,,1230.6489578860735,0.0,16.626818803609407,-0.0,ALL_BUILDINGS
120,1251774.392203497,1251774.392203497,0.0,0.0,20.0,-10.010000000000002,0.0,,1251.774392203497,0.0,16.912236319540764,-0.0,ALL_BUILDINGS
121,1291561.7912736647,1291561.7912736647,0.0,0.0,20.0,-10.7,0.0,,1291.5617912736648,0.0,17.449788373493597,-0.0,ALL_BUILDINGS
122,1307153.7707017106,1307153.7707017106,0.0,0.0,20.0,-10.75,0.0,,1307.1537707017105,0.0,17.6604455353743,-0.0,ALL_BUILDINGS
123,1293918.7362654966,1293918.7362654966,0.0,0.0,20.0,-10.07,0.0,,1293.9187362654966,0.0,17.48163213938487,-0.0,ALL_BUILDINGS
124,1301002.9390755722,1301002.9390755722,0.0,0.0,20.0,-10.0,0.0,,1301.0029390755722,0.0,17.577344044665704,-0.0,ALL_BUILDINGS
125,1261761.7875380483,1261761.7875380483,0.0,0.0,20.0,-8.73,0.0,,1261.7617875380483,0.0,17.04717212839469,-0.0,ALL_BUILDINGS
126,1233054.4309947416,1233054.4309947416,0.0,0.0,20.0,-7.83,0.0,,1233.0544309947416,0.0,16.659318213988367,-0.0,ALL_BUILDINGS
127,1223496.4822168467,1223496.4822168467,0.0,0.0,20.0,-7.5,0.0,,1223.4964822168467,0.0,16.530184490316902,-0.0,ALL_BUILDINGS
128,1217515.0674958327,1217515.0674958327,0.0,0.0,20.0,-7.29,0.0,,1217.5150674958327,0.0,16.449371925435383,-0.0,ALL_BUILDINGS
129,1203777.361133732,1203777.361133732,0.0,0.0,20.0,-6.890000000000001,0.0,,1203.7773611337318,0.0,16.263767124816855,-0.0,ALL_BUILDINGS
