HOY,HeatingDemand_sum,HeatingEnergy_sum,CoolingDemand_sum,CoolingEnergy_sum,IndoorAir_mean,OutsideTemp_mean,SolarGains_sum,COP_mean,HeatingDemand_kWh_h_sum,CoolingDemand_kWh_h_sum,HeatingDemand_Wh_m2h_sum,CoolingDemand_Wh_m2h_sum,Portfolio ID
1,0.0,0.0,0.0,0.0,18.623223427823532,0.22999999999999998,0.0,,0.0,0.0,0.0,-0.0,ALL_BUILDINGS
2,0.0,0.0,0.0,0.0,18.288982183987454,-0.19,0.0,,0.0,0.0,0.0,-0.0,ALL_BUILDINGS
3,0.0,0.0,0.0,0.0,17.918051096209172,-1.03,0.0,,0.0,0.0,0.0,-0.0,ALL_BUILDINGS
4,0.0,0.0,0.0,0.0,17.63458751305693,-0.73,0.0,,0.0,0.0,0.0,-0.0,ALL_BUILDINGS
5,251.17879584459135,251.17879584459135,0.0,0.0,17.31532245123505,-1.0,0.0,,0.25117879584459135,0.0,0.0033935788910840962,-0.0,ALL_BUILDINGS
6,1101.6642790338215,1101.6642790338215,0.0,0.0,17.01766678945928,-1.07,0.0,,1.1016642790338214,0.0,0.01488415703968771,-0.0,ALL_BUILDINGS
7,4249.200637670776,4249.200637670776,0.0,0.0,16.768354282762623,-0.72,0.0,,4.249200637670776,0.0,0.05740929499838246,-0.0,ALL_BUILDINGS
8,1941298.9402017845,1941298.9402017845,0.0,0.0,20.0,-0.57,0.0,,1941.2989402017845,0.0,26.228133957727795,-0.0,ALL_BUILDINGS
9,1968117.1272276458,1968117.1272276458,0.0,0.0,20.0,-0.71,0.0,,1968.1171272276458,0.0,26.59046403850586,-0.0,ALL_BUILDINGS
10,1902700.1401261128,1902700.1401261128,0.0,0.0,20.0,0.49,253280.0408817456,,1902.700140126113,0.0,25.706640601899228,-0.0,ALL_BUILDINGS
11,1872665.9077071974,1872665.9077071974,0.0,0.0,20.0,0.41,525350.076222202,,1872.6659077071974,0.0,25.30085978427875,-0.0,ALL_BUILDINGS
12,1762587.0611719969,1762587.0611719969,0.0,0.0,20.0,1.55,847728.1846523308,,1762.5870611719968,0.0,23.813627358067617,-0.0,ALL_BUILDINGS
13,1680951.3159744304,1680951.3159744304,0.0,0.0,20.0,2.11,929718.257623196,,1680.9513159744304,0.0,22.71067859709104,-0.0,ALL_BUILDINGS
14,1633149.0099567405,1633149.0099567405,0.0,0.0,20.0,2.0,954827.1287990968,,1633.1490099567404,0.0,22.06484025671161,-0.0,ALL_BUILDINGS
15,1613942.6845400718,1613942.6845400718,0.0,0.0,20.0,2.05,670017.9351367649,,1613.9426845400717,0.0,21.805351073756746,-0.0,ALL_BUILDINGS
16,1629374.3242622982,1629374.3242622982,0.0,0.0,20.0,1.52,522306.1773227319,,1629.3743242622982,0.0,22.013841948315136,-0.0,ALL_BUILDINGS
17,1708138.2415145573,1708138.2415145573,0.0,0.0,20.0,0.36,202134.67616621597,,1708.1382415145572,0.0,23.07799056033308,-0.0,ALL_BUILDINGS
18,1822394.2461570178,1822394.2461570178,0.0,0.0,20.0,-1.22,0.0,,1822.3942461570177,0.0,24.621658942970605,-0.0,ALL_BUILDINGS
19,1927601.010928848,1927601.010928848,0.0,0.0,20.0,-2.63,0.0,,1927.6010109288482,0.0,26.0430665698701,-0.0,ALL_BUILDINGS
20,1988368.0620848252,1988368.0620848252,0.0,0.0,20.0,-3.01,0.0,,1988.3680620848252,0.0,26.864066532796674,-0.0,ALL_BUILDINGS
21,2040617.550145581,2040617.550145581,0.0,0.0,20.0,-3.24,0.0,,2040.617550145581,0.0,27.569989017840506,-0.0,ALL_BUILDINGS
22,2115474.6735485834,2115474.6735485834,0.0,0.0,20.0,-3.98,0.0,,2115.4746735485833,0.0,28.58135445963075,-0.0,ALL_BUILDINGS
23,2181841.1906877477,2181841.1906877477,0.0,0.0,20.0,-4.52,0.0,,2181.8411906877477,0.0,29.478006626788943,-0.0,ALL_BUILDINGS
24,2265499.3746409053,2265499.3746409053,0.0,0.0,20.0,-5.42,0.0,,2265.4993746409054,0.0,30.608279770169727,-0.0,ALL_BUILDINGS
25,112310.24612620697,112310.24612620697,0.0,0.0,16.084710539004213,-6.22,0.0,,112.31024612620698,0.0,1.5173799970845046,-0.0,ALL_BUILDINGS
26,228193.5790224869,228193.5790224869,0.0,0.0,16.032435691693507,-5.56,0.0,,228.1935790224869,0.0,3.0830345780094133,-0.0,ALL_BUILDINGS
27,383935.61854431266,383935.61854431266,0.0,0.0,16.010700138570495,-5.72,0.0,,383.93561854431266,0.0,5.187204621497714,-0.0,ALL_BUILDINGS
28,536342.6866574727,536342.6866574727,0.0,0.0,16.005402092003894,-5.73,0.0,,536.3426866574728,0.0,7.2463171650614635,-0.0,ALL_BUILDINGS
29,665384.4452775804,665384.4452775804,0.0,0.0,16.00365047587506,-5.43,0.0,,665.3844452775804,0.0,8.9897501114974,-0.0,ALL_BUILDINGS
30,775658.8422300413,775658.8422300413,0.0,0.0,16.002142423186264,-5.02,0.0,,775.6588422300413,0.0,10.479624543240591,-0.0,ALL_BUILDINGS
31,914799.6396956838,914799.6396956838,0.0,0.0,16.00002037265929,-5.51,0.0,,914.7996396956838,0.0,12.359501670528683,-0.0,ALL_BUILDINGS
32,3361348.396747251,3361348.396747251,0.0,0.0,20.0,-5.85,0.0,,3361.348396747251,0.0,45.41386913821559,-0.0,ALL_BUILDINGS
33,3283968.407706232,3283968.407706232,0.0,0.0,20.0,-5.17,0.0,,3283.968407706232,0.0,44.368418241299935,-0.0,ALL_BUILDINGS
34,3196835.333071615,3196835.333071615,0.0,0.0,20.0,-4.69,181123.63488618945,,3196.835333071615,0.0,43.191197203190335,-0.0,ALL_BUILDINGS
