Building ID,Building ID [filename],Thermal class,Thermal class index,Thermal capacitance [J/m2K],Annual Solar Gains [kWh],Annual Heating Demand Sim [kWh],Annual Cooling Demand Sim [kWh],Heated area [m2],Internal gains [W/m2],Usage type
DEBW_52210003qpi,DEBW_52210003qpi,very light,1,80000,28340.578434133105,43381.03999199469,5645.862971743513,568.6,4.2,residential
DEBW_52210003qta,DEBW_52210003qta,very light,1,80000,16659.559802218177,22725.29508671547,3550.8132515618363,219.5,4.2,residential
DEBW_52210003qwF,DEBW_52210003qwF,very light,1,80000,17668.100841307136,24704.846722943646,3781.7539716241295,260.9,4.2,residential
DEBW_52210003rFb,DEBW_52210003rFb,very light,1,80000,22378.363916179766,34150.94487081746,4762.012001399683,530.3,4.2,residential
DEBW_52210003rIo,DEBW_52210003rIo,very light,1,80000,17089.312631105626,17668.3401127028,4280.007260823383,166.8,4.2,residential
DEBW_52210003rgE,DEBW_52210003rgE,very light,1,80000,9416.582380631211,14057.328468922256,1974.1567899188901,117.3,4.2,residential
DEBW_52210003sTZ,DEBW_52210003sTZ,very light,1,80000,14395.95700949853,23129.472693889118,2780.545272099828,221.4,4.2,residential
DEBW_52210003sUv,DEBW_52210003sUv,very light,1,80000,10669.68089572593,11424.82630967485,2903.5756484799917,153.1,4.2,residential
DEBW_52210003snr,DEBW_52210003snr,very light,1,80000,20835.515750313938,28438.004504132285,4390.00153696913,266.4,4.2,residential
DEBW_52210003t47,DEBW_52210003t47,very light,1,80000,7543.008636106012,11170.121600086233,1645.6003035575268,67.9,4.2,residential
DEBW_52210003t7f,DEBW_52210003t7f,very light,1,80000,18710.03822067898,25597.261168165805,4084.2661469254786,308.8,4.2,residential
DEBW_52210003tNq,DEBW_52210003tNq,very light,1,80000,21127.946867296494,28406.76939895537,4543.612473071625,244.1,4.2,residential
DEBW_52210003tQY,DEBW_52210003tQY,very light,1,80000,23476.909873796616,32468.797326344426,5187.390570860741,449.8,4.2,residential
DEBW_52210003u4h,DEBW_52210003u4h,very light,1,80000,12367.839371228323,18975.605101294528,2637.5676159754935,225.6,4.2,residential
DEBW_52210003uBM,DEBW_52210003uBM,very light,1,80000,33952.09739256242,49987.61278481151,7038.893739887127,581.4,4.2,residential
DEBW_52210003uZg,DEBW_52210003uZg,very light,1,80000,22901.334613695086,31760.96415621818,4807.659156341136,311.6,4.2,residential
DEBW_52210003udj,DEBW_52210003udj,very light,1,80000,11265.263800452654,17119.62969514978,2300.2154988873626,126.9,4.2,residential
DEBW_52210003uss,DEBW_52210003uss,very light,1,80000,15754.751888417539,30983.472848528443,2827.588865152715,426.3,4.2,residential
DEBW_52210003uzO,DEBW_52210003uzO,very light,1,80000,26190.21378234485,36571.04141886632,5498.3884413657515,414.7,4.2,residential
DEBW_52210003v4C,DEBW_52210003v4C,very light,1,80000,15409.671959263896,21459.406964243117,3230.904890713409,238.3,4.2,residential
DEBW_52210003vBM,DEBW_52210003vBM,very light,1,80000,26658.487741032728,36875.01086586288,5531.977384968489,376.4,4.2,residential
DEBW_52210003xIr,DEBW_52210003xIr,very light,1,80000,18623.346561472346,18954.58059385388,4814.481424646264,191.6,4.2,residential
DEBW_52210003xN2,DEBW_52210003xN2,very light,1,80000,25478.716960072896,35590.50888461887,5302.734753092477,317.1,4.2,residential
DEBW_52210003xXe,DEBW_52210003xXe,very light,1,80000,37915.858843997004,52716.19454097809,8223.087604971779,697.5,4.2,residential
DEBW_52210004EqD,DEBW_52210004EqD,very light,1,80000,21642.24188293275,30870.210715696703,4360.582843140885,299.0,4.2,residential
DEBW_52210004FOx,DEBW_52210004FOx,very light,1,80000,14731.339914417444,22767.656674012043,2917.2919954556237,228.5,4.2,residential
DEBW_52210004FT7,DEBW_52210004FT7,very light,1,80000,25090.569925864766,34392.072482236654,5454.322909275084,431.0,4.2,residential
DEBW_52210004Faf,DEBW_52210004Faf,very light,1,80000,19118.84636118211,26138.410377908687,4048.460687521941,203.9,4.2,residential
DEBW_52210004Fca,DEBW_52210004Fca,very light,1,80000,8128.757934979566,10900.713251008125,1880.1320315647692,74.2,4.2,residential
DEBW_52210004FnA,DEBW_52210004FnA,very light,1,80000,17123.095177791824,23170.03232909749,3617.172880694637,211.4,4.2,residential
DEBW_52210004G6k,DEBW_52210004G6k,very light,1,80000,22603.441153679236,30825.039080011586,4828.592203072718,349.6,4.2,residential
DEBW_52210004GDQ,DEBW_52210004GDQ,very light,1,80000,20286.599282958166,29848.701902907433,4189.887105099599,408.0,4.2,residential
DEBW_52210004GPg,DEBW_52210004GPg,very light,1,80000,20642.573426152452,27826.335420795887,4658.793642507518,338.7,4.2,residential
DEBW_52210004Gqv,DEBW_52210004Gqv,very light,1,80000,14020.93788902659,20528.189762940394,2995.3362991129943,157.9,4.2,residential
DEBW_52210004H20,DEBW_52210004H20,very light,1,80000,56372.04317269,81476.2976099552,12530.045342129188,1241.4,4.2,residential
DEBW_52210004HIN,DEBW_52210004HIN,very light,1,80000,23695.724016605127,26966.67834334647,5617.948666942583,286.3,4.2,residential
DEBW_52210004HiD,DEBW_52210004HiD,very light,1,80000,25800.608173326258,36265.25810031711,5392.793277237168,400.2,4.2,residential
DEBW_52210004Hls,DEBW_52210004Hls,very light,1,80000,17096.667345514594,25758.05030267653,3526.3934192231923,275.0,4.2,residential
DEBW_52210004HpC,DEBW_52210004HpC,very light,1,80000,21592.924268900068,29869.79556001142,4509.691520997235,288.0,4.2,residential
DEBW_52210004HrR,DEBW_52210004HrR,very light,1,80000,28851.408519057008,40163.72817975725,6121.3779807769,466.7,4.2,residential
DEBW_52210004HxR,DEBW_52210004HxR,very light,1,80000,17558.44389484232,23703.3843823849,3734.19707873006,227.6,4.2,residential
DEBW_52210004Hxc,DEBW_52210004Hxc,very light,1,80000,21852.348930596156,31247.784694243477,4595.1488666176365,358.6,4.2,residential
DEBW_52210004I04,DEBW_52210004I04,very light,1,80000,25272.217728673626,34977.018223423336,5274.8917911178805,376.1,4.2,residential
DEBW_52210004IZi,DEBW_52210004IZi,very light,1,80000,13434.247936520107,18591.204114067226,2838.31214020674,139.8,4.2,residential
DEBW_52210004Ihn,DEBW_52210004Ihn,very light,1,80000,34779.01528126851,49768.007320099256,7124.9063598960565,527.7,4.2,residential
DEBW_52210004IuQ,DEBW_52210004IuQ,very light,1,80000,21224.912424334845,28263.186097853828,4645.450261035923,311.8,4.2,residential
DEBW_52210004KwN,DEBW_52210004KwN,very light,1,80000,16558.4919325627,23567.90133750116,3478.0077139345854,215.7,4.2,residential
DEBW_52210004L5J,DEBW_52210004L5J,very light,1,80000,31197.01646190199,44355.90353270299,6658.019257087606,561.8,4.2,residential
DEBW_52210004L7q,DEBW_52210004L7q,very light,1,80000,14999.897059585122,24060.0223446705,2887.042746401549,220.3,4.2,residential
DEBW_52210004Lja,DEBW_52210004Lja,very light,1,80000,29620.862552553153,41371.20988653509,6265.597967220584,472.1,4.2,residential
DEBW_52210004bgQ,DEBW_52210004bgQ,very light,1,80000,25765.06827798629,35544.81530704449,5428.711531443276,403.9,4.2,residential
DEBW_52210004cUQ,DEBW_52210004cUQ,very light,1,80000,17615.680529895806,27889.01544767375,3480.535157820598,249.0,4.2,residential
DEBW_52210004caM,DEBW_52210004caM,very light,1,80000,53257.751555515555,53122.03699515596,14000.443315556071,888.6,4.2,residential
DEBW_52210004d3g,DEBW_52210004d3g,very light,1,80000,17461.76408249052,27065.185427080538,3567.0106545914477,340.8,4.2,residential
DEBW_52210004dF4,DEBW_52210004dF4,very light,1,80000,15040.369345670211,15041.054999396967,3844.087401816543,136.9,4.2,residential
DEBW_52210004dGw,DEBW_52210004dGw,very light,1,80000,21170.33125021259,30823.48652803748,4430.563382256876,410.5,4.2,residential
DEBW_52210004dNl,DEBW_52210004dNl,very light,1,80000,18268.775386006346,30353.24794518529,3448.575455940249,304.0,4.2,residential
DEBW_52210004dQ2,DEBW_52210004dQ2,very light,1,80000,12576.250992845124,19007.274589320754,2517.6779962943874,191.4,4.2,residential
DEBW_52210004dQC,DEBW_52210004dQC,very light,1,80000,44086.69902019373,64113.081799288186,9379.32897293258,863.1,4.2,residential
DEBW_52210004dvl,DEBW_52210004dvl,very light,1,80000,30060.322763802968,42758.02610971032,6168.376790445678,448.1,4.2,residential
DEBW_52210004e9F,DEBW_52210004e9F,very light,1,80000,31639.176776819055,46466.85073386359,6452.598737819193,496.2,4.2,residential
DEBW_52210004eFK,DEBW_52210004eFK,very light,1,80000,47050.05246632854,65330.01033624483,10089.043372635724,805.1,4.2,residential
DEBW_52210004edl,DEBW_52210004edl,very light,1,80000,15176.328197455572,23499.749759518898,3008.2575976793487,237.7,4.2,residential
DEBW_52210004evV,DEBW_52210004evV,very light,1,80000,27216.791194117726,38974.30289443233,5459.915773405328,445.0,4.2,residential
DEBW_52210004ewN,DEBW_52210004ewN__01,very light,1,80000,15951.893701454337,20825.4792548358,3595.2765260883293,227.8,4.2,residential
DEBW_52210004f3W,DEBW_52210004f3W,very light,1,80000,19473.05562385841,26977.582414523153,4125.626981865679,211.9,4.2,residential
DEBW_52210004fK1,DEBW_52210004fK1,very light,1,80000,21471.263765936685,29113.38054279069,4535.001574574364,272.8,4.2,residential
DEBW_52210004fgD,DEBW_52210004fgD,very light,1,80000,17561.47395505457,24119.8196858273,3686.5929188291634,205.6,4.2,residential
DEBW_52210004xfl,DEBW_52210004xfl,very light,1,80000,26985.368589348855,37100.72400407976,5591.932181490647,401.0,4.2,residential
DEBW_52210004xqq,DEBW_52210004xqq,very light,1,80000,22339.366114306024,33318.821835813505,4941.485509449392,551.2,4.2,residential
DEBW_52210004xrI,DEBW_52210004xrI,very light,1,80000,19680.688087864717,26593.983065254866,4328.169366127573,297.4,4.2,residential
DEBW_52210004xsG,DEBW_52210004xsG,very light,1,80000,11828.479371011928,18590.89920823198,2314.9851764388764,162.4,4.2,residential
DEBW_52210004xx4,DEBW_52210004xx4,very light,1,80000,21483.74660282185,23978.47160983666,5101.826946358062,245.4,4.2,residential
DEBW_52210004y9B,DEBW_52210004y9B,very light,1,80000,24995.913626630503,34444.89570138671,5254.158690539411,388.6,4.2,residential
DEBW_52210004yBG,DEBW_52210004yBG,very light,1,80000,34153.88524637147,48570.03816270632,7020.697287650263,541.5,4.2,residential
