Building ID,Building ID [filename],Thermal class,Thermal class index,Thermal capacitance [J/m2K],Annual Solar Gains [kWh],Annual Heating Demand Sim [kWh],Annual Cooling Demand Sim [kWh],Heated area [m2],Internal gains [W/m2],Usage type
DEBW_52210003qpi,DEBW_52210003qpi,light,2,110000,28278.967569969496,38743.9828287357,5203.296130778125,568.6,4.2,residential
DEBW_52210003qta,DEBW_52210003qta,light,2,110000,16620.326178845804,20199.571858571053,3198.335518967849,219.5,4.2,residential
DEBW_52210003qwF,DEBW_52210003qwF,light,2,110000,17610.00280743508,21993.46009839343,3423.7974848945137,260.9,4.2,residential
DEBW_52210003rFb,DEBW_52210003rFb,light,2,110000,22296.56402843817,30552.602650489556,4454.634487035911,530.3,4.2,residential
DEBW_52210003rIo,DEBW_52210003rIo,light,2,110000,17010.2834418844,15549.783916394197,3887.5888534084916,166.8,4.2,residential
DEBW_52210003rgE,DEBW_52210003rgE,light,2,110000,9380.49139663617,12512.999746774916,1748.7606674685264,117.3,4.2,residential
DEBW_52210003sTZ,DEBW_52210003sTZ,light,2,110000,14357.184003119408,20628.945936331886,2477.9034903571037,221.4,4.2,residential
DEBW_52210003sUv,DEBW_52210003sUv,light,2,110000,10615.068582071088,10137.606574360774,2712.2170914714125,153.1,4.2,residential
DEBW_52210003snr,DEBW_52210003snr,light,2,110000,20781.872466670546,25268.115157436016,3940.318214021318,266.4,4.2,residential
DEBW_52210003t47,DEBW_52210003t47,light,2,110000,7521.491483816904,9933.523344318251,1442.4619264951582,67.9,4.2,residential
DEBW_52210003t7f,DEBW_52210003t7f,light,2,110000,18642.417007585973,22792.491834686927,3756.4486380011967,308.8,4.2,residential
DEBW_52210003tNq,DEBW_52210003tNq,light,2,110000,21105.965549416727,25200.127527310306,4075.057609205881,244.1,4.2,residential
DEBW_52210003tQY,DEBW_52210003tQY,light,2,110000,23430.206655419595,28955.11505065409,4837.741193942633,449.8,4.2,residential
DEBW_52210003u4h,DEBW_52210003u4h,light,2,110000,12401.61571007501,16954.40686893532,2444.3154209152053,225.6,4.2,residential
DEBW_52210003uBM,DEBW_52210003uBM,light,2,110000,33908.73270697577,44588.428687833104,6452.062635239475,581.4,4.2,residential
DEBW_52210003uZg,DEBW_52210003uZg,light,2,110000,22859.11594284235,28243.874305026093,4333.377547557322,311.6,4.2,residential
DEBW_52210003udj,DEBW_52210003udj,light,2,110000,11231.116170511239,15238.154077461644,2020.2266551898394,126.9,4.2,residential
DEBW_52210003uss,DEBW_52210003uss,light,2,110000,15732.049046890646,27855.66711862701,2588.7442921564852,426.3,4.2,residential
DEBW_52210003uzO,DEBW_52210003uzO,light,2,110000,26156.026531336563,32542.044647658706,5025.469152624963,414.7,4.2,residential
DEBW_52210003v4C,DEBW_52210003v4C,light,2,110000,15402.996879878983,19105.31234169613,2948.6109242961566,238.3,4.2,residential
DEBW_52210003vBM,DEBW_52210003vBM,light,2,110000,26589.979445848443,32778.125954628005,4990.81704733747,376.4,4.2,residential
DEBW_52210003xIr,DEBW_52210003xIr,light,2,110000,18488.57010831863,16690.110784257948,4366.029780959882,191.6,4.2,residential
DEBW_52210003xN2,DEBW_52210003xN2,light,2,110000,25417.317598591933,31621.16275827239,4736.224704143202,317.1,4.2,residential
DEBW_52210003xXe,DEBW_52210003xXe,light,2,110000,37797.33523487425,46995.276278127574,7608.6449534756075,697.5,4.2,residential
DEBW_52210004EqD,DEBW_52210004EqD,light,2,110000,21580.5734996826,27448.632667986116,3902.471265464318,299.0,4.2,residential
DEBW_52210004FOx,DEBW_52210004FOx,light,2,110000,14694.222455525987,20294.355281045086,2616.9677238974014,228.5,4.2,residential
DEBW_52210004FT7,DEBW_52210004FT7,light,2,110000,25022.732413354875,30634.023822086794,5029.331603405739,431.0,4.2,residential
DEBW_52210004Faf,DEBW_52210004Faf,light,2,110000,19065.19058315053,23196.05005426764,3587.8683020332396,203.9,4.2,residential
DEBW_52210004Fca,DEBW_52210004Fca,light,2,110000,8100.002999125649,9669.456237338862,1663.2432850854875,74.2,4.2,residential
DEBW_52210004FnA,DEBW_52210004FnA,light,2,110000,17070.041302756654,20566.46561315003,3234.1151845391887,211.4,4.2,residential
DEBW_52210004G6k,DEBW_52210004G6k,light,2,110000,22544.83999783381,27421.513066368887,4408.778681252181,349.6,4.2,residential
DEBW_52210004GDQ,DEBW_52210004GDQ,light,2,110000,20255.23097468389,26639.672510168693,3891.479321363819,408.0,4.2,residential
DEBW_52210004GPg,DEBW_52210004GPg,light,2,110000,20496.901580592013,24802.171479290388,4250.224466656506,338.7,4.2,residential
DEBW_52210004Gqv,DEBW_52210004Gqv,light,2,110000,13982.501119147648,18245.540944070715,2649.165968598988,157.9,4.2,residential
DEBW_52210004H20,DEBW_52210004H20,light,2,110000,56225.51406026098,72878.48128427251,11756.220750029186,1241.4,4.2,residential
DEBW_52210004HIN,DEBW_52210004HIN,light,2,110000,23724.167101133185,23836.96001096615,5187.440816538667,286.3,4.2,residential
DEBW_52210004HiD,DEBW_52210004HiD,light,2,110000,25765.6981492591,32269.622273819183,4916.473692557456,400.2,4.2,residential
DEBW_52210004Hls,DEBW_52210004Hls,light,2,110000,17048.13477570538,22964.47852265875,3190.5165576020086,275.0,4.2,residential
DEBW_52210004HpC,DEBW_52210004HpC,light,2,110000,21550.64841702398,26556.272715475163,4055.7464341835257,288.0,4.2,residential
DEBW_52210004HrR,DEBW_52210004HrR,light,2,110000,28777.24027284238,35755.13783012165,5595.599475088307,466.7,4.2,residential
DEBW_52210004HxR,DEBW_52210004HxR,light,2,110000,17503.714423524387,21052.073605892743,3357.426184237311,227.6,4.2,residential
DEBW_52210004Hxc,DEBW_52210004Hxc,light,2,110000,21843.03134554438,27858.178256863994,4216.683872253496,358.6,4.2,residential
DEBW_52210004I04,DEBW_52210004I04,light,2,110000,25217.4994408601,31102.48662288916,4787.51675016443,376.1,4.2,residential
DEBW_52210004IZi,DEBW_52210004IZi,light,2,110000,13415.349318660968,16502.772160038832,2517.9435283309012,139.8,4.2,residential
