Building ID,Building ID [filename],Thermal class,Thermal class index,Thermal capacitance [J/m2K],Annual Solar Gains [kWh],Annual Heating Demand Sim [kWh],Annual Cooling Demand Sim [kWh],Heated area [m2],Internal gains [W/m2],Usage type
DEBW_52210003qpi,DEBW_52210003qpi,medium,3,165000,28278.967569969496,38782.784007102164,4553.61452220373,568.6,4.2,residential
DEBW_52210003qta,DEBW_52210003qta,medium,3,165000,16620.326178845804,20166.08031997154,2746.386466339503,219.5,4.2,residential
DEBW_52210003qwF,DEBW_52210003qwF,medium,3,165000,17610.00280743508,21976.664862474143,2963.0008599849716,260.9,4.2,residential
DEBW_52210003rFb,DEBW_52210003rFb,medium,3,165000,22296.56402843817,30601.17480763897,3982.9583925196,530.3,4.2,residential
DEBW_52210003rIo,DEBW_52210003rIo,medium,3,165000,17010.2834418844,15462.262048464649,3405.465978007033,166.8,4.2,residential
DEBW_52210003rgE,DEBW_52210003rgE,medium,3,165000,9380.49139663617,12487.13748167045,1465.710382377647,117.3,4.2,residential
DEBW_52210003sTZ,DEBW_52210003sTZ,medium,3,165000,14357.184003119408,20618.410408467298,2085.543687320909,221.4,4.2,residential
DEBW_52210003sUv,DEBW_52210003sUv,medium,3,165000,10615.068582071088,10125.964902224865,2455.3424076734295,153.1,4.2,residential
DEBW_52210003snr,DEBW_52210003snr,medium,3,165000,20781.872466670546,25217.52848501049,3367.6983899081406,266.4,4.2,residential
DEBW_52210003t47,DEBW_52210003t47,medium,3,165000,7521.491483816904,9894.781450454153,1178.0970987694338,67.9,4.2,residential
DEBW_52210003t7f,DEBW_52210003t7f,medium,3,165000,18642.417007585973,22790.932415404142,3299.850489757766,308.8,4.2,residential
DEBW_52210003tNq,DEBW_52210003tNq,medium,3,165000,21105.965549416727,25131.57652228175,3472.2888270596873,244.1,4.2,residential
DEBW_52210003tQY,DEBW_52210003tQY,medium,3,165000,23430.206655419595,28983.97847056041,4316.594473995805,449.8,4.2,residential
DEBW_52210003u4h,DEBW_52210003u4h,medium,3,165000,12401.61571007501,16979.66654841223,2147.0579903400003,225.6,4.2,residential
DEBW_52210003uBM,DEBW_52210003uBM,medium,3,165000,33908.73270697577,44608.5640102877,5618.910730753508,581.4,4.2,residential
DEBW_52210003uZg,DEBW_52210003uZg,medium,3,165000,22859.11594284235,28206.743637277577,3723.8494626844076,311.6,4.2,residential
DEBW_52210003udj,DEBW_52210003udj,medium,3,165000,11231.116170511239,15198.086471206472,1665.3206801475287,126.9,4.2,residential
DEBW_52210003uss,DEBW_52210003uss,medium,3,165000,15732.049046890646,27926.157359914127,2239.641838867971,426.3,4.2,residential
DEBW_52210003uzO,DEBW_52210003uzO,medium,3,165000,26156.026531336563,32532.472623654925,4387.996179029571,414.7,4.2,residential
DEBW_52210003v4C,DEBW_52210003v4C,medium,3,165000,15402.996879878983,19098.922229812124,2571.6418011226197,238.3,4.2,residential
DEBW_52210003vBM,DEBW_52210003vBM,medium,3,165000,26589.979445848443,32736.195395496696,4302.200484769232,376.4,4.2,residential
DEBW_52210003xIr,DEBW_52210003xIr,medium,3,165000,18488.57010831863,16599.345258385474,3845.930742288375,191.6,4.2,residential
DEBW_52210003xN2,DEBW_52210003xN2,medium,3,165000,25417.317598591933,31552.097415808938,4023.3217706155247,317.1,4.2,residential
DEBW_52210003xXe,DEBW_52210003xXe,medium,3,165000,37797.33523487425,47019.11737470436,6747.008799849165,697.5,4.2,residential
DEBW_52210004EqD,DEBW_52210004EqD,medium,3,165000,21580.5734996826,27409.545527080885,3329.1981494135493,299.0,4.2,residential
DEBW_52210004FOx,DEBW_52210004FOx,medium,3,165000,14694.222455525987,20285.14613283786,2225.402187967016,228.5,4.2,residential
DEBW_52210004FT7,DEBW_52210004FT7,medium,3,165000,25022.732413354875,30641.94696135713,4440.897047949645,431.0,4.2,residential
DEBW_52210004Faf,DEBW_52210004Faf,medium,3,165000,19065.19058315053,23115.85004634959,3003.3121140826574,203.9,4.2,residential
DEBW_52210004Fca,DEBW_52210004Fca,medium,3,165000,8100.002999125649,9624.562941760782,1384.113035162493,74.2,4.2,residential
DEBW_52210004FnA,DEBW_52210004FnA,medium,3,165000,17070.041302756654,20516.45878934368,2760.033240170328,211.4,4.2,residential
DEBW_52210004G6k,DEBW_52210004G6k,medium,3,165000,22544.83999783381,27406.22898509536,3850.888782611175,349.6,4.2,residential
DEBW_52210004GDQ,DEBW_52210004GDQ,medium,3,165000,20255.23097468389,26666.4791341683,3438.681204502016,408.0,4.2,residential
DEBW_52210004GPg,DEBW_52210004GPg,medium,3,165000,20496.901580592013,24798.302713036035,3724.948612602858,338.7,4.2,residential
DEBW_52210004Gqv,DEBW_52210004Gqv,medium,3,165000,13982.501119147648,18194.85277648784,2216.3848344990483,157.9,4.2,residential
DEBW_52210004H20,DEBW_52210004H20,medium,3,165000,56225.51406026098,73009.48704678529,10543.868720618395,1241.4,4.2,residential
DEBW_52210004HIN,DEBW_52210004HIN,medium,3,165000,23724.167101133185,23778.672669472853,4595.4381748962805,286.3,4.2,residential
DEBW_52210004HiD,DEBW_52210004HiD,medium,3,165000,25765.6981492591,32255.016807571315,4278.31652173395,400.2,4.2,residential
DEBW_52210004Hls,DEBW_52210004Hls,medium,3,165000,17048.13477570538,22962.8878386801,2745.1670054085816,275.0,4.2,residential
DEBW_52210004HpC,DEBW_52210004HpC,medium,3,165000,21550.64841702398,26516.3711151283,3475.7768218824863,288.0,4.2,residential
DEBW_52210004HrR,DEBW_52210004HrR,medium,3,165000,28777.24027284238,35745.90246461288,4894.695284065444,466.7,4.2,residential
DEBW_52210004HxR,DEBW_52210004HxR,medium,3,165000,17503.714423524387,21008.570707622017,2879.5231832235136,227.6,4.2,residential
