Building ID,Building ID [filename],Thermal class,Thermal class index,Thermal capacitance [J/m2K],Annual Solar Gains [kWh],Annual Heating Demand Sim [kWh],Annual Cooling Demand Sim [kWh],Heated area [m2],Internal gains [W/m2],Usage type
DEBW_52210003qpi,DEBW_52210003qpi,heavy,4,260000,18604.58392761151,12477.057160044336,8034.889671548384,568.6,4.2,residential
DEBW_52210003qta,DEBW_52210003qta,heavy,4,260000,10934.42511766171,5777.3219261574095,4579.553567648518,219.5,4.2,residential
DEBW_52210003qwF,DEBW_52210003qwF,heavy,4,260000,11585.528162786239,6636.839124616379,4870.342649398189,260.9,4.2,residential
DEBW_52210003rFb,DEBW_52210003rFb,heavy,4,260000,14668.792123972482,10827.230192519211,6558.029955876687,530.3,4.2,residential
DEBW_52210003rIo,DEBW_52210003rIo,heavy,4,260000,11190.975948608157,4743.785619984638,4704.892206834165,166.8,4.2,residential
DEBW_52210003rgE,DEBW_52210003rgE,heavy,4,260000,6171.375918839584,3557.061318359452,2450.769949549365,117.3,4.2,residential
DEBW_52210003sTZ,DEBW_52210003sTZ,heavy,4,260000,9445.515791525926,5958.633925166353,3821.7897510288385,221.4,4.2,residential
DEBW_52210003sUv,DEBW_52210003sUv,heavy,4,260000,6983.597751362557,3685.277714553713,3097.2038217273425,153.1,4.2,residential
DEBW_52210003snr,DEBW_52210003snr,heavy,4,260000,13672.284517546414,7138.702087702716,5689.042559814042,266.4,4.2,residential
DEBW_52210003t47,DEBW_52210003t47,heavy,4,260000,4948.349660405858,2972.3147533185343,1730.5051911842502,67.9,4.2,residential
DEBW_52210003t7f,DEBW_52210003t7f,heavy,4,260000,12264.748031306559,7443.921730052818,5153.250592041621,308.8,4.2,residential
DEBW_52210003tNq,DEBW_52210003tNq,heavy,4,260000,13885.503650932058,6606.593532114485,5935.355778612023,244.1,4.2,residential
DEBW_52210003tQY,DEBW_52210003tQY,heavy,4,260000,15414.609641723418,9099.346220881764,7094.792398908261,449.8,4.2,residential
DEBW_52210003u4h,DEBW_52210003u4h,heavy,4,260000,8158.957703996716,5354.771275477898,3563.5452202799347,225.6,4.2,residential
DEBW_52210003uBM,DEBW_52210003uBM,heavy,4,260000,22308.376780905113,14480.576677391866,9317.566291378283,581.4,4.2,residential
DEBW_52210003uZg,DEBW_52210003uZg,heavy,4,260000,15038.89206765944,8126.612972373067,6307.450816066824,311.6,4.2,residential
DEBW_52210003udj,DEBW_52210003udj,heavy,4,260000,7388.892217441606,4077.067425605531,2890.020808413899,126.9,4.2,residential
DEBW_52210003uss,DEBW_52210003uss,heavy,4,260000,10350.032267691215,8454.261497493952,4746.773607057627,426.3,4.2,residential
DEBW_52210003uzO,DEBW_52210003uzO,heavy,4,260000,17207.912191668795,9209.560385995555,7682.387148616273,414.7,4.2,residential
DEBW_52210003v4C,DEBW_52210003v4C,heavy,4,260000,10133.550578867751,5537.718716602167,4413.718962335137,238.3,4.2,residential
DEBW_52210003vBM,DEBW_52210003vBM,heavy,4,260000,17493.407530163448,9070.597091496953,7556.231836185724,376.4,4.2,residential
DEBW_52210003xIr,DEBW_52210003xIr,heavy,4,260000,12163.532965999098,5195.456208491896,5207.207434217572,191.6,4.2,residential
DEBW_52210003xN2,DEBW_52210003xN2,heavy,4,260000,16721.919472757854,9158.660605243385,6735.911417715948,317.1,4.2,residential
DEBW_52210003xXe,DEBW_52210003xXe,heavy,4,260000,24866.66791768043,14209.032612939229,11511.506987566016,697.5,4.2,residential
DEBW_52210004EqD,DEBW_52210004EqD,heavy,4,260000,14197.745723475393,8245.417059124982,5657.795310977861,299.0,4.2,residential
DEBW_52210004FOx,DEBW_52210004FOx,heavy,4,260000,9667.251615477624,5450.993151039062,4194.5114009822155,228.5,4.2,residential
DEBW_52210004FT7,DEBW_52210004FT7,heavy,4,260000,16462.32395615452,8938.06122082098,7568.297809707822,431.0,4.2,residential
DEBW_52210004Faf,DEBW_52210004Faf,heavy,4,260000,12542.888541546401,6236.5246378681695,5032.957484368864,203.9,4.2,residential
DEBW_52210004Fca,DEBW_52210004Fca,heavy,4,260000,5328.949341530032,2033.8028835952034,2400.361344104636,74.2,4.2,residential
DEBW_52210004FnA,DEBW_52210004FnA,heavy,4,260000,11230.290330760956,5940.441198446089,4563.341176044881,211.4,4.2,residential
DEBW_52210004G6k,DEBW_52210004G6k,heavy,4,260000,14832.131577522247,7741.9353390470815,6631.300044747379,349.6,4.2,residential
DEBW_52210004GDQ,DEBW_52210004GDQ,heavy,4,260000,13325.80985176572,8293.99345730952,6038.657050356293,408.0,4.2,residential
DEBW_52210004GPg,DEBW_52210004GPg,heavy,4,260000,13484.803671442116,7725.878082684057,5910.237646520955,338.7,4.2,residential
DEBW_52210004Gqv,DEBW_52210004Gqv,heavy,4,260000,9199.013894176083,5107.880629145054,3651.777274759272,157.9,4.2,residential
DEBW_52210004H20,DEBW_52210004H20,heavy,4,260000,36990.469776487495,20853.267954548413,18816.039017766452,1241.4,4.2,residential
DEBW_52210004HIN,DEBW_52210004HIN,heavy,4,260000,15608.00467179815,7519.161995491855,6703.729211406886,286.3,4.2,residential
DEBW_52210004HiD,DEBW_52210004HiD,heavy,4,260000,16951.117203459933,9274.326596614803,7442.027000668837,400.2,4.2,residential
DEBW_52210004Hls,DEBW_52210004Hls,heavy,4,260000,11215.878141911437,6183.098868464582,5034.63802150722,275.0,4.2,residential
DEBW_52210004HpC,DEBW_52210004HpC,heavy,4,260000,14178.05816909472,7401.650113410541,5991.340597908266,288.0,4.2,residential
DEBW_52210004HrR,DEBW_52210004HrR,heavy,4,260000,18932.39491634367,10372.572824915636,8453.954852099203,466.7,4.2,residential
DEBW_52210004HxR,DEBW_52210004HxR,heavy,4,260000,11515.601594423943,6154.590693770044,4726.4450318866575,227.6,4.2,residential
DEBW_52210004Hxc,DEBW_52210004Hxc,heavy,4,260000,14370.415358910777,8101.294198852914,6363.141333939644,358.6,4.2,residential
DEBW_52210004I04,DEBW_52210004I04,heavy,4,260000,16590.46015846059,8808.173052270757,7234.676018895812,376.1,4.2,residential
