Building ID,Building ID [filename],Thermal class,Thermal class index,Thermal capacitance [J/m2K],Annual Solar Gains [kWh],Annual Heating Demand Sim [kWh],Annual Cooling Demand Sim [kWh],Heated area [m2],Internal gains [W/m2],Usage type
DEBW_52210003qpi,DEBW_52210003qpi,very heavy,5,370000,28278.967569969496,38759.899319424156,3799.1003099428285,568.6,4.2,residential
DEBW_52210003qta,DEBW_52210003qta,very heavy,5,370000,16620.326178845804,20156.417686932426,2202.004492243334,219.5,4.2,residential
DEBW_52210003qwF,DEBW_52210003qwF,very heavy,5,370000,17610.00280743508,21972.767380885824,2415.2809912807006,260.9,4.2,residential
DEBW_52210003rFb,DEBW_52210003rFb,very heavy,5,370000,22296.56402843817,30545.454985530014,3443.4927281890223,530.3,4.2,residential
DEBW_52210003rIo,DEBW_52210003rIo,very heavy,5,370000,17010.2834418844,15394.221744789169,2834.9930415554973,166.8,4.2,residential
DEBW_52210003rgE,DEBW_52210003rgE,very heavy,5,370000,9380.49139663617,12477.230123006699,1127.456877027952,117.3,4.2,residential
DEBW_52210003sTZ,DEBW_52210003sTZ,very heavy,5,370000,14357.184003119408,20613.470905341725,1625.847133767637,221.4,4.2,residential
DEBW_52210003sUv,DEBW_52210003sUv,very heavy,5,370000,10615.068582071088,10107.207648596852,2160.857493088886,153.1,4.2,residential
DEBW_52210003snr,DEBW_52210003snr,very heavy,5,370000,20781.872466670546,25192.29311710088,2679.617642538219,266.4,4.2,residential
DEBW_52210003t47,DEBW_52210003t47,very heavy,5,370000,7521.491483816904,9872.779409347417,842.2747874744765,67.9,4.2,residential
DEBW_52210003t7f,DEBW_52210003t7f,very heavy,5,370000,18642.417007585973,22783.39333150491,2762.996039597546,308.8,4.2,residential
DEBW_52210003tNq,DEBW_52210003tNq,very heavy,5,370000,21105.965549416727,25088.05450880745,2751.301400042154,244.1,4.2,residential
DEBW_52210003tQY,DEBW_52210003tQY,very heavy,5,370000,23430.206655419595,28955.353662979975,3712.752046123401,449.8,4.2,residential
DEBW_52210003u4h,DEBW_52210003u4h,very heavy,5,370000,12401.61571007501,17006.88031694662,1787.7411517705798,225.6,4.2,residential
DEBW_52210003uBM,DEBW_52210003uBM,very heavy,5,370000,33908.73270697577,44612.93676136714,4639.449700687967,581.4,4.2,residential
DEBW_52210003uZg,DEBW_52210003uZg,very heavy,5,370000,22859.11594284235,28194.066183637486,2988.149530252325,311.6,4.2,residential
DEBW_52210003udj,DEBW_52210003udj,very heavy,5,370000,11231.116170511239,15176.953699077707,1234.1171793374126,126.9,4.2,residential
DEBW_52210003uss,DEBW_52210003uss,very heavy,5,370000,15732.049046890646,27952.307567429136,1804.2051646760463,426.3,4.2,residential
DEBW_52210003uzO,DEBW_52210003uzO,very heavy,5,370000,26156.026531336563,32511.365692922845,3633.200308184538,414.7,4.2,residential
DEBW_52210003v4C,DEBW_52210003v4C,very heavy,5,370000,15402.996879878983,19090.95954284381,2125.1917444870614,238.3,4.2,residential
DEBW_52210003vBM,DEBW_52210003vBM,very heavy,5,370000,26589.979445848443,32701.128948254773,3482.768443687593,376.4,4.2,residential
DEBW_52210003xIr,DEBW_52210003xIr,very heavy,5,370000,18488.57010831863,16525.266864557714,3229.2145314567947,191.6,4.2,residential
DEBW_52210003xN2,DEBW_52210003xN2,very heavy,5,370000,25417.317598591933,31509.20057292336,3168.3288985259155,317.1,4.2,residential
DEBW_52210003xXe,DEBW_52210003xXe,very heavy,5,370000,37797.33523487425,46959.004994977804,5755.370293684216,697.5,4.2,residential
DEBW_52210004EqD,DEBW_52210004EqD,very heavy,5,370000,21580.5734996826,27381.33896939743,2642.625712508694,299.0,4.2,residential
DEBW_52210004FOx,DEBW_52210004FOx,very heavy,5,370000,14694.222455525987,20280.1822267628,1764.8072871535305,228.5,4.2,residential
DEBW_52210004FT7,DEBW_52210004FT7,very heavy,5,370000,25022.732413354875,30617.191555612997,3754.1164842872577,431.0,4.2,residential
DEBW_52210004Faf,DEBW_52210004Faf,very heavy,5,370000,19065.19058315053,23062.245949332475,2302.3537128495273,203.9,4.2,residential
DEBW_52210004Fca,DEBW_52210004Fca,very heavy,5,370000,8100.002999125649,9596.265752666764,1041.5781929301538,74.2,4.2,residential
DEBW_52210004FnA,DEBW_52210004FnA,very heavy,5,370000,17070.041302756654,20482.34453711149,2194.3100909507025,211.4,4.2,residential
DEBW_52210004G6k,DEBW_52210004G6k,very heavy,5,370000,22544.83999783381,27385.614022791528,3193.6941903979005,349.6,4.2,residential
DEBW_52210004GDQ,DEBW_52210004GDQ,very heavy,5,370000,20255.23097468389,26635.81925014673,2919.9343519872987,408.0,4.2,residential
DEBW_52210004GPg,DEBW_52210004GPg,very heavy,5,370000,20496.901580592013,24792.315887636567,3123.948681637083,338.7,4.2,residential
DEBW_52210004Gqv,DEBW_52210004Gqv,very heavy,5,370000,13982.501119147648,18161.29810956666,1694.5853905336714,157.9,4.2,residential
DEBW_52210004H20,DEBW_52210004H20,very heavy,5,370000,56225.51406026098,72933.28487014172,9161.473696018566,1241.4,4.2,residential
DEBW_52210004HIN,DEBW_52210004HIN,very heavy,5,370000,23724.167101133185,23725.34568100994,3917.531888070532,286.3,4.2,residential
DEBW_52210004HiD,DEBW_52210004HiD,very heavy,5,370000,25765.6981492591,32230.8059162668,3522.864950575855,400.2,4.2,residential
DEBW_52210004Hls,DEBW_52210004Hls,very heavy,5,370000,17048.13477570538,22970.605597618523,2218.6409272208707,275.0,4.2,residential
DEBW_52210004HpC,DEBW_52210004HpC,very heavy,5,370000,21550.64841702398,26503.1273621406,2774.2535339912915,288.0,4.2,residential
DEBW_52210004HrR,DEBW_52210004HrR,very heavy,5,370000,28777.24027284238,35715.526777238956,4074.5415668017267,466.7,4.2,residential
DEBW_52210004HxR,DEBW_52210004HxR,very heavy,5,370000,17503.714423524387,20984.385605228465,2309.0249538182675,227.6,4.2,residential
DEBW_52210004Hxc,DEBW_52210004Hxc,very heavy,5,370000,21843.03134554438,27887.67171244806,3036.6151880995967,358.6,4.2,residential
DEBW_52210004I04,DEBW_52210004I04,very heavy,5,370000,25217.4994408601,31045.3666668983,3401.134005963308,376.1,4.2,residential
