Building ID,Building ID [filename],Thermal class,Thermal class index,Usage type,Latitude [deg],Longitude [deg],Heated area [m2],Heated volume [m3],Window area [m2],Window-to-Wall ratio [-],U walls [W/m2K],U windows [W/m2K],Internal gains [W/m2],ACH ventilation [1/h],ACH infiltration [1/h],Ventilation efficiency [-],Thermal capacitance [J/m2K],Heating setpoint day [C],Heating setpoint night [C],Cooling setpoint [C],Summer start day-of-year,Summer end day-of-year,Max heating energy per floor area [W/m2],Max cooling energy per floor area [W/m2]
DEBW_52210003qpi,DEBW_52210003qpi,light,2,residential,48.77171,9.21346,568.6,1776.7,102.26,0.2012952500935021,0.7394080640549042,2.57,4.2,0.43,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003qta,DEBW_52210003qta,light,2,residential,48.77165,9.21243,219.5,686.1,58.21,0.2133172090296101,0.7029694503608098,2.5700000000000007,4.2,0.42,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003qwF,DEBW_52210003qwF,light,2,residential,48.77348,9.20708,260.9,815.3,61.400000000000006,0.21541592113110905,0.6974920008372956,2.5699999999999994,4.2,0.43,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003rFb,DEBW_52210003rFb,light,2,residential,48.77189,9.21267,530.3,1657.2,77.08,0.22085327067992322,0.6839147485877025,2.57,4.2,0.43,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003rIo,DEBW_52210003rIo,light,2,residential,48.77358,9.20398,166.8,521.1,58.42,0.31172296035430336,0.6588679914833216,2.57,4.2,0.45,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003rgE,DEBW_52210003rgE,light,2,residential,48.77262,9.21082,117.3,366.4,31.1,0.1837735626071028,0.6860570951895449,2.57,4.2,0.44,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003sTZ,DEBW_52210003sTZ,light,2,residential,48.77104,9.21191,221.4,692.0,49.49,0.17248109294949987,0.713620509451429,2.5699999999999994,4.2,0.43,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003sUv,DEBW_52210003sUv,light,2,residential,48.77482,9.20445,153.1,478.3,32.23,0.3952176578786021,0.542589886999201,2.57,4.2,0.44,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003snr,DEBW_52210003snr,light,2,residential,48.77342,9.20777,266.4,832.5,73.49000000000001,0.21025376934740939,0.7115370101226445,2.5699999999999994,4.2,0.42,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003t47,DEBW_52210003t47,light,2,residential,48.77087,9.21214,67.9,249.9,24.75,0.19211363812776525,0.668907379777344,2.5699999999999994,4.2,0.46,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003t7f,DEBW_52210003t7f,light,2,residential,48.77408,9.20483,308.8,965.1,61.07,0.21897522320628207,0.6884173686083758,2.57,4.2,0.45,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003tNq,DEBW_52210003tNq,light,2,residential,48.77484,9.20626,244.1,762.8,75.64999999999999,0.20200806430078236,0.7370221400318486,2.5699999999999994,4.2,0.4,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003tQY,DEBW_52210003tQY,light,2,residential,48.77173,9.21078,449.8,1405.5,79.18,0.2262544290776089,0.6715952890792292,2.57,4.2,0.4,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003u4h,DEBW_52210003u4h,light,2,residential,48.77321,9.20852,225.6,704.9,45.25,0.2202053627913767,0.6854541469052646,2.5699999999999994,4.2,0.42,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003uBM,DEBW_52210003uBM,light,2,residential,48.77445,9.20508,581.4,1816.9,118.66,0.2092178573947387,0.7146083066281689,2.5700000000000003,4.2,0.45,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003uZg,DEBW_52210003uZg,light,2,residential,48.77184,9.20951,311.6,973.9,81.04,0.21106914962885795,0.7093663969011552,2.57,4.2,0.42,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003udj,DEBW_52210003udj,light,2,residential,48.77434,9.20906,126.9,396.6,38.58,0.17464916251697596,0.7078527069760353,2.57,4.2,0.43,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003uss,DEBW_52210003uss,light,2,residential,48.77453,9.2042,426.3,1332.1,64.58999999999999,0.17999665589120498,0.7156873752495009,2.5700000000000003,4.2,0.4,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003uzO,DEBW_52210003uzO,light,2,residential,48.77237,9.20993,414.7,1295.9,93.44999999999999,0.21098618260633975,0.709576,2.5700000000000003,4.2,0.39,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003v4C,DEBW_52210003v4C,light,2,residential,48.77366,9.20454,238.3,744.7,65.47,0.2699905150727865,0.7026825194846508,2.5700000000000003,4.2,0.4,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003vBM,DEBW_52210003vBM,light,2,residential,48.77166,9.2056,376.4,1176.1,95.45,0.20534388916378032,0.7262505513895013,2.57,4.2,0.4,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003xIr,DEBW_52210003xIr,light,2,residential,48.77084,9.20872,191.6,598.6,62.14,0.3027232425585814,0.6833834919229917,2.57,4.2,0.46,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003xN2,DEBW_52210003xN2,light,2,residential,48.77093,9.20943,317.1,990.8,90.53,0.2023468931604828,0.7359453898581164,2.5699999999999994,4.2,0.45,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003xXe,DEBW_52210003xXe,light,2,residential,48.77071,9.21008,697.5,2179.6,129.97,0.20864972467932769,0.716206145762269,2.57,4.2,0.4,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210004EqD,DEBW_52210004EqD,light,2,residential,48.7732,9.20439,299.0,934.3,77.16999999999999,0.2065301752977385,0.722566917478722,2.5700000000000003,4.2,0.45,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210004FOx,DEBW_52210004FOx,light,2,residential,48.77197,9.21242,228.5,714.2,50.15,0.1711545681034777,0.7170940095162099,2.57,4.2,0.39,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210004FT7,DEBW_52210004FT7,light,2,residential,48.77355,9.20728,431.0,1346.7,86.58,0.2142379927251132,0.7006007669365147,2.5699999999999994,4.2,0.39,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210004Faf,DEBW_52210004Faf,light,2,residential,48.77325,9.20744,203.9,637.3,69.17,0.20305298693673857,0.7336179611921937,2.57,4.2,0.43,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210004Fca,DEBW_52210004Fca,light,2,residential,48.77463,9.20758,74.2,231.8,27.000000000000007,0.1751767988062026,0.7066552418257982,2.5699999999999994,4.2,0.3,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210004FnA,DEBW_52210004FnA,light,2,residential,48.77271,9.2114,211.4,660.5,59.93,0.2175080753456974,0.6921515639723986,2.57,4.2,0.43,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210004G6k,DEBW_52210004G6k,light,2,residential,48.77283,9.20734,349.6,1092.5,79.07,0.21310370849504096,0.703751816604941,2.5699999999999994,4.2,0.39,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
