HOY,HeatingDemand,HeatingEnergy,CoolingDemand,CoolingEnergy,IndoorAir,OutsideTemp,SolarGains,COP,HeatingDemand_kWh_h,CoolingDemand_kWh_h,HeatingDemand_Wh_m2h,CoolingDemand_Wh_m2h,Building ID,Building ID [filename],Thermal class,Thermal class index,Thermal capacitance [J/m2K]
1,2551.6214803110925,2551.6214803110925,0.0,0.0,20.000000000000004,0.7,0.0,,2.5516214803110926,0.0,10.543890414508647,-0.0,DEBW_00000001aab,DEBW_00000001aab,very light,1,80000
2,3977.3965527138384,3977.3965527138384,0.0,0.0,20.000000000000007,0.6,0.0,,3.9773965527138384,0.0,16.435522945098505,-0.0,DEBW_00000001aab,DEBW_00000001aab,very light,1,80000
3,4918.821287800339,4918.821287800339,0.0,0.0,20.000000000000004,0.7,0.0,,4.918821287800339,0.0,20.325707800827846,-0.0,DEBW_00000001aab,DEBW_00000001aab,very light,1,80000
4,5540.1247268202915,5540.1247268202915,0.0,0.0,20.00000000000001,0.8,0.0,,5.540124726820292,0.0,22.893077383554925,-0.0,DEBW_00000001aab,DEBW_00000001aab,very light,1,80000
5,5962.018423976515,5962.018423976515,0.0,0.0,19.99999999999999,0.8,0.0,,5.962018423976515,0.0,24.636439768497997,-0.0,DEBW_00000001aab,DEBW_00000001aab,very light,1,80000
6,6279.04160645901,6279.04160645901,0.0,0.0,19.999999999999996,0.6,0.0,,6.2790416064590096,0.0,25.946452919252106,-0.0,DEBW_00000001aab,DEBW_00000001aab,very light,1,80000
7,6502.731061468302,6502.731061468302,0.0,0.0,19.999999999999996,0.5,0.0,,6.502731061468302,0.0,26.870789510199597,-0.0,DEBW_00000001aab,DEBW_00000001aab,very light,1,80000
8,6666.673787829944,6666.673787829944,0.0,0.0,19.99999999999999,0.4,0.0,,6.666673787829944,0.0,27.54823879268572,-0.0,DEBW_00000001aab,DEBW_00000001aab,very light,1,80000
9,6768.853933081519,6768.853933081519,0.0,0.0,19.999999999999996,0.3,116.27,,6.76885393308152,0.0,27.970470797857516,-0.0,DEBW_00000001aab,DEBW_00000001aab,very light,1,80000
10,6711.542911190016,6711.542911190016,0.0,0.0,20.000000000000007,0.4,639.4849999999999,,6.711542911190016,0.0,27.733648393347174,-0.0,DEBW_00000001aab,DEBW_00000001aab,very light,1,80000
11,6539.2864103898955,6539.2864103898955,0.0,0.0,19.999999999999996,0.7,872.025,,6.539286410389895,0.0,27.021844671032625,-0.0,DEBW_00000001aab,DEBW_00000001aab,very light,1,80000
12,6398.132720646305,6398.132720646305,0.0,0.0,19.999999999999996,1.0,685.9929999999999,,6.398132720646305,0.0,26.438564961348366,-0.0,DEBW_00000001aab,DEBW_00000001aab,very light,1,80000
