HOY,HeatingDemand,HeatingEnergy,CoolingDemand,CoolingEnergy,IndoorAir,OutsideTemp,SolarGains,COP,HeatingDemand_kWh_h,CoolingDemand_kWh_h,HeatingDemand_Wh_m2h,CoolingDemand_Wh_m2h,Building ID,Building ID [filename],Thermal class,Thermal class index,Thermal capacitance [J/m2K]
1,0.0,0.0,0.0,0.0,18.43300463407976,0.7,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
2,0.0,0.0,0.0,0.0,17.173386758539152,0.6,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
3,0.0,0.0,0.0,0.0,16.027727027804662,0.7,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
4,1656.1628643169665,1656.1628643169665,0.0,0.0,16.0,0.8,0.0,,1.6561628643169666,0.0,6.8436481996568865,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
5,2817.0094688438558,2817.0094688438558,0.0,0.0,16.000000000000004,0.8,0.0,,2.817009468843856,0.0,11.640534995222545,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
6,3632.0610350186157,3632.0610350186157,0.0,0.0,15.999999999999996,0.6,0.0,,3.6320610350186158,0.0,15.008516673630643,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
7,4191.404181202532,4191.404181202532,0.0,0.0,16.000000000000004,0.5,0.0,,4.1914041812025316,0.0,17.319851988440213,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
8,11094.977423350027,11094.977423350027,0.0,0.0,19.999999999999996,0.4,0.0,,11.094977423350027,0.0,45.84701414607449,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
9,9753.375517744043,9753.375517744043,0.0,0.0,19.999999999999993,0.3,116.27,,9.753375517744043,0.0,40.30320461877704,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
10,8723.005950415492,8723.005950415492,0.0,0.0,19.999999999999993,0.4,639.4849999999999,,8.723005950415493,0.0,36.04547913394831,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
11,7894.942063531321,7894.942063531321,0.0,0.0,20.00000000000001,0.7,872.025,,7.894942063531321,0.0,32.623727535253394,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
12,7311.797159940145,7311.797159940145,0.0,0.0,20.000000000000007,1.0,685.9929999999999,,7.311797159940145,0.0,30.214037850992337,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
13,6921.379181890983,6921.379181890983,0.0,0.0,19.999999999999996,1.1,720.874,,6.921379181890983,0.0,28.60074042103712,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
14,6699.702849829791,6699.702849829791,0.0,0.0,20.0,0.9,674.366,,6.699702849829792,0.0,27.684722519957816,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
15,6624.933260336598,6624.933260336598,0.0,0.0,19.999999999999986,0.6,523.2149999999999,,6.624933260336598,0.0,27.375757274118175,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
16,6686.359232814082,6686.359232814082,0.0,0.0,20.00000000000001,0.2,290.67499999999995,,6.686359232814082,0.0,27.62958360666976,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
17,6815.001726962415,6815.001726962415,0.0,0.0,20.00000000000001,0.0,34.881,,6.815001726962415,0.0,28.161164161001714,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
18,6923.726835832131,6923.726835832131,0.0,0.0,20.0,0.0,0.0,,6.923726835832131,0.0,28.610441470380707,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
19,6950.966322743402,6950.966322743402,0.0,0.0,19.999999999999986,0.3,0.0,,6.950966322743402,0.0,28.723001333650423,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
20,6897.091579226961,6897.091579226961,0.0,0.0,20.000000000000004,0.8,0.0,,6.89709157922696,0.0,28.50037842655769,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
21,6794.8625555889685,6794.8625555889685,0.0,0.0,20.00000000000002,1.3,0.0,,6.794862555588969,0.0,28.077944444582513,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
22,6692.726044397133,6692.726044397133,0.0,0.0,19.999999999999996,1.6,0.0,,6.692726044397133,0.0,27.655892745442696,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
23,6649.701220598214,6649.701220598214,0.0,0.0,20.00000000000001,1.5,0.0,,6.649701220598214,0.0,27.47810421734799,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
24,6682.910268606335,6682.910268606335,0.0,0.0,20.000000000000004,1.1,0.0,,6.682910268606335,0.0,27.61533168845593,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
25,228.2749869975006,228.2749869975006,0.0,0.0,16.000000000000004,0.8,0.0,,0.2282749869975006,0.0,0.9432850702376058,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
26,1871.0038418204376,1871.0038418204376,0.0,0.0,16.000000000000007,0.7,0.0,,1.8710038418204376,0.0,7.731420833968751,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
27,2974.988631213259,2974.988631213259,0.0,0.0,16.000000000000004,0.7,0.0,,2.9749886312132587,0.0,12.293341451294458,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
28,3719.035721086084,3719.035721086084,0.0,0.0,16.0,0.7,0.0,,3.719035721086084,0.0,15.367916202835056,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
29,4220.497405402148,4220.497405402148,0.0,0.0,16.000000000000004,0.7,0.0,,4.220497405402147,0.0,17.44007192314937,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
30,4574.80582298786,4574.80582298786,0.0,0.0,16.000000000000004,0.6,0.0,,4.57480582298786,0.0,18.904156293338264,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
31,4859.462760277404,4859.462760277404,0.0,0.0,15.999999999999991,0.3,0.0,,4.859462760277404,0.0,20.080424629245474,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
32,11620.615651532013,11620.615651532013,0.0,0.0,20.000000000000007,-0.1,0.0,,11.620615651532013,0.0,48.019072940214926,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
33,10231.177167632299,10231.177167632299,0.0,0.0,20.000000000000007,-0.5,69.762,,10.231177167632298,0.0,42.277591601786355,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
34,9257.239284624953,9257.239284624953,0.0,0.0,19.999999999999996,-0.7,348.80999999999995,,9.257239284624953,0.0,38.25305489514444,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
35,8531.953889944505,8531.953889944505,0.0,0.0,20.0,-0.7,558.096,,8.531953889944505,0.0,35.256007809688036,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
36,7968.900550430673,7968.900550430673,0.0,0.0,20.000000000000004,-0.5,685.9929999999999,,7.968900550430673,0.0,32.929341117482124,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
37,7543.511516607964,7543.511516607964,0.0,0.0,19.999999999999996,-0.3,732.501,,7.543511516607964,0.0,31.17153519259489,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
38,7237.214190433474,7237.214190433474,0.0,0.0,20.000000000000007,-0.1,674.366,,7.237214190433474,0.0,29.905843762121794,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
39,7037.331737898821,7037.331737898821,0.0,0.0,20.000000000000007,0.1,523.2149999999999,,7.037331737898821,0.0,29.07988321445794,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
40,6946.367150904961,6946.367150904961,0.0,0.0,20.000000000000014,0.2,302.30199999999996,,6.946367150904961,0.0,28.703996491342814,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
41,6954.41182496222,6954.41182496222,0.0,0.0,20.000000000000007,0.2,46.507999999999996,,6.95441182496222,0.0,28.737238946124876,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
42,6990.321634687134,6990.321634687134,0.0,0.0,19.999999999999996,0.2,0.0,,6.990321634687134,0.0,28.885626589616255,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
43,7018.503558053512,7018.503558053512,0.0,0.0,20.000000000000004,0.2,0.0,,7.018503558053513,0.0,29.002080818402945,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
44,7053.837989571922,7053.837989571922,0.0,0.0,20.000000000000007,0.1,0.0,,7.053837989571922,0.0,29.148090865999677,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
45,7107.176827733154,7107.176827733154,0.0,0.0,20.0,-0.1,0.0,,7.107176827733154,0.0,29.36849928815353,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
46,7185.833872119704,7185.833872119704,0.0,0.0,19.999999999999993,-0.4,0.0,,7.185833872119704,0.0,29.69352839718886,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
47,7311.079169557641,7311.079169557641,0.0,0.0,20.0,-0.9,0.0,,7.311079169557641,0.0,30.21107094858529,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
48,7477.750249374083,7477.750249374083,0.0,0.0,19.999999999999982,-1.5,0.0,,7.4777502493740835,0.0,30.89979441890117,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
49,1155.7722390002846,1155.7722390002846,0.0,0.0,16.000000000000004,-2.1,0.0,,1.1557722390002845,0.0,4.775918342976382,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
50,2943.799851219441,2943.799851219441,0.0,0.0,16.000000000000004,-2.6,0.0,,2.943799851219441,0.0,12.164462195121656,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
51,4182.105579593476,4182.105579593476,0.0,0.0,16.000000000000007,-2.9,0.0,,4.182105579593476,0.0,17.281428014849077,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
52,5039.891076638091,5039.891076638091,0.0,0.0,16.000000000000004,-3.1,0.0,,5.039891076638091,0.0,20.825996184454922,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
53,5677.057801859654,5677.057801859654,0.0,0.0,16.0,-3.5,0.0,,5.677057801859655,0.0,23.458916536610143,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
54,6175.562131468911,6175.562131468911,0.0,0.0,16.0,-4.0,0.0,,6.175562131468911,0.0,25.51885178292938,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
55,6561.115124547983,6561.115124547983,0.0,0.0,16.000000000000007,-4.4,0.0,,6.5611151245479835,0.0,27.11204596920654,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
56,13370.77068691131,13370.77068691131,0.0,0.0,19.999999999999993,-4.7,0.0,,13.37077068691131,0.0,55.25111854095583,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
57,11909.592989213217,11909.592989213217,0.0,0.0,19.999999999999996,-4.5,121.36690029000921,,11.909592989213218,0.0,49.21319417030255,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
58,10630.544550502167,10630.544550502167,0.0,0.0,19.999999999999986,-3.8,1072.3246270155362,,10.630544550502167,0.0,43.927870043397384,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
59,9343.641572652923,9343.641572652923,0.0,0.0,19.999999999999982,-2.6,1989.1558638052834,,9.343641572652922,0.0,38.610089143193896,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
60,8059.037260098255,8059.037260098255,0.0,0.0,20.00000000000001,-1.3,2877.708128096706,,8.059037260098254,0.0,33.301806859910144,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
61,7018.5764941923,7018.5764941923,0.0,0.0,19.999999999999996,-0.3,2749.382410650462,,7.0185764941923,0.0,29.002382207406196,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
62,6315.200605441282,6315.200605441282,0.0,0.0,20.000000000000007,0.0,2725.9628541775837,,6.315200605441282,0.0,26.095870270418523,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
63,6002.492776919402,6002.492776919402,0.0,0.0,20.000000000000007,-0.2,2092.0938308544073,,6.002492776919402,0.0,24.803689160823975,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
64,6108.416362841116,6108.416362841116,0.0,0.0,20.000000000000007,-0.5,903.5849207686545,,6.108416362841116,0.0,25.241389929095522,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
65,6426.194933788798,6426.194933788798,0.0,0.0,20.0,-0.5,69.762,,6.426194933788798,0.0,26.554524519788423,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
66,6708.278226285188,6708.278226285188,0.0,0.0,20.000000000000007,-0.4,0.0,,6.708278226285188,0.0,27.72015795985615,-0.0,DEBW_00000002aac,DEBW_00000002aac,very light,1,80000
