HOY,HeatingDemand,HeatingEnergy,CoolingDemand,CoolingEnergy,IndoorAir,OutsideTemp,SolarGains,COP,HeatingDemand_kWh_h,CoolingDemand_kWh_h,HeatingDemand_Wh_m2h,CoolingDemand_Wh_m2h,Building ID,Building ID [filename],Thermal class,Thermal class index,Thermal capacitance [J/m2K]
1,0.0,0.0,0.0,0.0,19.14986721239371,0.7,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
2,0.0,0.0,0.0,0.0,18.748650515626668,0.6,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
3,0.0,0.0,0.0,0.0,18.369550593912248,0.7,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
4,0.0,0.0,0.0,0.0,18.00540480804103,0.8,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
5,0.0,0.0,0.0,0.0,17.649388942587528,0.8,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
6,0.0,0.0,0.0,0.0,17.291770488309716,0.6,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
7,0.0,0.0,0.0,0.0,16.94542922784698,0.5,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
8,5464.816940547957,5464.816940547957,0.0,0.0,19.99999999999999,0.4,0.0,,5.464816940547957,0.0,22.581888184082466,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
9,4550.945226308281,4550.945226308281,0.0,0.0,20.000000000000004,0.3,62.678,,4.550945226308281,0.0,18.805558786397857,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
10,3829.979775103871,3829.979775103871,0.0,0.0,19.999999999999993,0.4,344.7289999999999,,3.829979775103871,0.0,15.826362707040788,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
11,3246.8600068743385,3246.8600068743385,0.0,0.0,20.000000000000004,0.7,470.085,,3.2468600068743387,0.0,13.41677688791049,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
12,2828.7496960209387,2828.7496960209387,0.0,0.0,20.0,1.0,369.80019999999996,,2.828749696020939,0.0,11.689048330665036,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
13,2543.81244682574,2543.81244682574,0.0,0.0,20.0,1.1,388.6036,,2.5438124468257404,0.0,10.5116216810981,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
14,2371.546778825931,2371.546778825931,0.0,0.0,19.999999999999996,0.9,363.53239999999994,,2.3715467788259312,0.0,9.799780077793104,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
15,2288.1633253626946,2288.1633253626946,0.0,0.0,20.000000000000004,0.6,282.05099999999993,,2.2881633253626945,0.0,9.455220352738408,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
16,2285.9233992376426,2285.9233992376426,0.0,0.0,20.000000000000004,0.2,156.69499999999996,,2.2859233992376424,0.0,9.44596445965968,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
17,2321.4850948745593,2321.4850948745593,0.0,0.0,20.000000000000004,0.0,18.803399999999996,,2.3214850948745593,0.0,9.592913615184129,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
18,2351.6247017168007,2351.6247017168007,0.0,0.0,19.999999999999996,0.0,0.0,,2.351624701716801,0.0,9.717457445110746,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
19,2343.8012086690055,2343.8012086690055,0.0,0.0,20.000000000000004,0.3,0.0,,2.3438012086690057,0.0,9.685128961442171,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
20,2302.7183081166177,2302.7183081166177,0.0,0.0,20.000000000000004,0.8,0.0,,2.3027183081166176,0.0,9.515364909572801,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
21,2248.5720017344624,2248.5720017344624,0.0,0.0,20.0,1.3,0.0,,2.2485720017344626,0.0,9.291619841877944,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
22,2205.6780543731743,2205.6780543731743,0.0,0.0,20.000000000000004,1.6,0.0,,2.205678054373174,0.0,9.114372125508984,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
23,2201.2615240602486,2201.2615240602486,0.0,0.0,20.0,1.5,0.0,,2.2012615240602487,0.0,9.096122000248961,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
24,2233.885745843988,2233.885745843988,0.0,0.0,19.999999999999996,1.1,0.0,,2.233885745843988,0.0,9.230932834066065,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
25,0.0,0.0,0.0,0.0,18.59249916212187,0.8,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
26,0.0,0.0,0.0,0.0,18.21180088056886,0.7,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
27,0.0,0.0,0.0,0.0,17.846221480907275,0.7,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
28,0.0,0.0,0.0,0.0,17.492052903406655,0.7,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
29,0.0,0.0,0.0,0.0,17.148938982313386,0.7,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
30,0.0,0.0,0.0,0.0,16.810177216572086,0.6,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
31,0.0,0.0,0.0,0.0,16.466153012242803,0.3,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
32,6253.373038452758,6253.373038452758,0.0,0.0,20.0,-0.1,0.0,,6.253373038452758,0.0,25.840384456416356,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
33,5168.528791412163,5168.528791412163,0.0,0.0,19.999999999999996,-0.5,37.60679999999999,,5.168528791412163,0.0,21.357556989306456,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
34,4369.6225040429445,4369.6225040429445,0.0,0.0,19.999999999999996,-0.7,188.03399999999996,,4.369622504042945,0.0,18.056291339020433,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
35,3760.2396016785065,3760.2396016785065,0.0,0.0,20.000000000000004,-0.7,300.85439999999994,,3.7602396016785065,0.0,15.538180172225234,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
36,3286.381607402398,3286.381607402398,0.0,0.0,20.000000000000004,-0.5,369.80019999999996,,3.286381607402398,0.0,13.580089286786768,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
37,2930.929608433995,2930.929608433995,0.0,0.0,20.0,-0.3,394.87139999999994,,2.930929608433995,0.0,12.111279373694193,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
38,2673.8061848358957,2673.8061848358957,0.0,0.0,20.0,-0.1,363.53239999999994,,2.673806184835896,0.0,11.048785887751635,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
39,2500.687898860597,2500.687898860597,0.0,0.0,20.000000000000004,0.1,282.05099999999993,,2.500687898860597,0.0,10.33342106967189,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
40,2408.726998012592,2408.726998012592,0.0,0.0,20.000000000000007,0.2,162.9628,,2.4087269980125923,0.0,9.953417347159471,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
41,2385.9751278631634,2385.9751278631634,0.0,0.0,20.000000000000007,0.2,25.071199999999997,,2.3859751278631633,0.0,9.85940135480646,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
42,2386.576251567389,2386.576251567389,0.0,0.0,20.0,0.2,0.0,,2.386576251567389,0.0,9.861885337055327,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
43,2389.145732723989,2389.145732723989,0.0,0.0,19.999999999999996,0.2,0.0,,2.389145732723989,0.0,9.87250302778508,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
44,2401.198983789492,2401.198983789492,0.0,0.0,20.000000000000004,0.1,0.0,,2.401198983789492,0.0,9.922309850369802,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
45,2424.9763598595046,2424.9763598595046,0.0,0.0,19.999999999999996,-0.1,0.0,,2.4249763598595044,0.0,10.020563470493821,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
46,2462.05995425239,2462.05995425239,0.0,0.0,20.000000000000007,-0.4,0.0,,2.46205995425239,0.0,10.173801463852852,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
47,2523.8057447733877,2523.8057447733877,0.0,0.0,20.0,-0.9,0.0,,2.5238057447733877,0.0,10.428949358567717,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
48,2602.7825004621286,2602.7825004621286,0.0,0.0,20.0,-1.5,0.0,,2.6027825004621286,0.0,10.755299588686482,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
49,0.0,0.0,0.0,0.0,18.330518380072128,-2.1,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
50,0.0,0.0,0.0,0.0,17.842049850620455,-2.6,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
51,0.0,0.0,0.0,0.0,17.365936294211487,-2.9,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
52,0.0,0.0,0.0,0.0,16.90167721885387,-3.1,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
53,0.0,0.0,0.0,0.0,16.432951551900405,-3.5,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
54,64.39852189323818,64.39852189323818,0.0,0.0,16.000000000000004,-4.0,0.0,,0.06439852189323818,0.0,0.26610959460015776,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
55,800.2796307585279,800.2796307585279,0.0,0.0,16.000000000000004,-4.4,0.0,,0.8002796307585279,0.0,3.3069406229691234,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
56,7771.849640480609,7771.849640480609,0.0,0.0,19.99999999999999,-4.7,0.0,,7.7718496404806094,0.0,32.115081159010785,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
57,6405.245759877345,6405.245759877345,0.0,0.0,19.999999999999993,-4.5,65.42560055368708,,6.405245759877345,0.0,26.467957685443576,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
58,5273.7419022327185,5273.7419022327185,0.0,0.0,20.000000000000004,-3.8,578.0610903249315,,5.273741902232718,0.0,21.792321910052557,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
59,4248.4392023726205,4248.4392023726205,0.0,0.0,20.000000000000007,-2.6,1072.2999159850997,,4.24843920237262,0.0,17.55553389410174,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
60,3318.489661264471,3318.489661264471,0.0,0.0,20.0,-1.3,1551.294315411072,,3.318489661264471,0.0,13.712767195307732,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
61,2599.60348963267,2599.60348963267,0.0,0.0,20.000000000000007,-0.3,1482.117405476474,,2.59960348963267,0.0,10.74216318030029,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
62,2121.714144967844,2121.714144967844,0.0,0.0,20.0,0.0,1469.4925584771875,,2.121714144967844,0.0,8.767413822181172,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
63,1887.814761194258,1887.814761194258,0.0,0.0,20.0,-0.2,1127.7909790168792,,1.887814761194258,0.0,7.800887442951479,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
64,1896.6357044784652,1896.6357044784652,0.0,0.0,20.0,-0.5,487.0980963613806,,1.8966357044784652,0.0,7.83733762181184,-0.0,DEBW_00000004aae,DEBW_00000004aae,very light,1,80000
