HOY,HeatingDemand,HeatingEnergy,CoolingDemand,CoolingEnergy,IndoorAir,OutsideTemp,SolarGains,COP,HeatingDemand_kWh_h,CoolingDemand_kWh_h,HeatingDemand_Wh_m2h,CoolingDemand_Wh_m2h,Building ID,Building ID [filename],Thermal class,Thermal class index,Thermal capacitance [J/m2K]
1,0.0,0.0,0.0,0.0,18.60530457082674,0.7,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000001aab,DEBW_00000001aab,light,2,110000
2,0.0,0.0,0.0,0.0,17.66708191815768,0.6,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000001aab,DEBW_00000001aab,light,2,110000
3,0.0,0.0,0.0,0.0,16.796829168330227,0.7,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000001aab,DEBW_00000001aab,light,2,110000
4,26.381999404065073,26.381999404065073,0.0,0.0,15.999999999999996,0.8,0.0,,0.026381999404065073,0.0,0.10901652646307881,-0.0,DEBW_00000001aab,DEBW_00000001aab,light,2,110000
5,1314.3437102074415,1314.3437102074415,0.0,0.0,16.0,0.8,0.0,,1.3143437102074416,0.0,5.431172356229097,-0.0,DEBW_00000001aab,DEBW_00000001aab,light,2,110000
6,2313.1384445286744,2313.1384445286744,0.0,0.0,16.000000000000004,0.6,0.0,,2.3131384445286742,0.0,9.558423324498655,-0.0,DEBW_00000001aab,DEBW_00000001aab,light,2,110000
7,3068.932476224173,3068.932476224173,0.0,0.0,16.000000000000004,0.5,0.0,,3.068932476224173,0.0,12.681539157951129,-0.0,DEBW_00000001aab,DEBW_00000001aab,light,2,110000
8,10388.420698223159,10388.420698223159,0.0,0.0,19.999999999999996,0.4,0.0,,10.38842069822316,0.0,42.92735825712049,-0.0,DEBW_00000001aab,DEBW_00000001aab,light,2,110000
9,9543.778578888803,9543.778578888803,0.0,0.0,20.000000000000004,0.3,116.27,,9.543778578888803,0.0,39.437101565656214,-0.0,DEBW_00000001aab,DEBW_00000001aab,light,2,110000
10,8801.367159166755,8801.367159166755,0.0,0.0,20.000000000000007,0.4,639.4849999999999,,8.801367159166755,0.0,36.36928578168081,-0.0,DEBW_00000001aab,DEBW_00000001aab,light,2,110000
11,8140.030464169481,8140.030464169481,0.0,0.0,20.000000000000007,0.7,872.025,,8.140030464169481,0.0,33.63648952136149,-0.0,DEBW_00000001aab,DEBW_00000001aab,light,2,110000
12,7629.662662049844,7629.662662049844,0.0,0.0,19.999999999999996,1.0,685.9929999999999,,7.629662662049844,0.0,31.52753166136299,-0.0,DEBW_00000001aab,DEBW_00000001aab,light,2,110000
13,7250.356403496227,7250.356403496227,0.0,0.0,20.000000000000018,1.1,720.874,,7.250356403496228,0.0,29.96015042767036,-0.0,DEBW_00000001aab,DEBW_00000001aab,light,2,110000
14,7006.22475605816,7006.22475605816,0.0,0.0,20.000000000000004,0.9,674.366,,7.00622475605816,0.0,28.95134196718248,-0.0,DEBW_00000001aab,DEBW_00000001aab,light,2,110000
15,6883.743099519294,6883.743099519294,0.0,0.0,20.000000000000007,0.6,523.2149999999999,,6.883743099519294,0.0,28.445219419501218,-0.0,DEBW_00000001aab,DEBW_00000001aab,light,2,110000
16,6880.696942958026,6880.696942958026,0.0,0.0,19.999999999999996,0.2,290.67499999999995,,6.880696942958026,0.0,28.432631995694322,-0.0,DEBW_00000001aab,DEBW_00000001aab,light,2,110000
17,6939.57326986411,6939.57326986411,0.0,0.0,19.999999999999996,0.0,34.881,,6.939573269864111,0.0,28.675922602744258,-0.0,DEBW_00000001aab,DEBW_00000001aab,light,2,110000
18,6991.907167112631,6991.907167112631,0.0,0.0,20.000000000000007,0.0,0.0,,6.991907167112632,0.0,28.892178376498475,-0.0,DEBW_00000001aab,DEBW_00000001aab,light,2,110000
19,6987.373101374225,6987.373101374225,0.0,0.0,19.99999999999999,0.3,0.0,,6.987373101374225,0.0,28.87344256766209,-0.0,DEBW_00000001aab,DEBW_00000001aab,light,2,110000
20,6923.421677592385,6923.421677592385,0.0,0.0,20.000000000000007,0.8,0.0,,6.923421677592385,0.0,28.609180485918948,-0.0,DEBW_00000001aab,DEBW_00000001aab,light,2,110000
21,6825.167786133304,6825.167786133304,0.0,0.0,20.0,1.3,0.0,,6.825167786133304,0.0,28.20317266997233,-0.0,DEBW_00000001aab,DEBW_00000001aab,light,2,110000
22,6731.562862205787,6731.562862205787,0.0,0.0,19.999999999999996,1.6,0.0,,6.731562862205786,0.0,27.816375463660275,-0.0,DEBW_00000001aab,DEBW_00000001aab,light,2,110000
23,6691.961362370911,6691.961362370911,0.0,0.0,20.000000000000007,1.5,0.0,,6.691961362370911,0.0,27.652732902359137,-0.0,DEBW_00000001aab,DEBW_00000001aab,light,2,110000
24,6717.880293175187,6717.880293175187,0.0,0.0,20.00000000000001,1.1,0.0,,6.717880293175187,0.0,27.759835922211515,-0.0,DEBW_00000001aab,DEBW_00000001aab,light,2,110000
25,21.076101811257853,21.076101811257853,0.0,0.0,16.000000000000004,0.8,0.0,,0.021076101811257852,0.0,0.08709132979858616,-0.0,DEBW_00000001aab,DEBW_00000001aab,light,2,110000
