HOY,HeatingDemand,HeatingEnergy,CoolingDemand,CoolingEnergy,IndoorAir,OutsideTemp,SolarGains,COP,HeatingDemand_kWh_h,CoolingDemand_kWh_h,HeatingDemand_Wh_m2h,CoolingDemand_Wh_m2h,Building ID,Building ID [filename],Thermal class,Thermal class index,Thermal capacitance [J/m2K]
1,0.0,0.0,0.0,0.0,19.2039418133748,0.7,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
2,0.0,0.0,0.0,0.0,18.90835400579558,0.6,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
3,0.0,0.0,0.0,0.0,18.62913944080731,0.7,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
4,0.0,0.0,0.0,0.0,18.358569974843892,0.8,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
5,0.0,0.0,0.0,0.0,18.090491345902706,0.8,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
6,0.0,0.0,0.0,0.0,17.816609854910517,0.6,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
7,0.0,0.0,0.0,0.0,17.55036984482195,0.5,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
8,4530.771242491095,4530.771242491095,0.0,0.0,19.999999999999993,0.4,0.0,,4.530771242491095,0.0,18.72219521690535,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
9,4047.5478119381505,4047.5478119381505,0.0,0.0,20.000000000000007,0.3,62.678,,4.04754781193815,0.0,16.725404181562606,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
10,3606.8328488380093,3606.8328488380093,0.0,0.0,20.000000000000007,0.4,344.7289999999999,,3.6068328488380095,0.0,14.904267970404998,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
11,3206.1983624768113,3206.1983624768113,0.0,0.0,20.000000000000004,0.7,470.085,,3.2061983624768113,0.0,13.248753563953766,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
12,2893.4420286953396,2893.4420286953396,0.0,0.0,19.999999999999996,1.0,369.80019999999996,,2.8934420286953397,0.0,11.95637201940223,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
13,2660.6793744388083,2660.6793744388083,0.0,0.0,19.999999999999996,1.1,388.6036,,2.6606793744388084,0.0,10.994542869581853,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
14,2508.9275837864584,2508.9275837864584,0.0,0.0,20.000000000000004,0.9,363.53239999999994,,2.508927583786458,0.0,10.367469354489497,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
15,2423.01496599312,2423.01496599312,0.0,0.0,20.000000000000007,0.6,282.05099999999993,,2.42301496599312,0.0,10.012458537161653,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
16,2402.014407615743,2402.014407615743,0.0,0.0,20.000000000000007,0.2,156.69499999999996,,2.4020144076157433,0.0,9.925679370312988,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
17,2409.6335827112916,2409.6335827112916,0.0,0.0,19.999999999999996,0.0,18.803399999999996,,2.4096335827112916,0.0,9.957163564922693,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
18,2413.1361654146936,2413.1361654146936,0.0,0.0,20.000000000000007,0.0,0.0,,2.4131361654146937,0.0,9.971637047168155,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
19,2386.9314990395724,2386.9314990395724,0.0,0.0,19.999999999999996,0.3,0.0,,2.3869314990395725,0.0,9.863353301816415,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
20,2335.2306615892685,2335.2306615892685,0.0,0.0,20.000000000000004,0.8,0.0,,2.3352306615892684,0.0,9.649713477641605,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
21,2275.996242012194,2275.996242012194,0.0,0.0,19.999999999999996,1.3,0.0,,2.2759962420121944,0.0,9.40494314881072,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
22,2230.8092501051265,2230.8092501051265,0.0,0.0,20.000000000000004,1.6,0.0,,2.2308092501051267,0.0,9.218220041756721,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
23,2224.063632425214,2224.063632425214,0.0,0.0,19.999999999999996,1.5,0.0,,2.224063632425214,0.0,9.190345588533942,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
24,2252.4841163174283,2252.4841163174283,0.0,0.0,19.999999999999996,1.1,0.0,,2.2524841163174285,0.0,9.307785604617472,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
25,0.0,0.0,0.0,0.0,18.63529557254987,0.8,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
26,0.0,0.0,0.0,0.0,18.354951148263968,0.7,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
27,0.0,0.0,0.0,0.0,18.084675280964138,0.7,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
28,0.0,0.0,0.0,0.0,17.820560995661843,0.7,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
29,0.0,0.0,0.0,0.0,17.56246782442301,0.7,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
30,0.0,0.0,0.0,0.0,17.304301325230632,0.6,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
31,0.0,0.0,0.0,0.0,17.03782625525811,0.3,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
