HOY,HeatingDemand,HeatingEnergy,CoolingDemand,CoolingEnergy,IndoorAir,OutsideTemp,SolarGains,COP,HeatingDemand_kWh_h,CoolingDemand_kWh_h,HeatingDemand_Wh_m2h,CoolingDemand_Wh_m2h,Building ID,Building ID [filename],Thermal class,Thermal class index,Thermal capacitance [J/m2K]
1,0.0,0.0,0.0,0.0,19.252397696447623,0.7,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,medium,3,165000
2,0.0,0.0,0.0,0.0,19.052236418632415,0.6,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,medium,3,165000
3,0.0,0.0,0.0,0.0,18.864800207133772,0.7,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,medium,3,165000
4,0.0,0.0,0.0,0.0,18.681749186049533,0.8,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,medium,3,165000
5,0.0,0.0,0.0,0.0,18.49741796208999,0.8,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,medium,3,165000
6,0.0,0.0,0.0,0.0,18.304701952341677,0.6,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,medium,3,165000
7,0.0,0.0,0.0,0.0,18.117473308281966,0.5,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,medium,3,165000
8,3574.993883794775,3574.993883794775,0.0,0.0,19.999999999999996,0.4,0.0,,3.574993883794775,0.0,14.772701999151963,-0.0,DEBW_00000004aae,DEBW_00000004aae,medium,3,165000
9,3389.2963510402446,3389.2963510402446,0.0,0.0,20.000000000000007,0.3,62.678,,3.3892963510402447,0.0,14.00535682248035,-0.0,DEBW_00000004aae,DEBW_00000004aae,medium,3,165000
10,3177.3020242828115,3177.3020242828115,0.0,0.0,20.0,0.4,344.7289999999999,,3.1773020242828114,0.0,13.129347207780214,-0.0,DEBW_00000004aae,DEBW_00000004aae,medium,3,165000
11,2955.306398526108,2955.306398526108,0.0,0.0,20.000000000000007,0.7,470.085,,2.955306398526108,0.0,12.212009911264909,-0.0,DEBW_00000004aae,DEBW_00000004aae,medium,3,165000
12,2771.0445323400527,2771.0445323400527,0.0,0.0,19.999999999999996,1.0,369.80019999999996,,2.7710445323400528,0.0,11.450597241074599,-0.0,DEBW_00000004aae,DEBW_00000004aae,medium,3,165000
13,2625.600094780148,2625.600094780148,0.0,0.0,20.000000000000007,1.1,388.6036,,2.625600094780148,0.0,10.84958716851301,-0.0,DEBW_00000004aae,DEBW_00000004aae,medium,3,165000
