HOY,HeatingDemand,HeatingEnergy,CoolingDemand,CoolingEnergy,IndoorAir,OutsideTemp,SolarGains,COP,HeatingDemand_kWh_h,CoolingDemand_kWh_h,HeatingDemand_Wh_m2h,CoolingDemand_Wh_m2h,Building ID,Building ID [filename],Thermal class,Thermal class index,Thermal capacitance [J/m2K]
1,0.0,0.0,0.0,0.0,18.878024691282704,0.7,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
2,0.0,0.0,0.0,0.0,18.463604137628405,0.6,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
3,0.0,0.0,0.0,0.0,18.072124531517964,0.7,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
4,0.0,0.0,0.0,0.0,17.693241771467683,0.8,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
5,0.0,0.0,0.0,0.0,17.31919189177424,0.8,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
6,0.0,0.0,0.0,0.0,16.939846875183054,0.6,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
7,0.0,0.0,0.0,0.0,16.572539655821213,0.5,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
8,6757.8802762790665,6757.8802762790665,0.0,0.0,20.000000000000004,0.4,0.0,,6.757880276279066,0.0,27.925125108591185,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
9,6786.1092073356995,6786.1092073356995,0.0,0.0,19.999999999999996,0.3,116.27,,6.7861092073356994,0.0,28.041773584031816,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
10,6736.40050126692,6736.40050126692,0.0,0.0,19.999999999999986,0.4,639.4849999999999,,6.73640050126692,0.0,27.836365707714545,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
11,6642.011598946486,6642.011598946486,0.0,0.0,20.000000000000004,0.7,872.025,,6.642011598946485,0.0,27.44632892126647,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
12,6565.822665055186,6565.822665055186,0.0,0.0,19.999999999999996,1.0,685.9929999999999,,6.565822665055186,0.0,27.13149861593052,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
13,6505.807723226955,6505.807723226955,0.0,0.0,20.000000000000004,1.1,720.874,,6.5058077232269556,0.0,26.88350298854114,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
14,6492.933145057964,6492.933145057964,0.0,0.0,19.999999999999993,0.9,674.366,,6.492933145057964,0.0,26.830302252305636,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
15,6519.061887440987,6519.061887440987,0.0,0.0,19.999999999999996,0.6,523.2149999999999,,6.519061887440987,0.0,26.93827226215284,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
16,6591.779725032207,6591.779725032207,0.0,0.0,19.999999999999996,0.2,290.67499999999995,,6.591779725032207,0.0,27.238759194347963,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
17,6672.219092392542,6672.219092392542,0.0,0.0,20.0,0.0,34.881,,6.672219092392542,0.0,27.571153274349346,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
18,6727.426241829357,6727.426241829357,0.0,0.0,19.999999999999996,0.0,0.0,,6.727426241829358,0.0,27.7992819910304,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
19,6736.248174765607,6736.248174765607,0.0,0.0,20.000000000000004,0.3,0.0,,6.736248174765606,0.0,27.83573625936201,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
20,6703.803829109992,6703.803829109992,0.0,0.0,20.00000000000001,0.8,0.0,,6.703803829109992,0.0,27.701668715330545,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
