HOY,HeatingDemand,HeatingEnergy,CoolingDemand,CoolingEnergy,IndoorAir,OutsideTemp,SolarGains,COP,HeatingDemand_kWh_h,CoolingDemand_kWh_h,HeatingDemand_Wh_m2h,CoolingDemand_Wh_m2h,Building ID,Building ID [filename],Thermal class,Thermal class index,Thermal capacitance [J/m2K]
1,1262.6460372394072,1262.6460372394072,0.0,0.0,19.999999999999996,0.7,0.0,,1.2626460372394073,0.0,5.217545608427303,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
2,1377.49266437408,1377.49266437408,0.0,0.0,20.000000000000004,0.6,0.0,,1.3774926643740801,0.0,5.692118447826777,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
3,1463.5809189757358,1463.5809189757358,0.0,0.0,20.0,0.7,0.0,,1.4635809189757358,0.0,6.047855037089818,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
4,1539.2831994518897,1539.2831994518897,0.0,0.0,20.000000000000004,0.8,0.0,,1.5392831994518896,0.0,6.360674377900371,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
5,1615.1056760560862,1615.1056760560862,0.0,0.0,20.0,0.8,0.0,,1.6151056760560862,0.0,6.6739903969259755,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
6,1702.2190112189535,1702.2190112189535,0.0,0.0,20.000000000000004,0.6,0.0,,1.7022190112189535,0.0,7.033962856276667,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
7,1774.547874480484,1774.547874480484,0.0,0.0,20.000000000000004,0.5,0.0,,1.7745478744804841,0.0,7.332842456530926,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
8,1841.319253909705,1841.319253909705,0.0,0.0,19.999999999999996,0.4,0.0,,1.841319253909705,0.0,7.608757247560764,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
9,1896.295801577687,1896.295801577687,0.0,0.0,19.999999999999996,0.3,62.678,,1.896295801577687,0.0,7.835933064370607,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
10,1898.7434530025398,1898.7434530025398,0.0,0.0,19.999999999999996,0.4,344.7289999999999,,1.8987434530025398,0.0,7.846047326456776,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
11,1870.2583256281282,1870.2583256281282,0.0,0.0,20.0,0.7,470.085,,1.8702583256281282,0.0,7.728340188545984,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
12,1851.9271230688346,1851.9271230688346,0.0,0.0,19.999999999999996,1.0,369.80019999999996,,1.8519271230688346,0.0,7.652591417639813,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
13,1845.8956299592444,1845.8956299592444,0.0,0.0,19.999999999999996,1.1,388.6036,,1.8458956299592444,0.0,7.627667892393572,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
14,1870.087379521354,1870.087379521354,0.0,0.0,19.999999999999996,0.9,363.53239999999994,,1.870087379521354,0.0,7.727633799675017,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
