HOY,HeatingDemand,HeatingEnergy,CoolingDemand,CoolingEnergy,IndoorAir,OutsideTemp,SolarGains,COP,HeatingDemand_kWh_h,CoolingDemand_kWh_h,HeatingDemand_Wh_m2h,CoolingDemand_Wh_m2h,Building ID,Building ID [filename],Thermal class,Thermal class index,Thermal capacitance [J/m2K]
1,1918.3640064345093,1918.3640064345093,0.0,0.0,20.000000000000004,0.7,0.0,,1.9183640064345093,0.0,7.92712399353103,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
2,2331.7386710421283,2331.7386710421283,0.0,0.0,20.000000000000004,0.6,0.0,,2.331738671042128,0.0,9.635283764636894,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
3,2689.3502666972827,2689.3502666972827,0.0,0.0,19.999999999999996,0.7,0.0,,2.6893502666972826,0.0,11.113017630980506,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
4,3014.7913641497967,3014.7913641497967,0.0,0.0,20.000000000000007,0.8,0.0,,3.0147913641497968,0.0,12.457815554338003,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
5,3323.47302233556,3323.47302233556,0.0,0.0,20.000000000000004,0.8,0.0,,3.32347302233556,0.0,13.733359596427935,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
6,3632.828907352476,3632.828907352476,0.0,0.0,20.0,0.6,0.0,,3.632828907352476,0.0,15.01168969980362,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
7,3910.9077362074445,3910.9077362074445,0.0,0.0,20.000000000000007,0.5,0.0,,3.9109077362074447,0.0,16.16077576945225,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
8,4169.780222159396,4169.780222159396,0.0,0.0,19.999999999999996,0.4,0.0,,4.169780222159396,0.0,17.230496785782627,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
9,4400.482799430485,4400.482799430485,0.0,0.0,20.000000000000004,0.3,116.27,,4.400482799430485,0.0,18.18381322078713,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
10,4545.585601104643,4545.585601104643,0.0,0.0,19.999999999999996,0.4,639.4849999999999,,4.5455856011046425,0.0,18.783411574812572,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
11,4641.283250007399,4641.283250007399,0.0,0.0,20.000000000000007,0.7,872.025,,4.641283250007399,0.0,19.178856404989254,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
12,4741.709253260085,4741.709253260085,0.0,0.0,19.999999999999996,1.0,685.9929999999999,,4.741709253260084,0.0,19.59383988950448,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
13,4842.328240468381,4842.328240468381,0.0,0.0,19.999999999999996,1.1,720.874,,4.842328240468381,0.0,20.009620828381742,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
14,4975.002674417333,4975.002674417333,0.0,0.0,20.0,0.9,674.366,,4.975002674417333,0.0,20.557862290980715,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
15,5128.88381461938,5128.88381461938,0.0,0.0,20.0,0.6,523.2149999999999,,5.12888381461938,0.0,21.193734771154464,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
16,5310.438147778337,5310.438147778337,0.0,0.0,20.0,0.2,290.67499999999995,,5.310438147778338,0.0,21.943959288340235,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
17,5482.462730170141,5482.462730170141,0.0,0.0,19.999999999999996,0.0,34.881,,5.482462730170141,0.0,22.654804670124552,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
18,5618.667227887102,5618.667227887102,0.0,0.0,20.0,0.0,0.0,,5.618667227887102,0.0,23.217633173087197,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
19,5704.614273648638,5704.614273648638,0.0,0.0,20.000000000000007,0.3,0.0,,5.704614273648638,0.0,23.57278625474644,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
20,5748.188577403511,5748.188577403511,0.0,0.0,19.999999999999996,0.8,0.0,,5.748188577403511,0.0,23.752845361171534,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
21,5771.900496494965,5771.900496494965,0.0,0.0,20.000000000000004,1.3,0.0,,5.771900496494966,0.0,23.85082849791308,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
22,5802.977363534659,5802.977363534659,0.0,0.0,20.000000000000004,1.6,0.0,,5.8029773635346595,0.0,23.97924530386223,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
23,5872.982257931258,5872.982257931258,0.0,0.0,19.999999999999996,1.5,0.0,,5.872982257931258,0.0,24.268521726988666,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
24,5979.03052246563,5979.03052246563,0.0,0.0,20.0,1.1,0.0,,5.979030522465631,0.0,24.70673769613897,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
25,6076.769436207534,6076.769436207534,0.0,0.0,19.999999999999996,0.8,0.0,,6.076769436207535,0.0,25.11061750498981,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
26,6150.791406119094,6150.791406119094,0.0,0.0,20.000000000000007,0.7,0.0,,6.150791406119094,0.0,25.416493413715266,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
27,6209.2879959132,6209.2879959132,0.0,0.0,19.999999999999993,0.7,0.0,,6.2092879959132,0.0,25.658214859145453,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
28,6263.056859941463,6263.056859941463,0.0,0.0,19.999999999999996,0.7,0.0,,6.263056859941463,0.0,25.880400247691995,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
29,6312.480095536295,6312.480095536295,0.0,0.0,20.000000000000004,0.7,0.0,,6.312480095536295,0.0,26.084628493951634,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
30,6370.719940733025,6370.719940733025,0.0,0.0,19.999999999999986,0.6,0.0,,6.370719940733025,0.0,26.325289011293492,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
31,6453.142991640583,6453.142991640583,0.0,0.0,19.999999999999986,0.3,0.0,,6.453142991640584,0.0,26.66588013074621,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
32,6551.52000101069,6551.52000101069,0.0,0.0,20.000000000000007,-0.1,0.0,,6.55152000101069,0.0,27.07239669839128,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
33,6648.70917693166,6648.70917693166,0.0,0.0,20.000000000000018,-0.5,69.762,,6.648709176931661,0.0,27.47400486335397,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
34,6701.888508514832,6701.888508514832,0.0,0.0,20.0,-0.7,348.80999999999995,,6.701888508514832,0.0,27.69375416741666,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
35,6719.2857122575815,6719.2857122575815,0.0,0.0,20.000000000000007,-0.7,558.096,,6.719285712257581,0.0,27.765643439080915,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
36,6702.984996713402,6702.984996713402,0.0,0.0,19.999999999999996,-0.5,685.9929999999999,,6.702984996713402,0.0,27.69828511038596,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
37,6680.252079163042,6680.252079163042,0.0,0.0,19.99999999999999,-0.3,732.501,,6.680252079163043,0.0,27.604347434558026,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
38,6659.166443928977,6659.166443928977,0.0,0.0,20.000000000000007,-0.1,674.366,,6.659166443928977,0.0,27.517216710450317,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
39,6645.558826908963,6645.558826908963,0.0,0.0,20.000000000000007,0.1,523.2149999999999,,6.645558826908963,0.0,27.460986888053565,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
40,6655.768664717519,6655.768664717519,0.0,0.0,20.0,0.2,302.30199999999996,,6.6557686647175185,0.0,27.503176300485613,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
41,6692.661374216866,6692.661374216866,0.0,0.0,20.000000000000007,0.2,46.507999999999996,,6.692661374216866,0.0,27.655625513292833,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
42,6724.792782371931,6724.792782371931,0.0,0.0,20.000000000000004,0.2,0.0,,6.724792782371931,0.0,27.78839992715674,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
43,6753.238959091614,6753.238959091614,0.0,0.0,20.0,0.2,0.0,,6.753238959091614,0.0,27.90594611194882,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
44,6792.197122564042,6792.197122564042,0.0,0.0,20.000000000000007,0.1,0.0,,6.792197122564041,0.0,28.066930258529098,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
45,6844.085825592959,6844.085825592959,0.0,0.0,20.000000000000004,-0.1,0.0,,6.844085825592959,0.0,28.281346386747764,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
46,6911.12815224721,6911.12815224721,0.0,0.0,19.999999999999993,-0.4,0.0,,6.91112815224721,0.0,28.55838079440996,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
47,7008.178537762985,7008.178537762985,0.0,0.0,19.99999999999999,-0.9,0.0,,7.008178537762985,0.0,28.95941544530159,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
48,7126.536967135829,7126.536967135829,0.0,0.0,20.000000000000004,-1.5,0.0,,7.126536967135829,0.0,29.448499864197643,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
49,7254.938428028775,7254.938428028775,0.0,0.0,19.999999999999993,-2.1,0.0,,7.254938428028775,0.0,29.979084413342047,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
50,7379.760215232847,7379.760215232847,0.0,0.0,19.999999999999986,-2.6,0.0,,7.379760215232848,0.0,30.494876922449784,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
51,7485.212480669522,7485.212480669522,0.0,0.0,20.000000000000004,-2.9,0.0,,7.485212480669522,0.0,30.93063008541125,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
52,7579.135427068517,7579.135427068517,0.0,0.0,19.999999999999996,-3.1,0.0,,7.5791354270685165,0.0,31.318741434167425,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
53,7697.625789010024,7697.625789010024,0.0,0.0,19.999999999999996,-3.5,0.0,,7.697625789010024,0.0,31.80837102896704,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
54,7832.423267201057,7832.423267201057,0.0,0.0,20.000000000000007,-4.0,0.0,,7.832423267201056,0.0,32.36538540165726,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
55,7959.856004942229,7959.856004942229,0.0,0.0,20.000000000000007,-4.4,0.0,,7.959856004942229,0.0,32.891966962571196,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
56,8077.251087295315,8077.251087295315,0.0,0.0,19.999999999999996,-4.7,0.0,,8.077251087295314,0.0,33.37707060865833,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
57,8118.69395273482,8118.69395273482,0.0,0.0,20.000000000000007,-4.5,135.04147133899986,,8.118693952734821,0.0,33.54832211873893,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
58,7994.718044891648,7994.718044891648,0.0,0.0,20.000000000000004,-3.8,1181.4230822386253,,7.9947180448916475,0.0,33.036024978891106,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
59,7770.721376699494,7770.721376699494,0.0,0.0,19.999999999999996,-2.6,1707.6683803933356,,7.770721376699494,0.0,32.11041891198138,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
60,7520.486616392273,7520.486616392273,0.0,0.0,19.999999999999996,-1.3,1758.8369270896821,,7.520486616392273,0.0,31.076390976827575,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
61,7342.883250238793,7342.883250238793,0.0,0.0,19.999999999999993,-0.3,1147.8172227066511,,7.342883250238793,0.0,30.34249276958179,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
62,7248.782122162713,7248.782122162713,0.0,0.0,19.999999999999986,0.0,855.355345073538,,7.248782122162713,0.0,29.953645132903773,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
63,7191.199379311461,7191.199379311461,0.0,0.0,19.999999999999993,-0.2,1059.832706650733,,7.191199379311461,0.0,29.715699914510168,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
64,7193.321274178393,7193.321274178393,0.0,0.0,20.000000000000004,-0.5,717.9783203225372,,7.193321274178393,0.0,29.724468075117326,-0.0,DEBW_00000001aab,DEBW_00000001aab,very heavy,5,370000
