HOY,HeatingDemand,HeatingEnergy,CoolingDemand,CoolingEnergy,IndoorAir,OutsideTemp,SolarGains,COP,HeatingDemand_kWh_h,CoolingDemand_kWh_h,HeatingDemand_Wh_m2h,CoolingDemand_Wh_m2h,Building ID,Building ID [filename],Thermal class,Thermal class index,Thermal capacitance [J/m2K]
1,0.0,0.0,0.0,0.0,19.306525612055072,0.7,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000003aad,DEBW_00000003aad,very heavy,5,370000
2,0.0,0.0,0.0,0.0,19.213825228998758,0.6,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000003aad,DEBW_00000003aad,very heavy,5,370000
3,0.0,0.0,0.0,0.0,19.13147061516463,0.7,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000003aad,DEBW_00000003aad,very heavy,5,370000
4,0.0,0.0,0.0,0.0,19.05036190750433,0.8,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000003aad,DEBW_00000003aad,very heavy,5,370000
5,0.0,0.0,0.0,0.0,18.96529277228818,0.8,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000003aad,DEBW_00000003aad,very heavy,5,370000
6,0.0,0.0,0.0,0.0,18.870409214553476,0.6,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000003aad,DEBW_00000003aad,very heavy,5,370000
7,0.0,0.0,0.0,0.0,18.78000528830715,0.5,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000003aad,DEBW_00000003aad,very heavy,5,370000
8,2355.9797858413904,2355.9797858413904,0.0,0.0,19.999999999999996,0.4,0.0,,2.3559797858413902,0.0,9.735453660501612,-0.0,DEBW_00000003aad,DEBW_00000003aad,very heavy,5,370000
9,2359.699132585582,2359.699132585582,0.0,0.0,20.000000000000004,0.3,62.678,,2.359699132585582,0.0,9.750822861923892,-0.0,DEBW_00000003aad,DEBW_00000003aad,very heavy,5,370000
10,2320.4280209435688,2320.4280209435688,0.0,0.0,20.0,0.4,344.7289999999999,,2.320428020943569,0.0,9.588545541089127,-0.0,DEBW_00000003aad,DEBW_00000003aad,very heavy,5,370000
11,2259.75612012013,2259.75612012013,0.0,0.0,19.999999999999996,0.7,470.085,,2.25975612012013,0.0,9.337835207107975,-0.0,DEBW_00000003aad,DEBW_00000003aad,very heavy,5,370000
12,2212.7596611747795,2212.7596611747795,0.0,0.0,19.999999999999996,1.0,369.80019999999996,,2.2127596611747795,0.0,9.143634963532147,-0.0,DEBW_00000003aad,DEBW_00000003aad,very heavy,5,370000
13,2179.611729227567,2179.611729227567,0.0,0.0,19.999999999999996,1.1,388.6036,,2.179611729227567,0.0,9.006660038130443,-0.0,DEBW_00000003aad,DEBW_00000003aad,very heavy,5,370000
14,2178.559194655392,2178.559194655392,0.0,0.0,20.0,0.9,363.53239999999994,,2.1785591946553917,0.0,9.002310721716496,-0.0,DEBW_00000003aad,DEBW_00000003aad,very heavy,5,370000
15,2196.4918904802166,2196.4918904802166,0.0,0.0,19.999999999999996,0.6,282.05099999999993,,2.1964918904802166,0.0,9.076412770579408,-0.0,DEBW_00000003aad,DEBW_00000003aad,very heavy,5,370000
16,2235.933568912204,2235.933568912204,0.0,0.0,19.999999999999996,0.2,156.69499999999996,,2.235933568912204,0.0,9.239394912860346,-0.0,DEBW_00000003aad,DEBW_00000003aad,very heavy,5,370000
17,2268.537402659178,2268.537402659178,0.0,0.0,19.999999999999996,0.0,18.803399999999996,,2.2685374026591782,0.0,9.374121498591645,-0.0,DEBW_00000003aad,DEBW_00000003aad,very heavy,5,370000
18,2280.608876694669,2280.608876694669,0.0,0.0,20.0,0.0,0.0,,2.2806088766946693,0.0,9.424003622705245,-0.0,DEBW_00000003aad,DEBW_00000003aad,very heavy,5,370000
19,2263.2671413325234,2263.2671413325234,0.0,0.0,20.000000000000004,0.3,0.0,,2.2632671413325234,0.0,9.352343559225304,-0.0,DEBW_00000003aad,DEBW_00000003aad,very heavy,5,370000
20,2224.7959759747323,2224.7959759747323,0.0,0.0,20.000000000000004,0.8,0.0,,2.2247959759747324,0.0,9.19337180154848,-0.0,DEBW_00000003aad,DEBW_00000003aad,very heavy,5,370000
21,2182.945225246761,2182.945225246761,0.0,0.0,20.000000000000007,1.3,0.0,,2.182945225246761,0.0,9.02043481506926,-0.0,DEBW_00000003aad,DEBW_00000003aad,very heavy,5,370000
22,2156.647031145907,2156.647031145907,0.0,0.0,20.0,1.6,0.0,,2.156647031145907,0.0,8.911764591512013,-0.0,DEBW_00000003aad,DEBW_00000003aad,very heavy,5,370000
23,2165.9309491964527,2165.9309491964527,0.0,0.0,19.999999999999996,1.5,0.0,,2.165930949196453,0.0,8.950127889241541,-0.0,DEBW_00000003aad,DEBW_00000003aad,very heavy,5,370000
24,2203.8109053517264,2203.8109053517264,0.0,0.0,20.000000000000007,1.1,0.0,,2.2038109053517263,0.0,9.10665663368482,-0.0,DEBW_00000003aad,DEBW_00000003aad,very heavy,5,370000
