HOY,HeatingDemand,HeatingEnergy,CoolingDemand,CoolingEnergy,IndoorAir,OutsideTemp,SolarGains,COP,HeatingDemand_kWh_h,CoolingDemand_kWh_h,HeatingDemand_Wh_m2h,CoolingDemand_Wh_m2h,Building ID,Building ID [filename],Thermal class,Thermal class index,Thermal capacitance [J/m2K]
1,1246.7426719456944,1246.7426719456944,0.0,0.0,19.999999999999996,0.7,0.0,,1.2467426719456944,0.0,5.151829222916093,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
2,1332.408761093875,1332.408761093875,0.0,0.0,20.000000000000004,0.6,0.0,,1.332408761093875,0.0,5.5058213268341945,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
3,1394.4632224468755,1394.4632224468755,0.0,0.0,20.000000000000004,0.7,0.0,,1.3944632224468756,0.0,5.7622447208548575,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
4,1450.8341117115233,1450.8341117115233,0.0,0.0,20.000000000000004,0.8,0.0,,1.4508341117115233,0.0,5.995182279799683,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
5,1511.2742359984632,1511.2742359984632,0.0,0.0,20.000000000000007,0.8,0.0,,1.5112742359984632,0.0,6.244934859497782,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
6,1586.0645227673517,1586.0645227673517,0.0,0.0,20.0,0.6,0.0,,1.5860645227673518,0.0,6.553985631270049,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
7,1648.597098338398,1648.597098338398,0.0,0.0,20.000000000000004,0.5,0.0,,1.648597098338398,0.0,6.812384703877678,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
8,1707.8684348394106,1707.8684348394106,0.0,0.0,20.000000000000007,0.4,0.0,,1.7078684348394106,0.0,7.057307581981036,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
9,1758.11937738556,1758.11937738556,0.0,0.0,20.000000000000004,0.3,62.678,,1.7581193773855601,0.0,7.264956104899008,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
10,1762.0390939373915,1762.0390939373915,0.0,0.0,19.999999999999996,0.4,344.7289999999999,,1.7620390939373916,0.0,7.281153280733022,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
11,1741.4571063851506,1741.4571063851506,0.0,0.0,20.0,0.7,470.085,,1.7414571063851505,0.0,7.196103745393184,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
12,1731.6722780868877,1731.6722780868877,0.0,0.0,19.999999999999996,1.0,369.80019999999996,,1.7316722780868876,0.0,7.155670570606974,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
13,1733.0643424237392,1733.0643424237392,0.0,0.0,19.999999999999996,1.1,388.6036,,1.733064342423739,0.0,7.161422902577435,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
14,1764.0719815810637,1764.0719815810637,0.0,0.0,20.0,0.9,363.53239999999994,,1.7640719815810637,0.0,7.289553642896958,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
15,1811.7630691298432,1811.7630691298432,0.0,0.0,20.000000000000004,0.6,282.05099999999993,,1.8117630691298432,0.0,7.486624252602658,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
16,1878.8266152868216,1878.8266152868216,0.0,0.0,19.999999999999996,0.2,156.69499999999996,,1.8788266152868216,0.0,7.7637463441604195,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
17,1937.0691859552826,1937.0691859552826,0.0,0.0,19.999999999999996,0.0,18.803399999999996,,1.9370691859552827,0.0,8.004418123782159,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
18,1972.9386463352762,1972.9386463352762,0.0,0.0,20.000000000000007,0.0,0.0,,1.9729386463352763,0.0,8.15263903444329,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
19,1977.6863046818526,1977.6863046818526,0.0,0.0,19.999999999999996,0.3,0.0,,1.9776863046818525,0.0,8.172257457363028,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
20,1959.718609968841,1959.718609968841,0.0,0.0,20.000000000000004,0.8,0.0,,1.959718609968841,0.0,8.09801078499521,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
21,1936.89926924806,1936.89926924806,0.0,0.0,20.000000000000004,1.3,0.0,,1.93689926924806,0.0,8.003715988628347,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
22,1928.2661121127612,1928.2661121127612,0.0,0.0,20.000000000000004,1.6,0.0,,1.928266112112761,0.0,7.968041785589922,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
23,1953.946793770207,1953.946793770207,0.0,0.0,19.999999999999996,1.5,0.0,,1.953946793770207,0.0,8.074160304835566,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
24,2007.0462967232077,2007.0462967232077,0.0,0.0,19.999999999999996,1.1,0.0,,2.0070462967232077,0.0,8.29357973852565,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
25,2051.9020526278055,2051.9020526278055,0.0,0.0,19.999999999999996,0.8,0.0,,2.0519020526278053,0.0,8.478934101767791,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
26,2078.532845958042,2078.532845958042,0.0,0.0,19.999999999999996,0.7,0.0,,2.078532845958042,0.0,8.588978702305958,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
27,2095.135241940842,2095.135241940842,0.0,0.0,20.0,0.7,0.0,,2.095135241940842,0.0,8.657583644383646,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
28,2110.545657597995,2110.545657597995,0.0,0.0,19.999999999999996,0.7,0.0,,2.1105456575979953,0.0,8.7212630479256,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
29,2124.849671968725,2124.849671968725,0.0,0.0,19.999999999999996,0.7,0.0,,2.124849671968725,0.0,8.78037054532531,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
30,2147.471471068941,2147.471471068941,0.0,0.0,20.000000000000004,0.6,0.0,,2.147471471068941,0.0,8.873849054003887,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
31,2188.3869548388543,2188.3869548388543,0.0,0.0,20.000000000000004,0.3,0.0,,2.188386954838854,0.0,9.042921300987,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
32,2239.394624101921,2239.394624101921,0.0,0.0,19.999999999999996,-0.1,0.0,,2.239394624101921,0.0,9.253696793809592,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
33,2288.0575034641242,2288.0575034641242,0.0,0.0,20.0,-0.5,37.60679999999999,,2.2880575034641244,0.0,9.454783072165803,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
34,2306.091052677182,2306.091052677182,0.0,0.0,19.999999999999996,-0.7,188.03399999999996,,2.3060910526771816,0.0,9.529301870566867,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
35,2299.907301376397,2299.907301376397,0.0,0.0,20.000000000000004,-0.7,300.85439999999994,,2.299907301376397,0.0,9.503749179241309,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
36,2271.9590437202155,2271.9590437202155,0.0,0.0,20.0,-0.5,369.80019999999996,,2.2719590437202153,0.0,9.38826051124056,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
37,2243.0417174869153,2243.0417174869153,0.0,0.0,19.999999999999993,-0.3,394.87139999999994,,2.2430417174869155,0.0,9.268767427631882,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
38,2217.423554580955,2217.423554580955,0.0,0.0,20.0,-0.1,363.53239999999994,,2.217423554580955,0.0,9.162907250334525,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
39,2198.125499079175,2198.125499079175,0.0,0.0,20.0,0.1,282.05099999999993,,2.198125499079175,0.0,9.083163219335434,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
40,2196.2684546678165,2196.2684546678165,0.0,0.0,20.0,0.2,162.9628,,2.1962684546678166,0.0,9.075489482098416,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
41,2212.601998880262,2212.601998880262,0.0,0.0,20.0,0.2,25.071199999999997,,2.212601998880262,0.0,9.142983466447363,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
42,2226.4034924847087,2226.4034924847087,0.0,0.0,20.0,0.2,0.0,,2.226403492484709,0.0,9.200014431754996,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
43,2238.5310635873275,2238.5310635873275,0.0,0.0,20.000000000000004,0.2,0.0,,2.2385310635873275,0.0,9.250128361931106,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
44,2259.1326786459817,2259.1326786459817,0.0,0.0,20.000000000000007,0.1,0.0,,2.2591326786459818,0.0,9.335259002669346,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
45,2288.8282676812246,2288.8282676812246,0.0,0.0,20.000000000000004,-0.1,0.0,,2.2888282676812244,0.0,9.457968048269523,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
46,2328.1932524156177,2328.1932524156177,0.0,0.0,20.000000000000007,-0.4,0.0,,2.328193252415618,0.0,9.620633274444701,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
47,2387.106492959383,2387.106492959383,0.0,0.0,20.0,-0.9,0.0,,2.3871064929593833,0.0,9.864076417187533,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
48,2457.2764173466317,2457.2764173466317,0.0,0.0,19.999999999999996,-1.5,0.0,,2.4572764173466317,0.0,10.154034782424098,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
49,2529.778422890131,2529.778422890131,0.0,0.0,20.0,-2.1,0.0,,2.5297784228901308,0.0,10.453629846653433,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
50,2595.100325053049,2595.100325053049,0.0,0.0,20.000000000000004,-2.6,0.0,,2.595100325053049,0.0,10.723555062202681,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
51,2643.1845432879695,2643.1845432879695,0.0,0.0,20.000000000000007,-2.9,0.0,,2.6431845432879695,0.0,10.922250178875908,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
52,2682.156760479055,2682.156760479055,0.0,0.0,20.000000000000004,-3.1,0.0,,2.682156760479055,0.0,11.08329239867378,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
53,2739.4771027156644,2739.4771027156644,0.0,0.0,20.0,-3.5,0.0,,2.7394771027156644,0.0,11.320153317006877,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
54,2806.9401622373675,2806.9401622373675,0.0,0.0,20.0,-4.0,0.0,,2.8069401622373675,0.0,11.598926290237056,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
55,2866.356563162493,2866.356563162493,0.0,0.0,20.000000000000007,-4.4,0.0,,2.8663565631624928,0.0,11.844448608109476,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
56,2917.075691047562,2917.075691047562,0.0,0.0,20.000000000000004,-4.7,0.0,,2.917075691047562,0.0,12.054031781188273,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
57,2914.858613496692,2914.858613496692,0.0,0.0,20.0,-4.5,65.42560055368708,,2.9148586134966923,0.0,12.04487030370534,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
58,2816.3843096685323,2816.3843096685323,0.0,0.0,20.000000000000007,-3.8,578.0610903249315,,2.8163843096685324,0.0,11.637951692845174,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
59,2636.3647796192263,2636.3647796192263,0.0,0.0,20.0,-2.6,1072.2999159850997,,2.6363647796192264,0.0,10.89406933726953,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
60,2412.848457822149,2412.848457822149,0.0,0.0,20.0,-1.3,1551.294315411072,,2.412848457822149,0.0,9.970448172818799,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
61,2237.109965124289,2237.109965124289,0.0,0.0,20.0,-0.3,1482.117405476474,,2.2371099651242887,0.0,9.244256054232599,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
62,2126.441248873506,2126.441248873506,0.0,0.0,19.999999999999996,0.0,1469.4925584771875,,2.126441248873506,0.0,8.786947309394654,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
63,2099.0865406170883,2099.0865406170883,0.0,0.0,20.000000000000004,-0.2,1127.7909790168792,,2.099086540617088,0.0,8.673911324864001,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
64,2137.4512755673195,2137.4512755673195,0.0,0.0,20.000000000000004,-0.5,487.0980963613806,,2.1374512755673196,0.0,8.832443287468262,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
65,2174.237966719731,2174.237966719731,0.0,0.0,19.999999999999996,-0.5,37.60679999999999,,2.174237966719731,0.0,8.984454407932773,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
66,2190.388906831153,2190.388906831153,0.0,0.0,20.0,-0.4,0.0,,2.190388906831153,0.0,9.051193829880797,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
67,2203.127397116776,2203.127397116776,0.0,0.0,19.999999999999996,-0.3,0.0,,2.203127397116776,0.0,9.10383221949081,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
68,2232.412491404694,2232.412491404694,0.0,0.0,20.000000000000007,-0.4,0.0,,2.232412491404694,0.0,9.22484500580452,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
69,2279.512874546675,2279.512874546675,0.0,0.0,19.999999999999996,-0.7,0.0,,2.279512874546675,0.0,9.419474688209402,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
70,2345.6061453016537,2345.6061453016537,0.0,0.0,20.000000000000004,-1.2,0.0,,2.3456061453016535,0.0,9.69258737727956,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
71,2431.7853559236814,2431.7853559236814,0.0,0.0,20.000000000000004,-1.9,0.0,,2.4317853559236813,0.0,10.048699817866453,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
72,2520.375579871672,2520.375579871672,0.0,0.0,20.000000000000004,-2.6,0.0,,2.520375579871672,0.0,10.41477512343666,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
73,2611.20371680204,2611.20371680204,0.0,0.0,20.000000000000007,-3.3,0.0,,2.61120371680204,0.0,10.790098003314215,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
74,2676.0748406818816,2676.0748406818816,0.0,0.0,19.999999999999996,-3.7,0.0,,2.6760748406818817,0.0,11.058160498685462,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
75,2731.8570659725433,2731.8570659725433,0.0,0.0,20.000000000000004,-4.0,0.0,,2.731857065972543,0.0,11.288665561870014,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
76,2787.319357742662,2787.319357742662,0.0,0.0,19.999999999999996,-4.3,0.0,,2.787319357742662,0.0,11.517848585713478,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
77,2842.4846858372293,2842.4846858372293,0.0,0.0,20.0,-4.6,0.0,,2.8424846858372295,0.0,11.7458044869307,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
78,2906.7191221476573,2906.7191221476573,0.0,0.0,19.999999999999996,-5.0,0.0,,2.906719122147657,0.0,12.011236041932468,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
79,2961.9103712865244,2961.9103712865244,0.0,0.0,20.000000000000004,-5.3,0.0,,2.9619103712865242,0.0,12.239299054902993,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
80,3016.824116440102,3016.824116440102,0.0,0.0,20.000000000000004,-5.6,0.0,,3.016824116440102,0.0,12.466215357190505,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
81,3045.993460774125,3045.993460774125,0.0,0.0,20.000000000000007,-5.7,71.08645656245834,,3.0459934607741252,0.0,12.586749837909608,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
82,2989.0795718048525,2989.0795718048525,0.0,0.0,20.0,-5.3,493.9065243340373,,2.9890795718048526,0.0,12.351568478532448,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
83,2840.79364894548,2840.79364894548,0.0,0.0,19.999999999999996,-4.4,1072.6568326304262,,2.84079364894548,0.0,11.73881673117967,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
84,2668.8513429822838,2668.8513429822838,0.0,0.0,20.000000000000004,-3.3,1285.2218696187815,,2.6688513429822835,0.0,11.028311334637536,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
85,2486.983390130189,2486.983390130189,0.0,0.0,20.0,-2.2,1437.3840538540635,,2.486983390130189,0.0,10.276790868306566,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
86,2351.7208793140885,2351.7208793140885,0.0,0.0,19.999999999999996,-1.5,1379.4962769254782,,2.3517208793140885,0.0,9.717854873198712,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
87,2275.751334225201,2275.751334225201,0.0,0.0,19.999999999999996,-1.2,1145.465882542362,,2.275751334225201,0.0,9.403931133161988,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
88,2274.808470715849,2274.808470715849,0.0,0.0,20.000000000000004,-1.1,508.1150882469629,,2.274808470715849,0.0,9.400035002958054,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
89,2327.2557672566945,2327.2557672566945,0.0,0.0,20.000000000000004,-1.3,49.213158670805804,,2.3272557672566947,0.0,9.616759368829316,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
90,2379.9425344862007,2379.9425344862007,0.0,0.0,20.000000000000007,-1.6,0.0,,2.379942534486201,0.0,9.834473283000829,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
91,2459.2251085902967,2459.2251085902967,0.0,0.0,20.000000000000004,-2.2,0.0,,2.4592251085902967,0.0,10.162087225579738,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
92,2549.530266140718,2549.530266140718,0.0,0.0,19.999999999999996,-2.9,0.0,,2.549530266140718,0.0,10.535249033639332,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
93,2641.9502118476694,2641.9502118476694,0.0,0.0,20.000000000000004,-3.6,0.0,,2.641950211847669,0.0,10.917149635734171,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
94,2726.9883618731965,2726.9883618731965,0.0,0.0,20.0,-4.2,0.0,,2.7269883618731963,0.0,11.268546949889242,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
95,2785.2568651238757,2785.2568651238757,0.0,0.0,20.000000000000004,-4.5,0.0,,2.7852568651238756,0.0,11.509325888941635,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
96,2843.026930834733,2843.026930834733,0.0,0.0,20.0,-4.8,0.0,,2.843026930834733,0.0,11.748045168738566,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
97,2909.679095850514,2909.679095850514,0.0,0.0,20.000000000000004,-5.2,0.0,,2.909679095850514,0.0,12.023467338225265,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
98,3013.8382471263835,3013.8382471263835,0.0,0.0,20.000000000000004,-6.0,0.0,,3.0138382471263836,0.0,12.453877054241254,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
99,3111.0011082398287,3111.0011082398287,0.0,0.0,20.0,-6.7,0.0,,3.1110011082398286,0.0,12.85537648032987,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
100,3191.096901648289,3191.096901648289,0.0,0.0,20.000000000000007,-7.2,0.0,,3.1910969016482893,0.0,13.186350833257393,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
101,3206.170553635363,3206.170553635363,0.0,0.0,20.000000000000004,-7.0,0.0,,3.206170553635363,0.0,13.248638651385797,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
102,3199.01582059462,3199.01582059462,0.0,0.0,20.000000000000004,-6.6,0.0,,3.19901582059462,0.0,13.219073638820744,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
103,3178.116696194344,3178.116696194344,0.0,0.0,20.0,-6.1,0.0,,3.178116696194344,0.0,13.132713620637785,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
104,3189.955394505385,3189.955394505385,0.0,0.0,20.0,-6.0,0.0,,3.189955394505385,0.0,13.1816338615925,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
105,3198.8719406140917,3198.8719406140917,0.0,0.0,20.000000000000004,-6.0,106.55259999999997,,3.1988719406140915,0.0,13.21847909344666,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
106,3176.7993582564513,3176.7993582564513,0.0,0.0,20.000000000000004,-6.0,454.3010325139056,,3.1767993582564515,0.0,13.127270075439881,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
107,3110.1325258956117,3110.1325258956117,0.0,0.0,19.999999999999996,-5.7,743.1378505381465,,3.1101325258956116,0.0,12.851787297089304,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
108,3035.123932080877,3035.123932080877,0.0,0.0,20.000000000000004,-5.4,924.1888584374323,,3.035123932080877,0.0,12.541834430086269,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
109,2908.160306131866,2908.160306131866,0.0,0.0,20.000000000000007,-5.1,1536.9015360343608,,2.908160306131866,0.0,12.01719134765234,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
110,2876.8767978665487,2876.8767978665487,0.0,0.0,20.0,-5.1,1060.8235088319236,,2.8768767978665486,0.0,11.88792065234111,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
111,2881.486232084996,2881.486232084996,0.0,0.0,20.0,-5.2,671.0287298882051,,2.8814862320849963,0.0,11.90696790117767,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
112,2897.385882523079,2897.385882523079,0.0,0.0,20.000000000000004,-5.3,451.28159999999997,,2.897385882523079,0.0,11.972668936045782,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
113,2934.599953857708,2934.599953857708,0.0,0.0,20.000000000000004,-5.3,68.94579999999999,,2.934599953857708,0.0,12.126446090321107,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
114,2955.973810192366,2955.973810192366,0.0,0.0,19.999999999999996,-5.2,0.0,,2.955973810192366,0.0,12.214767810712255,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
115,2991.395942651143,2991.395942651143,0.0,0.0,20.000000000000004,-5.3,0.0,,2.9913959426511427,0.0,12.36114025888902,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
116,3044.192751129234,3044.192751129234,0.0,0.0,19.999999999999996,-5.6,0.0,,3.0441927511292337,0.0,12.579308888963777,-0.0,DEBW_00000004aae,DEBW_00000004aae,very heavy,5,370000
