Time;Hour of the year;Hour;Ambient temperature;Daily temperature;Hourly demand;Load Duration Curve;Dhw demand
[yyyy-MM-dd HH:mm:ss];[hoy];[h];[°C];[°C];[kWh/h];[kWh/h];[kWh/h]
2005-01-01 00:00:00;0;0;0,2;-0,8;757,1;1438,1;57,4
2005-01-01 01:00:00;1;1;-0,2;-0,8;777,3;1430,2;31,0
2005-01-01 02:00:00;2;2;-1,0;-0,8;817,1;1372,4;12,2
2005-01-01 03:00:00;3;3;-0,7;-0,8;803,0;1371,2;8,8
2005-01-01 04:00:00;4;4;-1,0;-0,8;815,8;1363,1;26,4
2005-01-01 05:00:00;5;5;-1,1;-0,8;819,0;1361,6;66,2
2005-01-01 06:00:00;6;6;-0,7;-0,8;802,6;1352,3;178,9
2005-01-01 07:00:00;7;7;-0,6;-0,8;986,6;1346,8;191,5
2005-01-01 08:00:00;8;8;-0,7;-0,8;993,1;1337,8;192,3
2005-01-01 09:00:00;9;9;0,5;-0,8;935,9;1334,3;201,6
2005-01-01 10:00:00;10;10;0,4;-0,8;939,9;1331,7;192,3
2005-01-01 11:00:00;11;11;1,5;-0,8;885,3;1330,7;186,5
2005-01-01 12:00:00;12;12;2,1;-0,8;858,4;1327,3;172,6
2005-01-01 13:00:00;13;13;2,0;-0,8;863,7;1323,3;151,7
2005-01-01 14:00:00;14;14;2,1;-0,8;861,1;1321,9;138,3
2005-01-01 15:00:00;15;15;1,5;-0,8;886,7;1321,4;129,1
2005-01-01 16:00:00;16;16;0,4;-0,8;942,0;1319,3;134,1
2005-01-01 17:00:00;17;17;-1,2;-0,8;1017,6;1312,6;166,4
2005-01-01 18:00:00;18;18;-2,6;-0,8;1085,0;1311,3;185,6
2005-01-01 19:00:00;19;19;-3,0;-0,8;1103,1;1310,7;229,6
2005-01-01 20:00:00;20;20;-3,2;-0,8;1114,3;1308,9;235,9
2005-01-01 21:00:00;21;21;-4,0;-0,8;1149,7;1308,0;220,0
2005-01-01 22:00:00;22;22;-4,5;-0,8;1175,6;1307,8;132,4
2005-01-01 23:00:00;23;23;-5,4;-0,8;1218,3;1307,8;83,0
2005-01-02 00:00:00;24;0;-6,2;-4,3;1065,4;1307,8;57,4
2005-01-02 01:00:00;25;1;-5,6;-4,3;1033,9;1305,3;31,0
2005-01-02 02:00:00;26;2;-5,7;-4,3;1041,6;1301,6;12,2
2005-01-02 03:00:00;27;3;-5,7;-4,3;1042,2;1300,0;8,8
2005-01-02 04:00:00;28;4;-5,4;-4,3;1027,9;1295,7;26,4
