# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	11.9	22.7	0.426
2	12.2	22.6	0.230
3	12.9	21.8	0.090
4	12.6	21.7	0.065
5	12.8	21.7	0.196
6	12.9	21.6	0.491
7	12.6	21.5	1.328
8	15.6	21.4	1.422
9	15.7	21.3	1.428
10	14.7	21.2	1.496
11	14.8	21.2	1.428
12	13.9	21.2	1.384
13	13.5	21.1	1.282
14	13.6	21.0	1.126
15	13.6	21.0	1.027
16	14.0	21.0	0.958
17	14.8	20.9	0.995
18	16.0	20.9	1.235
19	17.1	20.8	1.378
20	17.4	20.8	1.705
21	17.6	20.8	1.751
22	18.1	20.8	1.633
23	18.5	20.8	0.983
24	19.2	20.7	0.616
25	16.8	20.7	0.426
26	16.3	20.6	0.230
27	16.4	20.6	0.090
28	16.4	20.6	0.065
29	16.2	20.6	0.196
30	15.9	20.5	0.491
31	16.3	20.5	1.328
32	19.5	20.4	1.422
33	19.0	20.4	1.428
34	18.7	20.4	1.496
35	18.1	20.3	1.428
36	17.3	20.3	1.384
37	16.9	20.3	1.282
38	16.8	20.2	1.126
39	16.2	20.2	1.027
40	16.5	20.2	0.958
41	17.3	20.2	0.995
42	18.1	20.2	1.235
43	18.2	20.2	1.378
44	18.3	20.1	1.705
45	18.5	20.0	1.751
46	18.5	19.9	1.633
47	18.6	19.9	0.983
48	18.6	19.8	0.616
49	15.6	19.8	0.426
50	15.5	19.7	0.230
51	15.6	19.7	0.090
52	16.0	19.7	0.065
53	16.2	19.7	0.196
54	15.9	19.7	0.491
55	16.5	19.7	1.328
56	19.3	19.6	1.422
57	19.1	19.6	1.428
58	19.2	19.6	1.496
59	18.7	19.5	1.428
60	18.5	19.5	1.384
61	17.7	19.5	1.282
62	17.3	19.5	1.126
63	17.0	19.4	1.027
64	16.9	19.4	0.958
65	17.1	19.4	0.995
66	17.8	19.3	1.235
67	18.4	19.3	1.378
68	18.8	19.2	1.705
69	19.4	19.2	1.751
70	19.8	19.2	1.633
71	20.2	19.2	0.983
72	20.5	19.1	0.616
