# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	6.3	11.9	0.165
2	6.4	11.9	0.089
3	6.8	11.4	0.035
4	6.6	11.4	0.025
5	6.8	11.4	0.076
6	6.8	11.4	0.190
7	6.6	11.3	0.513
8	8.2	11.2	0.549
9	8.2	11.2	0.551
10	7.7	11.1	0.578
11	7.8	11.1	0.551
12	7.3	11.1	0.535
13	7.1	11.1	0.495
14	7.1	11.0	0.435
15	7.1	11.0	0.396
16	7.3	11.0	0.370
17	7.8	11.0	0.384
18	8.4	10.9	0.477
19	9.0	10.9	0.532
20	9.1	10.9	0.658
21	9.2	10.9	0.676
22	9.5	10.9	0.631
23	9.7	10.9	0.380
24	10.1	10.9	0.238
25	8.8	10.9	0.165
26	8.6	10.8	0.089
27	8.6	10.8	0.035
28	8.6	10.8	0.025
29	8.5	10.8	0.076
30	8.3	10.8	0.190
31	8.5	10.8	0.513
32	10.3	10.7	0.549
33	10.0	10.7	0.551
34	9.8	10.7	0.578
35	9.5	10.7	0.551
36	9.1	10.7	0.535
37	8.9	10.7	0.495
38	8.8	10.6	0.435
39	8.5	10.6	0.396
40	8.7	10.6	0.370
41	9.1	10.6	0.384
42	9.5	10.6	0.477
43	9.6	10.6	0.532
44	9.6	10.5	0.658
45	9.7	10.5	0.676
46	9.7	10.5	0.631
47	9.8	10.5	0.380
48	9.8	10.4	0.238
49	8.2	10.4	0.165
50	8.1	10.4	0.089
51	8.2	10.4	0.035
52	8.4	10.3	0.025
53	8.5	10.3	0.076
54	8.4	10.3	0.190
55	8.7	10.3	0.513
56	10.1	10.3	0.549
57	10.0	10.3	0.551
58	10.1	10.3	0.578
59	9.8	10.3	0.551
60	9.7	10.3	0.535
61	9.3	10.3	0.495
62	9.1	10.2	0.435
63	8.9	10.2	0.396
64	8.9	10.2	0.370
65	9.0	10.2	0.384
66	9.3	10.2	0.477
67	9.7	10.1	0.532
68	9.9	10.1	0.658
69	10.2	10.1	0.676
70	10.4	10.1	0.631
71	10.6	10.1	0.380
72	10.8	10.1	0.238
73	9.3	10.0	0.165
74	9.3	10.0	0.089
75	9.2	10.0	0.035
76	9.3	10.0	0.025
77	9.3	10.0	0.076
78	9.2	10.0	0.190
79	9.0	10.0	0.513
80	10.2	10.0	0.549
81	9.9	9.9	0.551
82	9.4	9.9	0.578
83	8.6	9.9	0.551
84	7.9	9.9	0.535
85	7.3	9.9	0.495
86	7.0	9.9	0.435
87	7.1	9.9	0.396
88	7.1	9.9	0.370
89	7.2	9.9	0.384
90	7.3	9.9	0.477
91	7.3	9.9	0.532
92	7.1	9.9	0.658
93	7.3	9.8	0.676
94	7.4	9.8	0.631
95	7.5	9.8	0.380
96	7.5	9.8	0.238
97	5.9	9.8	0.165
98	6.0	9.8	0.089
99	6.3	9.8	0.035
100	6.5	9.8	0.025
101	6.7	9.8	0.076
102	6.8	9.8	0.190
103	7.1	9.8	0.513
104	8.8	9.8	0.549
105	9.0	9.8	0.551
106	9.0	9.8	0.578
107	9.1	9.8	0.551
108	9.2	9.8	0.535
109	9.3	9.8	0.495
110	9.5	9.8	0.435
111	10.0	9.7	0.396
112	9.9	9.7	0.370
113	10.4	9.7	0.384
114	10.8	9.7	0.477
115	10.9	9.7	0.532
116	10.7	9.7	0.658
117	11.0	9.7	0.676
118	11.4	9.7	0.631
119	11.9	9.7	0.380
120	11.9	9.7	0.238
121	10.6	9.7	0.165
122	10.6	9.7	0.089
123	10.4	9.7	0.035
124	10.3	9.7	0.025
125	9.8	9.7	0.076
126	9.5	9.7	0.190
127	9.3	9.7	0.513
128	10.8	9.7	0.549
129	10.7	9.7	0.551
130	10.3	9.7	0.578
131	9.7	9.7	0.551
132	9.2	9.7	0.535
133	8.4	9.6	0.495
134	7.9	9.6	0.435
135	7.6	9.6	0.396
136	7.3	9.6	0.370
137	7.3	9.6	0.384
138	7.5	9.6	0.477
139	7.2	9.6	0.532
140	7.2	9.6	0.658
141	7.2	9.5	0.676
142	7.2	9.5	0.631
143	7.2	9.5	0.380
144	7.2	9.5	0.238
145	5.5	9.5	0.165
146	5.7	9.5	0.089
147	5.7	9.5	0.035
148	5.8	9.5	0.025
149	6.1	9.5	0.076
150	5.9	9.5	0.190
151	6.0	9.5	0.513
152	7.7	9.5	0.549
153	7.6	9.4	0.551
154	7.1	9.4	0.578
155	6.9	9.4	0.551
156	6.6	9.4	0.535
157	6.3	9.4	0.495
158	5.8	9.4	0.435
159	5.6	9.4	0.396
160	5.5	9.4	0.370
161	6.0	9.4	0.384
162	6.4	9.4	0.477
163	6.9	9.4	0.532
164	7.0	9.4	0.658
165	7.4	9.3	0.676
166	7.4	9.3	0.631
167	7.9	9.3	0.380
168	8.0	9.3	0.238
169	6.6	9.3	0.165
170	6.5	9.3	0.089
171	6.6	9.3	0.035
172	6.3	9.3	0.025
173	6.2	9.3	0.076
174	5.9	9.3	0.190
175	5.9	9.3	0.513
176	7.4	9.3	0.549
177	7.4	9.3	0.551
178	7.2	9.3	0.578
179	6.8	9.3	0.551
180	6.4	9.3	0.535
181	6.6	9.3	0.495
182	6.4	9.3	0.435
183	6.5	9.3	0.396
184	6.5	9.3	0.370
185	6.4	9.3	0.384
186	6.5	9.3	0.477
187	6.7	9.3	0.532
188	6.3	9.3	0.658
189	6.1	9.2	0.676
190	6.0	9.2	0.631
191	5.8	9.2	0.380
192	5.6	9.2	0.238
193	3.6	9.2	0.165
194	3.6	9.2	0.089
195	3.8	9.2	0.035
196	3.9	9.2	0.025
197	3.7	9.2	0.076
198	3.4	9.2	0.190
199	3.6	9.2	0.513
200	5.2	9.2	0.549
201	5.3	9.2	0.551
202	4.9	9.2	0.578
203	4.8	9.2	0.551
204	4.9	9.2	0.535
205	4.8	9.2	0.495
206	4.4	9.2	0.435
207	4.0	9.2	0.396
208	3.9	9.2	0.370
209	4.0	9.2	0.384
210	3.8	9.1	0.477
211	3.9	9.1	0.532
212	3.9	9.1	0.658
213	3.9	9.1	0.676
214	3.9	9.1	0.631
215	3.8	9.1	0.380
216	3.5	9.1	0.238
217	2.1	9.1	0.165
218	2.2	9.1	0.089
219	2.3	9.1	0.035
220	2.5	9.1	0.025
221	2.8	9.1	0.076
222	3.0	9.1	0.190
223	3.3	9.1	0.513
224	5.0	9.1	0.549
225	4.9	9.1	0.551
226	5.0	9.1	0.578
227	5.1	9.1	0.551
228	5.0	9.1	0.535
229	4.8	9.1	0.495
230	4.9	9.0	0.435
231	4.8	9.0	0.396
232	5.3	9.0	0.370
233	5.6	9.0	0.384
234	6.1	9.0	0.477
235	6.1	9.0	0.532
236	6.5	9.0	0.658
237	6.9	9.0	0.676
238	7.5	9.0	0.631
239	7.9	9.0	0.380
240	8.1	9.0	0.238
241	6.8	9.0	0.165
242	6.9	9.0	0.089
243	6.9	9.0	0.035
244	6.9	9.0	0.025
245	6.8	9.0	0.076
246	6.8	9.0	0.190
247	6.8	9.0	0.513
248	8.2	9.0	0.549
249	8.3	8.9	0.551
250	7.9	8.9	0.578
251	8.0	8.9	0.551
252	7.3	8.9	0.535
253	7.1	8.9	0.495
254	6.7	8.9	0.435
255	6.8	8.9	0.396
256	7.0	8.9	0.370
257	7.6	8.9	0.384
258	7.5	8.9	0.477
259	7.7	8.9	0.532
260	8.0	8.9	0.658
261	8.2	8.9	0.676
262	8.5	8.9	0.631
263	8.4	8.9	0.380
264	8.5	8.9	0.238
265	6.9	8.9	0.165
266	7.1	8.8	0.089
267	7.0	8.8	0.035
268	7.0	8.8	0.025
269	6.8	8.8	0.076
270	6.9	8.8	0.190
271	6.8	8.8	0.513
272	8.5	8.8	0.549
273	8.6	8.8	0.551
274	8.3	8.8	0.578
275	8.0	8.8	0.551
276	7.5	8.8	0.535
277	7.1	8.8	0.495
278	6.9	8.8	0.435
279	6.7	8.8	0.396
280	6.7	8.8	0.370
281	6.6	8.8	0.384
282	6.7	8.8	0.477
283	6.8	8.8	0.532
284	6.8	8.8	0.658
285	7.0	8.7	0.676
286	7.1	8.7	0.631
287	7.1	8.7	0.380
288	7.2	8.7	0.238
289	5.3	8.7	0.165
290	5.3	8.7	0.089
291	5.3	8.7	0.035
292	5.3	8.7	0.025
293	5.4	8.7	0.076
294	5.5	8.7	0.190
295	5.3	8.7	0.513
296	6.9	8.7	0.549
297	6.8	8.7	0.551
298	6.8	8.7	0.578
299	6.4	8.7	0.551
300	6.2	8.7	0.535
301	5.9	8.7	0.495
302	5.8	8.7	0.435
303	5.7	8.7	0.396
304	5.5	8.7	0.370
305	5.8	8.7	0.384
306	5.7	8.7	0.477
307	5.8	8.7	0.532
308	5.9	8.7	0.658
309	6.0	8.7	0.676
310	6.3	8.6	0.631
311	6.3	8.6	0.380
312	6.4	8.6	0.238
313	4.9	8.6	0.165
314	4.9	8.6	0.089
315	4.9	8.6	0.035
316	4.7	8.6	0.025
317	4.6	8.6	0.076
318	4.5	8.6	0.190
319	4.6	8.6	0.513
320	6.3	8.6	0.549
321	6.3	8.6	0.551
322	6.2	8.6	0.578
323	6.1	8.6	0.551
324	6.2	8.6	0.535
325	6.0	8.6	0.495
326	5.8	8.6	0.435
327	5.4	8.6	0.396
328	5.2	8.5	0.370
329	5.4	8.5	0.384
330	5.5	8.5	0.477
331	5.8	8.5	0.532
332	5.9	8.5	0.658
333	5.9	8.5	0.676
334	5.9	8.5	0.631
335	6.1	8.5	0.380
336	6.0	8.5	0.238
337	4.5	8.5	0.165
338	4.6	8.5	0.089
339	4.8	8.5	0.035
340	5.0	8.5	0.025
341	5.1	8.5	0.076
342	5.1	8.5	0.190
343	5.1	8.5	0.513
344	7.0	8.5	0.549
345	7.0	8.5	0.551
346	7.2	8.5	0.578
347	6.9	8.5	0.551
348	6.8	8.5	0.535
349	6.7	8.5	0.495
350	6.9	8.5	0.435
351	7.0	8.5	0.396
352	7.0	8.5	0.370
353	7.3	8.5	0.384
354	7.5	8.5	0.477
355	7.6	8.5	0.532
356	7.9	8.5	0.658
357	7.8	8.5	0.676
358	8.1	8.4	0.631
359	8.0	8.4	0.380
360	7.8	8.4	0.238
361	6.2	8.4	0.165
362	6.3	8.4	0.089
363	6.5	8.4	0.035
364	6.4	8.4	0.025
365	6.4	8.4	0.076
366	6.7	8.4	0.190
367	6.8	8.4	0.513
368	8.5	8.4	0.549
369	8.4	8.4	0.551
370	8.5	8.4	0.578
371	7.9	8.4	0.551
372	7.7	8.4	0.535
373	7.6	8.4	0.495
374	7.4	8.4	0.435
375	7.5	8.4	0.396
376	7.8	8.4	0.370
377	8.4	8.4	0.384
378	8.7	8.4	0.477
379	9.0	8.4	0.532
380	9.1	8.4	0.658
381	9.3	8.4	0.676
382	9.7	8.4	0.631
383	10.1	8.4	0.380
384	10.3	8.3	0.238
385	9.3	8.3	0.165
386	9.4	8.3	0.089
387	9.4	8.3	0.035
388	9.3	8.3	0.025
389	9.3	8.3	0.076
390	9.2	8.3	0.190
391	9.1	8.3	0.513
392	10.6	8.3	0.549
393	10.2	8.3	0.551
394	9.7	8.3	0.578
395	9.2	8.3	0.551
396	8.8	8.3	0.535
397	8.1	8.3	0.495
398	7.5	8.3	0.435
399	7.6	8.3	0.396
400	7.4	8.3	0.370
401	7.3	8.3	0.384
402	7.6	8.3	0.477
403	7.4	8.3	0.532
404	7.4	8.3	0.658
405	7.9	8.3	0.676
406	7.6	8.3	0.631
407	7.6	8.3	0.380
408	7.5	8.3	0.238
409	5.4	8.3	0.165
410	5.7	8.2	0.089
411	5.9	8.2	0.035
412	5.9	8.2	0.025
413	6.0	8.2	0.076
414	6.0	8.2	0.190
415	6.3	8.2	0.513
416	8.0	8.2	0.549
417	7.8	8.2	0.551
418	7.6	8.2	0.578
419	7.6	8.2	0.551
420	7.4	8.2	0.535
421	7.1	8.2	0.495
422	7.2	8.2	0.435
423	7.2	8.2	0.396
424	7.5	8.2	0.370
425	7.6	8.2	0.384
426	7.6	8.2	0.477
427	8.0	8.2	0.532
428	8.0	8.2	0.658
429	8.5	8.2	0.676
430	8.6	8.2	0.631
431	8.5	8.2	0.380
432	8.4	8.2	0.238
433	7.0	8.2	0.165
434	7.2	8.2	0.089
435	7.5	8.2	0.035
436	7.8	8.2	0.025
437	7.5	8.2	0.076
438	7.4	8.2	0.190
439	7.3	8.2	0.513
440	9.0	8.2	0.549
441	8.8	8.1	0.551
442	8.8	8.1	0.578
443	8.9	8.1	0.551
444	8.5	8.1	0.535
445	8.3	8.1	0.495
446	8.1	8.1	0.435
447	7.7	8.1	0.396
448	7.8	8.1	0.370
449	7.8	8.1	0.384
450	7.7	8.1	0.477
451	8.0	8.1	0.532
452	8.2	8.1	0.658
453	8.5	8.1	0.676
454	8.7	8.1	0.631
455	8.5	8.1	0.380
456	8.4	8.1	0.238
457	6.9	8.1	0.165
458	7.2	8.1	0.089
459	7.2	8.1	0.035
460	7.5	8.1	0.025
461	7.5	8.1	0.076
462	7.6	8.1	0.190
463	7.6	8.1	0.513
464	9.2	8.1	0.549
465	9.2	8.1	0.551
466	8.8	8.0	0.578
467	8.5	8.0	0.551
468	8.2	8.0	0.535
469	7.9	8.0	0.495
470	7.7	8.0	0.435
471	7.5	8.0	0.396
472	7.3	8.0	0.370
473	7.4	8.0	0.384
474	7.3	8.0	0.477
475	7.4	8.0	0.532
476	7.7	8.0	0.658
477	7.6	8.0	0.676
478	7.7	8.0	0.631
479	7.8	8.0	0.380
480	7.8	8.0	0.238
481	6.2	8.0	0.165
482	6.6	8.0	0.089
483	6.6	8.0	0.035
484	6.9	8.0	0.025
485	6.9	8.0	0.076
486	6.8	8.0	0.190
487	7.0	8.0	0.513
488	8.4	8.0	0.549
489	8.3	8.0	0.551
490	8.0	8.0	0.578
491	7.7	8.0	0.551
492	7.2	8.0	0.535
493	7.3	8.0	0.495
494	7.0	8.0	0.435
495	7.0	8.0	0.396
496	7.0	8.0	0.370
497	7.0	8.0	0.384
498	7.4	8.0	0.477
499	7.5	8.0	0.532
500	7.9	8.0	0.658
501	7.8	8.0	0.676
502	8.2	8.0	0.631
503	8.3	8.0	0.380
504	8.6	8.0	0.238
505	7.1	7.9	0.165
506	6.9	7.9	0.089
507	6.9	7.9	0.035
508	7.0	7.9	0.025
509	7.2	7.9	0.076
510	7.5	7.9	0.190
511	7.7	7.9	0.513
512	9.3	7.9	0.549
513	9.2	7.9	0.551
514	8.9	7.9	0.578
515	8.6	7.9	0.551
516	8.3	7.9	0.535
517	8.2	7.9	0.495
518	8.0	7.9	0.435
519	8.0	7.9	0.396
520	8.2	7.9	0.370
521	8.3	7.9	0.384
522	8.3	7.9	0.477
523	8.5	7.9	0.532
524	8.4	7.9	0.658
525	8.5	7.9	0.676
526	8.7	7.9	0.631
527	9.0	7.9	0.380
528	9.3	7.9	0.238
529	7.8	7.9	0.165
530	7.8	7.9	0.089
531	8.1	7.9	0.035
532	7.9	7.9	0.025
533	8.0	7.9	0.076
534	7.8	7.9	0.190
535	8.1	7.9	0.513
536	9.7	7.9	0.549
537	9.4	7.9	0.551
538	9.0	7.9	0.578
539	8.6	7.9	0.551
540	8.1	7.9	0.535
541	7.7	7.9	0.495
542	7.2	7.9	0.435
543	7.2	7.9	0.396
544	7.3	7.9	0.370
545	7.4	7.8	0.384
546	7.6	7.8	0.477
547	7.7	7.8	0.532
548	7.9	7.8	0.658
549	8.0	7.8	0.676
550	8.3	7.8	0.631
551	8.5	7.8	0.380
552	8.8	7.8	0.238
553	7.2	7.8	0.165
554	7.2	7.8	0.089
