# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	6.9	13.2	0.196
2	7.1	13.2	0.106
3	7.5	12.7	0.041
4	7.4	12.6	0.030
5	7.5	12.6	0.090
6	7.5	12.6	0.225
7	7.4	12.5	0.609
8	9.1	12.5	0.652
9	9.1	12.4	0.655
10	8.6	12.4	0.686
11	8.6	12.3	0.655
12	8.1	12.3	0.635
13	7.9	12.3	0.588
14	7.9	12.2	0.517
15	7.9	12.2	0.471
16	8.1	12.2	0.440
17	8.7	12.2	0.457
18	9.3	12.1	0.567
19	10.0	12.1	0.632
20	10.1	12.1	0.782
21	10.2	12.1	0.804
22	10.6	12.1	0.749
23	10.8	12.1	0.451
24	11.2	12.1	0.283
25	9.8	12.1	0.196
26	9.5	12.0	0.106
27	9.6	12.0	0.041
28	9.6	12.0	0.030
29	9.4	12.0	0.090
30	9.3	12.0	0.225
31	9.5	11.9	0.609
32	11.4	11.9	0.652
33	11.1	11.9	0.655
34	10.9	11.9	0.686
35	10.5	11.9	0.655
36	10.1	11.8	0.635
37	9.9	11.8	0.588
38	9.8	11.8	0.517
39	9.4	11.8	0.471
40	9.6	11.8	0.440
41	10.1	11.8	0.457
42	10.5	11.8	0.567
43	10.6	11.8	0.632
44	10.6	11.7	0.782
45	10.8	11.6	0.804
46	10.8	11.6	0.749
47	10.8	11.6	0.451
48	10.8	11.6	0.283
49	9.1	11.5	0.196
50	9.0	11.5	0.106
51	9.1	11.5	0.041
52	9.3	11.5	0.030
53	9.4	11.5	0.090
54	9.3	11.5	0.225
55	9.6	11.5	0.609
56	11.2	11.5	0.652
57	11.1	11.4	0.655
58	11.2	11.4	0.686
59	10.9	11.4	0.655
60	10.8	11.4	0.635
61	10.3	11.4	0.588
62	10.1	11.3	0.517
63	9.9	11.3	0.471
64	9.9	11.3	0.440
65	10.0	11.3	0.457
66	10.4	11.3	0.567
67	10.7	11.2	0.632
68	11.0	11.2	0.782
69	11.3	11.2	0.804
70	11.6	11.2	0.749
71	11.8	11.2	0.451
72	12.0	11.2	0.283
73	10.3	11.2	0.196
74	10.3	11.1	0.106
75	10.2	11.1	0.041
76	10.3	11.1	0.030
77	10.3	11.1	0.090
78	10.2	11.1	0.225
79	10.0	11.1	0.609
80	11.3	11.1	0.652
81	11.0	11.0	0.655
82	10.4	11.0	0.686
83	9.5	11.0	0.655
84	8.8	11.0	0.635
85	8.1	11.0	0.588
86	7.8	11.0	0.517
87	7.9	11.0	0.471
88	7.8	11.0	0.440
89	8.0	11.0	0.457
90	8.1	11.0	0.567
91	8.0	11.0	0.632
92	7.8	10.9	0.782
93	8.1	10.9	0.804
94	8.2	10.9	0.749
95	8.3	10.9	0.451
96	8.3	10.9	0.283
97	6.6	10.9	0.196
98	6.6	10.9	0.106
99	7.0	10.9	0.041
100	7.2	10.9	0.030
101	7.5	10.9	0.090
102	7.6	10.9	0.225
103	7.9	10.9	0.609
104	9.8	10.9	0.652
105	10.0	10.8	0.655
106	10.0	10.8	0.686
107	10.1	10.8	0.655
108	10.2	10.8	0.635
109	10.3	10.8	0.588
110	10.5	10.8	0.517
111	11.1	10.8	0.471
112	11.0	10.8	0.440
113	11.5	10.8	0.457
114	12.0	10.8	0.567
115	12.1	10.8	0.632
116	11.8	10.8	0.782
117	12.2	10.8	0.804
118	12.6	10.8	0.749
119	13.2	10.8	0.451
120	13.2	10.8	0.283
121	11.8	10.8	0.196
122	11.8	10.8	0.106
123	11.5	10.7	0.041
124	11.5	10.7	0.030
125	10.9	10.7	0.090
126	10.5	10.7	0.225
127	10.4	10.7	0.609
128	12.0	10.7	0.652
129	11.8	10.7	0.655
130	11.4	10.7	0.686
131	10.7	10.7	0.655
132	10.2	10.7	0.635
133	9.4	10.7	0.588
134	8.8	10.7	0.517
135	8.5	10.6	0.471
136	8.1	10.6	0.440
137	8.1	10.6	0.457
138	8.3	10.6	0.567
139	8.0	10.6	0.632
140	8.0	10.6	0.782
141	8.0	10.6	0.804
142	8.0	10.6	0.749
143	8.0	10.6	0.451
144	8.0	10.6	0.283
145	6.1	10.6	0.196
146	6.3	10.6	0.106
147	6.3	10.5	0.041
148	6.5	10.5	0.030
149	6.8	10.5	0.090
150	6.6	10.5	0.225
151	6.6	10.5	0.609
152	8.6	10.5	0.652
153	8.4	10.5	0.655
154	7.9	10.5	0.686
155	7.7	10.4	0.655
156	7.3	10.4	0.635
157	7.0	10.4	0.588
158	6.4	10.4	0.517
159	6.2	10.4	0.471
160	6.1	10.4	0.440
161	6.7	10.4	0.457
162	7.1	10.4	0.567
163	7.6	10.4	0.632
164	7.7	10.4	0.782
165	8.2	10.4	0.804
166	8.3	10.4	0.749
167	8.8	10.4	0.451
168	8.9	10.4	0.283
169	7.3	10.4	0.196
170	7.2	10.4	0.106
171	7.3	10.4	0.041
172	7.0	10.3	0.030
173	6.9	10.3	0.090
174	6.6	10.3	0.225
175	6.6	10.3	0.609
176	8.2	10.3	0.652
177	8.2	10.3	0.655
178	8.0	10.3	0.686
179	7.5	10.3	0.655
180	7.1	10.3	0.635
181	7.3	10.3	0.588
182	7.1	10.3	0.517
183	7.3	10.3	0.471
184	7.2	10.3	0.440
185	7.1	10.3	0.457
186	7.2	10.3	0.567
187	7.4	10.3	0.632
188	7.0	10.3	0.782
189	6.7	10.2	0.804
190	6.7	10.2	0.749
191	6.4	10.2	0.451
192	6.2	10.2	0.283
193	4.0	10.2	0.196
194	4.0	10.2	0.106
195	4.3	10.2	0.041
196	4.3	10.2	0.030
197	4.1	10.2	0.090
198	3.8	10.2	0.225
199	4.0	10.2	0.609
200	5.7	10.2	0.652
201	5.9	10.2	0.655
202	5.4	10.2	0.686
203	5.4	10.2	0.655
204	5.4	10.2	0.635
205	5.3	10.2	0.588
206	4.9	10.2	0.517
207	4.5	10.2	0.471
208	4.3	10.2	0.440
209	4.4	10.2	0.457
210	4.3	10.2	0.567
211	4.3	10.2	0.632
212	4.3	10.2	0.782
213	4.3	10.2	0.804
214	4.3	10.1	0.749
215	4.2	10.1	0.451
216	3.9	10.1	0.283
217	2.3	10.1	0.196
218	2.4	10.1	0.106
219	2.6	10.1	0.041
220	2.8	10.1	0.030
221	3.1	10.1	0.090
222	3.3	10.1	0.225
223	3.6	10.1	0.609
224	5.5	10.1	0.652
225	5.5	10.1	0.655
226	5.6	10.1	0.686
227	5.6	10.1	0.655
228	5.5	10.1	0.635
