# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	4.8	7.5	0.397
2	4.9	7.5	0.215
3	5.1	7.3	0.084
4	5.1	7.3	0.061
5	5.1	7.3	0.183
6	5.1	7.3	0.458
7	5.1	7.1	1.239
8	5.0	7.0	1.326
9	5.1	7.0	1.332
10	4.8	7.0	1.396
11	4.8	7.0	1.332
12	4.5	7.0	1.291
13	4.4	7.0	1.195
14	4.4	6.9	1.050
15	4.4	6.9	0.957
16	4.5	6.9	0.894
17	4.8	6.9	0.928
18	5.2	6.9	1.152
19	5.5	6.9	1.285
20	5.6	6.9	1.590
21	5.7	6.8	1.633
22	5.9	6.8	1.523
23	6.0	6.8	0.917
24	6.2	6.8	0.574
25	6.4	6.8	0.397
26	6.2	6.8	0.215
27	6.3	6.8	0.084
28	6.3	6.8	0.061
29	6.2	6.8	0.183
30	6.1	6.8	0.458
31	6.2	6.7	1.239
32	6.3	6.7	1.326
33	6.1	6.7	1.332
34	6.0	6.7	1.396
35	5.8	6.7	1.332
36	5.6	6.7	1.291
37	5.5	6.7	1.195
38	5.4	6.7	1.050
39	5.2	6.7	0.957
40	5.3	6.7	0.894
41	5.6	6.7	0.928
42	5.8	6.7	1.152
43	5.9	6.7	1.285
44	5.9	6.7	1.590
45	6.0	6.7	1.633
46	6.0	6.7	1.523
47	6.0	6.7	0.917
48	6.0	6.7	0.574
49	6.0	6.7	0.397
50	6.0	6.7	0.215
51	6.0	6.7	0.084
52	6.1	6.6	0.061
53	6.2	6.6	0.183
54	6.1	6.6	0.458
55	6.3	6.6	1.239
56	6.2	6.6	1.326
57	6.2	6.6	1.332
58	6.2	6.6	1.396
59	6.0	6.6	1.332
60	6.0	6.6	1.291
61	5.7	6.6	1.195
62	5.6	6.6	1.050
63	5.5	6.6	0.957
64	5.5	6.6	0.894
65	5.5	6.6	0.928
66	5.7	6.6	1.152
67	5.9	6.6	1.285
68	6.1	6.5	1.590
69	6.3	6.5	1.633
70	6.4	6.5	1.523
71	6.5	6.5	0.917
72	6.6	6.5	0.574
73	6.7	6.5	0.397
74	6.7	6.5	0.215
75	6.6	6.5	0.084
76	6.7	6.5	0.061
77	6.7	6.5	0.183
78	6.6	6.5	0.458
79	6.5	6.5	1.239
80	6.3	6.5	1.326
81	6.1	6.4	1.332
82	5.8	6.4	1.396
83	5.3	6.4	1.332
84	4.9	6.4	1.291
85	4.5	6.4	1.195
86	4.3	6.4	1.050
87	4.4	6.4	0.957
88	4.3	6.4	0.894
89	4.4	6.4	0.928
90	4.5	6.3	1.152
91	4.5	6.3	1.285
92	4.3	6.3	1.590
93	4.5	6.3	1.633
94	4.6	6.3	1.523
95	4.6	6.3	0.917
96	4.6	6.3	0.574
97	4.6	6.3	0.397
98	4.7	6.3	0.215
99	4.9	6.3	0.084
100	5.0	6.3	0.061
101	5.1	6.2	0.183
102	5.2	6.2	0.458
103	5.4	6.2	1.239
104	5.4	6.2	1.326
105	5.5	6.2	1.332
106	5.5	6.2	1.396
107	5.6	6.2	1.332
108	5.7	6.2	1.291
109	5.7	6.2	1.195
110	5.8	6.2	1.050
111	6.1	6.2	0.957
112	6.1	6.2	0.894
113	6.4	6.2	0.928
114	6.6	6.2	1.152
115	6.7	6.2	1.285
116	6.6	6.2	1.590
117	6.7	6.1	1.633
118	7.0	6.1	1.523
119	7.3	6.1	0.917
120	7.3	6.1	0.574
121	7.5	6.1	0.397
122	7.5	6.1	0.215
123	7.3	6.1	0.084
124	7.3	6.1	0.061
125	7.0	6.1	0.183
126	6.8	6.1	0.458
127	6.7	6.1	1.239
128	6.7	6.1	1.326
129	6.6	6.1	1.332
130	6.3	6.1	1.396
131	5.9	6.1	1.332
132	5.6	6.1	1.291
133	5.2	6.0	1.195
134	4.8	6.0	1.050
135	4.7	6.0	0.957
136	4.5	6.0	0.894
137	4.5	6.0	0.928
138	4.6	6.0	1.152
139	4.4	6.0	1.285
140	4.4	6.0	1.590
141	4.4	6.0	1.633
142	4.4	6.0	1.523
143	4.5	6.0	0.917
144	4.4	6.0	0.574
145	4.4	6.0	0.397
146	4.5	6.0	0.215
147	4.5	6.0	0.084
148	4.5	6.0	0.061
149	4.7	6.0	0.183
150	4.6	6.0	0.458
151	4.7	6.0	1.239
152	4.8	6.0	1.326
153	4.7	6.0	1.332
154	4.4	6.0	1.396
155	4.3	6.0	1.332
156	4.0	6.0	1.291
157	3.9	5.9	1.195
158	3.5	5.9	1.050
159	3.4	5.9	0.957
160	3.4	5.9	0.894
161	3.7	5.9	0.928
162	3.9	5.9	1.152
163	4.2	5.9	1.285
164	4.3	5.9	1.590
165	4.5	5.9	1.633
166	4.6	5.9	1.523
167	4.9	5.9	0.917
168	4.9	5.9	0.574
169	5.0	5.9	0.397
170	5.0	5.9	0.215
171	5.0	5.9	0.084
172	4.9	5.9	0.061
173	4.8	5.9	0.183
174	4.6	5.9	0.458
175	4.6	5.9	1.239
176	4.5	5.9	1.326
177	4.5	5.9	1.332
178	4.4	5.9	1.396
179	4.2	5.9	1.332
180	4.0	5.9	1.291
181	4.0	5.9	1.195
182	3.9	5.9	1.050
183	4.0	5.9	0.957
184	4.0	5.9	0.894
185	3.9	5.9	0.928
186	4.0	5.8	1.152
187	4.1	5.8	1.285
188	3.9	5.8	1.590
189	3.7	5.8	1.633
190	3.7	5.8	1.523
191	3.5	5.8	0.917
192	3.4	5.8	0.574
193	3.2	5.8	0.397
194	3.2	5.8	0.215
195	3.3	5.8	0.084
196	3.4	5.8	0.061
197	3.2	5.8	0.183
198	3.1	5.8	0.458
199	3.2	5.8	1.239
200	3.2	5.8	1.326
201	3.3	5.8	1.332
202	3.0	5.8	1.396
203	3.0	5.8	1.332
204	3.0	5.8	1.291
205	3.0	5.8	1.195
206	2.7	5.8	1.050
207	2.5	5.8	0.957
208	2.4	5.8	0.894
209	2.4	5.8	0.928
210	2.4	5.8	1.152
211	2.4	5.8	1.285
212	2.4	5.8	1.590
213	2.4	5.7	1.633
214	2.4	5.7	1.523
215	2.3	5.7	0.917
216	2.2	5.7	0.574
217	2.2	5.7	0.397
218	2.3	5.7	0.215
219	2.4	5.7	0.084
220	2.5	5.7	0.061
221	2.7	5.7	0.183
222	2.8	5.7	0.458
223	3.0	5.7	1.239
224	3.0	5.7	1.326
225	3.0	5.7	1.332
226	3.1	5.7	1.396
227	3.1	5.7	1.332
228	3.0	5.7	1.291
229	3.0	5.7	1.195
230	3.0	5.7	1.050
231	3.0	5.7	0.957
232	3.3	5.7	0.894
233	3.5	5.7	0.928
234	3.7	5.7	1.152
235	3.8	5.7	1.285
236	4.0	5.7	1.590
237	4.2	5.7	1.633
238	4.6	5.7	1.523
239	4.8	5.7	0.917
240	5.0	5.7	0.574
241	5.2	5.7	0.397
242	5.2	5.7	0.215
243	5.2	5.7	0.084
244	5.2	5.7	0.061
245	5.2	5.7	0.183
246	5.1	5.6	0.458
247	5.1	5.6	1.239
248	5.0	5.6	1.326
249	5.1	5.6	1.332
250	4.9	5.6	1.396
251	4.9	5.6	1.332
252	4.5	5.6	1.291
253	4.4	5.6	1.195
254	4.1	5.6	1.050
255	4.2	5.6	0.957
256	4.3	5.6	0.894
257	4.7	5.6	0.928
258	4.6	5.6	1.152
259	4.7	5.6	1.285
260	4.9	5.6	1.590
261	5.0	5.6	1.633
262	5.2	5.6	1.523
263	5.2	5.6	0.917
264	5.2	5.6	0.574
265	5.2	5.6	0.397
266	5.3	5.6	0.215
267	5.3	5.6	0.084
268	5.3	5.6	0.061
269	5.2	5.6	0.183
270	5.2	5.6	0.458
271	5.2	5.6	1.239
272	5.2	5.6	1.326
273	5.3	5.6	1.332
274	5.1	5.6	1.396
275	4.9	5.6	1.332
276	4.6	5.6	1.291
277	4.4	5.6	1.195
278	4.2	5.6	1.050
279	4.1	5.6	0.957
280	4.1	5.6	0.894
281	4.1	5.6	0.928
282	4.1	5.6	1.152
283	4.2	5.6	1.285
284	4.2	5.6	1.590
285	4.3	5.6	1.633
286	4.4	5.6	1.523
287	4.3	5.5	0.917
288	4.4	5.5	0.574
289	4.3	5.5	0.397
290	4.3	5.5	0.215
291	4.2	5.5	0.084
292	4.2	5.5	0.061
293	4.3	5.5	0.183
294	4.3	5.5	0.458
295	4.2	5.5	1.239
296	4.2	5.5	1.326
297	4.2	5.5	1.332
298	4.2	5.5	1.396
299	4.0	5.5	1.332
300	3.8	5.5	1.291
301	3.6	5.5	1.195
302	3.6	5.5	1.050
303	3.5	5.5	0.957
304	3.4	5.5	0.894
305	3.6	5.5	0.928
306	3.5	5.5	1.152
307	3.6	5.5	1.285
308	3.6	5.5	1.590
309	3.7	5.5	1.633
310	3.9	5.5	1.523
311	3.9	5.5	0.917
312	3.9	5.5	0.574
313	4.0	5.5	0.397
314	4.0	5.5	0.215
315	4.0	5.5	0.084
316	3.9	5.5	0.061
317	3.8	5.5	0.183
318	3.7	5.5	0.458
319	3.8	5.5	1.239
320	3.9	5.5	1.326
321	3.9	5.5	1.332
322	3.8	5.5	1.396
323	3.8	5.5	1.332
324	3.8	5.5	1.291
325	3.7	5.5	1.195
