# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	6.1	9.4	0.125
2	6.2	9.4	0.068
3	6.4	9.2	0.026
4	6.4	9.2	0.019
5	6.4	9.2	0.057
6	6.5	9.1	0.144
7	6.4	8.8	0.390
8	6.3	8.8	0.417
9	6.4	8.5	0.419
10	6.0	8.5	0.439
11	6.0	8.5	0.419
12	5.7	8.4	0.406
13	5.5	8.4	0.376
14	5.5	8.4	0.330
15	5.5	8.4	0.301
16	5.7	8.4	0.281
17	6.0	8.4	0.292
18	6.5	8.4	0.362
19	6.9	8.4	0.404
20	7.1	8.4	0.500
21	7.1	8.4	0.514
22	7.4	8.4	0.479
23	7.5	8.3	0.288
24	7.8	8.3	0.181
25	8.0	8.3	0.125
26	7.8	8.3	0.068
27	7.9	8.3	0.026
28	7.9	8.3	0.019
29	7.8	8.2	0.057
30	7.7	8.2	0.144
31	7.8	8.2	0.390
32	7.9	8.2	0.417
33	7.7	8.2	0.419
34	7.6	8.2	0.439
35	7.3	8.2	0.419
36	7.0	8.1	0.406
37	6.9	8.1	0.376
38	6.8	8.1	0.330
39	6.6	8.1	0.301
40	6.7	8.1	0.281
41	7.0	8.1	0.292
42	7.3	8.0	0.362
43	7.4	8.0	0.404
44	7.4	8.0	0.500
45	7.5	8.0	0.514
46	7.5	8.0	0.479
47	7.5	8.0	0.288
48	7.5	8.0	0.181
49	7.5	8.0	0.125
50	7.5	8.0	0.068
51	7.6	7.9	0.026
52	7.7	7.9	0.019
53	7.8	7.9	0.057
54	7.7	7.9	0.144
55	7.9	7.9	0.390
56	7.8	7.9	0.417
57	7.7	7.9	0.419
58	7.8	7.9	0.439
59	7.6	7.9	0.419
60	7.5	7.9	0.406
61	7.2	7.9	0.376
62	7.0	7.9	0.330
63	6.9	7.9	0.301
64	6.9	7.9	0.281
65	6.9	7.9	0.292
66	7.2	7.9	0.362
67	7.5	7.8	0.404
68	7.6	7.8	0.500
69	7.9	7.8	0.514
70	8.0	7.8	0.479
71	8.2	7.8	0.288
72	8.3	7.8	0.181
73	8.4	7.8	0.125
74	8.4	7.8	0.068
75	8.3	7.8	0.026
76	8.4	7.8	0.019
77	8.4	7.8	0.057
78	8.3	7.8	0.144
79	8.2	7.8	0.390
80	7.9	7.7	0.417
81	7.7	7.7	0.419
82	7.3	7.7	0.439
83	6.6	7.7	0.419
84	6.1	7.7	0.406
85	5.6	7.7	0.376
86	5.4	7.7	0.330
87	5.5	7.7	0.301
88	5.5	7.7	0.281
89	5.6	7.7	0.292
90	5.6	7.7	0.362
91	5.6	7.7	0.404
92	5.5	7.7	0.500
93	5.6	7.7	0.514
94	5.7	7.6	0.479
95	5.8	7.6	0.288
96	5.8	7.6	0.181
97	5.8	7.6	0.125
98	5.9	7.6	0.068
99	6.1	7.6	0.026
100	6.2	7.6	0.019
101	6.4	7.6	0.057
102	6.5	7.6	0.144
103	6.7	7.6	0.390
104	6.8	7.6	0.417
105	7.0	7.6	0.419
106	6.9	7.6	0.439
107	7.1	7.6	0.419
108	7.1	7.6	0.406
109	7.1	7.5	0.376
110	7.3	7.5	0.330
111	7.7	7.5	0.301
112	7.6	7.5	0.281
113	8.0	7.5	0.292
114	8.3	7.5	0.362
115	8.4	7.5	0.404
116	8.2	7.5	0.500
117	8.5	7.5	0.514
118	8.8	7.5	0.479
119	9.1	7.5	0.288
120	9.2	7.5	0.181
121	9.4	7.5	0.125
122	9.4	7.5	0.068
123	9.2	7.5	0.026
124	9.2	7.5	0.019
125	8.8	7.5	0.057
126	8.5	7.5	0.144
127	8.4	7.5	0.390
128	8.4	7.5	0.417
129	8.2	7.5	0.419
130	7.9	7.5	0.439
131	7.5	7.5	0.419
132	7.1	7.5	0.406
133	6.6	7.5	0.376
134	6.1	7.5	0.330
135	6.0	7.5	0.301
136	5.7	7.4	0.281
137	5.7	7.4	0.292
138	5.8	7.4	0.362
139	5.6	7.4	0.404
140	5.6	7.4	0.500
141	5.6	7.4	0.514
142	5.6	7.4	0.479
143	5.6	7.4	0.288
144	5.6	7.4	0.181
145	5.5	7.4	0.125
146	5.6	7.4	0.068
147	5.6	7.4	0.026
148	5.7	7.4	0.019
149	5.9	7.4	0.057
150	5.8	7.4	0.144
151	5.9	7.4	0.390
152	6.0	7.4	0.417
153	5.9	7.4	0.419
154	5.5	7.4	0.439
155	5.3	7.4	0.419
156	5.1	7.4	0.406
157	4.9	7.4	0.376
158	4.4	7.4	0.330
159	4.3	7.4	0.301
160	4.2	7.3	0.281
161	4.6	7.3	0.292
162	4.9	7.3	0.362
163	5.3	7.3	0.404
164	5.4	7.3	0.500
165	5.7	7.3	0.514
166	5.7	7.3	0.479
167	6.1	7.3	0.288
168	6.2	7.3	0.181
169	6.3	7.3	0.125
170	6.3	7.3	0.068
171	6.3	7.3	0.026
172	6.1	7.3	0.019
173	6.0	7.3	0.057
174	5.8	7.3	0.144
175	5.8	7.3	0.390
176	5.7	7.3	0.417
177	5.7	7.3	0.419
178	5.6	7.3	0.439
179	5.2	7.3	0.419
180	5.0	7.3	0.406
181	5.1	7.3	0.376
182	4.9	7.3	0.330
183	5.1	7.3	0.301
184	5.0	7.3	0.281
185	5.0	7.3	0.292
186	5.0	7.3	0.362
187	5.2	7.3	0.404
188	4.9	7.3	0.500
189	4.7	7.3	0.514
190	4.7	7.3	0.479
191	4.5	7.3	0.288
192	4.3	7.3	0.181
193	4.0	7.2	0.125
194	4.1	7.2	0.068
195	4.2	7.2	0.026
196	4.3	7.2	0.019
197	4.1	7.2	0.057
