# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	3.8	7.1	0.088
2	3.9	7.1	0.047
3	4.1	6.9	0.019
4	4.0	6.8	0.013
5	4.0	6.8	0.040
6	4.1	6.8	0.101
7	4.0	6.8	0.274
8	4.9	6.7	0.293
9	4.9	6.7	0.294
10	4.6	6.7	0.309
11	4.7	6.7	0.294
12	4.4	6.7	0.285
13	4.3	6.6	0.264
14	4.3	6.6	0.232
15	4.3	6.6	0.212
16	4.4	6.6	0.198
17	4.7	6.6	0.205
18	5.1	6.6	0.255
19	5.4	6.6	0.284
20	5.5	6.6	0.351
21	5.5	6.5	0.361
22	5.7	6.5	0.337
23	5.8	6.5	0.203
24	6.1	6.5	0.127
25	5.3	6.5	0.088
26	5.1	6.5	0.047
27	5.2	6.5	0.019
28	5.2	6.5	0.013
29	5.1	6.5	0.040
30	5.0	6.5	0.101
31	5.1	6.4	0.274
32	6.2	6.4	0.293
33	6.0	6.4	0.294
34	5.9	6.4	0.309
35	5.7	6.4	0.294
36	5.5	6.4	0.285
37	5.3	6.4	0.264
38	5.3	6.4	0.232
39	5.1	6.4	0.212
40	5.2	6.4	0.198
41	5.4	6.4	0.205
42	5.7	6.4	0.255
43	5.7	6.4	0.284
44	5.7	6.3	0.351
45	5.8	6.3	0.361
46	5.8	6.3	0.337
47	5.9	6.3	0.203
48	5.9	6.2	0.127
49	4.9	6.2	0.088
50	4.9	6.2	0.047
51	4.9	6.2	0.019
52	5.0	6.2	0.013
53	5.1	6.2	0.040
54	5.0	6.2	0.101
55	5.2	6.2	0.274
56	6.1	6.2	0.293
57	6.0	6.2	0.294
58	6.0	6.2	0.309
59	5.9	6.2	0.294
60	5.8	6.2	0.285
61	5.6	6.1	0.264
62	5.4	6.1	0.232
63	5.3	6.1	0.212
64	5.3	6.1	0.198
65	5.4	6.1	0.205
66	5.6	6.1	0.255
67	5.8	6.1	0.284
68	5.9	6.1	0.351
69	6.1	6.1	0.361
70	6.2	6.0	0.337
71	6.4	6.0	0.203
72	6.5	6.0	0.127
73	5.6	6.0	0.088
74	5.6	6.0	0.047
75	5.5	6.0	0.019
76	5.6	6.0	0.013
77	5.6	6.0	0.040
78	5.5	6.0	0.101
79	5.4	6.0	0.274
80	6.1	6.0	0.293
81	6.0	6.0	0.294
82	5.6	6.0	0.309
83	5.1	6.0	0.294
84	4.7	6.0	0.285
85	4.4	6.0	0.264
86	4.2	5.9	0.232
87	4.3	5.9	0.212
88	4.2	5.9	0.198
89	4.3	5.9	0.205
90	4.4	5.9	0.255
91	4.3	5.9	0.284
92	4.2	5.9	0.351
93	4.4	5.9	0.361
94	4.5	5.9	0.337
95	4.5	5.9	0.203
96	4.5	5.9	0.127
97	3.6	5.9	0.088
98	3.6	5.9	0.047
99	3.8	5.9	0.019
100	3.9	5.9	0.013
101	4.0	5.9	0.040
102	4.1	5.9	0.101
103	4.3	5.9	0.274
104	5.3	5.9	0.293
105	5.4	5.9	0.294
106	5.4	5.9	0.309
107	5.5	5.9	0.294
108	5.5	5.9	0.285
109	5.5	5.8	0.264
110	5.7	5.8	0.232
111	6.0	5.8	0.212
112	5.9	5.8	0.198
113	6.2	5.8	0.205
114	6.5	5.8	0.255
115	6.5	5.8	0.284
116	6.4	5.8	0.351
117	6.6	5.8	0.361
118	6.8	5.8	0.337
119	7.1	5.8	0.203
120	7.1	5.8	0.127
121	6.4	5.8	0.088
122	6.4	5.8	0.047
123	6.2	5.8	0.019
124	6.2	5.8	0.013
125	5.9	5.8	0.040
126	5.7	5.8	0.101
127	5.6	5.8	0.274
128	6.5	5.8	0.293
129	6.4	5.8	0.294
130	6.2	5.8	0.309
131	5.8	5.8	0.294
132	5.5	5.8	0.285
133	5.1	5.8	0.264
134	4.7	5.8	0.232
135	4.6	5.8	0.212
136	4.4	5.8	0.198
137	4.4	5.7	0.205
138	4.5	5.7	0.255
139	4.3	5.7	0.284
140	4.3	5.7	0.351
141	4.3	5.7	0.361
142	4.3	5.7	0.337
143	4.3	5.7	0.203
144	4.3	5.7	0.127
145	3.3	5.7	0.088
146	3.4	5.7	0.047
147	3.4	5.7	0.019
148	3.5	5.7	0.013
149	3.7	5.7	0.040
150	3.6	5.7	0.101
151	3.6	5.7	0.274
152	4.6	5.7	0.293
153	4.6	5.7	0.294
154	4.3	5.6	0.309
155	4.2	5.6	0.294
156	3.9	5.6	0.285
157	3.8	5.6	0.264
158	3.5	5.6	0.232
159	3.3	5.6	0.212
160	3.3	5.6	0.198
161	3.6	5.6	0.205
162	3.8	5.6	0.255
163	4.1	5.6	0.284
164	4.2	5.6	0.351
165	4.4	5.6	0.361
166	4.5	5.6	0.337
167	4.7	5.6	0.203
168	4.8	5.6	0.127
169	4.0	5.6	0.088
170	3.9	5.6	0.047
171	4.0	5.6	0.019
172	3.8	5.6	0.013
173	3.7	5.6	0.040
174	3.5	5.6	0.101
175	3.5	5.6	0.274
176	4.4	5.6	0.293
177	4.4	5.6	0.294
178	4.3	5.6	0.309
179	4.1	5.6	0.294
180	3.9	5.6	0.285
181	3.9	5.6	0.264
182	3.8	5.6	0.232
183	3.9	5.6	0.212
184	3.9	5.6	0.198
185	3.9	5.6	0.205
186	3.9	5.6	0.255
187	4.0	5.6	0.284
188	3.8	5.5	0.351
189	3.6	5.5	0.361
190	3.6	5.5	0.337
191	3.5	5.5	0.203
192	3.3	5.5	0.127
193	2.2	5.5	0.088
194	2.2	5.5	0.047
195	2.3	5.5	0.019
196	2.3	5.5	0.013
197	2.2	5.5	0.040
198	2.0	5.5	0.101
199	2.2	5.5	0.274
200	3.1	5.5	0.293
201	3.2	5.5	0.294
202	2.9	5.5	0.309
203	2.9	5.5	0.294
204	2.9	5.5	0.285
205	2.9	5.5	0.264
206	2.6	5.5	0.232
207	2.4	5.5	0.212
208	2.3	5.5	0.198
209	2.4	5.5	0.205
210	2.3	5.5	0.255
211	2.3	5.5	0.284
212	2.3	5.5	0.351
213	2.3	5.5	0.361
214	2.3	5.5	0.337
215	2.3	5.5	0.203
216	2.1	5.5	0.127
217	1.2	5.5	0.088
218	1.3	5.5	0.047
219	1.4	5.5	0.019
220	1.5	5.5	0.013
221	1.6	5.5	0.040
222	1.8	5.5	0.101
223	2.0	5.5	0.274
224	3.0	5.4	0.293
225	3.0	5.4	0.294
226	3.0	5.4	0.309
227	3.0	5.4	0.294
228	3.0	5.4	0.285
229	2.9	5.4	0.264
230	2.9	5.4	0.232
231	2.9	5.4	0.212
232	3.2	5.4	0.198
233	3.4	5.4	0.205
234	3.6	5.4	0.255
235	3.7	5.4	0.284
236	3.9	5.4	0.351
237	4.1	5.4	0.361
238	4.5	5.4	0.337
239	4.7	5.4	0.203
240	4.9	5.4	0.127
241	4.1	5.4	0.088
242	4.1	5.4	0.047
243	4.1	5.4	0.019
244	4.1	5.4	0.013
245	4.1	5.4	0.040
246	4.1	5.4	0.101
247	4.0	5.4	0.274
248	4.9	5.4	0.293
249	5.0	5.4	0.294
250	4.8	5.4	0.309
251	4.8	5.4	0.294
252	4.4	5.3	0.285
253	4.3	5.3	0.264
254	4.0	5.3	0.232
255	4.1	5.3	0.212
256	4.2	5.3	0.198
257	4.6	5.3	0.205
258	4.5	5.3	0.255
259	4.6	5.3	0.284
260	4.8	5.3	0.351
261	4.9	5.3	0.361
262	5.1	5.3	0.337
263	5.1	5.3	0.203
264	5.1	5.3	0.127
265	4.2	5.3	0.088
266	4.2	5.3	0.047
267	4.2	5.3	0.019
268	4.2	5.3	0.013
269	4.1	5.3	0.040
270	4.2	5.3	0.101
271	4.1	5.3	0.274
272	5.1	5.3	0.293
273	5.1	5.3	0.294
274	5.0	5.3	0.309
275	4.8	5.3	0.294
276	4.5	5.3	0.285
277	4.3	5.3	0.264
278	4.1	5.3	0.232
279	4.0	5.3	0.212
280	4.0	5.3	0.198
281	4.0	5.3	0.205
282	4.0	5.3	0.255
283	4.1	5.3	0.284
284	4.1	5.3	0.351
285	4.2	5.3	0.361
286	4.2	5.2	0.337
287	4.2	5.2	0.203
288	4.3	5.2	0.127
289	3.2	5.2	0.088
290	3.2	5.2	0.047
291	3.2	5.2	0.019
292	3.2	5.2	0.013
293	3.2	5.2	0.040
294	3.3	5.2	0.101
295	3.2	5.2	0.274
296	4.1	5.2	0.293
297	4.1	5.2	0.294
298	4.1	5.2	0.309
299	3.9	5.2	0.294
300	3.7	5.2	0.285
301	3.6	5.2	0.264
302	3.5	5.2	0.232
303	3.4	5.2	0.212
304	3.3	5.2	0.198
305	3.5	5.2	0.205
306	3.4	5.2	0.255
307	3.5	5.2	0.284
308	3.5	5.2	0.351
309	3.6	5.2	0.361
310	3.8	5.2	0.337
311	3.8	5.2	0.203
312	3.9	5.2	0.127
313	3.0	5.2	0.088
314	2.9	5.2	0.047
315	2.9	5.2	0.019
316	2.8	5.2	0.013
317	2.7	5.2	0.040
318	2.7	5.2	0.101
319	2.8	5.2	0.274
320	3.8	5.1	0.293
321	3.8	5.1	0.294
322	3.7	5.1	0.309
323	3.7	5.1	0.294
324	3.7	5.1	0.285
325	3.6	5.1	0.264
326	3.5	5.1	0.232
327	3.3	5.1	0.212
328	3.1	5.1	0.198
329	3.3	5.1	0.205
330	3.3	5.1	0.255
331	3.4	5.1	0.284
332	3.5	5.1	0.351
333	3.6	5.1	0.361
334	3.6	5.1	0.337
335	3.7	5.1	0.203
336	3.6	5.1	0.127
337	2.7	5.1	0.088
338	2.8	5.1	0.047
339	2.9	5.1	0.019
340	3.0	5.1	0.013
341	3.1	5.1	0.040
342	3.1	5.1	0.101
343	3.1	5.1	0.274
344	4.2	5.1	0.293
345	4.2	5.1	0.294
346	4.3	5.1	0.309
347	4.2	5.1	0.294
348	4.1	5.1	0.285
349	4.0	5.1	0.264
350	4.2	5.1	0.232
351	4.2	5.1	0.212
352	4.2	5.1	0.198
353	4.4	5.1	0.205
354	4.5	5.1	0.255
355	4.5	5.1	0.284
356	4.7	5.1	0.351
357	4.7	5.1	0.361
358	4.8	5.1	0.337
359	4.8	5.1	0.203
360	4.7	5.1	0.127
361	3.7	5.1	0.088
362	3.8	5.1	0.047
363	3.9	5.1	0.019
364	3.9	5.1	0.013
365	3.8	5.1	0.040
366	4.0	5.1	0.101
367	4.1	5.0	0.274
368	5.1	5.0	0.293
369	5.0	5.0	0.294
370	5.1	5.0	0.309
371	4.7	5.0	0.294
372	4.6	5.0	0.285
373	4.5	5.0	0.264
374	4.4	5.0	0.232
375	4.5	5.0	0.212
376	4.7	5.0	0.198
377	5.0	5.0	0.205
378	5.2	5.0	0.255
379	5.4	5.0	0.284
380	5.5	5.0	0.351
381	5.6	5.0	0.361
382	5.8	5.0	0.337
383	6.0	5.0	0.203
384	6.2	5.0	0.127
385	5.6	5.0	0.088
386	5.6	5.0	0.047
387	5.6	5.0	0.019
388	5.6	5.0	0.013
389	5.6	5.0	0.040
390	5.5	5.0	0.101
391	5.5	5.0	0.274
392	6.4	5.0	0.293
393	6.1	5.0	0.294
394	5.8	5.0	0.309
395	5.5	5.0	0.294
396	5.2	5.0	0.285
397	4.8	5.0	0.264
398	4.5	5.0	0.232
399	4.6	5.0	0.212
400	4.4	5.0	0.198
401	4.4	5.0	0.205
402	4.5	5.0	0.255
403	4.5	5.0	0.284
404	4.4	5.0	0.351
405	4.7	5.0	0.361
406	4.6	5.0	0.337
407	4.6	5.0	0.203
408	4.5	5.0	0.127
409	3.3	5.0	0.088
410	3.4	5.0	0.047
411	3.6	4.9	0.019
412	3.6	4.9	0.013
413	3.6	4.9	0.040
414	3.6	4.9	0.101
415	3.8	4.9	0.274
416	4.8	4.9	0.293
417	4.7	4.9	0.294
418	4.5	4.9	0.309
419	4.6	4.9	0.294
420	4.4	4.9	0.285
421	4.3	4.9	0.264
422	4.3	4.9	0.232
423	4.3	4.9	0.212
424	4.5	4.9	0.198
425	4.6	4.9	0.205
426	4.6	4.9	0.255
427	4.8	4.9	0.284
428	4.8	4.9	0.351
429	5.1	4.9	0.361
430	5.2	4.9	0.337
431	5.1	4.9	0.203
432	5.1	4.9	0.127
433	4.2	4.9	0.088
434	4.3	4.9	0.047
435	4.5	4.9	0.019
436	4.7	4.9	0.013
437	4.5	4.9	0.040
438	4.5	4.9	0.101
439	4.4	4.9	0.274
440	5.4	4.9	0.293
441	5.3	4.9	0.294
442	5.3	4.9	0.309
443	5.3	4.9	0.294
444	5.1	4.9	0.285
445	5.0	4.9	0.264
446	4.8	4.9	0.232
447	4.6	4.9	0.212
448	4.7	4.9	0.198
449	4.7	4.9	0.205
450	4.6	4.9	0.255
451	4.8	4.9	0.284
452	4.9	4.9	0.351
453	5.1	4.9	0.361
454	5.2	4.8	0.337
455	5.1	4.8	0.203
456	5.0	4.8	0.127
457	4.1	4.8	0.088
458	4.3	4.8	0.047
459	4.3	4.8	0.019
460	4.5	4.8	0.013
461	4.5	4.8	0.040
462	4.5	4.8	0.101
463	4.5	4.8	0.274
464	5.5	4.8	0.293
465	5.5	4.8	0.294
466	5.3	4.8	0.309
467	5.1	4.8	0.294
468	4.9	4.8	0.285
469	4.7	4.8	0.264
470	4.6	4.8	0.232
471	4.5	4.8	0.212
472	4.4	4.8	0.198
473	4.4	4.8	0.205
474	4.4	4.8	0.255
475	4.4	4.8	0.284
476	4.6	4.8	0.351
477	4.5	4.8	0.361
478	4.6	4.8	0.337
479	4.7	4.8	0.203
480	4.7	4.8	0.127
481	3.7	4.8	0.088
482	4.0	4.8	0.047
483	4.0	4.8	0.019
484	4.1	4.8	0.013
485	4.1	4.8	0.040
486	4.1	4.8	0.101
487	4.2	4.8	0.274
488	5.1	4.8	0.293
489	5.0	4.8	0.294
490	4.8	4.8	0.309
491	4.6	4.8	0.294
492	4.3	4.8	0.285
493	4.4	4.8	0.264
494	4.2	4.8	0.232
495	4.2	4.8	0.212
496	4.2	4.8	0.198
497	4.2	4.8	0.205
498	4.4	4.8	0.255
499	4.5	4.8	0.284
500	4.7	4.8	0.351
501	4.7	4.8	0.361
502	4.9	4.8	0.337
503	5.0	4.8	0.203
504	5.2	4.8	0.127
505	4.3	4.8	0.088
506	4.2	4.8	0.047
507	4.2	4.8	0.019
508	4.2	4.8	0.013
509	4.3	4.8	0.040
510	4.5	4.8	0.101
511	4.6	4.8	0.274
512	5.6	4.8	0.293
513	5.5	4.8	0.294
514	5.3	4.8	0.309
515	5.1	4.8	0.294
516	5.0	4.8	0.285
517	4.9	4.8	0.264
518	4.8	4.8	0.232
519	4.8	4.8	0.212
520	4.9	4.7	0.198
521	5.0	4.7	0.205
522	5.0	4.7	0.255
523	5.1	4.7	0.284
524	5.1	4.7	0.351
525	5.1	4.7	0.361
526	5.2	4.7	0.337
527	5.4	4.7	0.203
528	5.6	4.7	0.127
529	4.7	4.7	0.088
530	4.7	4.7	0.047
531	4.9	4.7	0.019
532	4.7	4.7	0.013
533	4.8	4.7	0.040
534	4.7	4.7	0.101
535	4.8	4.7	0.274
536	5.8	4.7	0.293
537	5.6	4.7	0.294
538	5.4	4.7	0.309
539	5.2	4.7	0.294
540	4.8	4.7	0.285
541	4.6	4.7	0.264
542	4.3	4.7	0.232
543	4.3	4.7	0.212
544	4.4	4.7	0.198
545	4.5	4.7	0.205
546	4.6	4.7	0.255
547	4.6	4.7	0.284
548	4.7	4.7	0.351
549	4.8	4.7	0.361
550	5.0	4.7	0.337
551	5.1	4.7	0.203
552	5.3	4.7	0.127
553	4.3	4.7	0.088
554	4.3	4.7	0.047
555	4.3	4.7	0.019
556	4.3	4.7	0.013
557	4.5	4.7	0.040
558	4.6	4.7	0.101
559	4.5	4.7	0.274
560	5.3	4.7	0.293
561	5.2	4.7	0.294
562	5.0	4.7	0.309
563	4.9	4.7	0.294
564	4.8	4.7	0.285
565	4.6	4.7	0.264
566	4.5	4.7	0.232
567	4.4	4.7	0.212
568	4.4	4.7	0.198
569	4.5	4.7	0.205
570	4.6	4.7	0.255
571	4.6	4.7	0.284
572	4.8	4.7	0.351
573	4.7	4.7	0.361
574	4.8	4.7	0.337
575	4.7	4.7	0.203
576	4.6	4.7	0.127
577	3.7	4.7	0.088
578	3.8	4.7	0.047
579	3.8	4.7	0.019
580	3.6	4.7	0.013
581	3.5	4.7	0.040
582	3.6	4.7	0.101
583	3.5	4.6	0.274
584	4.3	4.6	0.293
585	4.2	4.6	0.294
586	4.1	4.6	0.309
587	3.9	4.6	0.294
588	3.7	4.6	0.285
589	3.5	4.6	0.264
590	3.4	4.6	0.232
591	3.3	4.6	0.212
592	3.2	4.6	0.198
593	3.2	4.6	0.205
594	3.2	4.6	0.255
595	3.2	4.6	0.284
596	3.1	4.6	0.351
597	3.3	4.6	0.361
598	3.4	4.6	0.337
599	3.5	4.6	0.203
600	3.5	4.6	0.127
601	2.5	4.6	0.088
602	2.7	4.6	0.047
603	2.9	4.6	0.019
604	3.0	4.6	0.013
605	3.2	4.6	0.040
606	3.1	4.6	0.101
607	3.1	4.6	0.274
608	4.1	4.6	0.293
609	4.2	4.6	0.294
610	4.1	4.6	0.309
611	4.1	4.6	0.294
612	4.1	4.6	0.285
613	4.1	4.6	0.264
614	4.0	4.6	0.232
615	4.0	4.6	0.212
616	3.8	4.6	0.198
617	4.1	4.6	0.205
618	4.2	4.6	0.255
619	4.4	4.6	0.284
620	4.5	4.6	0.351
621	4.8	4.6	0.361
622	4.9	4.6	0.337
623	5.0	4.6	0.203
624	5.1	4.6	0.127
625	4.3	4.6	0.088
626	4.4	4.6	0.047
627	4.3	4.6	0.019
628	4.2	4.6	0.013
629	4.2	4.6	0.040
630	4.2	4.6	0.101
631	4.1	4.6	0.274
632	5.0	4.6	0.293
633	4.9	4.6	0.294
634	4.8	4.6	0.309
635	4.4	4.6	0.294
636	4.1	4.6	0.285
637	4.1	4.6	0.264
638	4.0	4.6	0.232
639	4.0	4.6	0.212
640	4.1	4.6	0.198
641	4.1	4.6	0.205
642	4.2	4.6	0.255
643	4.4	4.6	0.284
644	4.4	4.6	0.351
645	4.5	4.6	0.361
646	4.3	4.6	0.337
647	4.3	4.6	0.203
648	4.2	4.6	0.127
649	3.3	4.6	0.088
650	3.4	4.6	0.047
651	3.4	4.6	0.019
652	3.5	4.6	0.013
653	3.6	4.6	0.040
654	3.8	4.6	0.101
655	3.7	4.6	0.274
656	4.6	4.6	0.293
657	4.7	4.5	0.294
658	4.5	4.5	0.309
659	4.4	4.5	0.294
660	4.3	4.5	0.285
661	4.3	4.5	0.264
662	4.3	4.5	0.232
663	4.3	4.5	0.212
664	4.3	4.5	0.198
665	4.5	4.5	0.205
666	4.7	4.5	0.255
667	4.9	4.5	0.284
668	5.1	4.5	0.351
669	5.3	4.5	0.361
670	5.5	4.5	0.337
671	5.8	4.5	0.203
672	5.9	4.5	0.127
673	5.0	4.5	0.088
674	4.8	4.5	0.047
675	4.7	4.5	0.019
676	4.5	4.5	0.013
677	4.1	4.5	0.040
678	3.9	4.5	0.101
679	3.8	4.5	0.274
680	4.7	4.5	0.293
681	4.7	4.5	0.294
682	4.6	4.5	0.309
683	4.4	4.5	0.294
684	4.2	4.5	0.285
685	4.1	4.5	0.264
686	4.0	4.5	0.232
687	4.0	4.5	0.212
688	3.6	4.5	0.198
689	3.4	4.5	0.205
690	3.4	4.5	0.255
691	3.3	4.5	0.284
692	3.1	4.5	0.351
693	2.9	4.5	0.361
694	2.7	4.5	0.337
695	2.5	4.5	0.203
696	2.4	4.5	0.127
697	1.4	4.5	0.088
698	1.3	4.5	0.047
699	1.5	4.5	0.019
700	1.5	4.5	0.013
701	1.6	4.5	0.040
702	1.6	4.5	0.101
703	1.6	4.5	0.274
704	2.7	4.5	0.293
705	2.6	4.5	0.294
706	2.6	4.5	0.309
707	2.6	4.5	0.294
708	2.4	4.5	0.285
709	2.3	4.5	0.264
710	2.4	4.5	0.232
711	2.5	4.5	0.212
712	2.4	4.5	0.198
713	2.3	4.5	0.205
714	2.3	4.5	0.255
715	2.3	4.5	0.284
716	2.2	4.5	0.351
717	2.2	4.5	0.361
718	2.1	4.5	0.337
719	2.2	4.5	0.203
720	2.3	4.5	0.127
721	1.4	4.5	0.088
722	1.3	4.5	0.047
723	1.2	4.5	0.019
724	1.1	4.5	0.013
725	1.1	4.5	0.040
726	1.2	4.5	0.101
727	1.2	4.5	0.274
728	2.2	4.5	0.293
729	2.3	4.5	0.294
730	2.1	4.5	0.309
731	1.9	4.5	0.294
732	1.8	4.5	0.285
733	1.6	4.5	0.264
734	1.5	4.5	0.232
735	1.6	4.5	0.212
736	1.7	4.4	0.198
737	1.8	4.4	0.205
738	2.1	4.4	0.255
739	2.4	4.4	0.284
740	2.6	4.4	0.351
741	2.6	4.4	0.361
742	2.6	4.4	0.337
743	2.8	4.4	0.203
744	3.0	4.4	0.127
745	2.2	4.4	0.088
746	2.4	4.4	0.047
747	2.4	4.4	0.019
748	2.3	4.4	0.013
749	2.3	4.4	0.040
750	2.3	4.4	0.101
751	2.3	4.4	0.274
752	3.3	4.4	0.293
753	3.2	4.4	0.294
754	3.0	4.4	0.309
755	2.8	4.4	0.294
756	2.7	4.4	0.285
757	2.6	4.4	0.264
758	2.5	4.4	0.232
759	2.5	4.4	0.212
760	2.5	4.4	0.198
761	2.6	4.4	0.205
762	2.8	4.4	0.255
763	3.0	4.4	0.284
764	3.2	4.4	0.351
765	3.5	4.4	0.361
766	3.7	4.4	0.337
767	4.0	4.4	0.203
768	4.1	4.4	0.127
769	3.3	4.4	0.088
770	3.2	4.4	0.047
771	3.2	4.4	0.019
772	3.4	4.4	0.013
773	3.6	4.4	0.040
774	3.7	4.4	0.101
775	3.8	4.4	0.274
776	4.7	4.4	0.293
777	4.7	4.4	0.294
778	4.7	4.4	0.309
779	4.6	4.4	0.294
780	4.6	4.4	0.285
781	4.5	4.4	0.264
782	4.4	4.4	0.232
783	4.4	4.4	0.212
784	4.5	4.4	0.198
785	4.6	4.4	0.205
786	4.7	4.4	0.255
787	5.0	4.4	0.284
788	5.3	4.4	0.351
789	5.5	4.4	0.361
790	5.6	4.4	0.337
791	5.8	4.4	0.203
792	5.8	4.4	0.127
793	5.0	4.4	0.088
794	5.1	4.4	0.047
795	5.1	4.4	0.019
796	5.2	4.4	0.013
797	5.3	4.4	0.040
798	5.3	4.4	0.101
799	5.5	4.4	0.274
800	6.2	4.4	0.293
801	6.2	4.4	0.294
802	6.0	4.4	0.309
803	5.8	4.4	0.294
804	5.6	4.4	0.285
805	5.5	4.4	0.264
806	5.3	4.4	0.232
807	5.3	4.4	0.212
808	5.3	4.4	0.198
809	5.4	4.4	0.205
810	5.5	4.4	0.255
811	5.7	4.4	0.284
812	5.8	4.4	0.351
813	5.6	4.4	0.361
814	5.9	4.4	0.337
815	5.8	4.4	0.203
816	5.7	4.4	0.127
817	5.0	4.4	0.088
818	5.0	4.4	0.047
819	4.9	4.4	0.019
820	5.0	4.4	0.013
821	4.8	4.4	0.040
822	4.6	4.3	0.101
823	4.5	4.3	0.274
824	5.2	4.3	0.293
825	5.1	4.3	0.294
826	5.1	4.3	0.309
827	4.8	4.3	0.294
828	4.4	4.3	0.285
829	4.2	4.3	0.264
830	4.0	4.3	0.232
831	3.9	4.3	0.212
832	3.9	4.3	0.198
833	3.8	4.3	0.205
834	3.9	4.3	0.255
835	4.1	4.3	0.284
836	4.1	4.3	0.351
837	4.1	4.3	0.361
838	4.2	4.3	0.337
839	4.3	4.3	0.203
840	4.3	4.3	0.127
841	3.5	4.3	0.088
842	3.4	4.3	0.047
843	3.3	4.3	0.019
844	3.5	4.3	0.013
845	3.5	4.3	0.040
846	3.5	4.3	0.101
847	3.5	4.3	0.274
848	4.3	4.3	0.293
849	4.2	4.3	0.294
850	4.1	4.3	0.309
851	3.9	4.3	0.294
852	3.7	4.3	0.285
853	3.5	4.3	0.264
854	3.6	4.3	0.232
855	3.5	4.3	0.212
856	3.6	4.3	0.198
857	3.7	4.3	0.205
858	3.9	4.3	0.255
859	4.1	4.3	0.284
860	4.3	4.3	0.351
861	4.4	4.3	0.361
862	4.4	4.3	0.337
863	4.4	4.3	0.203
864	4.4	4.3	0.127
865	3.5	4.3	0.088
866	3.6	4.3	0.047
867	3.5	4.3	0.019
868	3.6	4.3	0.013
869	3.4	4.3	0.040
870	3.4	4.3	0.101
871	3.5	4.3	0.274
872	4.3	4.3	0.293
873	4.3	4.3	0.294
874	4.3	4.3	0.309
875	4.0	4.3	0.294
876	4.0	4.3	0.285
877	3.8	4.3	0.264
878	3.7	4.3	0.232
879	3.6	4.3	0.212
880	3.5	4.3	0.198
881	3.5	4.3	0.205
882	3.7	4.3	0.255
883	3.9	4.3	0.284
884	4.0	4.3	0.351
885	4.1	4.3	0.361
886	4.0	4.3	0.337
887	4.3	4.3	0.203
888	4.2	4.3	0.127
889	3.4	4.3	0.088
890	3.3	4.3	0.047
891	3.3	4.3	0.019
892	3.1	4.3	0.013
893	3.2	4.3	0.040
894	3.2	4.3	0.101
895	3.2	4.3	0.274
896	3.9	4.3	0.293
897	3.9	4.3	0.294
898	3.8	4.3	0.309
899	3.7	4.3	0.294
900	3.7	4.3	0.285
901	3.8	4.3	0.264
902	3.8	4.3	0.232
903	3.7	4.3	0.212
904	3.7	4.3	0.198
905	3.7	4.3	0.205
906	3.5	4.3	0.255
907	3.5	4.3	0.284
908	3.5	4.3	0.351
909	3.5	4.3	0.361
910	3.5	4.3	0.337
911	3.6	4.3	0.203
912	3.5	4.3	0.127
913	2.7	4.3	0.088
914	2.8	4.3	0.047
915	2.9	4.3	0.019
916	3.0	4.3	0.013
917	3.0	4.3	0.040
918	3.2	4.3	0.101
919	3.2	4.3	0.274
920	3.9	4.3	0.293
921	3.9	4.3	0.294
922	3.8	4.3	0.309
923	3.8	4.2	0.294
924	3.5	4.2	0.285
925	3.5	4.2	0.264
926	3.4	4.2	0.232
927	3.3	4.2	0.212
928	3.3	4.2	0.198
