# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.4	0.7	0.003
2	0.4	0.7	0.002
3	0.4	0.7	0.001
4	0.4	0.7	0.000
5	0.4	0.7	0.001
6	0.4	0.7	0.004
7	0.4	0.6	0.010
8	0.5	0.6	0.010
9	0.5	0.6	0.010
10	0.5	0.6	0.011
11	0.5	0.6	0.010
12	0.4	0.6	0.010
13	0.4	0.6	0.009
14	0.4	0.6	0.008
15	0.4	0.6	0.007
16	0.4	0.6	0.007
17	0.5	0.6	0.007
18	0.5	0.6	0.009
19	0.5	0.6	0.010
20	0.5	0.6	0.012
21	0.5	0.6	0.013
22	0.6	0.6	0.012
23	0.6	0.6	0.007
24	0.6	0.6	0.004
25	0.5	0.6	0.003
26	0.5	0.6	0.002
27	0.5	0.6	0.001
28	0.5	0.6	0.000
29	0.5	0.6	0.001
30	0.5	0.6	0.004
31	0.5	0.6	0.010
32	0.6	0.6	0.010
33	0.6	0.6	0.010
34	0.6	0.6	0.011
35	0.6	0.6	0.010
36	0.5	0.6	0.010
37	0.5	0.6	0.009
38	0.5	0.6	0.008
39	0.5	0.6	0.007
40	0.5	0.6	0.007
41	0.5	0.6	0.007
42	0.6	0.6	0.009
43	0.6	0.6	0.010
44	0.6	0.6	0.012
45	0.6	0.6	0.013
46	0.6	0.6	0.012
47	0.6	0.6	0.007
48	0.6	0.6	0.004
49	0.5	0.6	0.003
50	0.5	0.6	0.002
51	0.5	0.6	0.001
52	0.5	0.6	0.000
53	0.5	0.6	0.001
54	0.5	0.6	0.004
55	0.5	0.6	0.010
56	0.6	0.6	0.010
57	0.6	0.6	0.010
58	0.6	0.6	0.011
59	0.6	0.6	0.010
60	0.6	0.6	0.010
61	0.5	0.6	0.009
62	0.5	0.6	0.008
63	0.5	0.6	0.007
64	0.5	0.6	0.007
65	0.5	0.6	0.007
66	0.5	0.6	0.009
67	0.6	0.6	0.010
68	0.6	0.6	0.012
69	0.6	0.6	0.013
70	0.6	0.6	0.012
71	0.6	0.6	0.007
72	0.6	0.6	0.004
73	0.5	0.6	0.003
74	0.5	0.6	0.002
75	0.5	0.6	0.001
76	0.5	0.6	0.000
77	0.5	0.6	0.001
78	0.5	0.6	0.004
79	0.5	0.6	0.010
80	0.6	0.6	0.010
81	0.6	0.6	0.010
82	0.5	0.6	0.011
83	0.5	0.6	0.010
84	0.5	0.6	0.010
85	0.4	0.6	0.009
86	0.4	0.6	0.008
87	0.4	0.6	0.007
88	0.4	0.6	0.007
89	0.4	0.6	0.007
90	0.4	0.6	0.009
91	0.4	0.6	0.010
92	0.4	0.6	0.012
93	0.4	0.6	0.013
94	0.4	0.6	0.012
95	0.4	0.6	0.007
96	0.4	0.6	0.004
97	0.3	0.6	0.003
98	0.3	0.6	0.002
99	0.4	0.6	0.001
100	0.4	0.6	0.000
101	0.4	0.6	0.001
102	0.4	0.6	0.004
103	0.4	0.6	0.010
104	0.5	0.6	0.010
105	0.5	0.6	0.010
106	0.5	0.6	0.011
107	0.5	0.6	0.010
108	0.5	0.6	0.010
109	0.5	0.6	0.009
110	0.6	0.6	0.008
111	0.6	0.6	0.007
112	0.6	0.6	0.007
113	0.6	0.6	0.007
114	0.6	0.6	0.009
115	0.6	0.6	0.010
116	0.6	0.6	0.012
117	0.6	0.6	0.013
118	0.7	0.6	0.012
119	0.7	0.6	0.007
120	0.7	0.6	0.004
121	0.6	0.6	0.003
122	0.6	0.6	0.002
123	0.6	0.6	0.001
124	0.6	0.6	0.000
125	0.6	0.6	0.001
126	0.6	0.6	0.004
127	0.5	0.6	0.010
128	0.6	0.6	0.010
129	0.6	0.6	0.010
130	0.6	0.6	0.011
131	0.6	0.6	0.010
132	0.5	0.6	0.010
133	0.5	0.6	0.009
134	0.5	0.6	0.008
135	0.4	0.6	0.007
136	0.4	0.6	0.007
137	0.4	0.6	0.007
138	0.4	0.6	0.009
139	0.4	0.6	0.010
140	0.4	0.5	0.012
141	0.4	0.5	0.013
142	0.4	0.5	0.012
143	0.4	0.5	0.007
144	0.4	0.5	0.004
145	0.3	0.5	0.003
146	0.3	0.5	0.002
147	0.3	0.5	0.001
148	0.3	0.5	0.000
149	0.4	0.5	0.001
150	0.3	0.5	0.004
151	0.3	0.5	0.010
152	0.5	0.5	0.010
153	0.4	0.5	0.010
154	0.4	0.5	0.011
155	0.4	0.5	0.010
156	0.4	0.5	0.010
157	0.4	0.5	0.009
158	0.3	0.5	0.008
159	0.3	0.5	0.007
160	0.3	0.5	0.007
161	0.4	0.5	0.007
162	0.4	0.5	0.009
163	0.4	0.5	0.010
