# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	2.3	4.4	0.166
2	2.3	4.3	0.090
3	2.5	4.2	0.035
4	2.4	4.2	0.025
5	2.5	4.1	0.076
6	2.5	4.1	0.191
7	2.4	4.1	0.517
8	3.0	4.1	0.554
9	3.0	4.1	0.556
10	2.8	4.0	0.583
11	2.8	4.0	0.556
12	2.7	4.0	0.539
13	2.6	4.0	0.499
14	2.6	4.0	0.439
15	2.6	4.0	0.400
16	2.7	4.0	0.373
17	2.8	4.0	0.388
18	3.1	4.0	0.481
19	3.3	4.0	0.537
20	3.3	4.0	0.664
21	3.4	4.0	0.682
22	3.5	4.0	0.636
23	3.6	4.0	0.383
24	3.7	4.0	0.240
25	3.2	4.0	0.166
26	3.1	3.9	0.090
27	3.1	3.9	0.035
28	3.2	3.9	0.025
29	3.1	3.9	0.076
30	3.0	3.9	0.191
31	3.1	3.9	0.517
32	3.7	3.9	0.554
33	3.6	3.9	0.556
34	3.6	3.9	0.583
35	3.5	3.9	0.556
36	3.3	3.9	0.539
37	3.2	3.9	0.499
38	3.2	3.9	0.439
39	3.1	3.9	0.400
40	3.2	3.9	0.373
41	3.3	3.9	0.388
42	3.5	3.9	0.481
43	3.5	3.9	0.537
44	3.5	3.8	0.664
45	3.5	3.8	0.682
46	3.6	3.8	0.636
47	3.6	3.8	0.383
48	3.6	3.8	0.240
49	3.0	3.8	0.166
50	3.0	3.8	0.090
51	3.0	3.8	0.035
52	3.1	3.8	0.025
53	3.1	3.8	0.076
54	3.1	3.8	0.191
55	3.2	3.7	0.517
56	3.7	3.7	0.554
57	3.7	3.7	0.556
58	3.7	3.7	0.583
59	3.6	3.7	0.556
60	3.5	3.7	0.539
61	3.4	3.7	0.499
62	3.3	3.7	0.439
63	3.3	3.7	0.400
64	3.2	3.7	0.373
65	3.3	3.7	0.388
66	3.4	3.7	0.481
67	3.5	3.7	0.537
68	3.6	3.7	0.664
69	3.7	3.7	0.682
70	3.8	3.7	0.636
71	3.9	3.7	0.383
72	3.9	3.6	0.240
73	3.4	3.6	0.166
74	3.4	3.6	0.090
75	3.4	3.6	0.035
76	3.4	3.6	0.025
77	3.4	3.6	0.076
78	3.4	3.6	0.191
79	3.3	3.6	0.517
80	3.7	3.6	0.554
81	3.6	3.6	0.556
82	3.4	3.6	0.583
83	3.1	3.6	0.556
84	2.9	3.6	0.539
85	2.7	3.6	0.499
86	2.6	3.6	0.439
87	2.6	3.6	0.400
88	2.6	3.6	0.373
89	2.6	3.6	0.388
90	2.7	3.6	0.481
91	2.6	3.6	0.537
92	2.6	3.6	0.664
93	2.7	3.6	0.682
94	2.7	3.6	0.636
95	2.7	3.6	0.383
96	2.7	3.6	0.240
97	2.2	3.6	0.166
98	2.2	3.6	0.090
99	2.3	3.6	0.035
100	2.4	3.6	0.025
101	2.5	3.6	0.076
102	2.5	3.6	0.191
103	2.6	3.6	0.517
104	3.2	3.6	0.554
105	3.3	3.5	0.556
106	3.3	3.5	0.583
107	3.3	3.5	0.556
108	3.4	3.5	0.539
109	3.4	3.5	0.499
110	3.5	3.5	0.439
111	3.6	3.5	0.400
112	3.6	3.5	0.373
113	3.8	3.5	0.388
114	3.9	3.5	0.481
115	4.0	3.5	0.537
116	3.9	3.5	0.664
117	4.0	3.5	0.682
118	4.2	3.5	0.636
119	4.3	3.5	0.383
120	4.4	3.5	0.240
121	3.9	3.5	0.166
122	3.9	3.5	0.090
123	3.8	3.5	0.035
124	3.8	3.5	0.025
125	3.6	3.5	0.076
126	3.5	3.5	0.191
127	3.4	3.5	0.517
128	4.0	3.5	0.554
129	3.9	3.5	0.556
130	3.7	3.5	0.583
131	3.5	3.5	0.556
132	3.3	3.5	0.539
133	3.1	3.5	0.499
134	2.9	3.5	0.439
135	2.8	3.5	0.400
136	2.7	3.5	0.373
137	2.7	3.5	0.388
138	2.7	3.5	0.481
139	2.6	3.5	0.537
140	2.6	3.5	0.664
141	2.6	3.5	0.682
142	2.6	3.5	0.636
143	2.6	3.4	0.383
144	2.6	3.4	0.240
145	2.0	3.4	0.166
146	2.1	3.4	0.090
147	2.1	3.4	0.035
148	2.1	3.4	0.025
149	2.2	3.4	0.076
150	2.2	3.4	0.191
151	2.2	3.4	0.517
152	2.8	3.4	0.554
153	2.8	3.4	0.556
154	2.6	3.4	0.583
155	2.5	3.4	0.556
156	2.4	3.4	0.539
157	2.3	3.4	0.499
158	2.1	3.4	0.439
159	2.0	3.4	0.400
160	2.0	3.4	0.373
161	2.2	3.4	0.388
162	2.3	3.4	0.481
163	2.5	3.4	0.537
164	2.5	3.4	0.664
165	2.7	3.4	0.682
166	2.7	3.4	0.636
167	2.9	3.4	0.383
168	2.9	3.4	0.240
169	2.4	3.4	0.166
170	2.4	3.4	0.090
171	2.4	3.4	0.035
172	2.3	3.4	0.025
173	2.3	3.4	0.076
174	2.2	3.4	0.191
175	2.2	3.4	0.517
176	2.7	3.4	0.554
177	2.7	3.4	0.556
178	2.6	3.4	0.583
179	2.5	3.4	0.556
180	2.3	3.4	0.539
181	2.4	3.4	0.499
182	2.3	3.4	0.439
183	2.4	3.4	0.400
184	2.4	3.4	0.373
185	2.3	3.4	0.388
186	2.4	3.4	0.481
187	2.4	3.4	0.537
188	2.3	3.3	0.664
189	2.2	3.3	0.682
190	2.2	3.3	0.636
191	2.1	3.3	0.383
192	2.0	3.3	0.240
193	1.3	3.3	0.166
194	1.3	3.3	0.090
195	1.4	3.3	0.035
196	1.4	3.3	0.025
197	1.3	3.3	0.076
198	1.2	3.3	0.191
199	1.3	3.3	0.517
200	1.9	3.3	0.554
201	1.9	3.3	0.556
202	1.8	3.3	0.583
203	1.8	3.3	0.556
204	1.8	3.3	0.539
205	1.8	3.3	0.499
206	1.6	3.3	0.439
207	1.5	3.3	0.400
208	1.4	3.3	0.373
209	1.4	3.3	0.388
210	1.4	3.3	0.481
211	1.4	3.3	0.537
212	1.4	3.3	0.664
213	1.4	3.3	0.682
214	1.4	3.3	0.636
215	1.4	3.3	0.383
216	1.3	3.3	0.240
217	0.7	3.3	0.166
218	0.8	3.3	0.090
219	0.9	3.3	0.035
220	0.9	3.3	0.025
221	1.0	3.3	0.076
222	1.1	3.3	0.191
223	1.2	3.3	0.517
224	1.8	3.3	0.554
225	1.8	3.3	0.556
226	1.8	3.3	0.583
227	1.8	3.3	0.556
228	1.8	3.3	0.539
229	1.8	3.3	0.499
230	1.8	3.3	0.439
231	1.8	3.3	0.400
232	1.9	3.3	0.373
233	2.1	3.3	0.388
234	2.2	3.3	0.481
235	2.2	3.2	0.537
236	2.4	3.2	0.664
