# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	3.6	6.9	0.115
2	3.7	6.8	0.062
3	3.9	6.6	0.024
4	3.8	6.6	0.018
5	3.9	6.6	0.053
6	3.9	6.6	0.132
7	3.8	6.5	0.358
8	4.7	6.5	0.383
9	4.7	6.5	0.384
10	4.5	6.4	0.403
11	4.5	6.4	0.384
12	4.2	6.4	0.373
13	4.1	6.4	0.345
14	4.1	6.4	0.303
15	4.1	6.4	0.276
16	4.2	6.4	0.258
17	4.5	6.3	0.268
18	4.9	6.3	0.333
19	5.2	6.3	0.371
20	5.3	6.3	0.459
21	5.3	6.3	0.472
22	5.5	6.3	0.440
23	5.6	6.3	0.265
24	5.8	6.3	0.166
25	5.1	6.3	0.115
26	4.9	6.2	0.062
27	5.0	6.2	0.024
28	5.0	6.2	0.018
29	4.9	6.2	0.053
30	4.8	6.2	0.132
31	4.9	6.2	0.358
32	5.9	6.2	0.383
33	5.8	6.2	0.384
34	5.7	6.2	0.403
35	5.5	6.2	0.384
36	5.2	6.2	0.373
37	5.1	6.2	0.345
38	5.1	6.1	0.303
39	4.9	6.1	0.276
40	5.0	6.1	0.258
41	5.2	6.1	0.268
42	5.5	6.1	0.333
43	5.5	6.1	0.371
44	5.5	6.1	0.459
45	5.6	6.1	0.472
46	5.6	6.0	0.440
47	5.6	6.0	0.265
48	5.6	6.0	0.166
49	4.7	6.0	0.115
50	4.7	6.0	0.062
51	4.7	6.0	0.024
52	4.9	6.0	0.018
53	4.9	6.0	0.053
54	4.8	6.0	0.132
55	5.0	6.0	0.358
56	5.8	6.0	0.383
57	5.8	6.0	0.384
58	5.8	5.9	0.403
59	5.7	5.9	0.384
60	5.6	5.9	0.373
61	5.4	5.9	0.345
62	5.2	5.9	0.303
63	5.1	5.9	0.276
64	5.1	5.9	0.258
65	5.2	5.9	0.268
66	5.4	5.9	0.333
67	5.6	5.8	0.371
68	5.7	5.8	0.459
69	5.9	5.8	0.472
70	6.0	5.8	0.440
71	6.1	5.8	0.265
72	6.2	5.8	0.166
73	5.4	5.8	0.115
74	5.4	5.8	0.062
75	5.3	5.8	0.024
76	5.4	5.8	0.018
77	5.3	5.8	0.053
78	5.3	5.8	0.132
79	5.2	5.8	0.358
80	5.9	5.7	0.383
81	5.7	5.7	0.384
82	5.4	5.7	0.403
83	4.9	5.7	0.384
84	4.6	5.7	0.373
85	4.2	5.7	0.345
86	4.1	5.7	0.303
87	4.1	5.7	0.276
88	4.1	5.7	0.258
89	4.2	5.7	0.268
90	4.2	5.7	0.333
91	4.2	5.7	0.371
92	4.1	5.7	0.459
93	4.2	5.7	0.472
94	4.3	5.7	0.440
95	4.3	5.7	0.265
96	4.3	5.7	0.166
97	3.4	5.7	0.115
98	3.5	5.7	0.062
99	3.6	5.7	0.024
100	3.7	5.7	0.018
101	3.9	5.7	0.053
102	3.9	5.7	0.132
103	4.1	5.7	0.358
104	5.1	5.7	0.383
105	5.2	5.6	0.384
106	5.2	5.6	0.403
107	5.3	5.6	0.384
108	5.3	5.6	0.373
109	5.3	5.6	0.345
110	5.5	5.6	0.303
111	5.7	5.6	0.276
112	5.7	5.6	0.258
113	6.0	5.6	0.268
114	6.2	5.6	0.333
115	6.3	5.6	0.371
116	6.2	5.6	0.459
117	6.3	5.6	0.472
118	6.6	5.6	0.440
119	6.8	5.6	0.265
120	6.9	5.6	0.166
121	6.1	5.6	0.115
122	6.1	5.6	0.062
123	6.0	5.6	0.024
124	6.0	5.6	0.018
125	5.7	5.6	0.053
126	5.5	5.6	0.132
