# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	7.8	14.9	0.200
2	8.0	14.8	0.108
3	8.5	14.3	0.042
4	8.3	14.2	0.031
5	8.4	14.2	0.092
6	8.5	14.2	0.230
7	8.3	14.1	0.622
8	10.2	14.0	0.666
9	10.3	14.0	0.669
10	9.7	13.9	0.701
11	9.7	13.9	0.669
12	9.2	13.9	0.649
13	8.9	13.8	0.601
14	8.9	13.8	0.528
15	8.9	13.8	0.481
16	9.2	13.8	0.449
17	9.8	13.7	0.466
18	10.5	13.7	0.579
19	11.2	13.7	0.646
20	11.4	13.7	0.799
21	11.5	13.6	0.821
22	11.9	13.6	0.765
23	12.2	13.6	0.461
24	12.6	13.6	0.289
25	11.0	13.6	0.200
26	10.7	13.6	0.108
27	10.8	13.5	0.042
28	10.8	13.5	0.031
29	10.6	13.5	0.092
30	10.4	13.5	0.230
31	10.7	13.4	0.622
32	12.8	13.4	0.666
33	12.5	13.4	0.669
34	12.3	13.4	0.701
35	11.9	13.4	0.669
36	11.4	13.3	0.649
37	11.1	13.3	0.601
38	11.0	13.3	0.528
39	10.6	13.3	0.481
40	10.9	13.3	0.449
41	11.4	13.3	0.466
42	11.9	13.3	0.579
43	12.0	13.3	0.646
44	12.0	13.2	0.799
45	12.1	13.1	0.821
46	12.2	13.1	0.765
47	12.2	13.1	0.461
48	12.2	13.0	0.289
49	10.2	13.0	0.200
50	10.2	13.0	0.108
51	10.3	12.9	0.042
52	10.5	12.9	0.031
53	10.6	12.9	0.092
54	10.5	12.9	0.230
55	10.8	12.9	0.622
56	12.7	12.9	0.666
57	12.5	12.8	0.669
58	12.6	12.8	0.701
59	12.3	12.8	0.669
60	12.2	12.8	0.649
61	11.6	12.8	0.601
62	11.4	12.8	0.528
63	11.2	12.7	0.481
64	11.1	12.7	0.449
65	11.2	12.7	0.466
66	11.7	12.7	0.579
67	12.1	12.7	0.646
68	12.4	12.6	0.799
69	12.7	12.6	0.821
70	13.0	12.6	0.765
71	13.3	12.6	0.461
72	13.5	12.6	0.289
73	11.6	12.5	0.200
74	11.6	12.5	0.108
75	11.5	12.5	0.042
76	11.6	12.5	0.031
77	11.6	12.5	0.092
78	11.5	12.5	0.230
79	11.2	12.4	0.622
80	12.8	12.4	0.666
81	12.4	12.4	0.669
82	11.8	12.4	0.701
83	10.7	12.4	0.669
84	9.9	12.4	0.649
85	9.1	12.4	0.601
86	8.8	12.4	0.528
87	8.9	12.4	0.481
88	8.8	12.4	0.449
89	9.0	12.3	0.466
90	9.1	12.3	0.579
91	9.1	12.3	0.646
92	8.8	12.3	0.799
93	9.1	12.3	0.821
94	9.3	12.3	0.765
95	9.4	12.3	0.461
96	9.4	12.3	0.289
97	7.4	12.3	0.200
98	7.5	12.3	0.108
99	7.9	12.3	0.042
100	8.1	12.3	0.031
101	8.4	12.3	0.092
102	8.6	12.3	0.230
103	8.9	12.3	0.622
104	11.0	12.2	0.666
105	11.3	12.2	0.669
106	11.2	12.2	0.701
107	11.4	12.2	0.669
108	11.5	12.2	0.649
109	11.6	12.2	0.601
110	11.8	12.2	0.528
111	12.5	12.2	0.481
112	12.4	12.2	0.449
113	13.0	12.2	0.466
114	13.5	12.2	0.579
115	13.6	12.1	0.646
116	13.4	12.1	0.799
117	13.7	12.1	0.821
118	14.2	12.1	0.765
119	14.8	12.1	0.461
120	14.9	12.1	0.289
121	13.3	12.1	0.200
122	13.3	12.1	0.108
123	12.9	12.1	0.042
124	12.9	12.1	0.031
125	12.3	12.1	0.092
126	11.8	12.1	0.230
127	11.7	12.1	0.622
128	13.6	12.1	0.666
129	13.4	12.1	0.669
130	12.8	12.1	0.701
131	12.1	12.0	0.669
132	11.5	12.0	0.649
