# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	2.7	5.2	0.051
2	2.8	5.1	0.028
3	2.9	5.0	0.011
4	2.9	4.9	0.008
5	2.9	4.9	0.023
6	2.9	4.9	0.059
7	2.9	4.9	0.159
8	3.5	4.9	0.170
9	3.6	4.8	0.171
10	3.4	4.8	0.179
11	3.4	4.8	0.171
12	3.2	4.8	0.165
13	3.1	4.8	0.153
14	3.1	4.8	0.135
15	3.1	4.8	0.123
16	3.2	4.8	0.114
17	3.4	4.8	0.119
18	3.7	4.7	0.148
19	3.9	4.7	0.165
20	4.0	4.7	0.204
21	4.0	4.7	0.209
22	4.1	4.7	0.195
23	4.2	4.7	0.117
24	4.4	4.7	0.074
25	3.8	4.7	0.051
26	3.7	4.7	0.028
27	3.7	4.7	0.011
28	3.7	4.7	0.008
29	3.7	4.7	0.023
30	3.6	4.7	0.059
31	3.7	4.7	0.159
32	4.5	4.6	0.170
33	4.3	4.6	0.171
34	4.3	4.6	0.179
35	4.1	4.6	0.171
36	3.9	4.6	0.165
37	3.9	4.6	0.153
38	3.8	4.6	0.135
39	3.7	4.6	0.123
40	3.8	4.6	0.114
41	3.9	4.6	0.119
42	4.1	4.6	0.148
43	4.1	4.6	0.165
44	4.2	4.6	0.204
45	4.2	4.5	0.209
46	4.2	4.5	0.195
47	4.2	4.5	0.117
48	4.2	4.5	0.074
49	3.5	4.5	0.051
50	3.5	4.5	0.028
51	3.6	4.5	0.011
52	3.7	4.5	0.008
53	3.7	4.5	0.023
54	3.6	4.5	0.059
55	3.8	4.5	0.159
56	4.4	4.5	0.170
57	4.3	4.5	0.171
58	4.4	4.5	0.179
59	4.3	4.5	0.171
60	4.2	4.5	0.165
61	4.0	4.4	0.153
62	3.9	4.4	0.135
63	3.9	4.4	0.123
64	3.9	4.4	0.114
65	3.9	4.4	0.119
66	4.1	4.4	0.148
67	4.2	4.4	0.165
68	4.3	4.4	0.204
69	4.4	4.4	0.209
70	4.5	4.4	0.195
