# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	3.3	5.2	0.231
2	3.4	5.1	0.125
3	3.5	5.0	0.049
4	3.5	5.0	0.035
5	3.5	5.0	0.106
6	3.5	5.0	0.267
7	3.5	4.9	0.722
8	3.4	4.9	0.772
9	3.5	4.8	0.776
10	3.3	4.8	0.813
11	3.3	4.8	0.776
12	3.1	4.8	0.752
13	3.0	4.8	0.696
14	3.0	4.8	0.612
15	3.0	4.8	0.558
16	3.1	4.8	0.520
17	3.3	4.8	0.541
18	3.6	4.8	0.671
19	3.8	4.8	0.749
20	3.9	4.8	0.926
21	3.9	4.7	0.951
22	4.0	4.7	0.887
23	4.1	4.7	0.534
24	4.3	4.7	0.335
25	4.4	4.7	0.231
26	4.3	4.7	0.125
27	4.3	4.7	0.049
28	4.3	4.7	0.035
29	4.3	4.7	0.106
30	4.2	4.7	0.267
31	4.3	4.7	0.722
32	4.3	4.7	0.772
33	4.2	4.6	0.776
34	4.1	4.6	0.813
35	4.0	4.6	0.776
36	3.8	4.6	0.752
37	3.8	4.6	0.696
38	3.7	4.6	0.612
39	3.6	4.6	0.558
40	3.7	4.6	0.520
41	3.8	4.6	0.541
42	4.0	4.6	0.671
43	4.0	4.6	0.749
44	4.0	4.6	0.926
45	4.1	4.6	0.951
46	4.1	4.6	0.887
47	4.1	4.6	0.534
48	4.1	4.6	0.335
49	4.1	4.6	0.231
50	4.1	4.6	0.125
51	4.1	4.6	0.049
52	4.2	4.6	0.035
53	4.3	4.6	0.106
54	4.2	4.6	0.267
55	4.3	4.6	0.722
56	4.3	4.6	0.772
57	4.2	4.6	0.776
58	4.3	4.6	0.813
59	4.1	4.6	0.776
60	4.1	4.6	0.752
61	3.9	4.6	0.696
62	3.8	4.6	0.612
63	3.8	4.5	0.558
64	3.7	4.5	0.520
65	3.8	4.5	0.541
66	3.9	4.5	0.671
67	4.1	4.5	0.749
68	4.2	4.5	0.926
69	4.3	4.5	0.951
70	4.4	4.5	0.887
71	4.5	4.5	0.534
72	4.5	4.5	0.335
73	4.6	4.5	0.231
