# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.2	0.3	0.002
2	0.2	0.3	0.001
3	0.2	0.3	0.000
4	0.2	0.3	0.000
5	0.2	0.3	0.001
6	0.2	0.3	0.002
7	0.2	0.3	0.006
8	0.2	0.3	0.007
9	0.2	0.3	0.007
10	0.2	0.3	0.007
11	0.2	0.3	0.007
12	0.2	0.3	0.006
13	0.2	0.3	0.006
14	0.2	0.3	0.005
15	0.2	0.3	0.005
16	0.2	0.3	0.004
17	0.2	0.3	0.005
18	0.2	0.3	0.006
19	0.2	0.3	0.006
20	0.2	0.3	0.008
21	0.2	0.3	0.008
22	0.2	0.3	0.008
23	0.2	0.3	0.005
24	0.3	0.3	0.003
25	0.2	0.3	0.002
26	0.2	0.3	0.001
27	0.2	0.3	0.000
28	0.2	0.3	0.000
29	0.2	0.3	0.001
30	0.2	0.3	0.002
31	0.2	0.3	0.006
32	0.3	0.3	0.007
33	0.3	0.3	0.007
34	0.2	0.3	0.007
35	0.2	0.3	0.007
36	0.2	0.3	0.006
37	0.2	0.3	0.006
38	0.2	0.3	0.005
39	0.2	0.3	0.005
40	0.2	0.3	0.004
41	0.2	0.3	0.005
42	0.2	0.3	0.006
43	0.2	0.3	0.006
44	0.2	0.3	0.008
45	0.2	0.3	0.008
46	0.2	0.3	0.008
47	0.2	0.3	0.005
48	0.2	0.3	0.003
49	0.2	0.3	0.002
50	0.2	0.3	0.001
51	0.2	0.3	0.000
52	0.2	0.3	0.000
53	0.2	0.3	0.001
54	0.2	0.3	0.002
55	0.2	0.3	0.006
56	0.3	0.3	0.007
57	0.3	0.3	0.007
58	0.3	0.3	0.007
59	0.2	0.3	0.007
60	0.2	0.3	0.006
61	0.2	0.3	0.006
62	0.2	0.3	0.005
63	0.2	0.3	0.005
64	0.2	0.3	0.004
65	0.2	0.3	0.005
66	0.2	0.3	0.006
67	0.2	0.3	0.006
68	0.2	0.3	0.008
69	0.3	0.3	0.008
70	0.3	0.3	0.008
71	0.3	0.2	0.005
72	0.3	0.2	0.003
73	0.2	0.2	0.002
74	0.2	0.2	0.001
75	0.2	0.2	0.000
76	0.2	0.2	0.000
77	0.2	0.2	0.001
78	0.2	0.2	0.002
79	0.2	0.2	0.006
80	0.3	0.2	0.007
81	0.2	0.2	0.007
82	0.2	0.2	0.007
83	0.2	0.2	0.007
84	0.2	0.2	0.006
85	0.2	0.2	0.006
86	0.2	0.2	0.005
87	0.2	0.2	0.005
88	0.2	0.2	0.004
89	0.2	0.2	0.005
90	0.2	0.2	0.006
91	0.2	0.2	0.006
92	0.2	0.2	0.008
93	0.2	0.2	0.008
94	0.2	0.2	0.008
95	0.2	0.2	0.005
96	0.2	0.2	0.003
97	0.1	0.2	0.002
98	0.1	0.2	0.001
99	0.2	0.2	0.000
100	0.2	0.2	0.000
101	0.2	0.2	0.001
102	0.2	0.2	0.002
103	0.2	0.2	0.006
104	0.2	0.2	0.007
105	0.2	0.2	0.007
106	0.2	0.2	0.007
107	0.2	0.2	0.007
108	0.2	0.2	0.006
109	0.2	0.2	0.006
110	0.2	0.2	0.005
111	0.2	0.2	0.005
112	0.2	0.2	0.004
113	0.3	0.2	0.005
114	0.3	0.2	0.006
115	0.3	0.2	0.006
116	0.3	0.2	0.008
117	0.3	0.2	0.008
118	0.3	0.2	0.008
119	0.3	0.2	0.005
120	0.3	0.2	0.003
121	0.3	0.2	0.002
122	0.3	0.2	0.001
123	0.3	0.2	0.000
124	0.3	0.2	0.000
125	0.2	0.2	0.001
126	0.2	0.2	0.002
127	0.2	0.2	0.006
128	0.3	0.2	0.007
129	0.3	0.2	0.007
130	0.3	0.2	0.007
131	0.2	0.2	0.007
132	0.2	0.2	0.006
133	0.2	0.2	0.006
134	0.2	0.2	0.005
135	0.2	0.2	0.005
136	0.2	0.2	0.004
137	0.2	0.2	0.005
138	0.2	0.2	0.006
139	0.2	0.2	0.006
140	0.2	0.2	0.008
141	0.2	0.2	0.008
142	0.2	0.2	0.008
143	0.2	0.2	0.005
144	0.2	0.2	0.003
145	0.1	0.2	0.002
146	0.1	0.2	0.001
147	0.1	0.2	0.000
148	0.1	0.2	0.000
149	0.2	0.2	0.001
150	0.1	0.2	0.002
151	0.1	0.2	0.006
152	0.2	0.2	0.007
153	0.2	0.2	0.007
154	0.2	0.2	0.007
155	0.2	0.2	0.007
156	0.2	0.2	0.006
157	0.2	0.2	0.006
158	0.1	0.2	0.005
159	0.1	0.2	0.005
160	0.1	0.2	0.004
161	0.2	0.2	0.005
162	0.2	0.2	0.006
163	0.2	0.2	0.006
164	0.2	0.2	0.008
165	0.2	0.2	0.008
166	0.2	0.2	0.008
167	0.2	0.2	0.005
168	0.2	0.2	0.003
169	0.2	0.2	0.002
170	0.2	0.2	0.001
171	0.2	0.2	0.000
172	0.2	0.2	0.000
173	0.2	0.2	0.001
174	0.1	0.2	0.002
175	0.1	0.2	0.006
176	0.2	0.2	0.007
177	0.2	0.2	0.007
178	0.2	0.2	0.007
179	0.2	0.2	0.007
180	0.2	0.2	0.006
181	0.2	0.2	0.006
182	0.2	0.2	0.005
183	0.2	0.2	0.005
184	0.2	0.2	0.004
185	0.2	0.2	0.005
186	0.2	0.2	0.006
187	0.2	0.2	0.006
188	0.2	0.2	0.008
189	0.2	0.2	0.008
190	0.2	0.2	0.008
191	0.1	0.2	0.005
192	0.1	0.2	0.003
193	0.1	0.2	0.002
194	0.1	0.2	0.001
195	0.1	0.2	0.000
196	0.1	0.2	0.000
197	0.1	0.2	0.001
198	0.1	0.2	0.002
