# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	9.2	14.2	0.183
2	9.4	14.2	0.099
3	9.7	13.9	0.039
4	9.6	13.9	0.028
5	9.7	13.9	0.084
6	9.8	13.8	0.211
7	9.6	13.3	0.570
8	9.5	13.3	0.610
9	9.6	12.9	0.613
10	9.0	12.8	0.642
11	9.1	12.8	0.613
12	8.6	12.8	0.594
13	8.3	12.7	0.550
14	8.4	12.7	0.483
15	8.3	12.7	0.441
16	8.6	12.7	0.411
17	9.1	12.7	0.427
18	9.8	12.7	0.530
19	10.5	12.7	0.592
20	10.7	12.7	0.732
21	10.8	12.7	0.752
22	11.1	12.6	0.701
23	11.4	12.6	0.422
24	11.8	12.6	0.264
25	12.1	12.6	0.183
26	11.8	12.6	0.099
27	11.9	12.6	0.039
28	11.9	12.5	0.028
29	11.8	12.4	0.084
30	11.6	12.4	0.211
31	11.8	12.4	0.570
32	12.0	12.4	0.610
33	11.7	12.4	0.613
34	11.4	12.3	0.642
35	11.1	12.3	0.613
36	10.6	12.3	0.594
37	10.4	12.2	0.550
38	10.3	12.2	0.483
39	9.9	12.2	0.441
40	10.1	12.2	0.411
41	10.6	12.1	0.427
42	11.1	12.1	0.530
43	11.1	12.1	0.592
44	11.2	12.1	0.732
45	11.3	12.1	0.752
46	11.4	12.1	0.701
47	11.4	12.1	0.422
48	11.4	12.1	0.264
49	11.4	12.1	0.183
50	11.4	12.0	0.099
51	11.4	12.0	0.039
52	11.7	12.0	0.028
53	11.8	12.0	0.084
54	11.6	12.0	0.211
55	12.0	12.0	0.570
56	11.8	12.0	0.610
57	11.7	12.0	0.613
58	11.8	11.9	0.642
59	11.4	11.9	0.613
60	11.3	11.9	0.594
61	10.9	11.9	0.550
62	10.6	11.9	0.483
63	10.4	11.9	0.441
64	10.4	11.9	0.411
65	10.5	11.9	0.427
66	10.9	11.9	0.530
67	11.3	11.8	0.592
68	11.5	11.8	0.732
69	11.9	11.8	0.752
70	12.1	11.8	0.701
71	12.4	11.8	0.422
72	12.6	11.8	0.264
73	12.7	11.8	0.183
74	12.7	11.8	0.099
75	12.6	11.8	0.039
76	12.7	11.7	0.028
77	12.7	11.7	0.084
78	12.6	11.7	0.211
79	12.3	11.7	0.570
80	11.9	11.7	0.610
81	11.6	11.7	0.613
82	11.0	11.7	0.642
83	10.0	11.7	0.613
84	9.2	11.6	0.594
85	8.5	11.6	0.550
86	8.2	11.6	0.483
87	8.3	11.6	0.441
88	8.3	11.6	0.411
89	8.4	11.6	0.427
90	8.5	11.6	0.530
91	8.5	11.6	0.592
92	8.3	11.6	0.732
93	8.5	11.6	0.752
94	8.7	11.5	0.701
95	8.8	11.5	0.422
96	8.8	11.5	0.264
97	8.8	11.5	0.183
98	8.8	11.5	0.099
99	9.2	11.5	0.039
100	9.4	11.5	0.028
101	9.7	11.5	0.084
102	9.8	11.5	0.211
103	10.2	11.5	0.570
104	10.3	11.4	0.610
105	10.5	11.4	0.613
106	10.5	11.4	0.642
107	10.7	11.4	0.613
108	10.8	11.4	0.594
109	10.8	11.4	0.550
110	11.0	11.4	0.483
111	11.6	11.4	0.441
112	11.6	11.4	0.411
113	12.1	11.4	0.427
114	12.6	11.4	0.530
115	12.7	11.4	0.592
116	12.4	11.4	0.732
117	12.8	11.4	0.752
118	13.3	11.3	0.701
119	13.8	11.3	0.422
120	13.9	11.3	0.264
121	14.2	11.3	0.183
122	14.2	11.3	0.099
123	13.9	11.3	0.039
124	13.9	11.3	0.028
125	13.3	11.3	0.084
126	12.9	11.3	0.211
127	12.7	11.3	0.570
128	12.6	11.3	0.610
129	12.4	11.3	0.613
130	12.0	11.3	0.642
131	11.3	11.3	0.613
132	10.7	11.3	0.594
133	9.9	11.3	0.550
134	9.3	11.3	0.483
135	9.0	11.3	0.441
136	8.6	11.2	0.411
