# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	4.7	7.3	0.337
2	4.8	7.3	0.182
3	5.0	7.1	0.071
4	4.9	7.1	0.052
5	5.0	7.1	0.155
6	5.0	7.1	0.389
7	4.9	6.8	1.051
8	4.9	6.8	1.125
9	4.9	6.8	1.129
10	4.6	6.8	1.184
11	4.6	6.8	1.129
12	4.4	6.8	1.095
13	4.2	6.8	1.014
14	4.3	6.7	0.891
15	4.2	6.7	0.812
16	4.4	6.7	0.758
17	4.6	6.7	0.787
18	5.0	6.7	0.977
19	5.3	6.7	1.090
20	5.4	6.7	1.348
21	5.5	6.6	1.385
22	5.7	6.6	1.292
23	5.8	6.6	0.778
24	6.0	6.6	0.487
25	6.2	6.6	0.337
26	6.0	6.6	0.182
27	6.1	6.6	0.071
28	6.1	6.6	0.052
29	6.0	6.6	0.155
30	5.9	6.5	0.389
31	6.0	6.5	1.051
32	6.1	6.5	1.125
33	5.9	6.5	1.129
34	5.8	6.5	1.184
35	5.6	6.5	1.129
36	5.4	6.5	1.095
37	5.3	6.5	1.014
38	5.2	6.5	0.891
39	5.1	6.5	0.812
40	5.2	6.5	0.758
41	5.4	6.5	0.787
42	5.6	6.5	0.977
43	5.7	6.5	1.090
44	5.7	6.5	1.348
45	5.8	6.5	1.385
46	5.8	6.5	1.292
47	5.8	6.5	0.778
48	5.8	6.5	0.487
49	5.8	6.5	0.337
50	5.8	6.5	0.182
51	5.8	6.4	0.071
52	6.0	6.4	0.052
53	6.0	6.4	0.155
54	5.9	6.4	0.389
55	6.1	6.4	1.051
56	6.0	6.4	1.125
57	6.0	6.4	1.129
58	6.0	6.4	1.184
59	5.8	6.4	1.129
60	5.8	6.4	1.095
61	5.5	6.4	1.014
62	5.4	6.4	0.891
63	5.3	6.4	0.812
64	5.3	6.4	0.758
65	5.3	6.4	0.787
66	5.6	6.4	0.977
67	5.7	6.4	1.090
68	5.9	6.4	1.348
69	6.1	6.3	1.385
70	6.2	6.3	1.292
71	6.3	6.3	0.778
72	6.4	6.3	0.487
73	6.5	6.3	0.337
74	6.5	6.3	0.182
75	6.4	6.3	0.071
76	6.5	6.3	0.052
77	6.5	6.3	0.155
78	6.4	6.3	0.389
79	6.3	6.3	1.051
80	6.1	6.3	1.125
81	5.9	6.3	1.129
82	5.6	6.2	1.184
83	5.1	6.2	1.129
84	4.7	6.2	1.095
85	4.3	6.2	1.014
86	4.2	6.2	0.891
87	4.2	6.2	0.812
88	4.2	6.2	0.758
89	4.3	6.2	0.787
90	4.3	6.1	0.977
91	4.3	6.1	1.090
92	4.2	6.1	1.348
93	4.3	6.1	1.385
94	4.4	6.1	1.292
