# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.5	0.8	0.016
2	0.5	0.8	0.009
3	0.6	0.8	0.003
4	0.6	0.8	0.003
5	0.6	0.8	0.008
6	0.6	0.8	0.019
7	0.6	0.8	0.051
8	0.5	0.8	0.055
9	0.6	0.8	0.055
10	0.5	0.8	0.058
11	0.5	0.8	0.055
12	0.5	0.8	0.053
13	0.5	0.8	0.049
14	0.5	0.8	0.043
15	0.5	0.8	0.040
16	0.5	0.8	0.037
17	0.5	0.8	0.038
18	0.6	0.8	0.048
19	0.6	0.8	0.053
20	0.6	0.8	0.066
21	0.6	0.8	0.067
22	0.6	0.8	0.063
23	0.7	0.8	0.038
24	0.7	0.8	0.024
25	0.7	0.8	0.016
26	0.7	0.8	0.009
27	0.7	0.8	0.003
28	0.7	0.8	0.003
29	0.7	0.8	0.008
30	0.7	0.8	0.019
31	0.7	0.8	0.051
32	0.7	0.7	0.055
33	0.7	0.7	0.055
34	0.7	0.7	0.058
35	0.6	0.7	0.055
36	0.6	0.7	0.053
37	0.6	0.7	0.049
38	0.6	0.7	0.043
39	0.6	0.7	0.040
40	0.6	0.7	0.037
41	0.6	0.7	0.038
42	0.6	0.7	0.048
43	0.6	0.7	0.053
44	0.6	0.7	0.066
45	0.7	0.7	0.067
46	0.7	0.7	0.063
47	0.7	0.7	0.038
48	0.7	0.7	0.024
49	0.7	0.7	0.016
50	0.7	0.7	0.009
51	0.7	0.7	0.003
52	0.7	0.7	0.003
53	0.7	0.7	0.008
54	0.7	0.7	0.019
55	0.7	0.7	0.051
56	0.7	0.7	0.055
57	0.7	0.7	0.055
58	0.7	0.7	0.058
59	0.7	0.7	0.055
60	0.7	0.7	0.053
61	0.6	0.7	0.049
62	0.6	0.7	0.043
63	0.6	0.7	0.040
64	0.6	0.7	0.037
65	0.6	0.7	0.038
66	0.6	0.7	0.048
67	0.6	0.7	0.053
68	0.7	0.7	0.066
69	0.7	0.7	0.067
70	0.7	0.7	0.063
71	0.7	0.7	0.038
72	0.7	0.7	0.024
73	0.7	0.7	0.016
74	0.7	0.7	0.009
75	0.7	0.7	0.003
76	0.7	0.7	0.003
77	0.7	0.7	0.008
78	0.7	0.7	0.019
79	0.7	0.7	0.051
80	0.7	0.7	0.055
81	0.7	0.7	0.055
82	0.6	0.7	0.058
83	0.6	0.7	0.055
84	0.5	0.7	0.053
85	0.5	0.7	0.049
86	0.5	0.7	0.043
87	0.5	0.7	0.040
88	0.5	0.7	0.037
89	0.5	0.7	0.038
90	0.5	0.7	0.048
91	0.5	0.7	0.053
92	0.5	0.7	0.066
93	0.5	0.7	0.067
94	0.5	0.7	0.063
95	0.5	0.7	0.038
96	0.5	0.7	0.024
97	0.5	0.7	0.016
98	0.5	0.7	0.009
99	0.5	0.7	0.003
100	0.5	0.7	0.003
101	0.6	0.7	0.008
102	0.6	0.7	0.019
103	0.6	0.7	0.051
104	0.6	0.7	0.055
105	0.6	0.7	0.055
106	0.6	0.7	0.058
107	0.6	0.7	0.055
108	0.6	0.7	0.053
109	0.6	0.7	0.049
110	0.6	0.7	0.043
111	0.7	0.7	0.040
112	0.7	0.7	0.037
113	0.7	0.7	0.038
114	0.7	0.7	0.048
115	0.7	0.7	0.053
116	0.7	0.7	0.066
117	0.7	0.7	0.067
118	0.8	0.7	0.063
119	0.8	0.7	0.038
120	0.8	0.7	0.024
121	0.8	0.7	0.016
122	0.8	0.7	0.009
123	0.8	0.7	0.003
124	0.8	0.7	0.003
125	0.8	0.7	0.008
126	0.7	0.7	0.019
127	0.7	0.7	0.051
128	0.7	0.7	0.055
129	0.7	0.7	0.055
130	0.7	0.7	0.058
131	0.6	0.7	0.055
132	0.6	0.7	0.053
133	0.6	0.7	0.049
134	0.5	0.7	0.043
135	0.5	0.7	0.040
136	0.5	0.7	0.037
137	0.5	0.7	0.038
138	0.5	0.7	0.048
139	0.5	0.7	0.053
140	0.5	0.7	0.066
141	0.5	0.7	0.067
142	0.5	0.7	0.063
143	0.5	0.7	0.038
144	0.5	0.7	0.024
145	0.5	0.7	0.016
146	0.5	0.7	0.009
147	0.5	0.7	0.003
148	0.5	0.7	0.003
149	0.5	0.7	0.008
150	0.5	0.7	0.019
151	0.5	0.7	0.051
152	0.5	0.7	0.055
153	0.5	0.7	0.055
154	0.5	0.7	0.058
155	0.5	0.7	0.055
156	0.4	0.7	0.053
157	0.4	0.7	0.049
158	0.4	0.7	0.043
159	0.4	0.7	0.040
160	0.4	0.7	0.037
161	0.4	0.7	0.038
162	0.4	0.7	0.048
163	0.5	0.7	0.053
164	0.5	0.7	0.066
165	0.5	0.7	0.067
166	0.5	0.7	0.063
167	0.5	0.7	0.038
168	0.5	0.7	0.024
169	0.5	0.7	0.016
170	0.5	0.7	0.009
171	0.6	0.7	0.003
172	0.5	0.7	0.003
173	0.5	0.7	0.008
174	0.5	0.7	0.019
175	0.5	0.7	0.051
176	0.5	0.6	0.055
177	0.5	0.6	0.055
178	0.5	0.6	0.058
179	0.5	0.6	0.055
180	0.4	0.6	0.053
181	0.4	0.6	0.049
182	0.4	0.6	0.043
183	0.4	0.6	0.040
184	0.4	0.6	0.037
185	0.4	0.6	0.038
186	0.4	0.6	0.048
187	0.4	0.6	0.053
188	0.4	0.6	0.066
189	0.4	0.6	0.067
190	0.4	0.6	0.063
191	0.4	0.6	0.038
192	0.4	0.6	0.024
193	0.4	0.6	0.016
194	0.4	0.6	0.009
195	0.4	0.6	0.003
196	0.4	0.6	0.003
197	0.4	0.6	0.008
198	0.3	0.6	0.019
199	0.4	0.6	0.051
200	0.3	0.6	0.055
201	0.4	0.6	0.055
202	0.3	0.6	0.058
203	0.3	0.6	0.055
204	0.3	0.6	0.053
205	0.3	0.6	0.049
206	0.3	0.6	0.043
207	0.3	0.6	0.040
208	0.3	0.6	0.037
209	0.3	0.6	0.038
210	0.3	0.6	0.048
211	0.3	0.6	0.053
212	0.3	0.6	0.066
213	0.3	0.6	0.067
214	0.3	0.6	0.063
215	0.3	0.6	0.038
216	0.2	0.6	0.024
217	0.2	0.6	0.016
218	0.3	0.6	0.009
219	0.3	0.6	0.003
220	0.3	0.6	0.003
221	0.3	0.6	0.008
222	0.3	0.6	0.019
223	0.3	0.6	0.051
224	0.3	0.6	0.055
225	0.3	0.6	0.055
226	0.3	0.6	0.058
227	0.3	0.6	0.055
228	0.3	0.6	0.053
229	0.3	0.6	0.049
230	0.3	0.6	0.043
231	0.3	0.6	0.040
232	0.4	0.6	0.037
233	0.4	0.6	0.038
234	0.4	0.6	0.048
235	0.4	0.6	0.053
236	0.4	0.6	0.066
237	0.5	0.6	0.067
238	0.5	0.6	0.063
239	0.5	0.6	0.038
240	0.5	0.6	0.024
241	0.6	0.6	0.016
242	0.6	0.6	0.009
243	0.6	0.6	0.003
244	0.6	0.6	0.003
245	0.6	0.6	0.008
246	0.6	0.6	0.019
247	0.6	0.6	0.051
248	0.6	0.6	0.055
249	0.6	0.6	0.055
250	0.5	0.6	0.058
251	0.5	0.6	0.055
252	0.5	0.6	0.053
253	0.5	0.6	0.049
254	0.4	0.6	0.043
255	0.5	0.6	0.040
256	0.5	0.6	0.037
257	0.5	0.6	0.038
258	0.5	0.6	0.048
259	0.5	0.6	0.053
260	0.5	0.6	0.066
261	0.6	0.6	0.067
262	0.6	0.6	0.063
263	0.6	0.6	0.038
264	0.6	0.6	0.024
265	0.6	0.6	0.016
266	0.6	0.6	0.009
267	0.6	0.6	0.003
268	0.6	0.6	0.003
269	0.6	0.6	0.008
270	0.6	0.6	0.019
271	0.6	0.6	0.051
272	0.6	0.6	0.055
273	0.6	0.6	0.055
274	0.6	0.6	0.058
275	0.5	0.6	0.055
276	0.5	0.6	0.053
277	0.5	0.6	0.049
278	0.5	0.6	0.043
279	0.4	0.6	0.040
280	0.4	0.6	0.037
281	0.4	0.6	0.038
282	0.5	0.6	0.048
283	0.5	0.6	0.053
284	0.5	0.6	0.066
285	0.5	0.6	0.067
286	0.5	0.6	0.063
287	0.5	0.6	0.038
288	0.5	0.6	0.024
289	0.5	0.6	0.016
290	0.5	0.6	0.009
291	0.5	0.6	0.003
292	0.5	0.6	0.003
293	0.5	0.6	0.008
294	0.5	0.6	0.019
295	0.5	0.6	0.051
296	0.5	0.6	0.055
297	0.5	0.6	0.055
298	0.5	0.6	0.058
299	0.4	0.6	0.055
300	0.4	0.6	0.053
301	0.4	0.6	0.049
302	0.4	0.6	0.043
303	0.4	0.6	0.040
304	0.4	0.6	0.037
305	0.4	0.6	0.038
306	0.4	0.6	0.048
307	0.4	0.6	0.053
308	0.4	0.6	0.066
309	0.4	0.6	0.067
310	0.4	0.6	0.063
311	0.4	0.6	0.038
312	0.4	0.6	0.024
313	0.4	0.6	0.016
314	0.4	0.6	0.009
315	0.4	0.6	0.003
316	0.4	0.6	0.003
317	0.4	0.6	0.008
318	0.4	0.6	0.019
319	0.4	0.6	0.051
320	0.4	0.6	0.055
321	0.4	0.6	0.055
322	0.4	0.6	0.058
323	0.4	0.6	0.055
324	0.4	0.6	0.053
325	0.4	0.6	0.049
326	0.4	0.6	0.043
327	0.4	0.6	0.040
328	0.3	0.6	0.037
329	0.4	0.6	0.038
330	0.4	0.6	0.048
331	0.4	0.6	0.053
332	0.4	0.6	0.066
333	0.4	0.6	0.067
334	0.4	0.6	0.063
335	0.4	0.6	0.038
336	0.4	0.6	0.024
337	0.4	0.6	0.016
338	0.4	0.6	0.009
339	0.4	0.6	0.003
340	0.4	0.6	0.003
341	0.4	0.6	0.008
342	0.4	0.6	0.019
343	0.4	0.6	0.051
344	0.5	0.6	0.055
345	0.5	0.6	0.055
346	0.5	0.6	0.058
347	0.5	0.6	0.055
348	0.5	0.6	0.053
349	0.5	0.6	0.049
350	0.5	0.6	0.043
351	0.5	0.6	0.040
352	0.5	0.6	0.037
353	0.5	0.6	0.038
354	0.5	0.6	0.048
355	0.5	0.6	0.053
356	0.5	0.6	0.066
357	0.5	0.6	0.067
358	0.5	0.6	0.063
359	0.5	0.6	0.038
360	0.5	0.6	0.024
361	0.5	0.6	0.016
362	0.5	0.6	0.009
363	0.5	0.6	0.003
364	0.5	0.6	0.003
365	0.5	0.6	0.008
366	0.6	0.6	0.019
367	0.6	0.6	0.051
368	0.6	0.6	0.055
369	0.6	0.6	0.055
370	0.6	0.6	0.058
371	0.5	0.6	0.055
372	0.5	0.6	0.053
373	0.5	0.6	0.049
374	0.5	0.6	0.043
375	0.5	0.6	0.040
376	0.5	0.6	0.037
377	0.6	0.6	0.038
378	0.6	0.6	0.048
379	0.6	0.6	0.053
380	0.6	0.6	0.066
381	0.6	0.6	0.067
382	0.7	0.6	0.063
383	0.7	0.6	0.038
384	0.7	0.6	0.024
385	0.7	0.6	0.016
386	0.7	0.6	0.009
387	0.7	0.6	0.003
388	0.7	0.6	0.003
389	0.7	0.6	0.008
390	0.7	0.6	0.019
391	0.7	0.6	0.051
392	0.7	0.6	0.055
393	0.7	0.6	0.055
394	0.7	0.6	0.058
395	0.6	0.6	0.055
396	0.6	0.6	0.053
397	0.5	0.6	0.049
398	0.5	0.6	0.043
399	0.5	0.6	0.040
400	0.5	0.6	0.037
401	0.5	0.6	0.038
402	0.5	0.6	0.048
403	0.5	0.6	0.053
404	0.5	0.6	0.066
405	0.5	0.6	0.067
406	0.5	0.6	0.063
407	0.5	0.6	0.038
408	0.5	0.6	0.024
409	0.5	0.6	0.016
410	0.5	0.6	0.009
411	0.5	0.6	0.003
412	0.5	0.6	0.003
413	0.5	0.6	0.008
414	0.5	0.6	0.019
415	0.5	0.6	0.051
416	0.5	0.6	0.055
417	0.5	0.6	0.055
418	0.5	0.6	0.058
419	0.5	0.6	0.055
420	0.5	0.6	0.053
421	0.5	0.6	0.049
422	0.5	0.6	0.043
423	0.5	0.6	0.040
424	0.5	0.6	0.037
425	0.5	0.6	0.038
426	0.5	0.6	0.048
427	0.5	0.6	0.053
428	0.5	0.6	0.066
429	0.6	0.6	0.067
430	0.6	0.6	0.063
431	0.6	0.6	0.038
432	0.6	0.6	0.024
433	0.6	0.6	0.016
434	0.6	0.6	0.009
435	0.6	0.6	0.003
436	0.6	0.6	0.003
437	0.6	0.6	0.008
438	0.6	0.6	0.019
439	0.6	0.6	0.051
440	0.6	0.6	0.055
441	0.6	0.6	0.055
442	0.6	0.6	0.058
443	0.6	0.6	0.055
444	0.6	0.6	0.053
445	0.6	0.6	0.049
