# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	1.9	3.7	0.169
2	2.0	3.6	0.091
3	2.1	3.5	0.036
4	2.0	3.5	0.026
5	2.1	3.5	0.078
6	2.1	3.5	0.195
7	2.0	3.4	0.527
8	2.5	3.4	0.564
9	2.5	3.4	0.566
10	2.4	3.4	0.594
11	2.4	3.4	0.566
12	2.2	3.4	0.549
13	2.2	3.4	0.508
14	2.2	3.4	0.447
15	2.2	3.4	0.407
16	2.2	3.3	0.380
17	2.4	3.3	0.395
18	2.6	3.3	0.490
19	2.8	3.3	0.547
20	2.8	3.3	0.676
21	2.8	3.3	0.695
22	2.9	3.3	0.648
23	3.0	3.3	0.390
24	3.1	3.3	0.244
25	2.7	3.3	0.169
26	2.6	3.3	0.091
27	2.6	3.3	0.036
28	2.6	3.3	0.026
29	2.6	3.3	0.078
30	2.6	3.3	0.195
31	2.6	3.3	0.527
32	3.1	3.3	0.564
33	3.1	3.3	0.566
34	3.0	3.3	0.594
35	2.9	3.3	0.566
36	2.8	3.3	0.549
37	2.7	3.3	0.508
38	2.7	3.2	0.447
39	2.6	3.2	0.407
40	2.7	3.2	0.380
41	2.8	3.2	0.395
42	2.9	3.2	0.490
43	2.9	3.2	0.547
44	2.9	3.2	0.676
45	3.0	3.2	0.695
46	3.0	3.2	0.648
47	3.0	3.2	0.390
48	3.0	3.2	0.244
49	2.5	3.2	0.169
50	2.5	3.2	0.091
51	2.5	3.2	0.036
52	2.6	3.2	0.026
53	2.6	3.2	0.078
54	2.6	3.1	0.195
55	2.7	3.1	0.527
56	3.1	3.1	0.564
57	3.1	3.1	0.566
58	3.1	3.1	0.594
59	3.0	3.1	0.566
60	3.0	3.1	0.549
61	2.9	3.1	0.508
62	2.8	3.1	0.447
63	2.7	3.1	0.407
64	2.7	3.1	0.380
65	2.8	3.1	0.395
66	2.9	3.1	0.490
67	3.0	3.1	0.547
68	3.0	3.1	0.676
69	3.1	3.1	0.695
70	3.2	3.1	0.648
71	3.3	3.1	0.390
72	3.3	3.1	0.244
73	2.9	3.1	0.169
74	2.9	3.0	0.091
75	2.8	3.0	0.036
76	2.8	3.0	0.026
77	2.8	3.0	0.078
78	2.8	3.0	0.195
