# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	13.7	26.1	0.436
2	14.1	26.0	0.235
3	14.8	25.1	0.092
4	14.6	25.0	0.067
5	14.8	24.9	0.200
6	14.9	24.9	0.503
7	14.6	24.8	1.358
8	17.9	24.7	1.454
9	18.0	24.5	1.460
10	17.0	24.4	1.530
11	17.1	24.4	1.460
12	16.1	24.4	1.415
13	15.6	24.3	1.310
14	15.7	24.2	1.151
15	15.6	24.2	1.050
16	16.1	24.2	0.980
17	17.1	24.0	1.018
18	18.5	24.0	1.263
19	19.7	24.0	1.409
20	20.0	24.0	1.743
21	20.2	23.9	1.791
22	20.9	23.9	1.670
23	21.4	23.9	1.005
24	22.1	23.9	0.630
25	19.4	23.8	0.436
26	18.8	23.8	0.235
27	18.9	23.7	0.092
28	18.9	23.7	0.067
29	18.7	23.7	0.200
30	18.3	23.6	0.503
31	18.7	23.6	1.358
32	22.5	23.5	1.454
33	21.9	23.5	1.460
34	21.5	23.4	1.530
35	20.8	23.4	1.460
36	20.0	23.4	1.415
37	19.5	23.4	1.310
38	19.3	23.3	1.151
39	18.6	23.3	1.050
40	19.1	23.3	0.980
41	19.9	23.3	1.018
42	20.8	23.3	1.263
43	21.0	23.3	1.409
44	21.0	23.1	1.743
45	21.3	23.0	1.791
46	21.3	22.9	1.670
47	21.4	22.9	1.005
48	21.4	22.8	0.630
49	17.9	22.8	0.436
50	17.9	22.7	0.235
51	18.0	22.7	0.092
52	18.5	22.7	0.067
53	18.7	22.6	0.200
54	18.4	22.6	0.503
55	19.0	22.6	1.358
56	22.2	22.6	1.454
57	22.0	22.6	1.460
58	22.1	22.5	1.530
59	21.5	22.5	1.460
60	21.3	22.5	1.415
61	20.4	22.5	1.310
62	19.9	22.4	1.151
63	19.6	22.4	1.050
64	19.5	22.3	0.980
65	19.7	22.3	1.018
66	20.5	22.3	1.263
67	21.2	22.2	1.409
68	21.7	22.1	1.743
69	22.3	22.1	1.791
70	22.8	22.1	1.670
71	23.3	22.1	1.005
72	23.6	22.1	0.630
73	20.4	22.0	0.436
74	20.4	22.0	0.235
75	20.2	21.9	0.092
76	20.4	21.9	0.067
77	20.3	21.9	0.200
78	20.2	21.9	0.503
79	19.7	21.9	1.358
80	22.4	21.8	1.454
81	21.8	21.8	1.460
82	20.7	21.8	1.530
83	18.8	21.8	1.460
84	17.3	21.8	1.415
85	16.0	21.8	1.310
86	15.5	21.8	1.151
87	15.6	21.7	1.050
88	15.5	21.7	0.980
89	15.8	21.7	1.018
90	16.0	21.7	1.263
91	15.9	21.7	1.409
92	15.5	21.6	1.743
93	16.0	21.6	1.791
94	16.3	21.6	1.670
95	16.5	21.5	1.005
96	16.5	21.5	0.630
97	13.0	21.5	0.436
98	13.1	21.5	0.235
99	13.8	21.5	0.092
100	14.2	21.5	0.067
101	14.7	21.5	0.200
102	15.0	21.5	0.503
103	15.7	21.5	1.358
104	19.4	21.5	1.454
105	19.8	21.4	1.460
106	19.7	21.4	1.530
107	20.1	21.4	1.460
108	20.2	21.4	1.415
109	20.3	21.4	1.310
110	20.8	21.4	1.151
111	21.9	21.4	1.050
112	21.8	21.4	0.980
113	22.7	21.3	1.018
114	23.7	21.3	1.263
115	23.9	21.3	1.409
116	23.4	21.3	1.743
117	24.0	21.3	1.791
118	24.9	21.3	1.670
119	26.0	21.3	1.005
120	26.1	21.2	0.630
121	23.3	21.2	0.436
122	23.3	21.2	0.235
123	22.7	21.2	0.092
124	22.6	21.2	0.067
125	21.5	21.2	0.200
126	20.8	21.2	0.503
127	20.5	21.2	1.358
128	23.8	21.2	1.454
129	23.4	21.2	1.460
130	22.5	21.2	1.530
131	21.2	21.2	1.460
132	20.1	21.2	1.415
133	18.5	21.0	1.310
134	17.3	21.0	1.151
135	16.8	21.0	1.050
136	16.0	21.0	0.980
137	16.0	21.0	1.018
138	16.5	21.0	1.263
139	15.8	20.9	1.409
140	15.7	20.9	1.743
141	15.9	20.9	1.791
142	15.9	20.9	1.670
143	15.9	20.9	1.005
144	15.8	20.9	0.630
145	12.1	20.9	0.436
146	12.4	20.8	0.235
147	12.5	20.8	0.092
148	12.8	20.8	0.067
149	13.4	20.8	0.200
150	13.0	20.8	0.503
151	13.1	20.8	1.358
152	17.0	20.7	1.454
153	16.7	20.7	1.460
154	15.6	20.7	1.530
155	15.2	20.6	1.460
156	14.4	20.6	1.415
157	13.8	20.6	1.310
158	12.7	20.6	1.151
159	12.2	20.6	1.050
160	12.1	20.5	0.980
161	13.3	20.5	1.018
162	14.0	20.5	1.263
163	15.1	20.5	1.409
164	15.3	20.5	1.743
165	16.1	20.5	1.791
166	16.3	20.5	1.670
167	17.4	20.5	1.005
168	17.6	20.5	0.630
169	14.5	20.5	0.436
170	14.3	20.5	0.235
171	14.5	20.5	0.092
172	13.8	20.4	0.067
173	13.6	20.4	0.200
174	13.0	20.4	0.503
175	13.0	20.4	1.358
176	16.2	20.4	1.454
177	16.1	20.4	1.460
178	15.8	20.4	1.530
179	14.9	20.4	1.460
180	14.1	20.4	1.415
181	14.4	20.4	1.310
182	14.0	20.3	1.151
183	14.3	20.3	1.050
184	14.2	20.3	0.980
185	14.1	20.3	1.018
186	14.2	20.3	1.263
187	14.6	20.3	1.409
188	13.8	20.3	1.743
189	13.3	20.3	1.791
190	13.3	20.2	1.670
191	12.6	20.2	1.005
192	12.2	20.2	0.630
193	7.9	20.2	0.436
194	8.0	20.2	0.235
195	8.4	20.2	0.092
196	8.6	20.2	0.067
197	8.1	20.2	0.200
198	7.5	20.2	0.503
199	8.0	20.2	1.358
200	11.4	20.1	1.454
201	11.6	20.1	1.460
202	10.7	20.1	1.530
203	10.6	20.1	1.460
204	10.8	20.1	1.415
205	10.6	20.1	1.310
206	9.7	20.1	1.151
207	8.8	20.1	1.050
208	8.6	20.1	0.980
209	8.7	20.1	1.018
210	8.4	20.1	1.263
211	8.5	20.0	1.409
212	8.6	20.0	1.743
213	8.5	20.0	1.791
214	8.5	20.0	1.670
215	8.3	20.0	1.005
216	7.8	20.0	0.630
217	4.5	20.0	0.436
218	4.8	20.0	0.235
