# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	1.0	1.6	0.015
2	1.1	1.6	0.008
3	1.1	1.6	0.003
4	1.1	1.6	0.002
5	1.1	1.6	0.007
6	1.1	1.6	0.018
7	1.1	1.5	0.048
8	1.1	1.5	0.051
9	1.1	1.5	0.051
10	1.0	1.5	0.054
11	1.0	1.5	0.051
12	1.0	1.5	0.050
13	0.9	1.4	0.046
14	1.0	1.4	0.041
15	1.0	1.4	0.037
16	1.0	1.4	0.034
17	1.0	1.4	0.036
18	1.1	1.4	0.044
19	1.2	1.4	0.050
20	1.2	1.4	0.061
21	1.2	1.4	0.063
22	1.3	1.4	0.059
23	1.3	1.4	0.035
24	1.3	1.4	0.022
25	1.4	1.4	0.015
26	1.3	1.4	0.008
27	1.4	1.4	0.003
28	1.4	1.4	0.002
29	1.3	1.4	0.007
30	1.3	1.4	0.018
31	1.3	1.4	0.048
32	1.4	1.4	0.051
33	1.3	1.4	0.051
34	1.3	1.4	0.054
35	1.3	1.4	0.051
36	1.2	1.4	0.050
37	1.2	1.4	0.046
38	1.2	1.4	0.041
39	1.1	1.4	0.037
40	1.2	1.4	0.034
41	1.2	1.4	0.036
42	1.3	1.4	0.044
43	1.3	1.4	0.050
44	1.3	1.4	0.061
45	1.3	1.4	0.063
46	1.3	1.4	0.059
47	1.3	1.3	0.035
48	1.3	1.3	0.022
49	1.3	1.3	0.015
50	1.3	1.3	0.008
51	1.3	1.3	0.003
52	1.3	1.3	0.002
53	1.3	1.3	0.007
54	1.3	1.3	0.018
55	1.4	1.3	0.048
56	1.3	1.3	0.051
57	1.3	1.3	0.051
58	1.3	1.3	0.054
59	1.3	1.3	0.051
60	1.3	1.3	0.050
61	1.2	1.3	0.046
62	1.2	1.3	0.041
63	1.2	1.3	0.037
64	1.2	1.3	0.034
65	1.2	1.3	0.036
66	1.2	1.3	0.044
67	1.3	1.3	0.050
68	1.3	1.3	0.061
69	1.4	1.3	0.063
70	1.4	1.3	0.059
71	1.4	1.3	0.035
72	1.4	1.3	0.022
73	1.4	1.3	0.015
74	1.4	1.3	0.008
75	1.4	1.3	0.003
76	1.4	1.3	0.002
77	1.4	1.3	0.007
78	1.4	1.3	0.018
79	1.4	1.3	0.048
80	1.4	1.3	0.051
81	1.3	1.3	0.051
82	1.3	1.3	0.054
83	1.1	1.3	0.051
84	1.1	1.3	0.050
85	1.0	1.3	0.046
86	0.9	1.3	0.041
87	0.9	1.3	0.037
88	0.9	1.3	0.034
89	1.0	1.3	0.036
90	1.0	1.3	0.044
91	1.0	1.3	0.050
92	0.9	1.3	0.061
93	1.0	1.3	0.063
94	1.0	1.3	0.059
95	1.0	1.3	0.035
96	1.0	1.3	0.022
97	1.0	1.3	0.015
98	1.0	1.3	0.008
99	1.1	1.3	0.003
100	1.1	1.3	0.002
101	1.1	1.3	0.007
102	1.1	1.3	0.018
103	1.2	1.3	0.048
104	1.2	1.3	0.051
105	1.2	1.3	0.051
106	1.2	1.3	0.054
107	1.2	1.3	0.051
108	1.2	1.3	0.050
109	1.2	1.3	0.046
110	1.3	1.3	0.041
111	1.3	1.3	0.037
112	1.3	1.3	0.034
113	1.4	1.3	0.036
114	1.4	1.3	0.044
115	1.4	1.3	0.050
116	1.4	1.3	0.061
117	1.5	1.3	0.063
118	1.5	1.3	0.059
119	1.6	1.3	0.035
120	1.6	1.3	0.022
121	1.6	1.3	0.015
122	1.6	1.3	0.008
123	1.6	1.3	0.003
124	1.6	1.3	0.002
125	1.5	1.3	0.007
126	1.5	1.3	0.018
127	1.4	1.3	0.048
128	1.4	1.3	0.051
129	1.4	1.3	0.051
130	1.4	1.3	0.054
131	1.3	1.2	0.051
132	1.2	1.2	0.050
133	1.1	1.2	0.046
134	1.1	1.2	0.041
135	1.0	1.2	0.037
136	1.0	1.2	0.034
137	1.0	1.2	0.036
138	1.0	1.2	0.044
139	1.0	1.2	0.050
140	1.0	1.2	0.061
141	1.0	1.2	0.063
142	1.0	1.2	0.059
143	1.0	1.2	0.035
144	1.0	1.2	0.022
145	0.9	1.2	0.015
146	1.0	1.2	0.008
147	1.0	1.2	0.003
148	1.0	1.2	0.002
149	1.0	1.2	0.007
150	1.0	1.2	0.018
151	1.0	1.2	0.048
152	1.0	1.2	0.051
153	1.0	1.2	0.051
154	0.9	1.2	0.054
155	0.9	1.2	0.051
156	0.9	1.2	0.050
157	0.8	1.2	0.046
158	0.8	1.2	0.041
159	0.7	1.2	0.037
