# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	8.7	16.6	0.234
2	9.0	16.5	0.126
3	9.4	16.0	0.049
4	9.3	15.9	0.036
5	9.4	15.9	0.107
6	9.5	15.8	0.269
7	9.3	15.7	0.728
8	11.4	15.7	0.779
9	11.5	15.6	0.783
10	10.8	15.5	0.820
11	10.9	15.5	0.783
12	10.2	15.5	0.759
13	9.9	15.4	0.702
14	10.0	15.4	0.617
15	9.9	15.4	0.563
16	10.2	15.4	0.525
17	10.9	15.3	0.546
18	11.8	15.3	0.677
19	12.5	15.3	0.755
20	12.7	15.2	0.934
21	12.9	15.2	0.960
22	13.3	15.2	0.895
23	13.6	15.2	0.539
24	14.1	15.2	0.338
25	12.3	15.1	0.234
26	11.9	15.1	0.126
27	12.0	15.1	0.049
28	12.0	15.1	0.036
29	11.9	15.1	0.107
30	11.6	15.0	0.269
31	11.9	15.0	0.728
32	14.3	14.9	0.779
33	13.9	14.9	0.783
34	13.7	14.9	0.820
35	13.2	14.9	0.783
36	12.7	14.9	0.759
37	12.4	14.9	0.702
38	12.3	14.8	0.617
39	11.9	14.8	0.563
40	12.1	14.8	0.525
41	12.7	14.8	0.546
42	13.2	14.8	0.677
43	13.3	14.8	0.755
44	13.4	14.7	0.934
45	13.5	14.6	0.960
46	13.6	14.6	0.895
47	13.6	14.6	0.539
48	13.6	14.5	0.338
49	11.4	14.5	0.234
50	11.4	14.5	0.126
51	11.5	14.4	0.049
52	11.7	14.4	0.036
53	11.9	14.4	0.107
54	11.7	14.4	0.269
55	12.1	14.4	0.728
56	14.1	14.3	0.779
57	14.0	14.3	0.783
58	14.1	14.3	0.820
59	13.7	14.3	0.783
60	13.6	14.3	0.759
61	13.0	14.3	0.702
62	12.7	14.3	0.617
63	12.4	14.2	0.563
64	12.4	14.2	0.525
65	12.5	14.2	0.546
66	13.0	14.2	0.677
67	13.5	14.1	0.755
68	13.8	14.1	0.934
69	14.2	14.1	0.960
70	14.5	14.1	0.895
71	14.8	14.0	0.539
72	15.0	14.0	0.338
73	13.0	14.0	0.234
74	13.0	14.0	0.126
75	12.9	14.0	0.049
76	13.0	13.9	0.036
77	12.9	13.9	0.107
78	12.8	13.9	0.269
79	12.5	13.9	0.728
80	14.3	13.9	0.779
81	13.8	13.9	0.783
82	13.1	13.9	0.820
83	11.9	13.8	0.783
84	11.0	13.8	0.759
85	10.2	13.8	0.702
86	9.8	13.8	0.617
87	9.9	13.8	0.563
88	9.9	13.8	0.525
89	10.0	13.8	0.546
90	10.2	13.8	0.677
91	10.1	13.8	0.755
92	9.9	13.7	0.934
93	10.2	13.7	0.960
94	10.4	13.7	0.895
95	10.5	13.7	0.539
96	10.5	13.7	0.338
97	8.3	13.7	0.234
98	8.4	13.7	0.126
99	8.8	13.7	0.049
100	9.1	13.7	0.036
101	9.4	13.7	0.107
102	9.5	13.7	0.269
103	10.0	13.7	0.728
104	12.3	13.6	0.779
105	12.6	13.6	0.783
106	12.5	13.6	0.820
107	12.8	13.6	0.783
108	12.9	13.6	0.759
109	12.9	13.6	0.702
110	13.2	13.6	0.617
111	13.9	13.6	0.563
112	13.8	13.6	0.525
113	14.5	13.6	0.546
114	15.1	13.6	0.677
115	15.2	13.5	0.755
116	14.9	13.5	0.934
117	15.3	13.5	0.960
118	15.9	13.5	0.895
119	16.5	13.5	0.539
120	16.6	13.5	0.338
121	14.8	13.5	0.234
122	14.8	13.5	0.126
123	14.4	13.5	0.049
124	14.4	13.5	0.036
125	13.7	13.5	0.107
126	13.2	13.5	0.269
127	13.0	13.5	0.728
128	15.1	13.5	0.779
129	14.9	13.5	0.783
130	14.3	13.5	0.820
131	13.5	13.4	0.783
132	12.8	13.4	0.759
133	11.8	13.4	0.702
134	11.0	13.4	0.617
135	10.7	13.4	0.563
136	10.2	13.3	0.525
137	10.2	13.3	0.546
138	10.5	13.3	0.677
139	10.1	13.3	0.755
140	10.0	13.3	0.934
141	10.1	13.3	0.960
142	10.1	13.3	0.895
143	10.1	13.3	0.539
144	10.1	13.3	0.338
145	7.7	13.2	0.234
146	7.9	13.2	0.126
147	8.0	13.2	0.049
148	8.1	13.2	0.036
149	8.5	13.2	0.107
150	8.3	13.2	0.269
151	8.4	13.2	0.728
152	10.8	13.1	0.779
153	10.6	13.1	0.783
154	9.9	13.1	0.820
155	9.7	13.1	0.783
156	9.2	13.1	0.759
157	8.8	13.1	0.702
158	8.1	13.1	0.617
159	7.8	13.1	0.563
160	7.7	13.1	0.525
161	8.4	13.0	0.546
162	8.9	13.0	0.677
163	9.6	13.0	0.755
164	9.7	13.0	0.934
165	10.3	13.0	0.960
166	10.4	13.0	0.895
167	11.0	13.0	0.539
168	11.2	13.0	0.338
169	9.2	13.0	0.234
170	9.1	13.0	0.126
171	9.2	13.0	0.049
172	8.8	13.0	0.036
173	8.7	13.0	0.107
174	8.2	13.0	0.269
175	8.2	13.0	0.728
176	10.3	13.0	0.779
177	10.3	13.0	0.783
178	10.0	13.0	0.820
179	9.5	13.0	0.783
180	9.0	13.0	0.759
181	9.2	12.9	0.702
182	8.9	12.9	0.617
183	9.1	12.9	0.563
184	9.1	12.9	0.525
185	9.0	12.9	0.546
186	9.1	12.9	0.677
187	9.3	12.9	0.755
188	8.8	12.9	0.934
189	8.5	12.9	0.960
190	8.4	12.9	0.895
191	8.0	12.9	0.539
192	7.7	12.9	0.338
193	5.1	12.9	0.234
194	5.1	12.9	0.126
195	5.4	12.8	0.049
196	5.4	12.8	0.036
197	5.1	12.8	0.107
198	4.7	12.8	0.269
199	5.1	12.8	0.728
200	7.2	12.8	0.779
201	7.4	12.8	0.783
202	6.8	12.8	0.820
203	6.7	12.8	0.783
204	6.8	12.8	0.759
205	6.7	12.8	0.702
206	6.2	12.8	0.617
207	5.6	12.8	0.563
208	5.4	12.8	0.525
209	5.5	12.7	0.546
210	5.4	12.7	0.677
211	5.4	12.7	0.755
212	5.5	12.7	0.934
213	5.4	12.7	0.960
214	5.4	12.7	0.895
215	5.3	12.7	0.539
216	4.9	12.7	0.338
217	2.9	12.7	0.234
218	3.1	12.7	0.126
219	3.3	12.7	0.049
220	3.5	12.7	0.036
221	3.8	12.7	0.107
222	4.2	12.7	0.269
223	4.6	12.7	0.728
224	6.9	12.7	0.779
225	6.9	12.6	0.783
226	7.0	12.6	0.820
227	7.1	12.6	0.783
228	6.9	12.6	0.759
229	6.7	12.6	0.702
230	6.9	12.6	0.617
231	6.7	12.6	0.563
232	7.4	12.6	0.525
233	7.8	12.6	0.546
234	8.5	12.6	0.677
235	8.5	12.5	0.755
236	9.0	12.5	0.934
237	9.6	12.5	0.960
238	10.4	12.5	0.895
239	11.0	12.5	0.539
240	11.4	12.5	0.338
241	9.5	12.5	0.234
242	9.6	12.5	0.126
243	9.6	12.5	0.049
244	9.6	12.5	0.036
