# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	1.5	2.8	0.095
2	1.5	2.8	0.051
3	1.6	2.7	0.020
4	1.6	2.7	0.015
5	1.6	2.7	0.044
6	1.6	2.7	0.110
7	1.6	2.7	0.296
8	1.9	2.6	0.317
9	1.9	2.6	0.319
10	1.8	2.6	0.334
11	1.8	2.6	0.319
12	1.7	2.6	0.309
13	1.7	2.6	0.286
14	1.7	2.6	0.251
15	1.7	2.6	0.229
16	1.7	2.6	0.214
17	1.8	2.6	0.222
18	2.0	2.6	0.276
19	2.1	2.6	0.308
20	2.2	2.6	0.380
21	2.2	2.6	0.391
22	2.2	2.6	0.364
23	2.3	2.6	0.219
24	2.4	2.6	0.137
25	2.1	2.6	0.095
26	2.0	2.6	0.051
27	2.0	2.5	0.020
28	2.0	2.5	0.015
29	2.0	2.5	0.044
30	2.0	2.5	0.110
31	2.0	2.5	0.296
32	2.4	2.5	0.317
33	2.4	2.5	0.319
34	2.3	2.5	0.334
35	2.2	2.5	0.319
36	2.1	2.5	0.309
37	2.1	2.5	0.286
38	2.1	2.5	0.251
39	2.0	2.5	0.229
40	2.0	2.5	0.214
41	2.1	2.5	0.222
42	2.2	2.5	0.276
43	2.3	2.5	0.308
44	2.3	2.5	0.380
45	2.3	2.5	0.391
46	2.3	2.5	0.364
47	2.3	2.5	0.219
48	2.3	2.5	0.137
49	1.9	2.4	0.095
50	1.9	2.4	0.051
51	1.9	2.4	0.020
52	2.0	2.4	0.015
53	2.0	2.4	0.044
54	2.0	2.4	0.110
55	2.0	2.4	0.296
56	2.4	2.4	0.317
57	2.4	2.4	0.319
58	2.4	2.4	0.334
59	2.3	2.4	0.319
60	2.3	2.4	0.309
61	2.2	2.4	0.286
62	2.1	2.4	0.251
63	2.1	2.4	0.229
64	2.1	2.4	0.214
65	2.1	2.4	0.222
66	2.2	2.4	0.276
67	2.3	2.4	0.308
68	2.3	2.4	0.380
69	2.4	2.4	0.391
70	2.5	2.4	0.364
71	2.5	2.4	0.219
72	2.5	2.4	0.137
73	2.2	2.4	0.095
74	2.2	2.4	0.051
75	2.2	2.3	0.020
76	2.2	2.3	0.015
77	2.2	2.3	0.044
78	2.2	2.3	0.110
79	2.1	2.3	0.296
80	2.4	2.3	0.317
81	2.3	2.3	0.319
82	2.2	2.3	0.334
83	2.0	2.3	0.319
