# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	4.1	6.3	0.320
2	4.1	6.3	0.173
3	4.3	6.2	0.068
4	4.3	6.2	0.049
5	4.3	6.2	0.147
6	4.3	6.1	0.368
7	4.3	5.9	0.996
8	4.2	5.9	1.066
9	4.2	5.9	1.070
10	4.0	5.9	1.122
11	4.0	5.9	1.070
12	3.8	5.9	1.038
13	3.7	5.8	0.961
14	3.7	5.8	0.844
15	3.7	5.8	0.770
16	3.8	5.8	0.718
17	4.0	5.8	0.746
18	4.4	5.8	0.926
19	4.6	5.8	1.033
20	4.7	5.8	1.278
21	4.8	5.7	1.313
22	4.9	5.7	1.224
23	5.0	5.7	0.737
24	5.2	5.7	0.462
25	5.4	5.7	0.320
26	5.2	5.7	0.173
27	5.3	5.7	0.068
28	5.3	5.7	0.049
29	5.2	5.7	0.147
30	5.1	5.7	0.368
31	5.2	5.7	0.996
32	5.3	5.7	1.066
33	5.2	5.7	1.070
34	5.1	5.7	1.122
35	4.9	5.6	1.070
36	4.7	5.6	1.038
37	4.6	5.6	0.961
38	4.5	5.6	0.844
39	4.4	5.6	0.770
40	4.5	5.6	0.718
41	4.7	5.6	0.746
42	4.9	5.6	0.926
43	4.9	5.6	1.033
44	5.0	5.6	1.278
45	5.0	5.6	1.313
46	5.0	5.6	1.224
47	5.0	5.6	0.737
48	5.0	5.6	0.462
49	5.0	5.6	0.320
50	5.0	5.6	0.173
51	5.1	5.6	0.068
52	5.2	5.6	0.049
53	5.2	5.6	0.147
54	5.1	5.6	0.368
55	5.3	5.6	0.996
56	5.2	5.6	1.066
57	5.2	5.6	1.070
58	5.2	5.6	1.122
59	5.1	5.6	1.070
60	5.0	5.5	1.038
61	4.8	5.5	0.961
62	4.7	5.5	0.844
63	4.6	5.5	0.770
64	4.6	5.5	0.718
65	4.6	5.5	0.746
66	4.8	5.5	0.926
67	5.0	5.5	1.033
68	5.1	5.5	1.278
69	5.3	5.5	1.313
70	5.4	5.5	1.224
71	5.5	5.5	0.737
72	5.6	5.5	0.462
73	5.6	5.5	0.320
74	5.6	5.5	0.173
75	5.6	5.5	0.068
76	5.6	5.5	0.049
77	5.6	5.4	0.147
78	5.6	5.4	0.368
79	5.5	5.4	0.996
80	5.3	5.4	1.066
81	5.1	5.4	1.070
82	4.9	5.4	1.122
83	4.4	5.4	1.070
84	4.1	5.4	1.038
85	3.8	5.4	0.961
86	3.6	5.4	0.844
87	3.7	5.4	0.770
88	3.7	5.3	0.718
89	3.7	5.3	0.746
90	3.8	5.3	0.926
91	3.7	5.3	1.033
92	3.7	5.3	1.278
93	3.8	5.3	1.313
94	3.8	5.3	1.224
95	3.9	5.3	0.737
96	3.9	5.3	0.462
97	3.9	5.3	0.320
98	3.9	5.3	0.173
99	4.1	5.3	0.068
100	4.2	5.3	0.049
101	4.3	5.3	0.147
102	4.4	5.2	0.368
103	4.5	5.2	0.996
104	4.6	5.2	1.066
105	4.7	5.2	1.070
106	4.6	5.2	1.122
107	4.7	5.2	1.070
108	4.8	5.2	1.038
109	4.8	5.2	0.961
110	4.9	5.2	0.844
111	5.2	5.2	0.770
112	5.1	5.2	0.718
113	5.4	5.2	0.746
114	5.6	5.2	0.926
115	5.6	5.2	1.033
116	5.5	5.2	1.278
117	5.7	5.2	1.313
118	5.9	5.2	1.224
119	6.1	5.2	0.737
120	6.2	5.2	0.462
121	6.3	5.1	0.320
122	6.3	5.1	0.173
123	6.2	5.1	0.068
124	6.2	5.1	0.049
125	5.9	5.1	0.147
126	5.7	5.1	0.368
127	5.6	5.1	0.996
128	5.6	5.1	1.066
129	5.5	5.1	1.070
130	5.3	5.1	1.122
131	5.0	5.1	1.070
132	4.7	5.1	1.038
133	4.4	5.1	0.961
134	4.1	5.1	0.844
135	4.0	5.1	0.770
136	3.8	5.1	0.718
137	3.8	5.1	0.746
138	3.9	5.1	0.926
139	3.7	5.1	1.033
140	3.7	5.0	1.278
141	3.7	5.0	1.313
142	3.7	5.0	1.224
143	3.7	5.0	0.737
144	3.7	5.0	0.462
145	3.7	5.0	0.320
146	3.8	5.0	0.173
147	3.8	5.0	0.068
148	3.8	5.0	0.049
149	4.0	5.0	0.147
150	3.9	5.0	0.368
151	3.9	5.0	0.996
152	4.0	5.0	1.066
153	3.9	5.0	1.070
154	3.7	5.0	1.122
155	3.6	5.0	1.070
156	3.4	5.0	1.038
157	3.3	5.0	0.961
158	3.0	5.0	0.844
159	2.9	5.0	0.770
160	2.9	5.0	0.718
161	3.1	5.0	0.746
162	3.3	5.0	0.926
163	3.6	5.0	1.033
164	3.6	5.0	1.278
165	3.8	5.0	1.313
166	3.8	5.0	1.224
167	4.1	5.0	0.737
168	4.1	5.0	0.462
169	4.2	5.0	0.320
170	4.2	5.0	0.173
171	4.2	5.0	0.068
172	4.1	5.0	0.049
173	4.0	5.0	0.147
174	3.9	5.0	0.368
175	3.9	5.0	0.996
176	3.8	5.0	1.066
177	3.8	4.9	1.070
178	3.7	4.9	1.122
179	3.5	4.9	1.070
180	3.3	4.9	1.038
181	3.4	4.9	0.961
182	3.3	4.9	0.844
183	3.4	4.9	0.770
184	3.4	4.9	0.718
185	3.3	4.9	0.746
186	3.4	4.9	0.926
187	3.4	4.9	1.033
188	3.3	4.9	1.278
189	3.1	4.9	1.313
190	3.1	4.9	1.224
191	3.0	4.9	0.737
192	2.9	4.9	0.462
193	2.7	4.9	0.320
194	2.7	4.9	0.173
195	2.8	4.9	0.068
196	2.8	4.9	0.049
197	2.7	4.9	0.147
198	2.6	4.9	0.368
199	2.7	4.9	0.996
200	2.7	4.9	1.066
201	2.7	4.9	1.070
202	2.5	4.9	1.122
203	2.5	4.9	1.070
204	2.5	4.9	1.038
205	2.5	4.9	0.961
206	2.3	4.9	0.844
207	2.1	4.9	0.770
208	2.0	4.8	0.718
209	2.0	4.8	0.746
210	2.0	4.8	0.926
211	2.0	4.8	1.033
212	2.0	4.8	1.278
213	2.0	4.8	1.313
214	2.0	4.8	1.224
215	2.0	4.8	0.737
216	1.8	4.8	0.462
217	1.9	4.8	0.320
218	2.0	4.8	0.173
219	2.0	4.8	0.068
220	2.1	4.8	0.049
221	2.2	4.8	0.147
222	2.4	4.8	0.368
223	2.5	4.8	0.996
224	2.6	4.8	1.066
225	2.5	4.8	1.070
226	2.6	4.8	1.122
227	2.6	4.8	1.070
228	2.6	4.8	1.038
229	2.5	4.8	0.961
230	2.5	4.8	0.844
231	2.5	4.8	0.770
232	2.7	4.8	0.718
233	2.9	4.8	0.746
234	3.1	4.8	0.926
235	3.2	4.8	1.033
236	3.3	4.8	1.278
237	3.6	4.8	1.313
238	3.9	4.8	1.224
239	4.1	4.8	0.737
240	4.2	4.8	0.462
241	4.4	4.8	0.320
242	4.4	4.8	0.173
243	4.4	4.8	0.068
244	4.4	4.8	0.049
245	4.4	4.8	0.147
246	4.3	4.8	0.368
247	4.3	4.8	0.996
248	4.2	4.7	1.066
249	4.3	4.7	1.070
250	4.1	4.7	1.122
251	4.1	4.7	1.070
252	3.8	4.7	1.038
253	3.7	4.7	0.961
254	3.4	4.7	0.844
255	3.5	4.7	0.770
256	3.6	4.7	0.718
257	3.9	4.7	0.746
258	3.9	4.7	0.926
259	4.0	4.7	1.033
260	4.1	4.7	1.278
261	4.2	4.7	1.313
262	4.4	4.7	1.224
263	4.4	4.7	0.737
