# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	4.6	7.2	0.311
2	4.7	7.2	0.168
3	4.9	7.1	0.066
4	4.9	7.0	0.048
5	4.9	7.0	0.143
6	4.9	7.0	0.358
7	4.9	6.8	0.969
8	4.8	6.8	1.037
9	4.9	6.7	1.041
10	4.6	6.7	1.091
11	4.6	6.7	1.041
12	4.3	6.7	1.010
13	4.2	6.7	0.935
14	4.2	6.7	0.821
15	4.2	6.7	0.749
16	4.3	6.7	0.699
17	4.6	6.7	0.726
18	5.0	6.6	0.901
19	5.3	6.6	1.005
20	5.4	6.6	1.243
21	5.5	6.6	1.277
22	5.6	6.6	1.191
23	5.8	6.6	0.717
24	6.0	6.6	0.449
25	6.2	6.6	0.311
26	6.0	6.6	0.168
27	6.0	6.6	0.066
28	6.0	6.5	0.048
29	6.0	6.5	0.143
30	5.9	6.5	0.358
31	6.0	6.5	0.969
32	6.1	6.5	1.037
33	5.9	6.5	1.041
34	5.8	6.5	1.091
35	5.6	6.5	1.041
36	5.4	6.5	1.010
37	5.3	6.5	0.935
38	5.2	6.5	0.821
39	5.0	6.4	0.749
40	5.1	6.4	0.699
41	5.4	6.4	0.726
42	5.6	6.4	0.901
43	5.7	6.4	1.005
44	5.7	6.4	1.243
45	5.7	6.4	1.277
46	5.8	6.4	1.191
47	5.8	6.4	0.717
48	5.8	6.4	0.449
49	5.8	6.4	0.311
50	5.8	6.4	0.168
51	5.8	6.4	0.066
52	5.9	6.4	0.048
53	6.0	6.4	0.143
54	5.9	6.4	0.358
55	6.1	6.4	0.969
56	6.0	6.4	1.037
57	5.9	6.4	1.041
58	6.0	6.4	1.091
59	5.8	6.4	1.041
60	5.8	6.4	1.010
61	5.5	6.4	0.935
62	5.4	6.4	0.821
63	5.3	6.4	0.749
64	5.3	6.3	0.699
65	5.3	6.3	0.726
66	5.5	6.3	0.901
67	5.7	6.3	1.005
68	5.8	6.3	1.243
69	6.0	6.3	1.277
70	6.2	6.3	1.191
71	6.3	6.3	0.717
72	6.4	6.3	0.449
73	6.4	6.3	0.311
74	6.4	6.3	0.168
75	6.4	6.3	0.066
76	6.4	6.3	0.048
77	6.4	6.3	0.143
78	6.4	6.3	0.358
79	6.3	6.2	0.969
80	6.0	6.2	1.037
81	5.9	6.2	1.041
82	5.6	6.2	1.091
83	5.1	6.2	1.041
84	4.7	6.2	1.010
85	4.3	6.2	0.935
86	4.2	6.2	0.821
87	4.2	6.1	0.749
88	4.2	6.1	0.699
89	4.3	6.1	0.726
90	4.3	6.1	0.901
91	4.3	6.1	1.005
92	4.2	6.1	1.243
93	4.3	6.1	1.277
94	4.4	6.1	1.191
95	4.4	6.1	0.717
96	4.4	6.0	0.449
97	4.4	6.0	0.311
98	4.5	6.0	0.168
99	4.7	6.0	0.066
100	4.8	6.0	0.048
101	4.9	6.0	0.143
