# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	7.4	11.4	0.179
2	7.5	11.4	0.096
3	7.8	11.2	0.038
4	7.7	11.1	0.027
5	7.8	11.1	0.082
6	7.8	11.1	0.206
7	7.7	10.7	0.557
8	7.6	10.6	0.596
9	7.7	10.3	0.598
10	7.3	10.3	0.627
11	7.3	10.3	0.598
12	6.9	10.2	0.580
13	6.7	10.2	0.537
14	6.7	10.2	0.472
15	6.7	10.2	0.430
16	6.9	10.2	0.402
17	7.3	10.2	0.417
18	7.9	10.2	0.518
19	8.4	10.2	0.578
20	8.6	10.2	0.715
21	8.6	10.2	0.734
22	8.9	10.1	0.685
23	9.1	10.1	0.412
24	9.4	10.1	0.258
25	9.7	10.1	0.179
26	9.5	10.1	0.096
27	9.6	10.1	0.038
28	9.6	10.0	0.027
29	9.4	10.0	0.082
30	9.3	10.0	0.206
31	9.5	9.9	0.557
32	9.6	9.9	0.596
33	9.4	9.9	0.598
34	9.2	9.9	0.627
35	8.9	9.9	0.598
36	8.5	9.8	0.580
37	8.3	9.8	0.537
38	8.2	9.8	0.472
39	7.9	9.7	0.430
40	8.1	9.7	0.402
41	8.5	9.7	0.417
42	8.9	9.7	0.518
43	8.9	9.7	0.578
44	9.0	9.7	0.715
45	9.1	9.7	0.734
46	9.1	9.7	0.685
47	9.1	9.7	0.412
48	9.1	9.6	0.258
49	9.1	9.6	0.179
50	9.1	9.6	0.096
51	9.2	9.6	0.038
52	9.4	9.6	0.027
53	9.4	9.6	0.082
54	9.3	9.6	0.206
55	9.6	9.6	0.557
56	9.5	9.6	0.596
57	9.4	9.6	0.598
58	9.4	9.5	0.627
59	9.2	9.5	0.598
60	9.1	9.5	0.580
61	8.7	9.5	0.537
62	8.5	9.5	0.472
63	8.4	9.5	0.430
64	8.3	9.5	0.402
65	8.4	9.5	0.417
66	8.7	9.5	0.518
67	9.0	9.5	0.578
68	9.3	9.4	0.715
69	9.5	9.4	0.734
70	9.7	9.4	0.685
71	9.9	9.4	0.412
72	10.1	9.4	0.258
73	10.2	9.4	0.179
74	10.2	9.4	0.096
75	10.1	9.4	0.038
76	10.2	9.4	0.027
77	10.2	9.4	0.082
78	10.1	9.4	0.206
79	9.9	9.4	0.557
80	9.6	9.4	0.596
81	9.3	9.3	0.598
82	8.8	9.3	0.627
83	8.0	9.3	0.598
84	7.4	9.3	0.580
85	6.8	9.3	0.537
86	6.6	9.3	0.472
87	6.7	9.3	0.430
88	6.6	9.3	0.402
89	6.8	9.3	0.417
