# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	4.4	6.9	0.282
2	4.5	6.9	0.152
3	4.7	6.8	0.060
4	4.7	6.7	0.043
5	4.7	6.7	0.130
6	4.7	6.7	0.325
7	4.7	6.5	0.879
8	4.6	6.5	0.941
9	4.7	6.5	0.945
10	4.4	6.5	0.991
11	4.4	6.5	0.945
12	4.1	6.5	0.916
13	4.0	6.4	0.848
14	4.0	6.4	0.745
15	4.0	6.4	0.680
16	4.2	6.4	0.634
17	4.4	6.4	0.659
18	4.8	6.4	0.818
19	5.1	6.4	0.912
20	5.2	6.4	1.128
21	5.2	6.3	1.159
22	5.4	6.3	1.081
23	5.5	6.3	0.651
24	5.7	6.3	0.408
25	5.9	6.3	0.282
26	5.7	6.3	0.152
27	5.8	6.3	0.060
28	5.8	6.3	0.043
29	5.7	6.3	0.130
30	5.6	6.2	0.325
31	5.7	6.2	0.879
32	5.8	6.2	0.941
33	5.7	6.2	0.945
34	5.6	6.2	0.991
35	5.4	6.2	0.945
36	5.2	6.2	0.916
37	5.0	6.2	0.848
38	5.0	6.2	0.745
39	4.8	6.2	0.680
40	4.9	6.2	0.634
41	5.1	6.2	0.659
42	5.4	6.2	0.818
43	5.4	6.2	0.912
44	5.4	6.2	1.128
45	5.5	6.2	1.159
46	5.5	6.2	1.081
47	5.5	6.2	0.651
48	5.5	6.2	0.408
49	5.5	6.1	0.282
50	5.5	6.1	0.152
51	5.6	6.1	0.060
52	5.7	6.1	0.043
53	5.7	6.1	0.130
54	5.6	6.1	0.325
55	5.8	6.1	0.879
56	5.7	6.1	0.941
57	5.7	6.1	0.945
58	5.7	6.1	0.991
59	5.6	6.1	0.945
60	5.5	6.1	0.916
61	5.3	6.1	0.848
62	5.1	6.1	0.745
63	5.1	6.1	0.680
64	5.0	6.1	0.634
65	5.1	6.1	0.659
66	5.3	6.1	0.818
67	5.5	6.1	0.912
68	5.6	6.1	1.128
69	5.8	6.0	1.159
70	5.9	6.0	1.081
71	6.0	6.0	0.651
72	6.1	6.0	0.408
73	6.2	6.0	0.282
74	6.2	6.0	0.152
75	6.1	6.0	0.060
76	6.2	6.0	0.043
77	6.1	6.0	0.130
