# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	2.5	3.8	0.144
2	2.5	3.8	0.078
3	2.6	3.7	0.030
4	2.6	3.7	0.022
5	2.6	3.7	0.066
6	2.6	3.7	0.166
7	2.6	3.6	0.447
8	2.6	3.6	0.479
9	2.6	3.6	0.481
10	2.4	3.6	0.504
11	2.4	3.6	0.481
12	2.3	3.6	0.466
13	2.2	3.6	0.432
14	2.2	3.6	0.379
15	2.2	3.6	0.346
16	2.3	3.6	0.323
17	2.4	3.5	0.335
18	2.6	3.5	0.416
19	2.8	3.5	0.464
20	2.9	3.5	0.574
21	2.9	3.5	0.590
22	3.0	3.5	0.550
23	3.0	3.5	0.331
24	3.2	3.5	0.207
25	3.3	3.5	0.144
26	3.2	3.5	0.078
27	3.2	3.5	0.030
28	3.2	3.5	0.022
29	3.2	3.5	0.066
30	3.1	3.5	0.166
31	3.2	3.5	0.447
32	3.2	3.5	0.479
33	3.1	3.4	0.481
34	3.1	3.4	0.504
35	3.0	3.4	0.481
36	2.8	3.4	0.466
37	2.8	3.4	0.432
38	2.7	3.4	0.379
39	2.7	3.4	0.346
40	2.7	3.4	0.323
41	2.8	3.4	0.335
42	3.0	3.4	0.416
43	3.0	3.4	0.464
44	3.0	3.4	0.574
45	3.0	3.4	0.590
46	3.0	3.4	0.550
47	3.0	3.4	0.331
48	3.1	3.4	0.207
49	3.0	3.4	0.144
50	3.0	3.4	0.078
51	3.1	3.4	0.030
52	3.1	3.4	0.022
53	3.2	3.4	0.066
54	3.1	3.4	0.166
55	3.2	3.4	0.447
56	3.2	3.4	0.479
57	3.1	3.4	0.481
58	3.1	3.4	0.504
59	3.1	3.4	0.481
60	3.0	3.4	0.466
61	2.9	3.4	0.432
62	2.8	3.4	0.379
63	2.8	3.4	0.346
64	2.8	3.4	0.323
65	2.8	3.4	0.335
66	2.9	3.4	0.416
67	3.0	3.4	0.464
68	3.1	3.3	0.574
69	3.2	3.3	0.590
70	3.3	3.3	0.550
71	3.3	3.3	0.331
72	3.4	3.3	0.207
73	3.4	3.3	0.144
74	3.4	3.3	0.078
75	3.4	3.3	0.030
76	3.4	3.3	0.022
77	3.4	3.3	0.066
78	3.4	3.3	0.166
79	3.3	3.3	0.447
80	3.2	3.3	0.479
81	3.1	3.3	0.481
82	2.9	3.3	0.504
83	2.7	3.3	0.481
84	2.5	3.3	0.466
85	2.3	3.3	0.432
86	2.2	3.3	0.379
87	2.2	3.3	0.346
88	2.2	3.3	0.323
89	2.2	3.3	0.335
90	2.3	3.2	0.416
91	2.3	3.2	0.464
92	2.2	3.2	0.574
93	2.3	3.2	0.590
94	2.3	3.2	0.550
95	2.3	3.2	0.331
96	2.3	3.2	0.207
97	2.3	3.2	0.144
98	2.4	3.2	0.078
99	2.5	3.2	0.030
100	2.5	3.2	0.022
101	2.6	3.2	0.066
102	2.6	3.2	0.166
103	2.7	3.2	0.447
104	2.8	3.2	0.479
105	2.8	3.2	0.481
106	2.8	3.2	0.504
107	2.9	3.2	0.481
108	2.9	3.2	0.466
109	2.9	3.2	0.432
110	3.0	3.2	0.379
