# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	3.3	6.3	0.238
2	3.4	6.3	0.128
3	3.6	6.0	0.050
4	3.5	6.0	0.036
5	3.6	6.0	0.109
6	3.6	6.0	0.274
7	3.5	6.0	0.741
8	4.3	5.9	0.793
9	4.4	5.9	0.796
10	4.1	5.9	0.834
11	4.1	5.9	0.796
12	3.9	5.9	0.772
13	3.8	5.8	0.715
14	3.8	5.8	0.628
15	3.8	5.8	0.572
16	3.9	5.8	0.534
17	4.1	5.8	0.555
18	4.5	5.8	0.689
19	4.8	5.8	0.768
20	4.8	5.8	0.951
21	4.9	5.8	0.977
22	5.1	5.8	0.911
23	5.2	5.8	0.548
24	5.4	5.8	0.343
25	4.7	5.7	0.238
26	4.5	5.7	0.128
27	4.6	5.7	0.050
28	4.6	5.7	0.036
29	4.5	5.7	0.109
30	4.4	5.7	0.274
31	4.5	5.7	0.741
32	5.4	5.7	0.793
33	5.3	5.7	0.796
34	5.2	5.7	0.834
35	5.0	5.7	0.796
36	4.8	5.6	0.772
37	4.7	5.6	0.715
38	4.7	5.6	0.628
39	4.5	5.6	0.572
40	4.6	5.6	0.534
41	4.8	5.6	0.555
42	5.0	5.6	0.689
43	5.1	5.6	0.768
44	5.1	5.6	0.951
45	5.2	5.5	0.977
46	5.2	5.5	0.911
47	5.2	5.5	0.548
48	5.2	5.5	0.343
49	4.3	5.5	0.238
50	4.3	5.5	0.128
51	4.4	5.5	0.050
52	4.5	5.5	0.036
53	4.5	5.5	0.109
54	4.4	5.4	0.274
55	4.6	5.4	0.741
56	5.4	5.4	0.793
57	5.3	5.4	0.796
58	5.3	5.4	0.834
59	5.2	5.4	0.796
60	5.2	5.4	0.772
61	4.9	5.4	0.715
62	4.8	5.4	0.628
63	4.7	5.4	0.572
64	4.7	5.4	0.534
65	4.8	5.4	0.555
66	5.0	5.4	0.689
67	5.1	5.3	0.768
68	5.2	5.3	0.951
69	5.4	5.3	0.977
70	5.5	5.3	0.911
71	5.6	5.3	0.548
72	5.7	5.3	0.343
73	4.9	5.3	0.238
74	4.9	5.3	0.128
75	4.9	5.3	0.050
76	4.9	5.3	0.036
77	4.9	5.3	0.109
78	4.9	5.3	0.274
79	4.8	5.3	0.741
80	5.4	5.2	0.793
81	5.3	5.2	0.796
82	5.0	5.2	0.834
83	4.5	5.2	0.796
84	4.2	5.2	0.772
85	3.9	5.2	0.715
86	3.7	5.2	0.628
87	3.8	5.2	0.572
88	3.8	5.2	0.534
89	3.8	5.2	0.555
90	3.9	5.2	0.689
91	3.8	5.2	0.768
92	3.8	5.2	0.951
93	3.9	5.2	0.977
94	3.9	5.2	0.911
95	4.0	5.2	0.548
96	4.0	5.2	0.343
97	3.1	5.2	0.238
98	3.2	5.2	0.128
99	3.3	5.2	0.050
100	3.4	5.2	0.036
101	3.6	5.2	0.109
102	3.6	5.2	0.274
103	3.8	5.2	0.741
104	4.7	5.2	0.793
105	4.8	5.2	0.796
106	4.8	5.2	0.834
107	4.9	5.2	0.796
108	4.9	5.2	0.772
109	4.9	5.1	0.715
110	5.0	5.1	0.628
111	5.3	5.1	0.572
112	5.3	5.1	0.534
113	5.5	5.1	0.555
114	5.7	5.1	0.689
115	5.8	5.1	0.768
116	5.7	5.1	0.951
117	5.8	5.1	0.977
118	6.0	5.1	0.911
119	6.3	5.1	0.548
120	6.3	5.1	0.343
121	5.6	5.1	0.238
122	5.6	5.1	0.128
123	5.5	5.1	0.050
124	5.5	5.1	0.036
125	5.2	5.1	0.109
126	5.0	5.1	0.274
127	5.0	5.1	0.741
128	5.7	5.1	0.793
129	5.7	5.1	0.796
130	5.4	5.1	0.834
131	5.1	5.1	0.796
132	4.9	5.0	0.772
133	4.5	5.0	0.715
134	4.2	5.0	0.628
135	4.1	5.0	0.572
136	3.9	5.0	0.534
137	3.9	5.0	0.555
138	4.0	5.0	0.689
139	3.8	5.0	0.768
140	3.8	5.0	0.951
141	3.8	5.0	0.977
142	3.8	5.0	0.911
143	3.8	5.0	0.548
144	3.8	5.0	0.343
145	2.9	5.0	0.238
146	3.0	5.0	0.128
147	3.0	5.0	0.050
148	3.1	5.0	0.036
149	3.2	5.0	0.109
150	3.2	5.0	0.274
151	3.2	5.0	0.741
152	4.1	5.0	0.793
153	4.0	5.0	0.796
154	3.8	4.9	0.834
155	3.7	4.9	0.796
156	3.5	4.9	0.772
157	3.4	4.9	0.715
158	3.1	4.9	0.628
159	3.0	4.9	0.572
160	2.9	4.9	0.534
161	3.2	4.9	0.555
162	3.4	4.9	0.689
163	3.6	4.9	0.768
164	3.7	4.9	0.951
165	3.9	4.9	0.977
166	3.9	4.9	0.911
167	4.2	4.9	0.548
168	4.3	4.9	0.343
169	3.5	4.9	0.238
170	3.5	4.9	0.128
171	3.5	4.9	0.050
172	3.3	4.9	0.036
173	3.3	4.9	0.109
174	3.1	4.9	0.274
175	3.1	4.9	0.741
176	3.9	4.9	0.793
177	3.9	4.9	0.796
178	3.8	4.9	0.834
179	3.6	4.9	0.796
180	3.4	4.9	0.772
181	3.5	4.9	0.715
182	3.4	4.9	0.628
183	3.5	4.9	0.572
184	3.4	4.9	0.534
185	3.4	4.9	0.555
186	3.4	4.9	0.689
187	3.5	4.9	0.768
188	3.3	4.9	0.951
189	3.2	4.9	0.977
190	3.2	4.9	0.911
191	3.1	4.8	0.548
192	2.9	4.8	0.343
193	1.9	4.8	0.238
194	1.9	4.8	0.128
195	2.0	4.8	0.050
196	2.1	4.8	0.036
197	1.9	4.8	0.109
198	1.8	4.8	0.274
199	1.9	4.8	0.741
200	2.7	4.8	0.793
201	2.8	4.8	0.796
202	2.6	4.8	0.834
203	2.6	4.8	0.796
204	2.6	4.8	0.772
205	2.6	4.8	0.715
206	2.3	4.8	0.628
207	2.1	4.8	0.572
208	2.1	4.8	0.534
209	2.1	4.8	0.555
210	2.0	4.8	0.689
211	2.1	4.8	0.768
212	2.1	4.8	0.951
213	2.0	4.8	0.977
214	2.1	4.8	0.911
215	2.0	4.8	0.548
216	1.9	4.8	0.343
217	1.1	4.8	0.238
218	1.2	4.8	0.128
219	1.2	4.8	0.050
220	1.3	4.8	0.036
221	1.5	4.8	0.109
222	1.6	4.7	0.274
223	1.7	4.7	0.741
224	2.6	4.7	0.793
225	2.6	4.7	0.796
226	2.7	4.7	0.834
227	2.7	4.7	0.796
228	2.6	4.7	0.772
229	2.6	4.7	0.715
230	2.6	4.7	0.628
231	2.6	4.7	0.572
232	2.8	4.7	0.534
233	3.0	4.7	0.555
234	3.2	4.7	0.689
235	3.2	4.7	0.768
236	3.4	4.7	0.951
237	3.7	4.7	0.977
238	4.0	4.7	0.911
239	4.2	4.7	0.548
240	4.3	4.7	0.343
241	3.6	4.7	0.238
242	3.6	4.7	0.128
243	3.6	4.7	0.050
244	3.7	4.7	0.036
245	3.6	4.7	0.109
246	3.6	4.7	0.274
247	3.6	4.7	0.741
248	4.3	4.7	0.793
249	4.4	4.7	0.796
250	4.2	4.7	0.834
251	4.2	4.6	0.796
252	3.9	4.6	0.772
253	3.8	4.6	0.715
254	3.5	4.6	0.628
255	3.6	4.6	0.572
256	3.7	4.6	0.534
257	4.0	4.6	0.555
258	4.0	4.6	0.689
259	4.1	4.6	0.768
260	4.2	4.6	0.951
261	4.3	4.6	0.977
262	4.5	4.6	0.911
263	4.5	4.6	0.548
264	4.5	4.6	0.343
265	3.7	4.6	0.238
266	3.8	4.6	0.128
267	3.7	4.6	0.050
268	3.7	4.6	0.036
269	3.6	4.6	0.109
270	3.7	4.6	0.274
271	3.6	4.6	0.741
272	4.5	4.6	0.793
273	4.5	4.6	0.796
274	4.4	4.6	0.834
275	4.2	4.6	0.796
276	4.0	4.6	0.772
277	3.8	4.6	0.715
278	3.6	4.6	0.628
279	3.5	4.6	0.572
280	3.5	4.6	0.534
281	3.5	4.6	0.555
282	3.6	4.6	0.689
283	3.6	4.6	0.768
284	3.6	4.6	0.951
285	3.7	4.6	0.977
286	3.8	4.5	0.911
287	3.8	4.5	0.548
288	3.8	4.5	0.343
289	2.8	4.5	0.238
