# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	19.5	30.3	0.523
2	19.9	30.2	0.282
3	20.7	29.6	0.111
4	20.4	29.6	0.080
5	20.7	29.5	0.240
6	20.8	29.4	0.603
7	20.4	28.3	1.629
8	20.3	28.2	1.744
9	20.4	27.4	1.752
10	19.2	27.3	1.835
11	19.3	27.2	1.752
12	18.2	27.1	1.698
13	17.7	27.1	1.572
14	17.8	27.0	1.381
15	17.7	27.0	1.259
16	18.3	27.0	1.175
17	19.4	27.0	1.221
18	20.9	27.0	1.515
19	22.3	27.0	1.690
20	22.7	26.9	2.091
21	22.9	26.9	2.148
22	23.6	26.9	2.003
23	24.2	26.8	1.206
24	25.1	26.8	0.756
25	25.8	26.8	0.523
26	25.2	26.7	0.282
27	25.4	26.7	0.111
28	25.4	26.6	0.080
29	25.1	26.5	0.240
30	24.7	26.5	0.603
31	25.1	26.5	1.629
32	25.5	26.4	1.744
33	24.8	26.4	1.752
34	24.3	26.3	1.835
35	23.6	26.3	1.752
36	22.6	26.2	1.698
37	22.1	26.1	1.572
38	21.8	26.1	1.381
39	21.1	26.0	1.259
40	21.6	25.9	1.175
41	22.5	25.9	1.221
42	23.5	25.9	1.515
43	23.7	25.8	1.690
44	23.8	25.8	2.091
45	24.1	25.8	2.148
46	24.2	25.8	2.003
47	24.2	25.7	1.206
48	24.2	25.7	0.756
49	24.2	25.7	0.523
50	24.2	25.7	0.282
51	24.3	25.7	0.111
52	24.8	25.6	0.080
53	25.0	25.6	0.240
54	24.7	25.6	0.603
55	25.5	25.5	1.629
56	25.1	25.5	1.744
57	24.9	25.5	1.752
58	25.0	25.5	1.835
59	24.4	25.5	1.752
60	24.1	25.4	1.698
61	23.1	25.4	1.572
62	22.6	25.4	1.381
63	22.2	25.4	1.259
64	22.1	25.4	1.175
65	22.3	25.3	1.221
66	23.2	25.3	1.515
67	24.0	25.2	1.690
68	24.6	25.2	2.091
69	25.3	25.2	2.148
70	25.9	25.2	2.003
71	26.4	25.1	1.206
72	26.7	25.1	0.756
73	27.0	25.1	0.523
74	27.0	25.1	0.282
75	26.8	25.0	0.111
76	27.0	25.0	0.080
77	26.9	25.0	0.240
78	26.8	25.0	0.603
79	26.2	24.9	1.629
80	25.4	24.9	1.744
81	24.6	24.9	1.752
82	23.4	24.9	1.835
83	21.3	24.8	1.752
84	19.6	24.8	1.698
85	18.1	24.8	1.572
86	17.5	24.8	1.381
87	17.7	24.7	1.259
88	17.6	24.7	1.175
89	17.9	24.7	1.221
90	18.1	24.7	1.515
91	18.0	24.7	1.690
92	17.6	24.7	2.091
93	18.1	24.6	2.148
94	18.5	24.6	2.003
95	18.6	24.6	1.206
96	18.7	24.6	0.756
97	18.7	24.6	0.523
98	18.8	24.5	0.282
99	19.6	24.5	0.111
100	20.1	24.5	0.080
101	20.6	24.5	0.240
102	20.9	24.4	0.603
103	21.7	24.4	1.629
104	21.9	24.4	1.744
105	22.4	24.4	1.752
106	22.3	24.3	1.835
107	22.7	24.3	1.752
108	22.9	24.3	1.698
109	23.0	24.3	1.572
110	23.5	24.3	1.381
111	24.7	24.3	1.259
112	24.6	24.3	1.175
113	25.7	24.2	1.221
114	26.8	24.2	1.515
115	27.0	24.2	1.690
116	26.5	24.2	2.091
117	27.2	24.2	2.148
118	28.2	24.2	2.003
119	29.4	24.2	1.206
120	29.6	24.2	0.756
121	30.2	24.2	0.523
122	30.3	24.1	0.282
123	29.6	24.1	0.111
124	29.5	24.1	0.080
125	28.3	24.1	0.240
126	27.4	24.1	0.603
127	27.1	24.1	1.629
128	26.9	24.1	1.744
129	26.5	24.1	1.752
130	25.5	24.1	1.835
131	24.1	24.0	1.752
132	22.8	24.0	1.698
133	21.1	24.0	1.572
134	19.8	24.0	1.381
135	19.2	24.0	1.259
136	18.3	24.0	1.175
137	18.3	24.0	1.221
138	18.8	24.0	1.515
139	18.0	24.0	1.690
140	17.9	23.9	2.091
141	18.1	23.9	2.148
142	18.0	23.8	2.003
143	18.0	23.8	1.206
144	17.9	23.8	0.756
145	17.6	23.8	0.523
146	18.0	23.8	0.282
147	18.2	23.8	0.111
148	18.4	23.8	0.080
149	19.1	23.8	0.240
150	18.7	23.8	0.603
151	18.8	23.8	1.629
152	19.2	23.8	1.744
153	18.9	23.8	1.752
154	17.7	23.8	1.835
155	17.2	23.8	1.752
156	16.3	23.7	1.698
157	15.6	23.7	1.572
158	14.3	23.7	1.381
159	13.7	23.7	1.259
160	13.7	23.7	1.175
161	14.9	23.7	1.221
162	15.8	23.7	1.515
163	17.0	23.7	1.690
164	17.3	23.7	2.091
165	18.3	23.7	2.148
166	18.5	23.7	2.003
167	19.7	23.6	1.206
168	19.9	23.6	0.756
169	20.3	23.6	0.523
170	20.2	23.6	0.282
171	20.4	23.6	0.111
172	19.6	23.6	0.080
173	19.4	23.6	0.240
174	18.6	23.6	0.603
175	18.6	23.6	1.629
176	18.4	23.5	1.744
177	18.3	23.5	1.752
178	17.9	23.5	1.835
179	16.9	23.5	1.752
180	16.0	23.5	1.698
181	16.3	23.5	1.572
182	15.9	23.5	1.381
183	16.3	23.5	1.259
184	16.2	23.5	1.175
185	16.0	23.5	1.221
186	16.2	23.5	1.515
187	16.6	23.4	1.690
188	15.7	23.4	2.091
189	15.1	23.4	2.148
190	15.1	23.4	2.003
191	14.4	23.4	1.206
192	13.8	23.4	0.756
193	13.0	23.4	0.523
194	13.0	23.4	0.282
195	13.5	23.4	0.111
196	13.7	23.4	0.080
197	13.1	23.3	0.240
198	12.4	23.3	0.603
199	13.0	23.3	1.629
200	12.9	23.3	1.744
201	13.2	23.3	1.752
202	12.2	23.3	1.835
203	12.0	23.3	1.752
204	12.2	23.3	1.698
205	12.0	23.3	1.572
206	11.0	23.2	1.381
207	10.0	23.2	1.259
208	9.7	23.2	1.175
209	9.9	23.2	1.221
210	9.6	23.2	1.515
211	9.7	23.2	1.690
212	9.8	23.2	2.091
213	9.6	23.2	2.148
214	9.7	23.2	2.003
215	9.5	23.2	1.206
216	8.9	23.2	0.756
217	9.1	23.2	0.523
218	9.4	23.1	0.282
219	9.8	23.1	0.111
220	10.3	23.1	0.080
221	10.8	23.1	0.240
222	11.4	23.1	0.603
223	12.1	23.0	1.629
224	12.3	23.0	1.744
225	12.3	23.0	1.752
