# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	9.8	15.1	0.224
2	10.0	15.1	0.121
3	10.4	14.8	0.047
4	10.2	14.8	0.034
5	10.4	14.8	0.103
6	10.4	14.7	0.258
7	10.2	14.1	0.698
8	10.1	14.1	0.748
9	10.2	13.7	0.751
10	9.6	13.6	0.787
11	9.7	13.6	0.751
12	9.1	13.6	0.728
13	8.8	13.5	0.674
14	8.9	13.5	0.592
15	8.9	13.5	0.540
16	9.1	13.5	0.504
17	9.7	13.5	0.523
18	10.5	13.5	0.649
19	11.2	13.5	0.725
20	11.4	13.5	0.896
21	11.5	13.5	0.921
22	11.8	13.4	0.859
23	12.1	13.4	0.517
24	12.5	13.4	0.324
25	12.9	13.4	0.224
26	12.6	13.4	0.121
27	12.7	13.4	0.047
28	12.7	13.3	0.034
29	12.5	13.2	0.103
30	12.3	13.2	0.258
31	12.6	13.2	0.698
32	12.7	13.2	0.748
33	12.4	13.2	0.751
34	12.2	13.1	0.787
35	11.8	13.1	0.751
36	11.3	13.1	0.728
37	11.0	13.0	0.674
38	10.9	13.0	0.592
39	10.5	13.0	0.540
40	10.8	12.9	0.504
41	11.3	12.9	0.523
42	11.8	12.9	0.649
43	11.9	12.9	0.725
44	11.9	12.9	0.896
45	12.1	12.9	0.921
46	12.1	12.9	0.859
47	12.1	12.8	0.517
48	12.1	12.8	0.324
49	12.1	12.8	0.224
50	12.1	12.8	0.121
51	12.2	12.8	0.047
52	12.4	12.8	0.034
53	12.5	12.7	0.103
54	12.4	12.7	0.258
55	12.7	12.7	0.698
56	12.6	12.7	0.748
57	12.4	12.7	0.751
58	12.5	12.7	0.787
59	12.2	12.7	0.751
60	12.1	12.7	0.728
61	11.6	12.7	0.674
62	11.3	12.7	0.592
63	11.1	12.7	0.540
64	11.0	12.7	0.504
65	11.2	12.6	0.523
66	11.6	12.6	0.649
67	12.0	12.6	0.725
68	12.3	12.6	0.896
69	12.6	12.6	0.921
70	12.9	12.6	0.859
71	13.2	12.6	0.517
72	13.4	12.5	0.324
73	13.5	12.5	0.224
74	13.5	12.5	0.121
75	13.4	12.5	0.047
76	13.5	12.5	0.034
77	13.5	12.5	0.103
78	13.4	12.5	0.258
79	13.1	12.4	0.698
80	12.7	12.4	0.748
81	12.3	12.4	0.751
82	11.7	12.4	0.787
83	10.6	12.4	0.751
84	9.8	12.4	0.728
85	9.1	12.4	0.674
86	8.8	12.4	0.592
87	8.9	12.4	0.540
88	8.8	12.3	0.504
89	9.0	12.3	0.523
90	9.0	12.3	0.649
91	9.0	12.3	0.725
92	8.8	12.3	0.896
93	9.1	12.3	0.921
94	9.2	12.3	0.859
95	9.3	12.3	0.517
96	9.3	12.3	0.324
97	9.3	12.2	0.224
98	9.4	12.2	0.121
99	9.8	12.2	0.047
100	10.0	12.2	0.034
101	10.3	12.2	0.103
102	10.5	12.2	0.258
103	10.8	12.2	0.698
104	11.0	12.2	0.748
105	11.2	12.2	0.751
106	11.2	12.2	0.787
107	11.4	12.1	0.751
108	11.4	12.1	0.728
109	11.5	12.1	0.674
110	11.7	12.1	0.592
