# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.6	1.1	0.011
2	0.6	1.1	0.006
3	0.6	1.1	0.002
4	0.6	1.1	0.002
5	0.6	1.0	0.005
6	0.6	1.0	0.012
7	0.6	1.0	0.033
8	0.8	1.0	0.035
9	0.8	1.0	0.035
10	0.7	1.0	0.037
11	0.7	1.0	0.035
12	0.7	1.0	0.034
13	0.7	1.0	0.032
14	0.7	1.0	0.028
15	0.7	1.0	0.025
16	0.7	1.0	0.024
17	0.7	1.0	0.025
18	0.8	1.0	0.030
19	0.8	1.0	0.034
20	0.9	1.0	0.042
21	0.9	1.0	0.043
22	0.9	1.0	0.040
23	0.9	1.0	0.024
24	0.9	1.0	0.015
25	0.8	1.0	0.011
26	0.8	1.0	0.006
27	0.8	1.0	0.002
28	0.8	1.0	0.002
29	0.8	1.0	0.005
30	0.8	1.0	0.012
31	0.8	1.0	0.033
32	1.0	1.0	0.035
33	0.9	1.0	0.035
34	0.9	1.0	0.037
35	0.9	1.0	0.035
36	0.9	1.0	0.034
37	0.8	1.0	0.032
38	0.8	1.0	0.028
39	0.8	1.0	0.025
40	0.8	1.0	0.024
41	0.8	1.0	0.025
42	0.9	1.0	0.030
43	0.9	1.0	0.034
44	0.9	1.0	0.042
45	0.9	1.0	0.043
46	0.9	1.0	0.040
47	0.9	1.0	0.024
48	0.9	1.0	0.015
49	0.8	1.0	0.011
50	0.8	1.0	0.006
51	0.8	1.0	0.002
52	0.8	1.0	0.002
53	0.8	1.0	0.005
54	0.8	1.0	0.012
55	0.8	1.0	0.033
56	0.9	1.0	0.035
57	0.9	1.0	0.035
58	0.9	1.0	0.037
59	0.9	0.9	0.035
60	0.9	0.9	0.034
61	0.9	0.9	0.032
62	0.8	0.9	0.028
63	0.8	0.9	0.025
64	0.8	0.9	0.024
65	0.8	0.9	0.025
66	0.9	0.9	0.030
67	0.9	0.9	0.034
68	0.9	0.9	0.042
69	1.0	0.9	0.043
70	1.0	0.9	0.040
71	1.0	0.9	0.024
72	1.0	0.9	0.015
73	0.9	0.9	0.011
74	0.9	0.9	0.006
75	0.9	0.9	0.002
76	0.9	0.9	0.002
77	0.9	0.9	0.005
78	0.9	0.9	0.012
79	0.8	0.9	0.033
80	1.0	0.9	0.035
81	0.9	0.9	0.035
82	0.9	0.9	0.037
83	0.8	0.9	0.035
84	0.7	0.9	0.034
85	0.7	0.9	0.032
86	0.7	0.9	0.028
87	0.7	0.9	0.025
88	0.7	0.9	0.024
89	0.7	0.9	0.025
90	0.7	0.9	0.030
91	0.7	0.9	0.034
92	0.7	0.9	0.042
93	0.7	0.9	0.043
94	0.7	0.9	0.040
95	0.7	0.9	0.024
96	0.7	0.9	0.015
97	0.6	0.9	0.011
98	0.6	0.9	0.006
99	0.6	0.9	0.002
100	0.6	0.9	0.002
101	0.6	0.9	0.005
102	0.6	0.9	0.012
103	0.7	0.9	0.033
104	0.8	0.9	0.035
105	0.8	0.9	0.035
106	0.8	0.9	0.037
107	0.9	0.9	0.035
108	0.9	0.9	0.034
109	0.9	0.9	0.032
110	0.9	0.9	0.028
111	0.9	0.9	0.025
112	0.9	0.9	0.024
113	1.0	0.9	0.025
114	1.0	0.9	0.030
115	1.0	0.9	0.034
116	1.0	0.9	0.042
