# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	6.8	12.9	0.171
2	6.9	12.8	0.093
3	7.3	12.3	0.036
4	7.2	12.3	0.026
5	7.3	12.3	0.079
6	7.3	12.2	0.198
7	7.2	12.2	0.534
8	8.8	12.1	0.571
9	8.9	12.0	0.574
10	8.4	12.0	0.601
11	8.4	12.0	0.574
12	7.9	12.0	0.556
13	7.7	11.9	0.515
14	7.7	11.9	0.453
15	7.7	11.9	0.413
16	7.9	11.9	0.385
17	8.4	11.8	0.400
18	9.1	11.8	0.496
19	9.7	11.8	0.554
20	9.9	11.8	0.685
21	10.0	11.8	0.704
22	10.3	11.8	0.656
23	10.5	11.8	0.395
24	10.9	11.7	0.248
25	9.5	11.7	0.171
26	9.2	11.7	0.093
27	9.3	11.7	0.036
28	9.3	11.7	0.026
29	9.2	11.6	0.079
30	9.0	11.6	0.198
31	9.2	11.6	0.534
32	11.1	11.6	0.571
33	10.8	11.5	0.574
34	10.6	11.5	0.601
35	10.2	11.5	0.574
36	9.8	11.5	0.556
37	9.6	11.5	0.515
38	9.5	11.5	0.453
39	9.2	11.5	0.413
40	9.4	11.4	0.385
41	9.8	11.4	0.400
42	10.2	11.4	0.496
43	10.3	11.4	0.554
44	10.3	11.4	0.685
45	10.5	11.3	0.704
46	10.5	11.3	0.656
47	10.5	11.3	0.395
48	10.5	11.2	0.248
49	8.8	11.2	0.171
50	8.8	11.2	0.093
51	8.9	11.2	0.036
52	9.1	11.2	0.026
53	9.2	11.1	0.079
54	9.0	11.1	0.198
55	9.4	11.1	0.534
56	10.9	11.1	0.571
57	10.8	11.1	0.574
58	10.9	11.1	0.601
59	10.6	11.1	0.574
60	10.5	11.1	0.556
61	10.0	11.0	0.515
62	9.8	11.0	0.453
63	9.6	11.0	0.413
64	9.6	11.0	0.385
65	9.7	10.9	0.400
66	10.1	10.9	0.496
67	10.4	10.9	0.554
68	10.7	10.9	0.685
69	11.0	10.9	0.704
70	11.2	10.9	0.656
71	11.5	10.8	0.395
72	11.6	10.8	0.248
73	10.0	10.8	0.171
74	10.0	10.8	0.093
75	9.9	10.8	0.036
76	10.0	10.8	0.026
77	10.0	10.8	0.079
78	9.9	10.8	0.198
79	9.7	10.7	0.534
80	11.0	10.7	0.571
81	10.7	10.7	0.574
82	10.2	10.7	0.601
83	9.2	10.7	0.574
84	8.5	10.7	0.556
85	7.9	10.7	0.515
86	7.6	10.7	0.453
87	7.7	10.7	0.413
88	7.6	10.7	0.385
89	7.8	10.6	0.400
90	7.8	10.6	0.496
91	7.8	10.6	0.554
92	7.6	10.6	0.685
93	7.9	10.6	0.704
94	8.0	10.6	0.656
95	8.1	10.6	0.395
96	8.1	10.6	0.248
97	6.4	10.6	0.171
98	6.5	10.6	0.093
99	6.8	10.6	0.036
100	7.0	10.6	0.026
101	7.2	10.6	0.079
102	7.4	10.6	0.198
103	7.7	10.6	0.534
104	9.5	10.6	0.571
105	9.7	10.5	0.574
106	9.7	10.5	0.601
107	9.9	10.5	0.574
108	9.9	10.5	0.556
109	10.0	10.5	0.515
110	10.2	10.5	0.453
111	10.7	10.5	0.413
112	10.7	10.5	0.385
113	11.2	10.5	0.400
114	11.7	10.5	0.496
115	11.7	10.5	0.554
116	11.5	10.5	0.685
117	11.8	10.5	0.704
118	12.3	10.5	0.656
119	12.8	10.5	0.395
120	12.9	10.4	0.248
121	11.4	10.4	0.171
122	11.5	10.4	0.093
123	11.2	10.4	0.036
124	11.1	10.4	0.026
125	10.6	10.4	0.079
126	10.2	10.4	0.198
127	10.1	10.4	0.534
128	11.7	10.4	0.571
129	11.5	10.4	0.574
130	11.1	10.4	0.601
131	10.4	10.4	0.574
132	9.9	10.4	0.556
133	9.1	10.4	0.515
134	8.5	10.3	0.453
135	8.2	10.3	0.413
136	7.9	10.3	0.385
137	7.9	10.3	0.400
138	8.1	10.3	0.496
139	7.8	10.3	0.554
140	7.7	10.3	0.685
141	7.8	10.3	0.704
142	7.8	10.3	0.656
143	7.8	10.3	0.395
144	7.8	10.3	0.248
145	5.9	10.3	0.171
146	6.1	10.2	0.093
147	6.2	10.2	0.036
148	6.3	10.2	0.026
149	6.6	10.2	0.079
150	6.4	10.2	0.198
151	6.5	10.2	0.534
152	8.3	10.2	0.571
153	8.2	10.2	0.574
154	7.7	10.2	0.601
155	7.5	10.1	0.574
156	7.1	10.1	0.556
157	6.8	10.1	0.515
158	6.2	10.1	0.453
159	6.0	10.1	0.413
160	6.0	10.1	0.385
161	6.5	10.1	0.400
162	6.9	10.1	0.496
163	7.4	10.1	0.554
164	7.5	10.1	0.685
165	7.9	10.1	0.704
166	8.0	10.1	0.656
167	8.5	10.1	0.395
168	8.6	10.1	0.248
169	7.1	10.1	0.171
170	7.0	10.1	0.093
171	7.1	10.0	0.036
172	6.8	10.0	0.026
173	6.7	10.0	0.079
174	6.4	10.0	0.198
175	6.4	10.0	0.534
176	8.0	10.0	0.571
177	7.9	10.0	0.574
178	7.7	10.0	0.601
179	7.3	10.0	0.574
180	6.9	10.0	0.556
181	7.1	10.0	0.515
182	6.9	10.0	0.453
183	7.1	10.0	0.413
184	7.0	10.0	0.385
185	6.9	10.0	0.400
186	7.0	10.0	0.496
187	7.2	10.0	0.554
188	6.8	10.0	0.685
189	6.5	10.0	0.704
190	6.5	10.0	0.656
191	6.2	10.0	0.395
192	6.0	9.9	0.248
193	3.9	9.9	0.171
194	3.9	9.9	0.093
195	4.2	9.9	0.036
196	4.2	9.9	0.026
197	4.0	9.9	0.079
198	3.7	9.9	0.198
199	3.9	9.9	0.534
200	5.6	9.9	0.571
201	5.7	9.9	0.574
202	5.3	9.9	0.601
203	5.2	9.9	0.574
204	5.3	9.9	0.556
205	5.2	9.9	0.515
206	4.8	9.9	0.453
207	4.3	9.9	0.413
208	4.2	9.9	0.385
209	4.3	9.9	0.400
210	4.1	9.9	0.496
211	4.2	9.9	0.554
212	4.2	9.9	0.685
213	4.2	9.9	0.704
214	4.2	9.9	0.656
215	4.1	9.9	0.395
216	3.8	9.9	0.248
217	2.2	9.9	0.171
218	2.4	9.8	0.093
219	2.5	9.8	0.036
220	2.7	9.8	0.026
221	3.0	9.8	0.079
222	3.2	9.8	0.198
223	3.5	9.8	0.534
224	5.3	9.8	0.571
225	5.3	9.8	0.574
226	5.4	9.8	0.601
227	5.5	9.8	0.574
228	5.3	9.8	0.556
229	5.2	9.8	0.515
230	5.3	9.8	0.453
231	5.2	9.7	0.413
232	5.7	9.7	0.385
233	6.1	9.7	0.400
234	6.6	9.7	0.496
235	6.6	9.7	0.554
236	7.0	9.7	0.685
237	7.4	9.7	0.704
238	8.0	9.7	0.656
239	8.5	9.7	0.395
240	8.8	9.7	0.248
241	7.4	9.7	0.171
242	7.4	9.7	0.093
243	7.4	9.7	0.036
244	7.4	9.7	0.026
245	7.4	9.7	0.079
246	7.3	9.7	0.198
247	7.3	9.7	0.534
248	8.8	9.6	0.571
249	9.0	9.6	0.574
250	8.6	9.6	0.601
251	8.6	9.6	0.574
252	7.9	9.6	0.556
253	7.7	9.6	0.515
254	7.2	9.6	0.453
255	7.3	9.6	0.413
256	7.5	9.6	0.385
257	8.2	9.6	0.400
258	8.1	9.6	0.496
259	8.3	9.6	0.554
260	8.6	9.6	0.685
261	8.8	9.6	0.704
262	9.1	9.6	0.656
263	9.1	9.6	0.395
264	9.2	9.6	0.248
265	7.5	9.6	0.171
266	7.6	9.5	0.093
267	7.6	9.5	0.036
268	7.5	9.5	0.026
269	7.3	9.5	0.079
270	7.5	9.5	0.198
271	7.4	9.5	0.534
272	9.2	9.5	0.571
273	9.2	9.5	0.574
274	8.9	9.5	0.601
275	8.6	9.5	0.574
276	8.1	9.5	0.556
277	7.7	9.5	0.515
278	7.4	9.5	0.453
279	7.2	9.5	0.413
280	7.2	9.5	0.385
281	7.1	9.5	0.400
282	7.3	9.5	0.496
283	7.3	9.4	0.554
284	7.3	9.4	0.685
285	7.6	9.4	0.704
