# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	4.7	7.3	0.323
2	4.8	7.3	0.174
3	5.0	7.1	0.068
4	4.9	7.1	0.050
5	5.0	7.1	0.149
6	5.0	7.1	0.373
7	4.9	6.9	1.007
8	4.9	6.8	1.077
9	4.9	6.8	1.082
10	4.6	6.8	1.134
11	4.6	6.8	1.082
12	4.4	6.8	1.049
13	4.2	6.8	0.971
14	4.3	6.7	0.853
15	4.2	6.7	0.778
16	4.4	6.7	0.726
17	4.6	6.7	0.754
18	5.0	6.7	0.936
19	5.3	6.7	1.044
20	5.4	6.7	1.292
21	5.5	6.6	1.327
22	5.7	6.6	1.238
23	5.8	6.6	0.745
24	6.0	6.6	0.467
25	6.2	6.6	0.323
26	6.0	6.6	0.174
27	6.1	6.6	0.068
28	6.1	6.6	0.050
29	6.0	6.6	0.149
30	5.9	6.6	0.373
31	6.0	6.5	1.007
32	6.1	6.5	1.077
33	5.9	6.5	1.082
34	5.8	6.5	1.134
35	5.6	6.5	1.082
36	5.4	6.5	1.049
37	5.3	6.5	0.971
38	5.2	6.5	0.853
39	5.1	6.5	0.778
40	5.2	6.5	0.726
41	5.4	6.5	0.754
42	5.6	6.5	0.936
43	5.7	6.5	1.044
44	5.7	6.5	1.292
45	5.8	6.5	1.327
46	5.8	6.5	1.238
47	5.8	6.5	0.745
48	5.8	6.5	0.467
49	5.8	6.5	0.323
50	5.8	6.5	0.174
51	5.8	6.4	0.068
52	6.0	6.4	0.050
53	6.0	6.4	0.149
54	5.9	6.4	0.373
55	6.1	6.4	1.007
56	6.0	6.4	1.077
57	6.0	6.4	1.082
58	6.0	6.4	1.134
59	5.8	6.4	1.082
60	5.8	6.4	1.049
61	5.5	6.4	0.971
62	5.4	6.4	0.853
63	5.3	6.4	0.778
64	5.3	6.4	0.726
65	5.3	6.4	0.754
66	5.6	6.4	0.936
67	5.7	6.4	1.044
68	5.9	6.4	1.292
69	6.1	6.4	1.327
70	6.2	6.4	1.238
71	6.3	6.3	0.745
72	6.4	6.3	0.467
73	6.5	6.3	0.323
74	6.5	6.3	0.174
75	6.4	6.3	0.068
76	6.5	6.3	0.050
77	6.5	6.3	0.149
