# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	2.3	4.4	0.153
2	2.4	4.4	0.083
3	2.5	4.2	0.032
4	2.5	4.2	0.023
5	2.5	4.2	0.070
6	2.5	4.2	0.176
7	2.5	4.2	0.476
8	3.0	4.2	0.510
9	3.1	4.1	0.512
10	2.9	4.1	0.537
11	2.9	4.1	0.512
12	2.7	4.1	0.496
13	2.6	4.1	0.460
14	2.7	4.1	0.404
15	2.7	4.1	0.368
16	2.7	4.1	0.344
17	2.9	4.1	0.357
18	3.1	4.0	0.443
19	3.3	4.0	0.494
20	3.4	4.0	0.611
21	3.4	4.0	0.628
22	3.5	4.0	0.586
23	3.6	4.0	0.353
24	3.8	4.0	0.221
25	3.3	4.0	0.153
26	3.2	4.0	0.083
27	3.2	4.0	0.032
28	3.2	4.0	0.023
29	3.2	4.0	0.070
30	3.1	4.0	0.176
31	3.2	4.0	0.476
32	3.8	4.0	0.510
33	3.7	4.0	0.512
34	3.6	4.0	0.537
35	3.5	4.0	0.512
36	3.4	4.0	0.496
37	3.3	4.0	0.460
38	3.3	3.9	0.404
39	3.2	3.9	0.368
40	3.2	3.9	0.344
41	3.4	3.9	0.357
42	3.5	3.9	0.443
43	3.6	3.9	0.494
44	3.6	3.9	0.611
45	3.6	3.9	0.628
46	3.6	3.9	0.586
47	3.6	3.9	0.353
48	3.6	3.9	0.221
49	3.0	3.9	0.153
50	3.0	3.9	0.083
51	3.1	3.8	0.032
52	3.1	3.8	0.023
53	3.2	3.8	0.070
54	3.1	3.8	0.176
55	3.2	3.8	0.476
56	3.8	3.8	0.510
57	3.7	3.8	0.512
58	3.8	3.8	0.537
59	3.7	3.8	0.512
60	3.6	3.8	0.496
61	3.5	3.8	0.460
62	3.4	3.8	0.404
63	3.3	3.8	0.368
64	3.3	3.8	0.344
65	3.3	3.8	0.357
66	3.5	3.8	0.443
67	3.6	3.8	0.494
68	3.7	3.7	0.611
69	3.8	3.7	0.628
70	3.9	3.7	0.586
71	4.0	3.7	0.353
72	4.0	3.7	0.221
73	3.5	3.7	0.153
74	3.5	3.7	0.083
75	3.4	3.7	0.032
76	3.5	3.7	0.023
77	3.4	3.7	0.070
78	3.4	3.7	0.176
79	3.3	3.7	0.476
80	3.8	3.7	0.510
81	3.7	3.7	0.512
82	3.5	3.7	0.537
83	3.2	3.7	0.512
84	2.9	3.7	0.496
85	2.7	3.7	0.460
86	2.6	3.7	0.404
87	2.7	3.7	0.368
88	2.6	3.7	0.344
89	2.7	3.7	0.357
90	2.7	3.7	0.443
91	2.7	3.6	0.494
92	2.6	3.6	0.611
93	2.7	3.6	0.628
94	2.8	3.6	0.586
95	2.8	3.6	0.353
96	2.8	3.6	0.221
97	2.2	3.6	0.153
98	2.2	3.6	0.083
99	2.3	3.6	0.032
100	2.4	3.6	0.023
101	2.5	3.6	0.070
102	2.5	3.6	0.176
103	2.7	3.6	0.476
104	3.3	3.6	0.510
105	3.4	3.6	0.512
106	3.3	3.6	0.537
107	3.4	3.6	0.512
108	3.4	3.6	0.496
109	3.4	3.6	0.460
110	3.5	3.6	0.404
111	3.7	3.6	0.368
112	3.7	3.6	0.344
113	3.9	3.6	0.357
114	4.0	3.6	0.443
115	4.0	3.6	0.494
116	4.0	3.6	0.611
117	4.1	3.6	0.628
118	4.2	3.6	0.586
119	4.4	3.6	0.353
120	4.4	3.6	0.221
121	3.9	3.6	0.153
122	4.0	3.6	0.083
123	3.9	3.6	0.032
124	3.8	3.6	0.023
125	3.7	3.6	0.070
126	3.5	3.6	0.176
127	3.5	3.6	0.476
128	4.0	3.6	0.510
129	4.0	3.5	0.512
130	3.8	3.5	0.537
131	3.6	3.5	0.512
132	3.4	3.5	0.496
133	3.1	3.5	0.460
134	2.9	3.5	0.404
135	2.8	3.5	0.368
136	2.7	3.5	0.344
137	2.7	3.5	0.357
138	2.8	3.5	0.443
139	2.7	3.5	0.494
140	2.7	3.5	0.611
141	2.7	3.5	0.628
142	2.7	3.5	0.586
143	2.7	3.5	0.353
144	2.7	3.5	0.221
145	2.0	3.5	0.153
146	2.1	3.5	0.083
147	2.1	3.5	0.032
148	2.2	3.5	0.023
149	2.3	3.5	0.070
150	2.2	3.5	0.176
151	2.2	3.5	0.476
152	2.9	3.5	0.510
153	2.8	3.5	0.512
154	2.6	3.5	0.537
155	2.6	3.5	0.512
156	2.4	3.5	0.496
157	2.4	3.5	0.460
158	2.1	3.5	0.404
159	2.1	3.5	0.368
160	2.1	3.5	0.344
161	2.2	3.5	0.357
162	2.4	3.5	0.443
163	2.6	3.5	0.494
164	2.6	3.5	0.611
165	2.7	3.5	0.628
166	2.8	3.4	0.586
167	2.9	3.4	0.353
168	3.0	3.4	0.221
169	2.5	3.4	0.153
170	2.4	3.4	0.083
171	2.5	3.4	0.032
172	2.3	3.4	0.023
173	2.3	3.4	0.070
174	2.2	3.4	0.176
175	2.2	3.4	0.476
176	2.7	3.4	0.510
177	2.7	3.4	0.512
178	2.7	3.4	0.537
179	2.5	3.4	0.512
180	2.4	3.4	0.496
181	2.4	3.4	0.460
182	2.4	3.4	0.404
183	2.4	3.4	0.368
184	2.4	3.4	0.344
185	2.4	3.4	0.357
186	2.4	3.4	0.443
187	2.5	3.4	0.494
188	2.3	3.4	0.611
189	2.3	3.4	0.628
190	2.3	3.4	0.586
191	2.1	3.4	0.353
192	2.1	3.4	0.221
193	1.3	3.4	0.153
194	1.4	3.4	0.083
195	1.4	3.4	0.032
196	1.5	3.4	0.023
197	1.4	3.4	0.070
198	1.3	3.4	0.176
199	1.4	3.4	0.476
200	1.9	3.4	0.510
201	2.0	3.4	0.512
202	1.8	3.4	0.537
203	1.8	3.4	0.512
204	1.8	3.4	0.496
205	1.8	3.4	0.460
206	1.6	3.4	0.404
207	1.5	3.4	0.368
208	1.5	3.4	0.344
209	1.5	3.3	0.357
