# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	3.4	5.3	0.056
2	3.5	5.3	0.030
3	3.6	5.2	0.012
4	3.6	5.2	0.009
5	3.6	5.2	0.026
6	3.6	5.1	0.064
7	3.6	4.9	0.173
8	3.5	4.9	0.185
9	3.6	4.8	0.186
10	3.4	4.8	0.195
11	3.4	4.8	0.186
12	3.2	4.7	0.181
13	3.1	4.7	0.167
14	3.1	4.7	0.147
15	3.1	4.7	0.134
16	3.2	4.7	0.125
17	3.4	4.7	0.130
18	3.7	4.7	0.161
19	3.9	4.7	0.180
20	4.0	4.7	0.222
21	4.0	4.7	0.228
22	4.1	4.7	0.213
23	4.2	4.7	0.128
24	4.4	4.7	0.080
25	4.5	4.7	0.056
26	4.4	4.7	0.030
27	4.4	4.7	0.012
28	4.4	4.6	0.009
29	4.4	4.6	0.026
30	4.3	4.6	0.064
31	4.4	4.6	0.173
32	4.5	4.6	0.185
33	4.3	4.6	0.186
34	4.3	4.6	0.195
35	4.1	4.6	0.186
36	3.9	4.6	0.181
37	3.9	4.5	0.167
38	3.8	4.5	0.147
39	3.7	4.5	0.134
40	3.8	4.5	0.125
41	3.9	4.5	0.130
42	4.1	4.5	0.161
43	4.1	4.5	0.180
44	4.2	4.5	0.222
45	4.2	4.5	0.228
46	4.2	4.5	0.213
47	4.2	4.5	0.128
48	4.2	4.5	0.080
49	4.2	4.5	0.056
50	4.2	4.5	0.030
51	4.3	4.5	0.012
52	4.3	4.5	0.009
53	4.4	4.4	0.026
54	4.3	4.4	0.064
55	4.4	4.4	0.173
56	4.4	4.4	0.185
57	4.3	4.4	0.186
58	4.4	4.4	0.195
59	4.3	4.4	0.186
60	4.2	4.4	0.181
61	4.0	4.4	0.167
62	3.9	4.4	0.147
63	3.9	4.4	0.134
64	3.9	4.4	0.125
65	3.9	4.4	0.130
66	4.1	4.4	0.161
67	4.2	4.4	0.180
68	4.3	4.4	0.222
69	4.4	4.4	0.228
70	4.5	4.4	0.213
71	4.6	4.4	0.128
72	4.7	4.4	0.080
73	4.7	4.4	0.056
74	4.7	4.4	0.030
75	4.7	4.4	0.012
76	4.7	4.4	0.009
77	4.7	4.4	0.026
78	4.7	4.3	0.064
79	4.6	4.3	0.173
80	4.4	4.3	0.185
81	4.3	4.3	0.186
82	4.1	4.3	0.195
83	3.7	4.3	0.186
84	3.4	4.3	0.181
85	3.2	4.3	0.167
86	3.1	4.3	0.147
87	3.1	4.3	0.134
88	3.1	4.3	0.125
89	3.1	4.3	0.130
90	3.2	4.3	0.161
91	3.1	4.3	0.180
92	3.1	4.3	0.222
93	3.2	4.3	0.228
94	3.2	4.3	0.213
95	3.3	4.3	0.128
96	3.3	4.3	0.080
97	3.3	4.3	0.056
98	3.3	4.3	0.030
99	3.4	4.3	0.012
100	3.5	4.3	0.009
101	3.6	4.3	0.026
102	3.7	4.3	0.064
103	3.8	4.3	0.173
104	3.8	4.3	0.185
105	3.9	4.3	0.186
106	3.9	4.2	0.195
107	4.0	4.2	0.186
108	4.0	4.2	0.181
109	4.0	4.2	0.167
110	4.1	4.2	0.147
111	4.3	4.2	0.134
112	4.3	4.2	0.125
113	4.5	4.2	0.130
114	4.7	4.2	0.161
115	4.7	4.2	0.180
116	4.6	4.2	0.222
117	4.8	4.2	0.228
118	4.9	4.2	0.213
119	5.1	4.2	0.128
120	5.2	4.2	0.080
121	5.3	4.2	0.056
122	5.3	4.2	0.030
123	5.2	4.2	0.012
124	5.2	4.2	0.009
