# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	7.4	11.5	0.158
2	7.6	11.5	0.086
3	7.9	11.3	0.034
4	7.8	11.2	0.024
5	7.9	11.2	0.073
6	7.9	11.2	0.183
7	7.8	10.8	0.494
8	7.7	10.7	0.528
9	7.8	10.4	0.531
10	7.3	10.4	0.556
11	7.4	10.3	0.531
12	6.9	10.3	0.515
13	6.7	10.3	0.476
14	6.8	10.3	0.419
15	6.7	10.3	0.382
16	6.9	10.3	0.356
17	7.4	10.3	0.370
18	8.0	10.3	0.459
19	8.5	10.3	0.512
20	8.6	10.2	0.634
21	8.7	10.2	0.651
22	9.0	10.2	0.607
23	9.2	10.2	0.365
24	9.5	10.2	0.229
25	9.8	10.2	0.158
26	9.6	10.2	0.086
27	9.6	10.2	0.034
28	9.6	10.1	0.024
29	9.5	10.1	0.073
30	9.4	10.1	0.183
31	9.6	10.0	0.494
32	9.7	10.0	0.528
33	9.4	10.0	0.531
34	9.3	10.0	0.556
35	9.0	10.0	0.531
36	8.6	9.9	0.515
37	8.4	9.9	0.476
38	8.3	9.9	0.419
39	8.0	9.9	0.382
40	8.2	9.8	0.356
41	8.6	9.8	0.370
42	8.9	9.8	0.459
43	9.0	9.8	0.512
44	9.0	9.8	0.634
45	9.2	9.8	0.651
46	9.2	9.8	0.607
47	9.2	9.8	0.365
48	9.2	9.7	0.229
49	9.2	9.7	0.158
50	9.2	9.7	0.086
51	9.2	9.7	0.034
52	9.4	9.7	0.024
53	9.5	9.7	0.073
54	9.4	9.7	0.183
55	9.7	9.7	0.494
56	9.5	9.7	0.528
57	9.5	9.7	0.531
58	9.5	9.7	0.556
59	9.3	9.7	0.531
60	9.2	9.6	0.515
61	8.8	9.6	0.476
62	8.6	9.6	0.419
63	8.4	9.6	0.382
64	8.4	9.6	0.356
65	8.5	9.6	0.370
66	8.8	9.6	0.459
67	9.1	9.6	0.512
68	9.3	9.6	0.634
69	9.6	9.6	0.651
70	9.8	9.6	0.607
71	10.0	9.5	0.365
72	10.2	9.5	0.229
73	10.3	9.5	0.158
74	10.3	9.5	0.086
75	10.2	9.5	0.034
76	10.3	9.5	0.024
77	10.2	9.5	0.073
78	10.2	9.5	0.183
79	10.0	9.5	0.494
80	9.6	9.5	0.528
81	9.4	9.5	0.531
82	8.9	9.4	0.556
83	8.1	9.4	0.531
84	7.5	9.4	0.515
85	6.9	9.4	0.476
86	6.7	9.4	0.419
87	6.7	9.4	0.382
88	6.7	9.4	0.356
89	6.8	9.4	0.370
90	6.9	9.4	0.459
91	6.9	9.4	0.512
92	6.7	9.4	0.634
93	6.9	9.3	0.651
94	7.0	9.3	0.607
95	7.1	9.3	0.365
96	7.1	9.3	0.229
97	7.1	9.3	0.158
98	7.2	9.3	0.086
99	7.5	9.3	0.034
100	7.6	9.3	0.024
101	7.8	9.3	0.073
102	8.0	9.3	0.183
103	8.2	9.3	0.494
104	8.3	9.3	0.528
105	8.5	9.3	0.531
106	8.5	9.2	0.556
107	8.6	9.2	0.531
108	8.7	9.2	0.515
109	8.7	9.2	0.476
110	8.9	9.2	0.419
111	9.4	9.2	0.382
112	9.3	9.2	0.356
113	9.8	9.2	0.370
114	10.2	9.2	0.459
115	10.3	9.2	0.512
116	10.1	9.2	0.634
117	10.3	9.2	0.651
118	10.7	9.2	0.607
119	11.2	9.2	0.365
120	11.2	9.2	0.229
121	11.5	9.2	0.158
122	11.5	9.2	0.086
123	11.3	9.2	0.034
124	11.2	9.2	0.024
125	10.8	9.1	0.073
126	10.4	9.1	0.183
127	10.3	9.1	0.494
128	10.2	9.1	0.528
129	10.1	9.1	0.531
130	9.7	9.1	0.556
131	9.1	9.1	0.531
132	8.7	9.1	0.515
133	8.0	9.1	0.476
134	7.5	9.1	0.419
135	7.3	9.1	0.382
136	6.9	9.1	0.356
137	6.9	9.1	0.370
138	7.1	9.1	0.459
139	6.9	9.1	0.512
140	6.8	9.0	0.634
141	6.9	9.0	0.651
142	6.9	9.0	0.607
143	6.9	9.0	0.365
144	6.8	9.0	0.229
145	6.7	9.0	0.158
146	6.9	9.0	0.086
147	6.9	9.0	0.034
148	7.0	9.0	0.024
149	7.3	9.0	0.073
150	7.1	9.0	0.183
151	7.2	9.0	0.494
152	7.3	9.0	0.528
153	7.2	9.0	0.531
154	6.7	9.0	0.556
155	6.5	9.0	0.531
156	6.2	9.0	0.515
157	5.9	9.0	0.476
158	5.4	9.0	0.419
159	5.2	9.0	0.382
160	5.2	9.0	0.356
161	5.7	9.0	0.370
162	6.0	9.0	0.459
163	6.5	9.0	0.512
164	6.6	9.0	0.634
165	6.9	9.0	0.651
166	7.0	9.0	0.607
167	7.5	9.0	0.365
168	7.6	9.0	0.229
169	7.7	9.0	0.158
170	7.7	8.9	0.086
171	7.7	8.9	0.034
172	7.5	8.9	0.024
173	7.4	8.9	0.073
174	7.1	8.9	0.183
175	7.1	8.9	0.494
176	7.0	8.9	0.528
177	6.9	8.9	0.531
178	6.8	8.9	0.556
179	6.4	8.9	0.531
180	6.1	8.9	0.515
181	6.2	8.9	0.476
182	6.0	8.9	0.419
183	6.2	8.9	0.382
184	6.1	8.9	0.356
185	6.1	8.9	0.370
186	6.1	8.9	0.459
187	6.3	8.9	0.512
188	5.9	8.9	0.634
189	5.7	8.9	0.651
190	5.7	8.9	0.607
191	5.5	8.9	0.365
192	5.3	8.9	0.229
193	4.9	8.8	0.158
194	5.0	8.8	0.086
195	5.1	8.8	0.034
196	5.2	8.8	0.024
197	5.0	8.8	0.073
198	4.7	8.8	0.183
199	5.0	8.8	0.494
200	4.9	8.8	0.528
201	5.0	8.8	0.531
202	4.6	8.8	0.556
203	4.6	8.8	0.531
204	4.6	8.8	0.515
205	4.5	8.8	0.476
206	4.2	8.8	0.419
207	3.8	8.8	0.382
208	3.7	8.8	0.356
209	3.7	8.8	0.370
210	3.6	8.8	0.459
211	3.7	8.8	0.512
212	3.7	8.8	0.634
213	3.7	8.8	0.651
214	3.7	8.8	0.607
215	3.6	8.8	0.365
216	3.4	8.8	0.229
217	3.5	8.8	0.158
218	3.6	8.8	0.086
219	3.7	8.8	0.034
220	3.9	8.8	0.024
221	4.1	8.8	0.073
222	4.3	8.7	0.183
223	4.6	8.7	0.494
224	4.7	8.7	0.528
225	4.7	8.7	0.531
226	4.8	8.7	0.556
227	4.8	8.7	0.531
228	4.7	8.7	0.515
229	4.6	8.7	0.476
230	4.7	8.7	0.419
231	4.6	8.7	0.382
232	5.0	8.7	0.356
233	5.3	8.7	0.370
234	5.8	8.7	0.459
235	5.8	8.7	0.512
236	6.1	8.7	0.634
237	6.5	8.7	0.651
238	7.0	8.7	0.607
239	7.4	8.7	0.365
240	7.7	8.7	0.229
241	8.0	8.7	0.158
242	8.0	8.7	0.086
243	8.0	8.7	0.034
244	8.0	8.7	0.024
245	8.0	8.7	0.073
246	7.9	8.6	0.183
247	7.9	8.6	0.494
248	7.7	8.6	0.528
249	7.9	8.6	0.531
250	7.5	8.6	0.556
251	7.5	8.6	0.531
252	6.9	8.6	0.515
253	6.8	8.6	0.476
254	6.3	8.6	0.419
255	6.4	8.6	0.382
256	6.6	8.6	0.356
257	7.2	8.6	0.370
258	7.1	8.6	0.459
259	7.3	8.6	0.512
260	7.6	8.6	0.634
261	7.7	8.6	0.651
262	8.0	8.6	0.607
263	8.0	8.6	0.365
264	8.0	8.6	0.229
265	8.0	8.6	0.158
266	8.2	8.6	0.086
267	8.1	8.6	0.034
268	8.1	8.6	0.024
269	7.9	8.6	0.073
270	8.1	8.6	0.183
271	8.0	8.6	0.494
272	8.1	8.6	0.528
273	8.1	8.6	0.531
274	7.8	8.6	0.556
275	7.5	8.6	0.531
276	7.1	8.6	0.515
277	6.7	8.6	0.476
278	6.5	8.6	0.419
279	6.3	8.6	0.382
280	6.3	8.5	0.356
281	6.2	8.5	0.370
282	6.3	8.5	0.459
283	6.4	8.5	0.512
284	6.4	8.5	0.634
285	6.6	8.5	0.651
286	6.7	8.5	0.607
287	6.7	8.5	0.365
288	6.8	8.5	0.229
289	6.5	8.5	0.158
290	6.5	8.5	0.086
291	6.5	8.5	0.034
292	6.5	8.5	0.024
293	6.6	8.5	0.073
294	6.7	8.5	0.183
295	6.5	8.5	0.494
296	6.5	8.5	0.528
297	6.5	8.5	0.531
298	6.5	8.5	0.556
299	6.1	8.5	0.531
300	5.9	8.5	0.515
301	5.6	8.5	0.476
302	5.5	8.5	0.419
303	5.4	8.5	0.382
304	5.2	8.5	0.356
305	5.5	8.5	0.370
306	5.4	8.5	0.459
307	5.5	8.4	0.512
308	5.6	8.4	0.634
309	5.6	8.4	0.651
310	6.0	8.4	0.607
311	5.9	8.4	0.365
312	6.1	8.4	0.229
313	6.2	8.4	0.158
314	6.1	8.4	0.086
315	6.1	8.4	0.034
316	5.9	8.4	0.024
317	5.8	8.4	0.073
318	5.7	8.4	0.183
319	5.9	8.4	0.494
320	5.9	8.4	0.528
321	6.0	8.4	0.531
322	5.9	8.4	0.556
323	5.8	8.4	0.531
324	5.9	8.4	0.515
325	5.7	8.4	0.476
326	5.5	8.3	0.419
327	5.2	8.3	0.382
328	4.9	8.3	0.356
329	5.2	8.3	0.370
330	5.2	8.3	0.459
331	5.4	8.3	0.512
332	5.6	8.3	0.634
333	5.6	8.3	0.651
334	5.6	8.3	0.607
335	5.8	8.3	0.365
336	5.6	8.3	0.229
337	5.7	8.3	0.158
338	5.8	8.3	0.086
339	6.0	8.3	0.034
340	6.2	8.3	0.024
341	6.3	8.3	0.073
342	6.3	8.3	0.183
343	6.3	8.3	0.494
344	6.6	8.3	0.528
345	6.7	8.3	0.531
346	6.8	8.3	0.556
347	6.6	8.3	0.531
348	6.4	8.3	0.515
349	6.3	8.3	0.476
350	6.5	8.3	0.419
351	6.6	8.3	0.382
352	6.6	8.3	0.356
