# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	3.4	6.6	0.262
2	3.5	6.5	0.142
3	3.7	6.3	0.055
4	3.7	6.3	0.040
5	3.7	6.2	0.121
6	3.7	6.2	0.302
7	3.7	6.2	0.817
8	4.5	6.1	0.874
9	4.5	6.1	0.878
10	4.3	6.1	0.920
11	4.3	6.1	0.878
12	4.0	6.1	0.851
13	3.9	6.1	0.788
14	3.9	6.0	0.692
15	3.9	6.0	0.631
16	4.0	6.0	0.589
17	4.3	6.0	0.612
18	4.6	6.0	0.759
19	4.9	6.0	0.847
20	5.0	6.0	1.048
21	5.1	6.0	1.077
22	5.2	6.0	1.004
23	5.4	6.0	0.604
24	5.6	6.0	0.379
25	4.9	6.0	0.262
26	4.7	5.9	0.142
27	4.7	5.9	0.055
28	4.7	5.9	0.040
29	4.7	5.9	0.121
30	4.6	5.9	0.302
31	4.7	5.9	0.817
32	5.6	5.9	0.874
33	5.5	5.9	0.878
34	5.4	5.9	0.920
35	5.2	5.9	0.878
36	5.0	5.8	0.851
37	4.9	5.8	0.788
38	4.8	5.8	0.692
39	4.7	5.8	0.631
40	4.8	5.8	0.589
41	5.0	5.8	0.612
42	5.2	5.8	0.759
43	5.3	5.8	0.847
44	5.3	5.8	1.048
45	5.3	5.7	1.077
46	5.4	5.7	1.004
47	5.4	5.7	0.604
48	5.4	5.7	0.379
49	4.5	5.7	0.262
50	4.5	5.7	0.142
51	4.5	5.7	0.055
52	4.6	5.7	0.040
53	4.7	5.7	0.121
54	4.6	5.6	0.302
55	4.8	5.6	0.817
56	5.6	5.6	0.874
57	5.5	5.6	0.878
58	5.5	5.6	0.920
59	5.4	5.6	0.878
60	5.3	5.6	0.851
61	5.1	5.6	0.788
62	5.0	5.6	0.692
63	4.9	5.6	0.631
64	4.9	5.6	0.589
65	4.9	5.6	0.612
66	5.1	5.6	0.759
67	5.3	5.5	0.847
68	5.4	5.5	1.048
69	5.6	5.5	1.077
70	5.7	5.5	1.004
71	5.8	5.5	0.604
72	5.9	5.5	0.379
73	5.1	5.5	0.262
74	5.1	5.5	0.142
75	5.1	5.5	0.055
76	5.1	5.5	0.040
77	5.1	5.5	0.121
78	5.1	5.5	0.302
79	4.9	5.4	0.817
80	5.6	5.4	0.874
81	5.5	5.4	0.878
82	5.2	5.4	0.920
83	4.7	5.4	0.878
84	4.3	5.4	0.851
85	4.0	5.4	0.788
86	3.9	5.4	0.692
87	3.9	5.4	0.631
88	3.9	5.4	0.589
89	4.0	5.4	0.612
90	4.0	5.4	0.759
91	4.0	5.4	0.847
92	3.9	5.4	1.048
93	4.0	5.4	1.077
94	4.1	5.4	1.004
95	4.1	5.4	0.604
96	4.1	5.4	0.379
97	3.3	5.4	0.262
98	3.3	5.4	0.142
99	3.5	5.4	0.055
100	3.6	5.4	0.040
101	3.7	5.4	0.121
102	3.8	5.4	0.302
103	3.9	5.4	0.817
104	4.9	5.4	0.874
105	5.0	5.4	0.878
106	4.9	5.4	0.920
107	5.0	5.3	0.878
108	5.1	5.3	0.851
109	5.1	5.3	0.788
110	5.2	5.3	0.692
111	5.5	5.3	0.631
112	5.5	5.3	0.589
113	5.7	5.3	0.612
114	5.9	5.3	0.759
115	6.0	5.3	0.847
116	5.9	5.3	1.048
117	6.0	5.3	1.077
