# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	9.0	17.1	0.306
2	9.2	17.0	0.165
3	9.7	16.5	0.065
4	9.6	16.4	0.047
5	9.7	16.4	0.141
6	9.7	16.3	0.353
7	9.5	16.2	0.953
8	11.7	16.2	1.020
9	11.8	16.1	1.025
10	11.1	16.0	1.074
11	11.2	16.0	1.025
12	10.5	16.0	0.993
13	10.2	15.9	0.920
14	10.3	15.9	0.808
15	10.2	15.9	0.737
16	10.6	15.8	0.688
17	11.2	15.8	0.714
18	12.1	15.7	0.886
19	12.9	15.7	0.989
20	13.1	15.7	1.223
21	13.3	15.7	1.257
22	13.7	15.7	1.172
23	14.0	15.7	0.705
24	14.5	15.6	0.442
25	12.7	15.6	0.306
26	12.3	15.6	0.165
27	12.4	15.6	0.065
28	12.4	15.6	0.047
29	12.2	15.5	0.141
30	12.0	15.5	0.353
31	12.3	15.5	0.953
32	14.8	15.4	1.020
33	14.4	15.4	1.025
34	14.1	15.4	1.074
35	13.6	15.4	1.025
36	13.1	15.4	0.993
37	12.8	15.3	0.920
38	12.7	15.3	0.808
39	12.2	15.3	0.737
40	12.5	15.3	0.688
41	13.1	15.3	0.714
42	13.6	15.2	0.886
43	13.7	15.2	0.989
44	13.8	15.2	1.223
45	14.0	15.1	1.257
46	14.0	15.0	1.172
47	14.0	15.0	0.705
48	14.0	15.0	0.442
49	11.8	15.0	0.306
50	11.7	14.9	0.165
51	11.8	14.9	0.065
52	12.1	14.9	0.047
53	12.2	14.9	0.141
54	12.0	14.9	0.353
55	12.5	14.8	0.953
56	14.5	14.8	1.020
57	14.4	14.8	1.025
58	14.5	14.8	1.074
59	14.1	14.8	1.025
60	14.0	14.8	0.993
61	13.4	14.7	0.920
62	13.1	14.7	0.808
63	12.8	14.7	0.737
64	12.8	14.6	0.688
65	12.9	14.6	0.714
66	13.4	14.6	0.886
67	13.9	14.5	0.989
68	14.2	14.5	1.223
69	14.6	14.5	1.257
70	15.0	14.5	1.172
71	15.3	14.5	0.705
72	15.5	14.5	0.442
73	13.4	14.4	0.306
74	13.4	14.4	0.165
75	13.2	14.4	0.065
76	13.3	14.4	0.047
77	13.3	14.4	0.141
78	13.2	14.4	0.353
79	12.9	14.3	0.953
80	14.7	14.3	1.020
81	14.3	14.3	1.025
82	13.5	14.3	1.074
83	12.3	14.3	1.025
84	11.4	14.3	0.993
85	10.5	14.3	0.920
86	10.1	14.3	0.808
87	10.2	14.2	0.737
88	10.2	14.2	0.688
89	10.4	14.2	0.714
90	10.5	14.2	0.886
91	10.4	14.2	0.989
92	10.2	14.2	1.223
93	10.5	14.1	1.257
94	10.7	14.1	1.172
95	10.8	14.1	0.705
96	10.8	14.1	0.442
97	8.5	14.1	0.306
98	8.6	14.1	0.165
99	9.1	14.1	0.065
100	9.3	14.1	0.047
101	9.7	14.1	0.141
102	9.8	14.1	0.353
103	10.3	14.1	0.953
104	12.7	14.1	1.020
105	13.0	14.1	1.025
106	12.9	14.0	1.074
107	13.2	14.0	1.025
108	13.3	14.0	0.993
109	13.3	14.0	0.920
110	13.6	14.0	0.808
111	14.3	14.0	0.737
112	14.3	14.0	0.688
113	14.9	14.0	0.714
114	15.6	14.0	0.886
115	15.6	14.0	0.989
116	15.3	14.0	1.223
117	15.8	14.0	1.257
118	16.4	13.9	1.172
119	17.0	13.9	0.705
120	17.1	13.9	0.442
121	15.2	13.9	0.306
122	15.3	13.9	0.165
123	14.9	13.9	0.065
124	14.8	13.9	0.047
125	14.1	13.9	0.141
126	13.6	13.9	0.353
127	13.4	13.9	0.953
128	15.6	13.9	1.020
129	15.4	13.9	1.025
130	14.8	13.9	1.074
131	13.9	13.9	1.025
132	13.2	13.9	0.993
133	12.1	13.8	0.920
134	11.4	13.8	0.808
135	11.0	13.8	0.737
136	10.5	13.8	0.688
137	10.5	13.8	0.714
138	10.8	13.8	0.886
139	10.4	13.8	0.989
140	10.3	13.7	1.223
141	10.4	13.7	1.257
142	10.4	13.7	1.172
143	10.4	13.7	0.705
144	10.4	13.7	0.442
145	7.9	13.7	0.306
146	8.2	13.7	0.165
147	8.2	13.6	0.065
148	8.4	13.6	0.047
149	8.8	13.6	0.141
150	8.6	13.6	0.353
151	8.6	13.6	0.953
152	11.1	13.6	1.020
153	10.9	13.6	1.025
154	10.2	13.5	1.074
155	10.0	13.5	1.025
156	9.5	13.5	0.993
157	9.1	13.5	0.920
158	8.3	13.5	0.808
159	8.0	13.5	0.737
160	8.0	13.5	0.688
161	8.7	13.5	0.714
162	9.2	13.5	0.886
163	9.9	13.5	0.989
164	10.0	13.4	1.223
165	10.6	13.4	1.257
166	10.7	13.4	1.172
167	11.4	13.4	0.705
168	11.5	13.4	0.442
