# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.1	0.2	0.004
2	0.1	0.2	0.002
3	0.1	0.2	0.001
4	0.1	0.2	0.001
5	0.1	0.2	0.002
6	0.1	0.2	0.004
7	0.1	0.2	0.011
8	0.1	0.2	0.012
9	0.1	0.2	0.012
10	0.1	0.2	0.013
11	0.1	0.2	0.012
12	0.1	0.2	0.012
13	0.1	0.2	0.011
14	0.1	0.2	0.010
15	0.1	0.2	0.009
16	0.1	0.2	0.008
17	0.1	0.2	0.008
18	0.1	0.2	0.010
19	0.1	0.2	0.012
20	0.1	0.2	0.014
21	0.1	0.2	0.015
22	0.1	0.2	0.014
23	0.1	0.2	0.008
24	0.1	0.2	0.005
25	0.2	0.2	0.004
26	0.2	0.2	0.002
27	0.2	0.2	0.001
28	0.2	0.2	0.001
29	0.2	0.2	0.002
30	0.1	0.2	0.004
31	0.2	0.2	0.011
32	0.2	0.2	0.012
33	0.1	0.2	0.012
34	0.1	0.2	0.013
35	0.1	0.2	0.012
36	0.1	0.2	0.012
37	0.1	0.2	0.011
38	0.1	0.2	0.010
39	0.1	0.2	0.009
40	0.1	0.2	0.008
41	0.1	0.2	0.008
42	0.1	0.2	0.010
43	0.1	0.2	0.012
44	0.1	0.2	0.014
45	0.1	0.2	0.015
46	0.1	0.2	0.014
47	0.1	0.2	0.008
48	0.1	0.2	0.005
49	0.1	0.2	0.004
50	0.1	0.2	0.002
51	0.1	0.2	0.001
52	0.1	0.2	0.001
53	0.1	0.2	0.002
54	0.1	0.2	0.004
55	0.2	0.2	0.011
56	0.2	0.2	0.012
57	0.1	0.2	0.012
58	0.1	0.2	0.013
59	0.1	0.2	0.012
60	0.1	0.2	0.012
61	0.1	0.2	0.011
62	0.1	0.2	0.010
63	0.1	0.2	0.009
64	0.1	0.2	0.008
65	0.1	0.2	0.008
66	0.1	0.2	0.010
67	0.1	0.2	0.012
68	0.1	0.2	0.014
69	0.2	0.2	0.015
70	0.2	0.2	0.014
71	0.2	0.2	0.008
72	0.2	0.2	0.005
73	0.2	0.2	0.004
74	0.2	0.2	0.002
75	0.2	0.2	0.001
76	0.2	0.2	0.001
77	0.2	0.2	0.002
78	0.2	0.2	0.004
79	0.2	0.2	0.011
80	0.2	0.2	0.012
81	0.1	0.2	0.012
82	0.1	0.2	0.013
83	0.1	0.2	0.012
84	0.1	0.2	0.012
85	0.1	0.2	0.011
86	0.1	0.2	0.010
87	0.1	0.2	0.009
88	0.1	0.2	0.008
89	0.1	0.2	0.008
90	0.1	0.2	0.010
91	0.1	0.2	0.012
92	0.1	0.2	0.014
93	0.1	0.2	0.015
94	0.1	0.2	0.014
