# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	9.5	14.7	0.254
2	9.7	14.7	0.137
3	10.1	14.4	0.054
4	9.9	14.4	0.039
5	10.1	14.4	0.117
6	10.1	14.3	0.293
7	9.9	13.8	0.791
8	9.9	13.7	0.847
9	9.9	13.3	0.851
10	9.4	13.3	0.891
11	9.4	13.2	0.851
12	8.9	13.2	0.825
13	8.6	13.2	0.764
14	8.7	13.2	0.671
15	8.6	13.2	0.612
16	8.9	13.1	0.571
17	9.4	13.1	0.593
18	10.2	13.1	0.736
19	10.9	13.1	0.821
20	11.0	13.1	1.016
21	11.1	13.1	1.043
22	11.5	13.1	0.973
23	11.8	13.0	0.586
24	12.2	13.0	0.367
25	12.6	13.0	0.254
26	12.3	13.0	0.137
27	12.3	13.0	0.054
28	12.3	13.0	0.039
29	12.2	12.9	0.117
30	12.0	12.9	0.293
31	12.2	12.9	0.791
32	12.4	12.9	0.847
33	12.1	12.8	0.851
34	11.8	12.8	0.891
35	11.5	12.8	0.851
36	11.0	12.8	0.825
37	10.7	12.7	0.764
38	10.6	12.7	0.671
39	10.3	12.7	0.612
40	10.5	12.7	0.571
41	11.0	12.6	0.593
42	11.4	12.6	0.736
43	11.5	12.6	0.821
44	11.6	12.6	1.016
45	11.7	12.6	1.043
46	11.7	12.6	0.973
47	11.8	12.6	0.586
48	11.8	12.5	0.367
49	11.8	12.5	0.254
50	11.8	12.5	0.137
51	11.8	12.5	0.054
52	12.1	12.5	0.039
53	12.2	12.5	0.117
54	12.0	12.4	0.293
55	12.4	12.4	0.791
56	12.2	12.4	0.847
57	12.1	12.4	0.851
58	12.2	12.4	0.891
59	11.8	12.4	0.851
60	11.7	12.4	0.825
61	11.2	12.4	0.764
62	11.0	12.3	0.671
63	10.8	12.3	0.612
64	10.7	12.3	0.571
65	10.9	12.3	0.593
66	11.3	12.3	0.736
67	11.7	12.3	0.821
68	11.9	12.3	1.016
69	12.3	12.3	1.043
70	12.6	12.3	0.973
71	12.8	12.2	0.586
72	13.0	12.2	0.367
73	13.1	12.2	0.254
74	13.2	12.2	0.137
75	13.0	12.2	0.054
76	13.1	12.2	0.039
77	13.1	12.2	0.117
78	13.0	12.2	0.293
79	12.8	12.1	0.791
80	12.3	12.1	0.847
81	12.0	12.1	0.851
82	11.4	12.1	0.891
83	10.3	12.1	0.851
84	9.5	12.1	0.825
85	8.8	12.1	0.764
86	8.5	12.1	0.671
87	8.6	12.1	0.612
88	8.6	12.0	0.571
89	8.7	12.0	0.593
90	8.8	12.0	0.736
91	8.8	12.0	0.821
92	8.6	12.0	1.016
93	8.8	12.0	1.043
