# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.8	1.3	0.011
2	0.9	1.3	0.006
3	0.9	1.3	0.002
4	0.9	1.3	0.002
5	0.9	1.3	0.005
6	0.9	1.3	0.013
7	0.9	1.2	0.034
8	0.9	1.2	0.036
9	0.9	1.2	0.036
10	0.8	1.2	0.038
11	0.8	1.2	0.036
12	0.8	1.2	0.035
13	0.8	1.2	0.033
14	0.8	1.2	0.029
15	0.8	1.2	0.026
16	0.8	1.2	0.024
17	0.8	1.2	0.025
18	0.9	1.2	0.032
19	1.0	1.2	0.035
20	1.0	1.2	0.044
21	1.0	1.2	0.045
22	1.0	1.2	0.042
23	1.0	1.2	0.025
24	1.1	1.2	0.016
25	1.1	1.2	0.011
26	1.1	1.2	0.006
27	1.1	1.1	0.002
28	1.1	1.1	0.002
29	1.1	1.1	0.005
30	1.1	1.1	0.013
31	1.1	1.1	0.034
32	1.1	1.1	0.036
33	1.1	1.1	0.036
34	1.0	1.1	0.038
35	1.0	1.1	0.036
36	1.0	1.1	0.035
37	0.9	1.1	0.033
38	0.9	1.1	0.029
39	0.9	1.1	0.026
40	0.9	1.1	0.024
41	1.0	1.1	0.025
42	1.0	1.1	0.032
43	1.0	1.1	0.035
44	1.0	1.1	0.044
45	1.0	1.1	0.045
46	1.0	1.1	0.042
47	1.0	1.1	0.025
48	1.0	1.1	0.016
49	1.0	1.1	0.011
50	1.0	1.1	0.006
51	1.0	1.1	0.002
52	1.1	1.1	0.002
53	1.1	1.1	0.005
54	1.1	1.1	0.013
55	1.1	1.1	0.034
56	1.1	1.1	0.036
57	1.1	1.1	0.036
58	1.1	1.1	0.038
59	1.0	1.1	0.036
60	1.0	1.1	0.035
61	1.0	1.1	0.033
62	1.0	1.1	0.029
63	1.0	1.1	0.026
64	0.9	1.1	0.024
65	1.0	1.1	0.025
66	1.0	1.1	0.032
67	1.0	1.1	0.035
68	1.1	1.1	0.044
69	1.1	1.1	0.045
70	1.1	1.1	0.042
71	1.1	1.1	0.025
72	1.1	1.1	0.016
73	1.2	1.1	0.011
74	1.2	1.1	0.006
75	1.2	1.1	0.002
76	1.2	1.1	0.002
77	1.2	1.1	0.005
78	1.2	1.1	0.013
79	1.1	1.1	0.034
80	1.1	1.1	0.036
81	1.1	1.1	0.036
82	1.0	1.1	0.038
83	0.9	1.1	0.036
84	0.8	1.1	0.035
85	0.8	1.1	0.033
86	0.8	1.1	0.029
87	0.8	1.1	0.026
88	0.8	1.1	0.024
89	0.8	1.1	0.025
90	0.8	1.1	0.032
91	0.8	1.1	0.035
92	0.8	1.1	0.044
93	0.8	1.1	0.045
